SA3_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
10102,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,20,0,0,0,0,0,11,44,41,15,22,17,28,0,0,0,172,0,0,15,30,21,24,22,23,3,0,0,0,5,0,5,146,0,0,10,0,15,34,71,43,14,16,4,6,4,0,8,218,4,16,81,36,8,13,6,7,0,5,0,0,0,0,5,187,0,0,6,6,3,5,11,10,0,10,0,8,3,0,0,57,0,0,3,13,23,29,59,23,0,4,13,4,8,4,5,180,59,56,43,22,32,17,23,11,0,0,0,0,0,0,4,285,3,31,62,16,6,0,0,0,0,0,0,0,0,0,3,133,0,0,9,9,12,8,0,5,3,0,0,3,3,0,6,51,0,0,7,8,16,43,429,335,102,108,146,90,22,3,23,1350,0,0,7,4,16,19,16,17,8,7,5,3,4,0,3,104,0,0,0,0,8,0,10,14
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,4,7,13,17,0,0,0,5,0,0,0,50,4,0,4,0,3,5,21,10,3,7,3,22,0,0,6,81,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,63,36,12,15,5,14,5,0,0,0,0,0,0,8,173,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,11,0,0,3,5,0,4,8,9,6,19,4,10,12,5,0,84,0,0,0,0,6,0,0,6,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,0
10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8,0,4,14,21,19,14,35,13,0,7,0,0,0,5,5,163,9,6,0,3,7,10,27,12,8,4,0,8,0,0,5,99,0,35,69,21,0,9,0,0,0,0,0,0,0,0,5,138,0,13,6,0,0,0,0,0,0,0,0,0,0,0,4,29,0,4,0,6,3,4,6,0,0,0,0,0,0,0,3,42,71,162,90,56,45,34,40,10,3,0,4,8,0,0,19,547,3,15,39,11,0,0,0,0,0,0,0,0,0,0,0,65,3,5,6,6,7,3,5,0,0,0,5,0,0,0,0,44,4,7,15,6,5,13,39,41,17,25,22,34,26,0,5,258,0,7,5,6,0,0,8,12,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,3
10105,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,11,12,3,0,4,14,0,0,3,38,0,0,0,4,7,6,7,0,0,0,0,0,0,0,8,32,0,0,0,0,11,16,33,23,7,3,0,28,0,15,11,142,0,5,18,5,4,3,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,4,5,10,9,11,3,0,0,0,11,5,0,5,61,13,20,19,15,9,8,0,0,0,0,0,0,0,0,12,108,5,12,18,0,0,0,4,0,0,0,0,0,0,0,7,43,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,6,5,46,74,20,19,24,33,5,0,6,247,0,0,0,0,4,0,9,5,0,3,0,3,6,0,0,45,0,0,0,0,0,0,6,3
10106,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,18,0,0,3,9,5,8,13,0,0,0,0,0,0,0,0,47,0,0,0,3,4,8,23,13,3,6,0,36,7,0,4,102,0,0,20,7,6,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,22,7,33,17,6,12,9,10,9,0,0,0,0,6,0,3,118,0,5,11,0,3,0,3,0,0,0,0,0,0,0,0,23,0,0,5,0,5,0,5,3,0,0,0,0,0,0,0,20,0,0,4,8,4,10,27,32,10,8,13,6,0,0,0,118,0,3,0,0,0,3,4,3,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,5
10201,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,5,0,8,15,28,3,11,9,0,3,0,0,92,0,10,44,52,46,83,128,50,12,15,6,15,6,0,4,472,7,41,22,13,136,188,425,248,58,39,30,42,17,0,27,1299,3,35,75,15,5,18,0,7,0,0,3,0,0,0,6,168,16,46,59,19,15,14,17,37,5,14,9,16,5,0,6,269,4,8,14,36,63,58,24,9,9,4,8,4,6,0,5,246,85,145,81,56,68,58,137,50,11,13,0,6,0,0,20,736,6,61,76,21,0,5,8,7,0,0,0,3,0,0,6,190,3,8,14,34,63,34,36,16,10,0,3,12,7,5,3,250,9,18,33,55,51,84,348,344,91,107,104,90,29,4,23,1383,5,14,14,21,27,41,72,45,8,7,8,23,8,0,6,291,0,0,3,7,25,14,41,46
10202,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,13,3,3,5,4,0,0,0,44,5,3,19,30,24,38,36,31,0,12,0,3,0,0,4,211,8,16,24,15,75,89,158,111,21,21,7,24,3,5,14,595,4,16,74,24,5,13,5,0,0,0,0,0,0,0,3,136,14,37,41,14,12,10,8,0,0,6,0,0,0,7,9,151,6,3,3,23,46,36,28,23,3,0,10,10,0,0,8,195,83,127,74,55,36,25,36,15,0,6,0,0,0,0,19,482,0,37,77,21,3,0,0,4,0,0,0,0,0,0,7,155,3,0,10,16,23,22,13,8,0,5,0,3,0,0,0,117,12,6,30,28,28,50,256,331,51,62,45,49,20,7,14,979,5,11,8,13,31,35,43,48,7,7,16,16,13,0,0,239,0,0,3,7,13,9,10,10
10301,0,0,0,0,0,0,6,4,0,0,0,0,0,0,5,20,0,0,0,0,0,7,10,19,0,8,7,3,3,0,4,60,0,3,4,11,8,14,24,4,0,0,0,5,0,0,4,61,0,4,6,0,10,18,34,23,0,5,6,7,0,0,16,116,0,0,10,10,0,8,0,0,0,0,0,0,0,0,7,40,0,4,4,0,0,5,3,5,0,0,6,0,6,0,0,25,0,0,5,7,5,6,21,5,0,4,9,4,0,0,6,74,22,33,18,4,18,3,3,5,0,0,0,0,0,0,4,122,0,6,7,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,16,0,0,6,0,8,16,104,82,28,39,36,44,15,8,10,390,0,0,0,3,0,0,9,8,6,0,0,0,0,0,3,41,0,0,0,0,3,0,6,12
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,14,0,0,0,6,5,4,10,9,0,0,0,0,0,0,0,32,0,0,3,3,8,18,25,21,7,14,4,3,0,0,0,114,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,10,4,13,5,0,0,0,4,0,0,3,42,24,30,12,9,8,0,3,3,0,0,0,0,0,0,8,102,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,5,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,6,38,41,22,23,21,20,17,5,3,202,0,0,0,0,0,0,8,3,0,0,0,4,0,0,0,27,0,0,0,0,0,4,0,5
10303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,23,0,0,5,5,9,4,10,17,0,0,0,0,0,0,3,55,0,5,0,0,4,19,32,17,6,3,0,3,0,0,6,96,5,3,22,12,3,0,0,0,0,0,0,0,0,0,4,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,11,11,8,5,0,0,0,0,0,0,0,40,36,44,35,8,15,7,8,7,0,0,0,0,0,0,3,159,0,7,20,4,0,0,0,0,0,0,0,0,0,0,4,37,0,0,6,4,7,0,0,0,0,0,0,0,0,0,5,24,3,0,5,12,9,5,35,19,19,10,11,16,7,0,9,160,0,7,0,6,8,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,5,0,3
