SA3_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
10102,..,36,1484,2652,2716,2390,1644,733,155,11811,..,241,1002,638,561,378,187,39,3,3046,..,10,48,131,188,134,42,21,12,582,6187,..,..,..,..,..,..,..,..,6187,..,1385,..,..,..,..,..,..,..,1385,..,1233,626,203,140,70,3,0,0,2273,..,147,138,35,54,72,63,34,19,556,..,84,189,60,32,22,15,4,0,407,..,107,251,109,77,95,55,24,4,723,..,126,458,423,547,666,444,224,56,2950,76,104,120,59,90,54,68,23,0,601,6260,3471,4322,4306,4405,3887,2513,1104,251,30519,..,86,2033,2748,2828,2198,1439,528,53,11914,..,329,1093,625,556,354,121,18,0,3097,..,50,286,451,484,240,108,104,49,1763,5713,..,..,..,..,..,..,..,..,5713,..,1401,..,..,..,..,..,..,..,1401,..,838,385,93,63,35,11,0,0,1421,..,104,73,31,44,113,134,90,39,634,..,79,114,32,17,21,10,0,0,270
10103,..,6,213,507,700,746,635,379,87,3263,..,69,316,179,186,147,87,26,0,1010,..,0,3,28,48,45,27,14,0,173,1609,..,..,..,..,..,..,..,..,1609,..,330,..,..,..,..,..,..,..,330,..,326,135,41,47,32,3,0,0,578,..,26,17,5,14,20,16,13,4,112,..,37,59,20,18,19,4,0,0,155,..,130,213,43,39,35,25,12,4,509,..,48,135,119,172,297,262,136,57,1227,24,45,41,27,26,24,32,13,0,238,1633,1013,1138,970,1240,1368,1093,591,159,9208,..,13,302,589,746,753,558,287,28,3279,..,109,340,196,183,149,58,14,4,1046,..,18,77,119,159,64,36,31,26,530,1445,..,..,..,..,..,..,..,..,1445,..,343,..,..,..,..,..,..,..,343,..,207,62,14,13,12,3,0,0,307,..,27,8,7,9,18,26,21,11,130,..,38,41,8,13,4,0,0,0,113
10104,..,28,628,1395,1916,2994,4075,2144,472,13652,..,219,789,646,661,785,581,142,17,3840,..,8,46,121,192,179,95,50,30,714,5181,..,..,..,..,..,..,..,..,5181,..,1071,..,..,..,..,..,..,..,1071,..,1169,578,277,220,134,21,0,0,2399,..,140,79,60,73,70,100,43,25,589,..,90,93,41,58,41,23,8,0,364,..,99,173,75,106,219,158,58,11,900,..,85,241,303,591,1082,1185,631,251,4363,70,107,118,74,96,125,137,41,8,782,5249,3021,2746,2989,3909,5621,6381,3122,819,33857,..,53,896,1633,2225,3467,3729,1574,226,13802,..,334,895,665,734,802,440,110,14,4002,..,73,364,560,615,341,192,160,130,2436,4889,..,..,..,..,..,..,..,..,4889,..,1037,..,..,..,..,..,..,..,1037,..,741,270,112,98,108,32,3,0,1363,..,94,46,13,50,136,148,133,81,688,..,93,50,19,33,21,12,8,8,236
10105,..,15,578,1072,1133,1473,1302,688,171,6430,..,170,519,301,278,238,128,41,3,1683,..,5,36,70,109,71,32,25,10,349,3223,..,..,..,..,..,..,..,..,3223,..,607,..,..,..,..,..,..,..,607,..,764,355,130,101,56,5,0,0,1418,..,72,58,33,39,39,49,28,9,336,..,56,66,19,20,21,12,3,0,193,..,84,99,38,54,68,70,23,7,434,..,67,186,152,324,483,457,306,103,2074,41,64,68,55,43,50,49,17,5,391,3260,1914,1967,1865,2094,2492,2102,1137,313,17148,..,38,790,1141,1274,1456,1189,509,88,6487,..,259,532,294,296,191,113,21,6,1705,..,56,244,308,291,165,102,82,53,1297,2989,..,..,..,..,..,..,..,..,2989,..,612,..,..,..,..,..,..,..,612,..,520,176,70,54,29,3,0,0,857,..,55,32,19,35,71,89,64,22,388,..,49,40,16,7,14,3,0,0,128
10106,..,18,516,1146,1444,1525,1353,755,144,6916,..,145,453,294,329,243,120,37,3,1633,..,3,18,51,102,63,36,11,15,301,3539,..,..,..,..,..,..,..,..,3539,..,736,..,..,..,..,..,..,..,736,..,732,290,110,97,45,7,0,0,1283,..,66,37,27,21,42,58,29,12,300,..,38,54,14,19,17,18,6,0,172,..,41,63,28,36,51,50,21,5,292,..,55,145,136,257,393,382,222,69,1663,27,55,56,45,43,44,41,27,4,340,3568,1889,1630,1856,2355,2422,2076,1109,264,17166,..,35,690,1310,1578,1487,1295,525,62,6982,..,213,489,346,330,193,94,26,0,1694,..,43,209,263,290,136,77,56,47,1121,3333,..,..,..,..,..,..,..,..,3333,..,785,..,..,..,..,..,..,..,785,..,494,177,62,47,27,11,0,0,824,..,57,18,15,26,57,71,65,36,341,..,61,29,12,10,14,13,4,0,132
10201,..,58,2183,5846,6373,6391,6161,3918,917,31842,..,527,2162,1589,1379,1030,599,254,36,7580,..,8,77,313,546,362,179,119,70,1670,15329,..,..,..,..,..,..,..,..,15329,..,3999,..,..,..,..,..,..,..,3999,..,3504,1977,735,505,278,37,5,0,7043,..,282,271,149,168,228,231,149,76,1553,..,247,317,162,126,123,42,23,0,1043,..,326,642,233,299,367,301,136,28,2347,..,183,645,732,1217,1644,1608,1178,508,7714,207,237,197,172,153,141,121,42,15,1271,15530,9369,8480,9931,10764,10564,9282,5820,1650,81388,..,136,3067,6536,6537,6642,5816,2909,437,32070,..,820,2332,1577,1319,1010,494,149,22,7717,..,132,763,1540,1948,1137,499,375,284,6687,14216,..,..,..,..,..,..,..,..,14216,..,4180,..,..,..,..,..,..,..,4180,..,2436,1139,321,250,206,54,0,0,4409,..,265,159,77,101,339,487,371,225,2024,..,256,211,74,87,66,40,13,3,748
10202,..,96,2404,4736,5037,5324,5325,3259,742,26932,..,716,2562,1489,1264,936,467,208,25,7663,..,21,143,366,578,367,191,104,73,1841,15038,..,..,..,..,..,..,..,..,15038,..,3242,..,..,..,..,..,..,..,3242,..,4107,1977,779,566,313,68,0,0,7816,..,373,309,179,174,281,258,133,67,1782,..,316,345,193,175,131,70,24,0,1254,..,265,455,212,375,450,347,158,25,2292,..,153,592,781,1094,1573,1542,1132,462,7340,260,224,206,170,143,138,109,48,19,1321,15301,9523,9001,8912,9410,9513,8376,5063,1414,76523,..,153,3298,5192,5271,5538,5076,2483,355,27364,..,1053,2693,1455,1275,839,427,139,14,7900,..,302,1432,1874,2016,1088,558,408,325,8002,14133,..,..,..,..,..,..,..,..,14133,..,3501,..,..,..,..,..,..,..,3501,..,2583,1033,287,253,224,60,3,0,4443,..,306,160,74,183,458,506,400,232,2320,..,354,207,74,85,75,32,24,0,850
10301,..,26,754,1315,1484,1583,1582,837,169,7745,..,259,719,423,319,281,114,54,0,2176,..,7,42,103,158,89,37,35,13,489,4348,..,..,..,..,..,..,..,..,4348,..,954,..,..,..,..,..,..,..,954,..,941,420,162,96,70,3,0,0,1690,..,112,85,25,39,50,60,29,10,410,..,72,86,31,32,15,15,0,0,268,..,212,174,67,71,91,69,22,5,713,..,117,301,278,383,526,438,246,88,2386,59,91,80,58,59,46,35,14,7,453,4407,2803,2661,2461,2645,2751,2357,1248,292,21627,..,53,997,1430,1646,1644,1440,571,92,7879,..,367,766,392,320,256,97,30,4,2227,..,79,341,465,463,217,112,82,56,1813,4119,..,..,..,..,..,..,..,..,4119,..,958,..,..,..,..,..,..,..,958,..,540,211,76,50,44,12,0,0,929,..,98,61,9,30,67,102,62,34,465,..,76,41,15,21,15,8,4,3,184
10302,..,38,744,1289,1527,1923,1989,1149,286,8942,..,276,712,398,333,287,170,68,7,2244,..,3,49,120,126,104,45,32,22,506,4770,..,..,..,..,..,..,..,..,4770,..,854,..,..,..,..,..,..,..,854,..,962,368,201,138,120,21,0,0,1797,..,131,75,40,58,89,69,34,20,516,..,57,51,34,31,24,18,4,0,221,..,87,120,46,69,96,92,37,4,548,..,155,310,273,468,736,732,487,170,3328,70,104,95,68,70,59,47,19,10,542,4835,2660,2516,2469,2813,3431,3178,1830,529,24267,..,59,969,1466,1723,1973,1848,880,158,9061,..,406,737,393,343,251,129,46,3,2305,..,96,400,465,430,203,106,111,103,1906,4580,..,..,..,..,..,..,..,..,4580,..,822,..,..,..,..,..,..,..,822,..,576,171,61,61,54,18,0,0,938,..,110,21,19,33,85,108,72,43,501,..,59,24,13,10,14,8,0,0,134
10303,..,27,714,1192,1435,1704,1669,930,171,7838,..,177,660,390,378,330,153,49,10,2151,..,6,38,70,138,86,58,38,32,469,4080,..,..,..,..,..,..,..,..,4080,..,736,..,..,..,..,..,..,..,736,..,938,375,193,176,94,9,0,0,1787,..,99,65,45,66,60,60,35,16,436,..,65,47,36,24,29,20,9,0,232,..,105,121,56,77,102,81,33,4,577,..,99,234,250,410,648,654,432,114,2841,61,74,82,60,46,58,67,28,4,476,4137,2326,2337,2296,2744,3115,2778,1552,350,21630,..,52,899,1313,1613,1768,1525,670,83,7926,..,301,697,421,349,293,102,31,8,2193,..,70,316,372,374,200,128,114,82,1651,3879,..,..,..,..,..,..,..,..,3879,..,750,..,..,..,..,..,..,..,750,..,496,208,67,69,55,13,0,0,916,..,77,18,16,29,92,93,93,40,455,..,68,41,20,14,18,0,4,3,173
