SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
10102,17553,49656,1680,3169,1572,3191,3262,6356,1067,1696,554,966,934,1635,77,130,30,68,2661,4499,22,41,16,39,3,0,36,85,73,167,43,72,23599,60751,2428,..,26025,60751
10103,6688,16511,205,371,174,451,385,825,463,1026,54,137,8,17,0,0,22,51,551,1224,16,21,5,9,9,15,26,75,60,127,59,134,7739,18824,2531,..,10271,18824
10104,26272,61369,1571,2404,1078,1879,2649,4277,1500,2333,94,145,38,59,5,6,43,61,1679,2611,180,306,349,535,11,13,42,108,576,965,126,244,31301,69461,9220,..,40521,69461
10105,12948,32078,917,1481,175,321,1096,1800,286,411,61,76,0,0,0,0,19,39,367,529,24,32,21,28,4,4,47,85,91,148,38,66,14540,34625,2475,..,17012,34625
10106,12876,33489,620,971,31,67,647,1039,206,281,0,0,0,0,0,0,11,30,223,308,22,39,20,28,3,7,28,57,76,134,73,149,13896,35120,1811,..,15708,35120
10201,50761,136638,5873,9662,3674,7321,9553,16988,4006,7024,1056,1856,1729,3152,450,825,267,578,7509,13433,160,228,350,545,3,3,78,142,587,922,179,333,68590,168314,8147,..,76738,168314
10202,52461,139245,3757,6330,2440,4852,6190,11179,2463,3925,465,810,749,1257,146,252,158,305,3982,6555,184,272,134,216,9,11,68,147,390,641,99,206,63124,157828,6381,..,69509,157828
10301,15434,39842,1337,2259,369,637,1706,2893,691,1038,19,28,0,0,0,0,18,32,727,1090,22,40,6,20,4,9,16,51,51,113,49,99,17974,44035,2044,..,20018,44035
10302,19233,46249,764,1185,63,87,824,1273,674,924,18,22,0,3,0,0,13,16,706,966,50,87,31,44,10,22,58,128,151,276,116,262,21032,49027,3485,..,24516,49027
10303,16776,40852,1143,1814,117,201,1260,2009,182,258,19,24,0,0,3,4,7,19,212,308,52,58,60,104,0,3,67,139,185,306,55,110,18485,43582,3087,..,21576,43582
10304,19929,52189,1459,2292,217,369,1675,2663,570,830,34,57,0,0,0,0,18,35,627,929,32,41,3,11,0,3,204,518,244,569,67,165,22545,56509,2144,..,24685,56509
10401,17865,43389,846,1332,497,928,1342,2261,762,1168,88,137,22,36,0,0,45,71,914,1410,109,169,269,383,15,28,152,357,544,932,88,179,20753,48169,3150,..,23902,48169
10402,27423,71519,2191,3910,1520,3214,3708,7131,2375,4118,393,715,265,417,114,183,91,169,3236,5604,195,398,393,588,9,6,30,66,624,1061,150,294,35136,85600,3429,..,38566,85600
10501,6549,16116,262,397,12,16,269,416,172,221,0,0,0,3,0,0,0,6,176,233,40,81,8,25,208,344,25,71,282,517,178,361,7453,17639,2099,..,9546,17639
10502,7542,16814,181,254,18,34,199,289,190,240,0,0,0,0,0,0,5,11,189,246,10,40,3,14,0,0,4,6,19,57,127,255,8085,17667,1782,..,9864,17667
10503,22926,59582,1587,2691,71,128,1655,2824,1286,2030,10,18,0,0,0,0,22,50,1322,2098,58,97,19,28,17,22,74,150,158,294,111,246,26168,65042,2872,..,29047,65042
10601,31429,84881,1911,3364,482,813,2398,4175,491,710,0,0,0,0,0,0,55,122,546,830,91,119,58,103,10,24,32,74,190,323,81,194,34648,90397,3332,..,37987,90397
10602,27367,76203,2477,4364,621,1058,3098,5419,651,908,0,0,31,48,0,0,72,150,749,1116,155,197,10,10,8,13,47,80,214,297,51,105,31478,83139,1696,..,33175,83139
10603,23879,60962,2153,3611,1861,3869,4015,7478,354,552,236,370,444,753,0,0,54,129,1091,1806,156,217,269,484,9,13,47,88,473,802,102,171,29564,71225,6347,..,35908,71225
