SA3_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
10102,80,142,89,63,49,17,5,444,23,26,16,18,3,4,3,96,9,0,9,5,3,0,0,30,222,429,324,211,265,79,43,1584,7,12,10,9,5,0,3,39,6,10,8,7,5,0,0,39,11,21,16,11,14,0,3,77,237,446,346,229,280,79,43,1664,177,158,74,49,45,8,0,516,4,0,4,5,0,0,0,14,416,610,418,283,326,94,49,2189
10103,23,60,47,36,39,4,5,216,0,4,0,3,0,0,0,14,0,0,3,0,8,0,0,9,38,114,99,83,109,9,11,464,0,0,0,0,0,0,0,8,0,8,0,4,3,0,0,14,0,8,0,5,8,0,0,23,40,121,105,88,110,9,11,485,64,52,34,19,19,0,0,186,0,0,3,0,0,0,0,8,103,177,138,108,134,11,11,674
10104,137,313,237,152,164,23,7,1027,24,26,26,19,20,0,0,113,4,4,4,8,4,0,0,31,224,510,463,322,366,62,10,1952,6,16,11,9,6,4,0,49,12,13,11,3,9,0,0,44,13,28,20,11,14,5,0,95,238,538,478,333,379,70,14,2052,290,244,145,116,109,22,8,937,8,15,11,5,0,0,0,49,541,793,638,463,490,82,24,3040
10105,82,171,99,69,57,12,3,485,11,8,5,5,8,0,0,35,12,9,6,0,5,0,0,34,154,303,212,147,173,43,12,1042,4,13,3,4,6,0,0,24,13,13,9,6,3,0,0,52,11,23,12,10,13,0,0,73,169,329,223,152,182,43,12,1119,168,161,100,53,48,6,0,543,0,0,4,3,0,3,0,12,336,496,335,213,229,51,19,1675
10106,64,113,87,60,57,16,3,411,16,18,5,0,5,0,0,48,0,0,4,0,0,0,0,12,131,226,175,137,189,45,14,915,5,14,5,3,6,0,0,33,7,14,9,5,5,0,0,31,4,22,14,8,14,0,0,65,140,254,194,148,202,41,14,978,140,176,94,45,38,8,0,501,8,6,6,0,0,0,0,23,284,427,296,197,243,45,12,1499
10201,276,549,437,285,371,108,50,2076,93,137,91,77,70,25,7,492,8,25,15,4,14,3,0,70,559,1171,1000,736,991,352,154,4964,11,39,31,19,18,11,0,131,25,34,26,12,16,6,0,117,37,73,52,29,37,12,4,253,596,1243,1055,762,1033,366,159,5218,601,688,382,295,281,68,44,2365,5,12,10,7,7,0,0,49,1205,1946,1444,1066,1325,439,210,7632
10202,424,697,459,327,391,93,39,2442,173,194,105,73,84,26,10,665,41,33,28,19,7,3,0,126,831,1393,1047,740,951,267,124,5347,29,52,43,23,35,5,3,197,64,65,42,25,22,12,4,228,92,116,78,46,61,15,12,423,922,1509,1125,792,1011,280,132,5771,1135,1095,630,422,383,78,27,3774,22,23,17,12,13,5,0,86,2079,2628,1773,1232,1406,361,155,9630
10301,109,206,131,96,114,19,4,674,25,6,13,6,8,0,0,64,5,8,8,7,10,0,0,37,217,430,317,235,297,67,14,1588,8,19,6,10,10,0,0,64,19,20,13,9,9,0,0,65,36,41,17,17,20,4,0,129,253,467,338,249,321,75,16,1717,237,229,108,80,63,8,7,728,14,6,11,7,3,0,0,33,494,699,455,337,384,78,23,2476
10302,114,248,140,135,103,14,0,754,23,22,16,5,11,0,0,75,3,6,4,5,0,0,0,27,229,450,291,263,262,33,10,1537,9,29,18,12,11,0,0,78,26,45,12,10,6,0,0,94,33,76,30,17,13,3,0,173,262,527,317,280,277,38,10,1710,330,307,171,102,88,3,0,1007,16,11,9,16,0,0,0,49,606,844,499,398,371,44,10,2770
10303,89,211,108,93,102,9,3,628,20,20,13,19,10,4,0,82,6,7,6,6,3,7,0,27,152,354,229,194,197,35,7,1168,6,19,10,3,3,0,0,51,21,19,10,4,7,0,0,67,26,40,24,9,8,5,0,112,181,394,248,203,207,39,7,1282,231,268,159,97,70,12,5,844,7,4,3,8,0,0,0,22,422,668,419,305,275,47,14,2149
