SA3_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
10102,161,977,53,249,180,40,6,25,25,1713,167,804,11,237,139,12,4,18,11,1397,899,626,66,217,1290,213,13,73,73,3478,502,768,36,526,485,76,4,52,53,2505,116,235,36,43,104,30,3,4,12,580,82,44,159,106,221,62,9,40,16,732,0,0,0,0,3,0,0,0,0,12,59,67,12,34,49,3,5,9,8,237,28,31,10,26,66,21,0,4,43,234,2322,4027,513,1554,2767,533,55,273,248,12308,226,394,62,70,105,23,12,19,14,923,274,674,125,80,101,83,47,48,25,1460,587,586,1313,117,205,74,301,219,53,3468,350,112,918,35,71,38,89,135,10,1768,140,92,118,30,76,26,25,62,9,582,217,1202,75,334,200,50,10,35,34,2152,245,1041,33,265,162,23,18,26,15,1828,1637,1121,174,342,1615,356,99,156,107,5607,949,1232,86,838,638,117,31,91,86,4075,170,370,100,65,138,59,20,35,10,973
10103,67,261,12,97,42,22,4,19,7,537,60,274,3,83,28,8,0,5,3,478,195,118,23,77,316,102,6,58,20,908,75,111,16,221,67,32,6,35,4,560,31,57,8,34,31,12,4,10,4,180,42,8,47,43,44,40,0,29,3,252,0,0,0,0,0,0,0,0,0,10,10,10,0,12,8,0,0,5,0,53,16,3,4,11,18,11,0,10,5,80,568,940,158,614,605,246,42,223,61,3447,36,62,17,21,13,3,10,11,3,174,23,43,16,11,14,9,3,16,0,144,204,156,449,49,42,33,146,121,22,1231,141,39,272,31,15,22,46,49,7,621,174,60,63,22,34,20,38,63,5,483,79,320,21,132,49,27,7,28,12,663,83,342,11,106,37,13,6,10,4,606,332,198,60,106,343,147,32,95,21,1332,142,152,25,305,79,40,11,64,14,828,38,84,15,40,30,23,9,20,3,264
10104,110,1164,72,418,160,68,3,59,17,2071,155,879,16,293,101,33,4,31,8,1519,397,270,53,216,925,303,12,126,31,2336,181,457,59,817,259,112,8,110,23,2016,52,136,42,41,71,46,3,25,8,422,96,25,233,203,139,107,14,101,12,932,0,0,0,4,3,4,0,0,0,11,22,41,3,17,23,15,3,3,6,134,21,35,14,65,45,46,5,32,33,293,1161,3206,598,2163,1851,777,63,551,149,10533,88,148,58,43,43,25,9,26,9,448,53,79,47,14,27,31,10,21,0,287,344,272,1119,104,89,93,339,340,34,2740,367,84,1055,55,43,52,91,205,39,1977,218,119,204,56,75,48,60,159,7,951,161,1492,107,540,166,70,16,83,22,2662,214,1186,39,334,117,44,13,50,20,2022,716,462,133,289,1025,414,74,207,51,3369,284,655,112,1080,308,146,28,158,37,2801,84,209,68,67,88,54,15,45,14,648
10105,91,531,50,208,81,27,7,20,3,1025,88,444,8,138,46,14,3,11,12,763,251,172,25,131,560,145,24,63,24,1399,118,224,18,510,143,54,9,50,15,1142,14,56,18,19,33,13,0,5,0,167,47,16,98,107,67,48,5,45,8,445,0,0,0,0,0,0,0,4,0,3,9,16,5,10,9,3,0,0,0,58,16,18,8,24,19,19,3,11,24,144,715,1570,283,1199,1032,359,68,254,102,5585,48,72,27,22,19,12,4,15,3,211,27,52,26,19,24,10,5,14,0,183,279,111,806,93,59,52,254,159,19,1836,179,42,418,22,18,12,77,87,21,880,217,38,96,31,45,27,31,85,7,589,117,677,59,270,85,31,15,34,7,1298,128,570,16,177,56,20,11,14,20,1006,455,287,61,192,629,228,82,121,29,2086,182,318,40,748,173,70,23,76,28,1662,28,92,30,24,37,22,10,17,5,253
10106,121,445,55,228,99,14,0,27,3,992,140,534,5,157,70,15,0,19,10,961,328,239,41,105,531,107,5,48,31,1429,181,317,23,378,168,44,0,55,22,1197,50,67,11,14,48,15,3,12,5,213,37,20,80,102,68,37,6,27,8,381,0,3,0,0,0,0,0,0,0,3,28,15,3,15,14,0,0,4,0,77,32,18,6,21,25,8,0,13,26,154,1080,1846,301,1071,1118,277,34,258,111,6084,110,137,19,35,28,11,0,7,3,352,78,133,29,11,25,11,4,10,5,307,290,159,693,42,71,42,194,115,21,1640,197,46,481,19,37,17,48,103,14,962,393,99,162,30,65,41,35,123,12,938,149,548,59,267,103,14,6,33,4,1187,183,655,21,173,78,15,8,26,15,1165,636,409,80,135,601,181,29,84,37,2192,309,471,42,503,221,57,12,78,36,1729,70,108,27,21,53,23,5,15,8,330
10201,301,3607,221,1021,422,162,21,89,41,5891,374,2400,37,675,302,62,10,33,27,3926,1420,1388,131,554,3000,689,72,232,74,7551,483,1540,93,1721,848,217,28,165,51,5144,238,637,95,166,277,127,6,59,24,1629,184,82,362,396,325,196,40,131,23,1722,0,8,0,4,6,6,0,0,0,25,40,94,29,44,70,24,3,4,5,314,47,69,27,93,132,52,7,35,83,543,3384,10490,1293,4813,5717,1655,244,864,349,28811,256,654,151,82,146,52,28,58,15,1436,332,847,168,49,154,77,46,75,25,1773,1092,1181,2786,222,370,249,556,534,108,7096,794,297,2440,116,140,81,174,380,54,4473,194,174,479,65,83,69,77,180,17,1334,435,4922,292,1309,473,190,57,138,52,7861,536,3254,85,774,328,80,44,65,38,5197,3057,2677,367,769,3583,1207,275,449,151,12530,880,2314,194,2430,1026,289,99,278,94,7608,407,1137,279,230,334,214,69,126,43,2840
10202,216,2350,220,1178,349,146,32,102,21,4613,301,1868,29,777,230,74,15,33,20,3344,902,865,130,528,2599,731,76,243,71,6141,339,989,73,2291,661,246,54,195,48,4897,101,257,68,124,155,117,16,33,7,876,188,66,432,437,356,241,41,182,23,1965,4,3,0,4,5,0,0,8,0,27,20,49,16,46,58,14,4,6,5,229,40,57,18,128,105,67,14,45,77,553,2276,6785,1205,5636,4710,1732,314,951,291,23900,118,253,120,72,72,27,23,43,10,738,166,352,135,61,89,51,59,57,5,972,759,636,3185,203,297,206,812,602,87,6783,609,127,2530,114,114,96,231,506,66,4392,121,89,398,61,66,64,83,187,15,1077,316,2971,267,1413,387,170,68,136,36,5759,419,2537,64,864,256,85,54,65,25,4371,1850,1520,338,687,2989,1102,347,466,117,9416,513,1270,169,3092,752,301,136,286,67,6587,171,421,132,188,185,186,69,97,18,1455
10301,98,817,70,341,119,42,3,34,5,1524,134,767,10,231,83,16,3,22,8,1271,292,318,42,149,791,164,19,91,35,1893,119,371,34,575,174,83,14,49,20,1441,49,117,10,47,70,27,3,19,0,340,47,10,167,136,73,37,7,44,5,530,0,0,0,7,3,0,0,0,0,21,12,15,0,12,19,4,0,5,3,78,13,12,9,36,33,19,5,19,23,172,854,2586,419,1581,1448,437,62,342,106,7845,49,113,35,23,27,7,15,15,6,293,49,94,55,16,27,20,17,13,8,309,348,265,1184,92,87,65,312,213,40,2605,193,48,503,44,32,18,76,130,23,1068,146,77,107,21,48,39,35,78,7,560,134,1020,80,420,127,51,18,55,6,1912,191,1007,14,265,88,26,15,37,11,1663,585,529,114,240,908,275,93,157,42,2945,188,546,58,807,203,110,42,82,30,2063,74,177,30,62,82,44,11,36,3,519
10302,121,593,47,316,93,36,18,40,11,1273,213,839,0,250,78,11,12,23,7,1428,327,211,42,139,747,166,33,84,19,1764,118,232,19,531,137,63,10,60,7,1174,31,51,9,27,35,16,0,5,0,163,89,12,136,138,78,44,7,60,0,563,0,0,0,0,0,0,0,0,0,9,18,8,3,16,4,4,7,9,4,70,28,27,17,48,45,29,3,35,41,272,1083,2087,341,1500,1291,401,106,372,90,7270,61,68,29,13,18,6,4,8,0,201,29,27,34,11,13,13,10,9,0,137,512,212,1137,33,67,52,437,262,24,2738,209,36,331,15,17,19,95,109,7,834,680,119,128,26,54,50,92,143,6,1299,155,717,57,370,104,42,24,50,14,1537,268,1034,18,262,82,15,24,28,10,1746,576,315,96,166,809,247,89,129,25,2456,159,306,34,648,156,77,24,83,11,1496,46,62,20,31,37,12,9,9,0,227
10303,73,558,50,285,74,34,11,42,17,1156,107,601,9,187,69,22,7,22,9,1032,253,173,46,126,664,151,34,89,11,1550,83,233,23,465,152,59,15,70,9,1106,47,63,17,35,40,26,3,8,0,234,70,14,130,132,91,50,15,71,6,578,0,0,0,0,8,0,0,0,0,6,13,19,4,14,13,4,0,0,0,66,14,15,18,42,43,30,4,20,29,214,752,1792,375,1333,1233,415,114,381,93,6497,35,103,27,27,32,4,3,15,4,252,25,34,30,7,20,8,7,13,6,151,399,220,1521,57,63,65,708,223,38,3289,149,34,428,10,23,8,163,113,11,947,236,66,87,28,38,33,57,109,3,656,105,667,70,329,89,44,28,44,22,1395,154,728,26,206,81,27,27,25,12,1283,439,279,113,167,720,225,83,125,15,2165,138,318,41,617,176,68,47,91,14,1506,64,91,30,43,44,34,8,19,6,340
