SA4_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
101,7833,289,23,8145,35,4,0,0,38,3,0,3,44,7,0,47,66,8,3,0,77,7,4,10,84,11,0,97,102,15,3,0,114,11,4,12,130,12,0,138,6731,863,176,117,7887,64,14,70,7960,302,23,8285,958,193,54,30,1231,31,22,49,1278,287,5,1572,12,0,0,13,22,0,0,0,22,4,29,59,7698,1057,228,160,9147,94,29,123,9262,592,57,9914,2244,247,47,14,2550,14,0,16,2568,133,9,2711,1833,264,59,22,2176,14,6,20,2194,87,3,2285,106,7,23,4,143,0,0,0,145,13,0,158,19,0,0,44,61,0,0,0,61,6,0,71,4205,525,124,76,4931,26,8,32,4968,239,13,5218,25,0,0,0,29,5,0,10,33,0,0,32,39,5,0,0,42,5,0,4,49,3,0,55,63,0,0,0,72,4,0,6,81,3,0,85,4271,524,127,76,5003,35,8,41,5043,241,13,5304,458,112,21,4
102,10866,510,28,11402,41,23,0,4,68,15,0,18,86,8,0,96,127,32,4,5,167,4,7,9,175,11,0,190,164,54,4,5,231,14,4,24,254,25,0,279,8379,1828,628,153,10984,103,31,141,11123,539,28,11685,1899,438,157,44,2537,57,14,70,2609,405,11,3023,16,3,0,21,38,0,0,0,38,4,47,87,10291,2265,786,217,13555,162,49,212,13766,944,82,14793,2034,385,114,7,2543,30,9,40,2584,193,0,2776,2512,579,159,18,3267,31,11,37,3305,155,5,3464,396,104,91,3,593,4,0,8,603,32,0,631,23,14,5,47,86,4,0,0,94,8,9,104,4972,1075,362,85,6496,71,22,89,6578,382,16,6979,33,10,0,3,49,5,5,13,57,8,0,63,44,22,7,0,74,6,0,3,77,9,0,83,77,31,6,0,122,12,8,15,138,14,0,149,5048,1109,373,84,6610,80,26,103,6719,395,16,7124,933,220,73,28
103,7359,206,16,7577,28,5,5,0,33,13,0,10,48,4,0,46,73,19,5,0,95,8,3,11,106,3,0,108,97,22,9,0,129,17,5,25,154,4,0,157,6567,632,147,86,7430,59,22,83,7514,213,16,7735,1070,201,38,50,1363,23,6,32,1393,272,8,1672,10,0,0,3,12,0,0,0,18,0,29,45,7647,831,186,137,8805,85,31,119,8920,479,52,9452,1917,169,44,12,2135,14,4,22,2158,65,3,2229,1903,219,51,19,2189,17,7,23,2209,91,3,2310,113,16,22,0,155,7,0,7,159,9,0,171,19,6,0,30,58,0,0,0,56,4,4,62,3953,407,111,60,4537,38,13,50,4589,166,13,4767,19,7,0,0,23,5,0,5,29,3,0,33,30,7,0,0,36,3,4,8,46,4,0,45,47,10,0,0,59,4,4,11,71,7,0,76,4002,420,119,60,4602,44,19,65,4661,172,13,4849,524,90,14,31
104,4009,222,18,4251,25,3,3,6,36,3,0,3,37,3,0,43,47,7,0,0,55,6,3,12,66,9,0,75,74,10,3,6,90,15,3,18,108,11,0,120,3249,645,97,59,4058,31,26,62,4115,233,18,4369,574,172,31,27,797,41,15,58,854,254,4,1115,12,4,0,8,13,0,0,0,13,0,26,39,3829,819,132,97,4867,73,44,116,4984,490,46,5527,932,175,25,14,1139,11,3,17,1157,77,5,1239,1046,270,27,6,1344,11,11,16,1362,104,0,1466,37,13,9,0,55,0,0,0,55,0,0,61,12,5,0,11,29,0,0,0,28,0,0,33,2029,467,54,33,2578,24,10,33,2611,184,4,2800,17,5,0,0,22,8,0,8,29,6,0,37,13,4,0,0,22,3,0,8,27,4,0,30,33,6,0,0,41,11,0,10,56,7,0,67,2057,470,54,32,2620,37,13,48,2663,197,4,2861,283,102,16,15
105,3340,114,8,3462,24,6,4,0,29,5,0,0,29,0,0,33,37,7,0,0,39,3,0,7,47,10,0,54,58,5,7,0,69,5,0,12,79,11,0,91,2934,308,83,51,3376,29,10,40,3418,125,8,3555,511,81,12,24,624,30,7,37,666,172,4,835,5,0,0,12,15,0,0,0,15,0,15,36,3449,385,95,81,4013,61,20,80,4095,302,24,4417,984,73,22,0,1080,12,3,13,1091,42,0,1138,758,92,15,14,871,6,0,10,882,38,0,922,27,9,17,0,50,0,0,0,50,0,0,54,12,0,0,18,30,0,0,0,25,0,3,29,1778,172,47,28,2029,16,6,25,2052,82,6,2137,4,0,0,0,12,3,0,3,12,0,0,12,19,0,0,0,20,0,5,3,24,6,0,31,21,6,0,0,32,0,5,11,39,6,0,38,1799,177,53,28,2060,19,6,29,2085,89,6,2178,227,39,6,21
106,9591,381,35,10011,57,4,11,0,67,10,0,15,78,7,0,88,150,12,3,4,171,3,5,6,179,13,0,190,209,17,9,4,236,15,3,18,255,19,0,279,8286,1023,299,112,9726,107,19,126,9854,401,40,10292,1877,280,92,61,2307,74,10,83,2398,354,10,2758,15,3,0,9,28,0,0,0,28,4,45,73,10176,1308,395,190,12059,179,31,210,12275,755,89,13119,2137,231,76,23,2469,31,5,35,2503,107,9,2622,2607,324,77,26,3039,27,13,32,3078,141,4,3223,158,38,40,10,243,0,0,0,244,19,0,256,28,6,0,38,72,0,0,0,74,5,5,82,4928,599,195,97,5819,64,12,73,5892,273,21,6187,34,6,4,0,49,10,0,12,62,6,0,67,70,4,3,5,83,0,0,0,88,13,0,94,109,5,6,7,134,10,0,14,147,11,0,158,5036,608,199,106,5949,73,14,90,6035,289,22,6342,867,136,60,25
107,10396,394,35,10828,54,0,8,0,62,16,0,16,73,11,0,81,108,40,10,3,157,6,11,17,171,10,0,176,156,36,15,3,214,23,11,29,241,20,0,257,8377,1475,538,109,10500,113,22,138,10640,412,36,11086,1634,405,158,45,2248,68,24,88,2337,514,3,2854,8,0,0,18,26,0,0,0,26,0,38,68,10019,1885,698,179,12771,180,45,232,13003,924,79,14013,2139,343,119,7,2617,28,4,32,2647,126,6,2779,2387,472,138,26,3023,22,6,31,3053,132,5,3189,341,75,71,3,487,3,0,3,493,18,0,513,19,9,0,26,54,0,0,0,52,6,11,63,4890,901,324,65,6174,54,14,65,6238,287,16,6548,25,4,0,0,29,5,0,5,35,7,0,41,67,12,3,0,91,4,0,3,93,4,0,99,91,20,3,0,116,9,0,11,131,13,0,138,4987,916,331,62,6292,66,9,73,6369,298,16,6684,843,207,66,26
108,5512,332,18,5855,25,8,0,0,33,16,0,16,54,6,0,56,78,15,6,0,94,5,0,9,102,21,0,121,100,19,6,0,126,24,0,29,157,23,0,178,4433,913,137,80,5571,77,16,91,5663,352,18,6033,741,257,52,38,1085,46,14,59,1147,349,3,1495,6,3,0,11,23,0,0,0,23,0,46,66,5179,1181,192,125,6675,124,31,151,6831,698,70,7603,1358,260,44,10,1671,19,0,18,1692,107,0,1798,1503,331,54,15,1904,32,13,38,1941,122,7,2068,71,25,19,0,116,3,0,0,118,6,0,125,24,8,0,36,62,0,0,0,62,10,6,73,2955,621,121,57,3754,45,17,58,3816,242,15,4068,26,0,0,0,30,3,0,3,32,8,0,41,28,11,0,3,39,4,0,10,46,9,0,52,55,6,0,3,59,12,0,15,78,12,0,91,3011,627,121,57,3820,56,15,75,3891,251,15,4159,386,137,20,22
109,4076,122,5,4202,12,0,0,0,15,3,0,3,21,3,0,29,36,3,0,0,41,0,0,0,45,4,0,52,46,6,0,4,52,3,0,4,64,12,0,75,3614,368,60,43,4092,41,7,55,4142,130,5,4280,558,110,29,24,720,16,4,25,741,118,5,863,3,0,0,5,10,0,0,0,10,0,16,23,4176,475,88,74,4818,63,15,78,4899,246,24,5169,965,80,19,0,1064,14,4,19,1077,38,0,1114,1126,117,22,11,1280,5,5,12,1296,40,3,1337,42,5,8,3,53,0,0,0,55,6,0,63,14,0,0,11,23,0,0,0,23,0,4,23,2146,205,49,25,2417,17,9,30,2445,89,4,2537,0,0,0,0,7,4,0,4,13,7,0,14,20,7,0,0,32,0,0,0,28,10,0,36,29,5,0,0,31,5,0,5,37,8,0,49,2170,211,49,23,2448,22,9,33,2487,97,4,2590,265,55,9,12
110,5759,208,16,5986,51,10,0,0,64,10,5,11,73,5,0,82,65,13,0,4,80,5,5,10,86,3,0,86,116,23,0,5,144,11,8,15,162,5,0,173,5100,539,113,92,5845,56,21,83,5927,215,16,6156,848,145,20,33,1041,37,26,60,1103,295,0,1400,3,4,0,7,8,0,0,0,14,3,34,52,5952,684,135,124,6897,91,52,139,7036,516,52,7607,1611,149,36,12,1802,7,10,16,1817,77,0,1898,1439,154,19,18,1632,14,3,14,1649,82,0,1726,52,18,4,4,83,3,0,0,84,8,0,88,24,6,6,25,56,0,0,0,56,0,8,59,3133,327,55,56,3566,22,11,35,3600,165,7,3771,25,4,0,0,33,7,3,7,40,4,0,49,33,7,0,0,44,0,0,0,49,0,0,46,58,12,3,5,77,7,4,10,90,4,0,98,3189,340,62,56,3644,30,19,45,3693,173,7,3869,392,76,15,10
