SA4_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,23656,18814,8331,2616,124206
102,29219,23537,13011,5094,174231
103,17330,13467,6635,2120,102134
104,13870,12106,5611,1958,73988
105,8844,6209,3184,1135,53464
106,22903,17601,8395,2456,138529
107,25832,18944,9221,3575,162354
108,22486,21327,10950,3844,114657
109,10154,8102,4008,1315,58424
110,14877,11641,6005,1911,87435
111,31778,25074,12888,5076,204837
112,25389,21247,9523,3823,135621
113,11936,8726,4180,1622,74715
114,16005,15342,8164,2612,85837
115,23296,16050,7496,2745,145953
116,22547,13692,5240,1696,193690
117,21202,12776,5344,1666,228058
118,21197,15001,8347,3708,167785
119,39019,23368,11898,6037,298456
120,24685,15926,7102,2963,186966
121,40317,28935,16733,6726,267149
122,25295,16861,10040,3919,153496
123,18811,12602,5151,1630,136552
124,24511,17628,7737,2572,162814
125,27945,16985,8224,3294,253461
126,17411,11840,5864,2789,124166
127,24409,14157,6251,2359,188214
128,20568,14660,7467,3190,127031
197,0,0,0,0,0
199,1165,680,173,28,7237
