SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,38,63,43,30,55,35,17,284,17,17,18,10,22,11,3,99,28,22,13,8,16,15,10,110,63,93,54,34,57,44,30,360,0,0,0,0,0,0,0,0,152,196,128,87,139,102,54,855,0,0,8,10,8,12,0,38,3,4,3,0,0,0,0,7,0,0,0,0,0,4,0,9,14,10,6,6,10,10,0,49,0,0,0,0,0,0,0,0,20,16,18,17,16,14,3,110,165,207,141,102,158,122,59,961
SAL10003,39,50,13,10,26,12,9,155,39,30,18,11,3,9,0,122,44,28,12,6,11,8,8,115,123,90,85,37,69,33,14,454,3,3,5,0,0,0,0,5,245,201,131,76,111,63,25,848,4,11,6,0,5,6,4,38,3,12,3,5,15,0,0,35,5,9,13,0,4,0,5,25,9,20,16,14,16,4,4,78,0,0,0,0,0,0,0,0,23,46,30,16,36,12,12,178,268,244,164,90,153,77,37,1029
SAL10004,0,0,0,4,0,0,0,7,8,10,3,0,0,0,0,27,0,0,11,3,9,0,0,13,42,52,40,24,23,4,3,189,0,0,0,0,0,0,0,0,58,56,51,31,35,5,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,12,7,10,15,0,0,49,0,0,0,0,0,0,0,0,8,15,13,8,15,0,0,55,59,73,61,41,53,8,4,301
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,7,5,3,0,0,0,12,0,5,0,0,0,0,0,9,4,0,0,0,0,0,0,7,100,94,48,37,45,6,5,344,0,0,0,0,0,0,0,0,114,106,52,44,49,12,5,373,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,7,43,53,32,23,25,3,0,187,0,0,3,0,0,0,0,4,45,55,36,24,27,8,0,206,157,161,91,66,75,17,4,574
SAL10007,3,0,4,0,5,0,0,9,6,0,5,4,3,0,0,12,6,3,0,0,0,0,0,8,76,91,57,36,51,3,0,315,0,0,0,0,0,0,0,6,88,96,62,41,54,3,0,350,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,15,21,15,12,10,0,0,70,0,0,0,0,0,0,0,0,16,16,18,14,10,0,0,85,106,115,82,56,66,3,0,434
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,9,3,0,0,0,25,0,0,0,0,0,0,0,0,4,10,6,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,7,5,9,0,0,37
SAL10009,44,58,27,10,17,10,3,176,24,29,12,6,12,0,0,86,25,25,14,8,8,0,0,75,346,309,235,125,131,30,24,1200,0,0,0,0,0,0,0,0,434,417,286,152,168,43,27,1535,3,3,0,0,0,0,0,10,7,7,0,0,3,0,0,20,0,7,3,5,0,0,0,21,64,84,59,27,48,12,9,301,0,0,0,0,0,0,0,6,77,108,64,34,54,12,9,355,509,529,354,189,217,56,34,1891
SAL10010,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,7,0,4,0,0,0,0,11,118,130,75,55,36,12,8,433,0,0,0,0,0,0,0,0,128,131,75,58,38,12,7,452,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,4,0,3,0,0,11,39,46,32,16,18,0,0,149,0,0,0,0,0,0,0,5,42,51,41,19,19,0,0,165,170,184,111,76,57,13,10,620
SAL10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,11,10,4,5,0,51,0,0,0,0,0,0,0,0,11,22,10,9,8,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,0,10,0,0,0,0,0,0,0,0,3,5,3,0,5,0,0,14,13,22,13,9,8,5,0,73
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
SAL10014,130,178,91,53,49,39,25,563,22,15,4,3,13,0,0,58,11,13,11,13,4,5,0,54,61,58,42,27,39,19,5,248,0,0,0,0,0,0,0,0,224,262,141,96,106,64,31,925,3,0,0,12,3,5,0,31,5,4,4,0,3,0,0,26,5,0,0,0,0,0,0,8,3,18,8,11,8,6,0,52,0,0,0,0,0,0,0,0,22,28,16,23,20,8,9,116,242,287,159,122,127,72,36,1038
SAL10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,8,8,0,0,33,0,0,0,0,0,0,0,0,6,11,9,8,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,11,9,8,11,0,0,43
SAL10016,17,17,14,4,8,8,0,66,27,28,12,11,10,8,0,97,30,31,11,9,9,7,0,90,211,192,148,74,104,47,20,797,0,0,0,0,0,0,0,0,284,264,191,93,133,65,19,1046,3,4,4,0,0,0,0,19,5,11,9,0,5,3,0,31,4,5,5,3,8,0,0,25,30,37,27,27,31,9,3,166,0,0,0,0,0,0,0,0,46,55,45,30,42,14,11,242,325,322,231,122,175,84,32,1291
SAL10017,17,28,16,8,7,9,5,88,24,40,28,22,25,12,0,143,37,42,24,5,19,6,0,132,251,289,174,98,125,52,23,1007,0,0,0,0,0,0,0,0,331,396,242,132,171,82,28,1374,0,0,0,0,0,0,4,3,0,8,7,4,5,0,0,23,0,3,8,0,0,3,0,13,14,29,20,17,24,7,4,109,0,0,0,0,0,0,0,0,21,39,33,17,34,9,8,150,345,433,273,148,209,85,31,1525
SAL10018,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,28,32,26,12,22,5,0,120,0,0,0,0,0,0,0,0,29,31,29,22,25,9,0,141,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,4,4,6,10,0,0,21,29,40,35,25,32,9,0,166
