SAL_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,4,18,0,5,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,6,21,151,6,10,47,12,0,0,0,261,0,0,0,0,0,0,0,0,0,0,6,12,5,9,25,3,0,0,4,53,15,9,6,15,27,5,0,0,3,80,11,12,6,22,33,12,0,0,0,108,0,4,0,0,15,5,0,0,0,22,0,0,0,9,19,6,0,0,0,35,3,3,0,0,0,0,0,0,0,15,0,3,0,0,4,5,0,3,0,19,81,245,23,73,174,46,6,9,13,667,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,14,18,56,0,0,3,0,0,0,0,87,3,5,0,0,0,0,0,0,0,7,5,22,0,5,3,0,0,0,0,33,0,3,0,0,0,0,0,0,0,6,77,246,25,19,68,27,3,0,9,465,0,0,0,0,0,0,0,0,0,0
SAL10003,5,39,3,4,3,0,0,0,3,61,8,11,0,0,0,0,0,0,0,12,105,244,8,19,70,22,0,0,6,472,0,0,0,0,0,0,0,0,0,0,19,18,0,4,26,6,0,0,0,75,19,21,4,17,23,12,0,0,0,95,16,14,7,10,30,10,0,0,0,86,3,3,0,0,3,5,0,0,0,16,7,5,0,0,27,6,0,0,0,42,0,3,0,0,5,0,0,0,0,20,6,4,0,0,4,0,0,4,5,20,226,492,37,64,218,57,0,15,19,1123,0,9,0,0,0,0,0,0,0,9,3,45,0,0,0,0,0,0,0,54,105,184,11,5,29,8,0,4,7,343,9,5,0,0,0,0,0,0,0,14,18,55,4,7,5,0,0,0,3,85,3,11,0,0,4,0,0,0,0,13,218,469,20,26,100,45,0,3,16,911,0,0,0,0,0,0,0,0,0,4
SAL10004,4,5,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,0,0,6,13,37,3,0,7,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,11,3,7,0,13,10,4,0,0,0,24,7,4,8,12,22,5,0,8,0,63,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,80,11,26,50,7,0,12,0,228,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,9,8,25,0,0,7,0,0,0,0,33,0,3,0,0,0,0,0,0,0,3,4,10,0,3,0,0,0,0,0,17,6,5,0,0,0,0,0,0,0,7,26,69,4,8,11,0,0,6,0,122,0,0,0,0,0,0,0,0,0,0
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,3,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,29,0,8,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,3,3,0,8,4,0,0,3,0,21,7,3,4,13,9,4,0,5,0,55,0,11,11,64,31,16,9,18,0,163,0,0,0,5,3,4,0,6,0,20,0,0,0,4,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,18,61,15,115,56,28,8,27,4,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,36,3,13,3,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0
SAL10007,0,3,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,32,0,3,4,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,20,0,3,3,7,9,0,0,5,0,25,5,9,23,22,26,9,9,10,0,119,0,0,3,0,4,0,0,0,0,8,5,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,25,53,47,17,14,16,5,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,33,0,3,4,0,4,5,0,63,0,0,0,0,0,0,0,0,0,0
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,3,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
SAL10009,6,14,0,14,3,0,0,0,0,31,0,10,0,0,0,0,0,0,0,10,33,163,5,25,21,6,0,3,0,259,0,0,0,0,0,0,0,0,0,0,5,20,5,17,8,3,0,0,0,58,15,27,3,73,38,13,4,3,4,173,34,35,49,152,112,44,19,16,5,445,0,0,5,9,9,15,0,4,0,42,0,0,4,10,17,3,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,8,0,6,3,0,0,3,5,30,107,299,61,306,227,83,26,30,12,1146,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,17,41,6,5,4,6,0,8,0,72,0,3,0,0,0,0,0,0,0,4,6,17,4,14,8,0,0,0,0,41,4,12,0,0,0,0,0,0,0,11,55,252,12,33,34,10,0,4,0,397,0,0,0,5,0,0,0,0,0,5
SAL10010,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,27,0,5,9,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,10,12,0,16,10,4,0,0,0,52,13,10,22,47,45,13,0,14,0,166,0,0,0,0,3,4,0,3,0,15,0,0,0,5,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,28,63,25,82,78,26,4,26,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,7,40,0,10,10,3,3,5,0,69,0,0,0,0,0,0,0,0,0,0
