SED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED10001,15,90,0,102,2227,221,2547,111,66,5,178,1953,194,2330,1405,144,34,1580,2913,399,4898,2488,93,100,2683,1667,382,4723,1427,161,39,1627,2927,388,4946,299,461,7,770,4348,368,5481,42,502,0,539,4218,346,5108,3,136,0,145,2408,229,2780,0,3,0,3,754,100,858,5774,1661,191,7629,23408,2627,33662,26,214,3,244,2045,196,2484,235,159,12,412,1738,149,2295,2107,215,108,2429,2246,319,4997,3068,180,187,3427,1334,329,5088,1375,454,66,1899,3064,290,5243,124,1133,11,1266,4150,329,5748,30,828,9,864,4084,317,5262,7,145,0,161,2698,317,3171,4,7,0,15,1179,157,1350,6971,3335,403,10701,22534,2411,35646,39,305,3,350,4267,415,5030,344,229,21,587,3688,344,4622,3509,357,146,4015,5159,721,9893,5549,268,290,6106,2997,712,9814,2801,614,110,3526,5989,676,10195,422,1592,16,2032,8501,700,11228,68,1330,10,1401,8299,665,10365,14,284,0,297,5103,543,5955,4,14,0,17
SED10002,16,57,0,68,2453,245,2769,51,95,0,152,4908,667,5719,1897,152,13,2059,11143,1733,14938,3460,81,23,3562,5214,1239,10011,1680,49,20,1750,4033,748,6531,434,173,9,618,4572,492,5682,93,199,0,293,3056,274,3623,13,38,0,51,1457,158,1666,0,5,0,8,443,108,554,7646,842,64,8555,37275,5655,51488,7,129,0,139,2265,197,2604,183,148,0,329,4055,434,4824,3225,200,32,3456,8176,1057,12685,4078,106,36,4222,3367,689,8277,1546,167,30,1743,3850,434,6021,242,449,22,712,4627,384,5726,59,352,6,418,3010,226,3655,19,60,0,77,1507,122,1710,0,5,0,8,630,86,725,9360,1612,128,11102,31491,3632,46221,24,186,0,201,4719,444,5369,237,245,0,484,8961,1099,10542,5119,348,45,5510,19317,2790,27618,7544,183,65,7782,8580,1927,18293,3228,218,46,3493,7884,1175,12551,676,624,30,1332,9197,872,11404,156,546,10,708,6062,500,7278,31,96,0,131,2961,283,3370,4,14,0,15
SED10003,7,78,0,79,1841,215,2137,32,47,0,78,1409,143,1627,808,91,24,922,2867,444,4232,2369,97,84,2552,1948,449,4952,1852,117,66,2036,2746,393,5174,444,344,15,808,4344,405,5555,91,546,0,640,4486,383,5507,17,96,0,114,2322,198,2631,5,10,0,11,795,101,900,5619,1424,191,7241,22758,2722,32722,13,127,0,144,1675,164,1984,72,96,7,177,1390,174,1737,1307,206,53,1563,2879,460,4902,3062,195,164,3423,1598,428,5444,1967,294,89,2350,3145,439,5925,178,854,16,1055,4688,413,6151,39,971,5,1014,4347,337,5701,13,153,0,168,2569,236,2970,0,8,0,8,1283,231,1520,6647,2899,337,9890,23571,2873,36335,20,200,0,220,3520,376,4119,105,141,7,256,2797,317,3366,2116,296,77,2484,5746,905,9135,5425,298,248,5967,3544,880,10398,3818,411,160,4386,5891,828,11100,624,1200,35,1860,9030,812,11705,130,1517,6,1657,8835,722,11211,31,247,0,275,4892,427,5601,5,15,0,14
SED10004,0,38,0,38,1539,85,1664,9,29,0,36,2318,190,2546,603,60,3,664,6282,460,7403,2999,52,15,3071,3582,383,7035,2384,37,27,2442,3047,300,5795,443,100,3,547,3544,250,4345,58,232,6,294,2726,167,3192,6,66,0,79,1287,112,1475,0,0,0,0,357,68,426,6500,627,46,7176,24685,2018,33882,4,58,0,56,1468,83,1612,8,58,5,71,2750,182,3002,985,114,14,1108,6431,481,8018,3648,114,41,3800,3129,352,7285,2469,101,30,2609,3291,258,6156,243,249,5,494,4004,209,4711,19,479,3,505,3090,160,3758,12,90,0,100,1551,113,1760,0,0,0,3,544,105,650,7398,1267,92,8753,26254,1944,36952,4,97,0,95,3011,172,3276,19,89,5,106,5066,372,5549,1586,177,16,1777,12712,939,15425,6650,173,53,6872,6714,737,14321,4857,137,59,5050,6337,562,11947,682,350,4,1039,7550,461,9054,78,717,4,801,5820,332,6946,20,158,0,173,2835,224,3237,0,3,0,9
SED10005,11,57,0,71,2848,306,3227,60,68,0,135,2941,410,3483,1433,98,14,1550,4899,876,7316,2605,50,8,2667,2765,774,6203,1566,50,13,1621,3199,556,5376,448,118,8,582,4207,398,5187,57,149,3,210,3011,266,3498,13,46,0,56,1549,195,1802,0,3,0,0,629,110,746,6196,645,46,6884,26050,3907,36840,15,148,0,157,2548,262,2973,238,101,9,346,2664,290,3299,2779,141,22,2941,3684,699,7332,3395,87,29,3509,2070,617,6198,1482,135,26,1643,3510,460,5611,194,400,13,610,4175,372,5156,34,286,6,324,3036,296,3658,11,38,0,48,1684,224,1958,6,4,0,4,916,248,1173,8148,1337,106,9595,24294,3465,37363,31,200,0,230,5399,574,6200,300,176,9,485,5596,703,6784,4215,244,31,4492,8579,1575,14649,5994,135,40,6172,4832,1393,12398,3046,183,40,3269,6705,1015,10993,645,518,25,1189,8386,766,10347,92,435,11,538,6053,564,7154,19,85,0,106,3238,417,3764,3,7,0,14
SED10006,16,72,0,87,1638,360,2089,94,50,3,148,1453,274,1872,1268,87,34,1390,2223,586,4201,1679,92,40,1811,1432,533,3778,951,142,24,1121,2681,594,4387,220,363,5,584,4156,674,5413,38,330,0,368,3746,560,4674,5,70,0,76,2060,362,2498,0,3,0,3,637,132,772,4270,1213,110,5593,20023,4072,29688,33,136,0,167,1481,324,1980,230,106,9,348,1119,256,1715,1947,151,117,2217,1823,577,4616,2016,136,92,2249,1172,566,3984,883,394,30,1307,2559,585,4452,86,868,8,961,3740,607,5308,29,531,5,567,3168,492,4223,8,107,0,115,2165,416,2698,4,5,0,5,1009,250,1264,5236,2436,266,7940,18241,4070,30242,43,209,0,257,3122,685,4069,328,154,15,494,2567,522,3586,3212,243,154,3602,4048,1163,8820,3699,231,132,4062,2607,1093,7759,1837,536,57,2427,5237,1181,8845,310,1223,12,1547,7894,1277,10715,58,865,10,938,6913,1052,8899,17,178,0,191,4231,781,5201,4,6,0,13
SED10007,7,109,0,114,2232,233,2582,109,70,4,180,1917,339,2440,1383,118,49,1544,2551,772,4877,2195,98,62,2349,1529,671,4553,1317,187,47,1553,2935,495,4983,262,420,8,693,4343,425,5454,58,459,0,516,3987,371,4870,7,87,0,93,2327,238,2657,3,3,0,8,651,51,715,5333,1548,171,7057,22472,3595,33124,29,194,0,221,1925,154,2303,211,135,17,362,1615,143,2121,2056,189,141,2384,1950,285,4617,2633,136,144,2911,1171,277,4356,1287,427,49,1762,3074,326,5163,126,1019,8,1156,4047,281,5486,34,689,6,727,3757,308,4787,7,114,0,124,2428,234,2784,0,10,0,10,1117,105,1230,6385,2909,356,9658,21087,2115,32851,38,299,3,337,4159,387,4888,323,205,20,547,3528,486,4557,3440,306,188,3926,4505,1060,9491,4826,234,206,5261,2695,955,8907,2604,615,95,3316,6010,816,10149,390,1439,17,1841,8394,708,10944,91,1146,6,1241,7740,675,9654,15,199,0,216,4755,471,5444,3,12,0,19
SED10008,7,69,4,83,2671,58,2814,13,46,0,57,2566,82,2711,821,73,10,899,3137,159,4195,4443,41,32,4515,1942,211,6667,2722,38,19,2775,2920,135,5835,423,224,6,653,4279,112,5040,114,507,3,624,3467,104,4191,14,128,0,146,2180,90,2417,0,3,0,5,551,73,627,8559,1131,68,9758,23713,1030,34506,5,84,0,95,2414,49,2560,23,86,0,110,2275,50,2438,1446,91,18,1558,2678,157,4392,5471,78,41,5590,1520,187,7289,2539,103,19,2662,3377,133,6168,205,641,9,853,4391,125,5379,117,837,13,969,3615,113,4700,11,129,0,144,2222,133,2502,3,3,0,10,756,156,925,9825,2051,108,11983,23252,1104,36350,18,153,3,172,5087,108,5369,40,133,0,173,4847,134,5151,2265,165,30,2454,5814,322,8587,9918,119,75,10105,3458,399,13963,5254,146,36,5436,6295,270,12002,627,863,19,1507,8672,239,10418,231,1342,15,1592,7075,222,8888,30,259,0,288,4401,228,4919,7,9,0,17
SED10009,7,67,0,71,1634,237,1947,83,56,4,137,1113,131,1384,855,82,25,964,1795,261,3023,1597,85,71,1761,1271,244,3279,1148,124,50,1318,2676,352,4348,311,416,4,740,5043,453,6229,82,533,5,620,5991,487,7095,7,100,0,111,3091,285,3490,3,12,0,13,904,137,1047,4086,1482,165,5738,23521,2574,31831,11,118,3,134,1388,189,1712,169,92,7,268,872,111,1243,1338,127,83,1554,1383,241,3181,2044,116,162,2319,1024,276,3614,1183,326,45,1556,2875,330,4763,154,941,13,1104,5508,425,7035,41,767,12,814,5712,424,6951,5,126,0,134,3165,316,3615,0,9,0,10,1291,230,1532,4945,2628,327,7897,23209,2543,33650,20,182,3,205,3026,425,3656,250,142,10,407,1982,244,2624,2195,214,110,2517,3180,504,6201,3637,201,236,4081,2295,523,6895,2333,455,90,2875,5548,687,9107,468,1360,15,1842,10546,879,13267,119,1306,16,1431,11701,905,14047,18,227,4,248,6259,598,7104,3,19,0,24
SED10010,14,77,0,91,2397,197,2674,74,74,9,152,3220,297,3666,1493,132,16,1639,5449,704,7798,3589,70,40,3700,3182,492,7368,1478,82,11,1571,3416,345,5336,310,176,3,492,3979,285,4757,65,203,0,267,2985,186,3442,10,45,0,55,1452,123,1623,0,3,0,4,452,58,514,7027,858,78,7971,26534,2678,37176,15,142,0,159,2057,194,2408,185,178,10,367,2572,245,3177,2695,177,28,2897,4130,575,7599,4147,95,58,4301,2283,505,7097,1357,209,25,1589,3406,324,5316,170,506,15,687,3918,234,4836,47,369,5,422,3188,193,3812,7,52,0,60,1721,144,1926,0,3,0,6,807,73,885,8624,1722,145,10490,24078,2486,37048,29,221,0,245,4454,381,5084,254,244,12,518,5791,538,6843,4187,308,50,4542,9575,1277,15398,7739,164,93,7994,5465,1001,14467,2830,287,35,3159,6824,665,10650,480,678,19,1173,7900,514,9587,114,571,9,689,6179,386,7253,17,97,0,114,3171,264,3547,0,6,0,11
