SED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,1475,1777,3865,3943,4130,3571,1030,115,10,19913,869,376,834,843,848,1865,3907,2751,1193,13485,139,138,299,302,266,315,325,305,143,2243,2484,2295,4997,5088,5243,5748,5262,3171,1350,35646,688,1963,4901,4882,5249,4244,971,119,7,23032,1727,1266,2202,2354,2220,2401,1186,182,10,13552,134,132,417,283,284,362,147,19,6,1788,59,65,141,88,97,84,45,33,4,625,2606,3427,7661,7607,7848,7089,2345,358,40,38988,103,143,190,169,173,156,19,0,0,951,209,111,112,103,77,121,42,4,0,769,303,252,304,271,245,273,66,0,0,1726,2911,3681,7964,7880,8093,7364,2412,356,42,40714,1820,639,1279,1315,1493,3208,7310,5077,1923,24058,296,299,642,621,612,657,649,520,245,4535,5030,4622,9893,9814,10195,11228,10365,5955,2205,69309
SED10002,650,3063,8074,4749,3232,2319,472,24,5,22587,1793,1397,3701,2937,2400,3041,2946,1559,646,20414,164,363,908,595,388,362,232,121,79,3220,2604,4824,12685,8277,6021,5726,3655,1710,725,46221,122,1832,9221,6292,3775,2635,524,25,3,24426,642,2743,4727,2680,1642,1345,461,33,3,14275,217,767,1991,1275,914,768,193,10,0,6135,37,260,632,296,195,120,28,4,0,1565,1021,5597,16566,10541,6527,4875,1204,68,8,46402,62,319,898,531,399,317,36,0,0,2563,187,470,473,228,162,167,29,0,0,1717,251,792,1371,760,558,481,70,0,0,4280,1269,6388,17939,11297,7089,5353,1271,72,8,50686,3748,3316,7575,5622,4573,5283,5522,3029,1094,39761,350,835,2103,1368,888,765,485,269,183,7263,5369,10542,27618,18293,12551,11404,7278,3370,1282,97708
SED10003,1243,1330,3691,4099,4515,3738,1086,112,8,19831,630,249,766,931,1003,2022,4271,2637,1285,13788,112,163,443,414,408,391,343,219,229,2720,1984,1737,4902,5444,5925,6151,5701,2970,1520,36335,345,1036,3240,4120,4632,3362,731,76,3,17548,1658,1205,2902,3202,3229,3202,1538,218,20,17176,173,134,440,412,336,387,143,15,5,2042,58,50,182,149,137,95,36,14,9,734,2232,2426,6767,7883,8332,7049,2457,328,34,37501,57,99,193,136,159,132,12,0,0,786,177,80,132,116,161,139,46,5,0,857,232,182,322,254,321,271,59,5,0,1644,2467,2605,7091,8135,8647,7319,2511,330,34,39143,1386,464,1200,1415,1668,3606,7987,4865,2061,24646,266,292,850,853,788,778,714,398,321,5261,4119,3366,9135,10398,11100,11705,11211,5601,2422,69054
SED10004,617,2133,6546,6026,5001,3137,1015,123,4,24595,922,705,1021,928,912,1374,2585,1518,533,10493,73,173,454,330,247,204,153,122,106,1859,1612,3002,8018,7285,6156,4711,3758,1760,650,36952,78,1364,8478,8527,7052,3809,867,68,0,30248,601,1466,2544,2379,1964,1665,1024,176,10,11830,324,656,967,744,408,342,136,23,0,3604,8,44,147,111,65,49,20,7,0,459,1016,3535,12137,11762,9489,5859,2052,269,9,46136,29,117,342,299,273,200,28,6,0,1290,133,223,223,109,112,102,42,3,0,945,161,341,563,405,383,299,72,5,0,2243,1174,3875,12706,12169,9877,6165,2120,280,16,48375,1953,1323,1838,1461,1545,2442,4486,2717,886,18653,151,344,883,693,531,448,336,237,181,3807,3276,5549,15425,14321,11947,9054,6946,3237,1075,70834
SED10005,716,1833,3815,2968,2792,2014,426,18,0,14585,2036,1200,2867,2639,2394,2787,2927,1725,918,19489,224,265,644,585,427,352,308,224,259,3287,2973,3299,7332,6198,5611,5156,3658,1958,1173,37363,117,1175,4156,3370,3048,2208,438,19,0,14530,633,1278,2076,1808,1439,1203,348,39,0,8829,333,687,1228,925,890,796,202,9,0,5067,32,135,301,215,142,91,21,3,3,956,1107,3275,7762,6318,5525,4302,1016,81,5,29388,97,254,477,347,313,240,25,0,0,1742,224,225,232,165,155,153,21,0,0,1182,323,478,710,511,466,390,46,5,0,2930,1430,3754,8475,6827,5993,4688,1060,82,5,32318,4283,2414,4874,4392,4085,4939,5533,3250,1549,35336,482,612,1299,1175,914,716,560,426,365,6551,6200,6784,14649,12398,10993,10347,7154,3764,1919,74197
SED10006,894,1073,3130,2748,3057,3063,964,173,19,15119,833,397,927,693,831,1645,2771,2127,1003,11227,255,246,558,538,568,595,497,403,245,3898,1980,1715,4616,3984,4452,5308,4223,2698,1264,30242,563,1449,4050,3598,4175,4018,1294,228,28,19403,915,611,1449,1412,1388,1718,867,193,34,8594,59,80,379,206,197,271,128,24,4,1343,68,68,150,121,119,153,57,36,11,789,1601,2210,6025,5336,5874,6165,2345,491,80,30126,110,139,204,158,186,162,22,0,0,983,106,69,117,79,76,120,34,4,0,606,213,206,322,243,262,286,53,4,0,1587,1815,2411,6347,5572,6134,6450,2396,496,81,31709,1705,678,1366,1155,1578,3021,5464,3959,1595,20512,549,501,1108,1033,1135,1244,1035,750,366,7712,4069,3586,8820,7759,8845,10715,8899,5201,2038,59934
SED10007,1301,1687,3511,3368,3918,3287,886,129,13,18109,886,297,834,733,928,1919,3587,2407,1095,12680,114,141,274,261,314,279,313,250,125,2067,2303,2121,4617,4356,5163,5486,4787,2784,1230,32851,618,1779,4451,4375,5144,3947,962,134,10,21411,1517,1206,1916,1855,1971,2102,991,208,18,11793,153,166,448,254,287,392,139,18,4,1859,60,84,129,114,91,78,33,27,5,626,2351,3240,6935,6600,7503,6514,2131,385,36,35693,106,154,196,162,189,157,17,0,0,977,182,113,109,75,82,107,18,5,0,695,288,264,300,241,268,267,38,5,0,1670,2640,3503,7237,6840,7769,6785,2165,391,37,37363,1971,765,1688,1493,1741,3525,6845,4583,1718,24321,276,293,566,576,635,639,650,474,189,4291,4888,4557,9491,8907,10149,10944,9654,5444,1941,65979
SED10008,1094,1925,3550,5832,4998,3299,953,93,8,21736,1422,474,692,1293,1051,1968,3643,2284,765,13596,37,45,154,170,121,113,99,122,153,1007,2560,2438,4392,7289,6168,5379,4700,2502,925,36350,226,1565,4704,7968,6867,4231,908,63,6,26538,1158,1519,1440,2618,2294,2022,1053,181,10,12291,476,609,628,763,621,587,242,37,4,3962,19,47,109,138,97,69,31,0,4,511,1876,3738,6879,11483,9872,6908,2235,290,25,43303,23,137,205,236,228,178,41,5,0,1053,259,151,84,120,81,88,44,5,0,840,285,288,284,354,314,263,85,9,0,1886,2164,4022,7168,11840,10185,7173,2322,298,26,45192,3117,1020,1137,1766,1582,3034,6378,4409,1312,23755,90,107,284,354,234,215,191,211,224,1909,5369,5151,8587,13963,12002,10418,8888,4919,1554,70857
SED10009,978,913,2373,2787,3611,3752,1044,106,9,15571,584,230,580,566,845,2870,5524,3207,1299,15701,144,103,233,265,312,419,383,303,229,2380,1712,1243,3181,3614,4763,7035,6951,3615,1532,33650,444,959,2613,3059,3902,3278,757,97,9,15114,1246,768,1603,1845,2350,3246,1361,165,12,12596,123,81,280,253,310,448,174,22,5,1694,66,48,127,119,136,116,44,22,8,670,1882,1850,4626,5273,6697,7085,2333,296,31,30069,56,72,117,92,149,123,23,0,0,630,107,67,88,56,70,128,45,5,0,565,162,137,204,146,221,255,70,5,0,1196,2043,1984,4835,5418,6915,7338,2407,301,31,31268,1319,416,899,979,1543,5078,10811,6249,2187,29474,294,221,473,497,652,851,828,560,365,4740,3656,2624,6201,6895,9107,13267,14047,7104,2582,65484
SED10010,868,2139,5151,4867,3530,2416,518,23,0,19511,1390,817,1923,1757,1481,2192,3082,1758,801,15203,147,217,528,475,310,228,203,144,81,2333,2408,3177,7599,7097,5316,4836,3812,1926,885,37048,178,1549,5810,6483,4594,3109,582,24,0,22327,882,1793,2992,2490,1629,1230,415,41,7,11464,332,653,1206,1044,752,660,189,15,0,4857,24,151,335,200,138,91,21,5,0,970,1421,4141,10335,10219,7113,5091,1214,77,8,39615,90,245,448,395,245,190,34,3,0,1640,270,239,295,157,126,101,31,0,0,1218,359,486,739,554,375,290,63,3,0,2859,1777,4626,11073,10771,7485,5379,1274,77,8,42475,2987,1727,3153,2776,2523,3699,5587,3202,1255,26917,324,487,1165,916,643,512,390,273,131,4841,5084,6843,15398,14467,10650,9587,7253,3547,1399,74230
