SED_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SED10001,1278,1761,3930,3803,3825,3633,1335,245,31,19842,16,49,88,130,150,179,149,42,4,804,0,0,0,0,0,0,0,0,0,7,76,74,193,167,205,186,43,3,0,934,0,3,9,15,16,9,5,0,0,55,21,40,116,137,103,102,32,0,0,544,4,19,33,39,45,48,12,0,0,204,422,283,371,325,386,354,83,3,0,2227,499,227,262,212,215,172,44,0,0,1643,10,28,64,69,117,87,36,9,0,413,8,11,28,23,22,13,4,0,0,107,3,22,86,83,80,53,5,0,0,324,3,27,48,51,58,26,22,0,0,226,12,56,168,179,182,133,46,7,0,782,13,35,92,134,147,123,40,0,0,588,13,65,212,317,343,248,49,3,0,1243,57,166,509,647,634,508,126,12,0,2663,85,432,1165,1025,1039,1022,249,9,0,5017,30,31,33,32,37,21,5,0,0,190,32,69,165,131,122,77,31,3,0,622
SED10002,497,2847,9006,6085,3546,2737,748,46,9,25512,0,16,13,12,9,9,0,0,0,55,0,3,3,5,0,0,0,0,0,17,11,74,286,214,179,189,40,0,0,997,0,3,22,22,19,6,0,0,0,89,3,50,216,153,97,56,12,0,0,589,3,59,224,189,113,96,22,0,0,702,155,399,690,366,242,165,35,5,0,2049,153,331,439,229,166,115,13,0,0,1450,9,47,185,146,101,93,25,0,0,598,3,28,105,72,42,16,5,0,0,269,6,149,575,362,193,80,17,0,0,1386,5,28,145,93,62,37,5,0,0,375,12,179,777,368,179,99,30,0,0,1638,13,127,316,174,135,124,23,0,0,920,6,58,246,225,161,102,21,0,0,806,46,216,711,481,308,215,55,6,0,2030,42,758,1794,897,667,512,106,11,0,4791,7,40,86,46,28,13,0,0,0,222,10,38,189,116,86,66,20,0,0,532
SED10003,1099,1181,3227,3902,3985,3435,1391,219,22,18458,8,24,74,54,81,99,72,37,5,448,0,0,3,0,6,3,0,0,0,26,35,49,117,106,121,106,20,0,0,563,0,6,5,13,14,8,0,0,0,47,7,24,60,107,110,64,38,0,0,406,12,11,37,54,56,58,17,3,0,247,406,233,398,376,397,335,128,12,0,2282,437,286,482,319,263,196,60,4,0,2058,5,21,38,42,48,64,20,4,0,230,4,11,34,53,47,43,12,0,0,211,3,17,61,79,77,35,14,4,0,295,3,19,61,68,93,61,33,0,0,333,18,55,312,375,305,223,70,3,0,1360,9,33,134,142,150,142,46,5,0,664,9,17,85,190,233,147,26,4,0,709,24,78,356,583,802,574,140,6,0,2562,52,222,803,961,1131,1191,283,7,0,4647,13,27,71,90,84,64,17,3,0,368,31,57,182,162,158,111,25,3,0,730
SED10004,475,1578,5857,5934,4684,2871,1065,151,8,22612,8,4,8,9,6,12,4,0,0,43,0,0,4,8,6,3,0,0,0,22,13,37,115,151,109,62,13,3,0,508,0,0,22,28,18,16,3,0,0,88,0,35,119,127,94,55,16,0,0,442,7,21,135,155,123,66,12,4,0,517,177,308,420,301,247,151,51,11,0,1656,163,258,327,171,109,61,15,3,0,1109,4,19,90,83,101,51,6,0,0,357,5,68,329,314,251,122,30,0,0,1124,5,80,476,722,568,190,42,5,0,2086,0,33,121,129,115,51,21,0,0,474,11,290,1242,1061,789,408,128,13,0,3930,0,50,216,181,145,89,29,6,0,720,8,44,305,363,332,214,58,5,0,1327,55,197,684,713,674,530,199,21,0,3076,38,299,1060,852,663,632,236,27,0,3813,20,72,174,148,137,92,37,4,0,679,18,61,177,140,146,102,44,3,0,688
SED10005,542,1638,4245,3556,2940,2449,600,62,3,16040,0,0,4,0,9,9,0,0,0,19,0,0,0,0,4,0,0,0,0,3,11,35,116,158,266,216,35,3,0,836,0,0,16,8,15,5,5,0,0,46,7,29,92,72,48,37,11,0,0,302,7,39,92,71,92,72,9,0,0,385,150,288,383,271,246,175,40,4,0,1559,181,134,147,115,122,97,13,0,0,808,12,34,111,122,125,107,21,0,0,538,4,26,34,38,24,11,4,0,0,139,8,102,239,172,148,65,16,0,0,752,7,7,52,40,27,18,3,0,0,156,7,116,302,175,91,60,20,0,0,778,5,37,97,90,104,101,22,0,0,450,9,55,151,149,130,93,17,0,0,611,50,172,491,384,269,192,58,4,0,1621,59,369,794,569,595,432,106,0,0,2923,5,21,34,27,9,14,9,0,0,118,10,60,148,113,101,45,13,0,0,490
SED10006,813,1207,3044,2702,2929,3211,1399,323,59,15686,34,67,211,204,319,387,259,89,14,1579,10,48,94,69,51,44,5,0,0,320,17,10,42,36,36,27,15,3,0,199,4,0,11,19,19,7,0,0,0,70,5,12,41,45,31,34,11,0,0,181,11,16,48,27,36,23,11,0,0,168,245,108,234,219,252,291,84,15,0,1442,215,123,224,204,174,208,64,6,0,1205,17,11,42,40,59,72,26,4,0,273,3,6,18,7,11,15,8,0,0,76,4,17,43,36,34,27,6,0,0,165,8,16,22,25,21,19,10,0,0,114,7,38,106,86,89,79,21,0,0,437,8,29,91,106,113,118,25,6,0,497,10,53,211,191,235,181,39,0,0,919,44,135,566,552,571,436,110,13,0,2433,87,216,784,579,701,771,175,4,0,3316,18,11,28,15,27,13,4,0,0,123,24,45,78,75,65,91,24,10,0,415
SED10007,1184,1669,3554,3340,3692,3339,1252,254,19,18301,12,20,40,69,82,114,128,54,8,526,4,6,36,20,26,6,0,0,0,100,52,52,117,129,154,119,21,6,0,650,0,0,19,26,33,22,3,0,0,105,13,30,74,85,87,81,21,0,0,393,11,18,37,38,39,49,12,0,0,212,305,219,378,298,314,289,67,13,0,1882,373,210,224,169,190,163,48,3,0,1392,5,6,44,62,88,84,30,4,0,314,5,21,35,46,30,18,0,3,0,158,9,29,91,74,85,55,17,0,0,356,6,12,34,40,60,43,10,4,0,208,18,56,175,158,149,125,50,3,0,740,16,43,117,119,168,152,23,0,0,639,11,71,325,336,418,272,47,0,0,1478,64,159,473,568,742,496,117,13,0,2623,133,459,898,771,889,864,207,11,0,4242,40,27,47,38,40,29,17,4,0,247,44,64,141,120,124,93,23,7,0,612
SED10008,915,1922,3474,5858,5028,3716,1302,195,16,22430,0,5,14,9,3,7,10,0,0,44,0,0,0,9,4,3,0,0,0,21,20,27,128,238,248,135,47,8,0,854,0,3,11,40,37,13,4,0,0,108,8,37,119,224,194,116,32,9,0,733,10,33,109,257,227,107,22,0,0,772,309,286,291,386,360,235,75,13,0,1949,262,154,103,117,110,85,17,0,0,847,0,13,50,111,103,75,20,0,0,380,10,42,84,134,72,34,10,0,0,380,6,105,328,692,354,208,47,7,0,1747,11,31,74,136,80,42,13,0,0,384,20,210,466,721,459,255,89,11,0,2220,16,30,87,140,121,97,29,5,0,519,8,33,130,299,303,181,37,0,0,982,118,238,429,642,759,555,163,5,0,2915,98,391,696,1043,1080,838,245,25,0,4413,22,47,41,31,41,17,11,0,0,212,25,58,99,148,137,87,41,5,0,598
SED10009,970,990,2329,2547,3187,3442,1319,190,26,14997,19,14,34,57,79,94,75,34,3,403,0,0,0,3,0,0,5,0,0,6,31,37,77,77,121,98,21,3,0,468,0,3,11,11,12,4,3,0,0,43,13,18,79,79,100,80,42,6,0,412,11,3,22,26,38,36,13,0,0,149,302,152,277,294,408,412,116,11,0,1973,325,156,244,272,297,308,84,7,0,1684,3,10,27,30,48,77,25,0,6,229,8,20,34,24,20,21,18,0,0,140,0,13,51,46,76,58,5,0,0,257,6,17,33,51,52,55,26,3,0,247,13,23,138,144,170,167,71,6,0,734,4,28,78,102,135,150,34,0,0,544,9,30,137,222,299,238,41,4,0,977,31,46,268,415,445,477,117,5,0,1796,49,194,602,639,937,1109,227,12,0,3776,12,15,26,33,51,40,18,3,0,200,33,48,89,111,132,96,36,0,0,541
SED10010,719,2207,5531,5620,3770,2789,711,54,6,21415,0,0,13,11,12,8,0,0,0,48,0,0,0,0,9,5,0,0,0,14,10,56,232,234,195,200,28,0,0,956,0,3,26,20,30,14,4,0,0,92,10,34,103,141,101,50,14,0,0,439,6,30,132,158,116,66,11,0,0,526,214,376,522,434,302,216,47,0,0,2109,256,208,204,126,106,82,16,0,0,1001,14,72,178,202,170,117,18,0,0,772,5,22,73,82,28,19,8,0,0,234,3,102,312,359,205,94,18,0,0,1093,5,33,68,67,27,15,5,0,0,220,18,99,351,316,129,62,12,0,0,997,17,83,183,179,126,106,24,3,0,722,3,42,214,266,238,166,43,0,0,980,54,153,473,441,414,265,46,0,0,1858,39,440,1281,1210,923,677,169,10,0,4746,19,27,44,32,12,15,4,0,0,151,16,34,96,99,65,40,15,0,0,369
