SOSR_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SOSR101,136,952,837,1722,853,605,598,208,47,5958,99,932,1345,5920,3926,2751,2022,912,259,18168,52,404,838,5306,2530,2421,1808,742,231,14339,51,204,375,3328,643,322,490,156,20,5584,78,389,834,5224,958,499,267,59,17,8317,29,170,212,2121,1516,1546,768,538,94,6994,448,1605,1357,3915,1712,1384,777,374,53,11628,136,1015,2751,10846,8954,9794,5207,1559,583,40862,0,40,81,698,434,417,312,187,37,2215,7,54,255,823,583,380,161,37,6,2307,707,5129,6761,36099,16102,14872,11371,7558,2639,101241,5786,12657,13695,37840,12769,10613,7628,5297,2637,108915,145583,299504,296670,727717,292439,248972,179630,98353,35570,2324431,28,317,740,2876,961,687,350,114,25,6098,126473,233637,195315,314661,140022,108273,80543,48932,25974,1273824,85,610,1013,8301,1580,849,287,47,12,12778,3,18,39,1053,594,856,503,255,88,3407,33,203,561,7125,746,385,162,57,18,9295,21,95,352,2317,1513,1445,966,374,182,7270,54,226,376,2422,882,626,356,153,30,5123
SOSR102,14,45,33,84,50,46,36,16,0,327,15,152,210,756,496,310,267,106,27,2343,3,27,59,212,90,81,68,36,14,586,0,18,8,71,12,9,5,0,0,134,15,97,155,284,63,33,11,7,0,671,0,9,10,106,122,158,56,57,8,524,39,158,203,506,292,247,209,103,18,1780,7,60,132,315,166,149,97,31,3,970,6,18,24,87,144,206,167,117,48,818,0,13,74,149,100,50,41,16,0,439,83,561,647,2409,1413,1545,1535,1223,521,9939,961,2515,2782,5919,2822,2775,2588,2047,1054,23465,30095,65799,64971,128621,64262,62818,53798,32519,11378,514266,6,44,24,86,14,9,5,0,0,197,27071,55777,55161,103668,52777,51136,42886,25787,12718,426996,5,36,35,275,17,12,5,0,0,394,0,4,8,99,43,107,76,45,11,391,0,25,21,508,91,28,20,10,4,717,0,10,12,90,43,17,21,3,0,198,6,65,65,526,212,166,105,36,13,1188
SOSR111,0,6,4,17,10,3,4,0,0,39,0,30,53,138,89,57,36,8,0,415,0,10,3,44,19,11,10,4,0,102,0,0,4,31,0,0,0,0,0,42,0,31,27,38,3,0,4,0,0,105,0,0,0,6,4,0,0,0,0,11,9,15,14,60,30,31,44,18,0,213,0,12,10,50,18,13,3,0,0,105,0,0,3,13,16,24,12,16,8,83,0,6,9,40,26,10,10,0,0,98,8,109,135,448,214,194,157,126,49,1447,257,596,552,1353,569,526,468,358,197,4866,6201,13072,11401,24442,11161,10713,9580,5351,1737,93659,0,0,3,11,7,0,5,0,0,27,5675,11445,10089,20737,10008,9763,8679,5109,2230,83728,0,4,0,47,6,0,0,0,0,60,0,0,0,0,0,5,0,3,0,16,0,0,5,18,4,0,0,0,0,30,0,4,0,16,3,0,0,0,0,25,0,3,6,62,23,27,22,8,5,153
SOSR112,4,16,25,17,29,13,14,4,3,127,7,48,98,250,161,113,112,74,9,883,11,51,38,211,68,44,15,11,4,449,0,0,12,172,3,7,0,0,0,198,5,38,38,136,55,13,5,0,0,286,3,14,3,32,23,23,8,4,0,107,14,57,69,168,96,95,118,58,9,685,9,64,53,268,75,22,9,3,0,497,0,3,4,21,34,34,59,40,9,200,0,20,19,83,66,36,18,13,0,258,31,176,206,956,448,432,484,375,133,3238,841,1911,2048,3789,1772,1704,1599,1284,673,15622,15974,33428,31162,63094,29387,29795,27849,17249,6127,254071,0,4,4,23,11,0,0,5,0,55,13992,28832,26363,49951,25448,26628,24672,15804,7661,219363,8,32,9,197,9,6,8,0,0,272,0,0,0,0,8,8,8,3,0,31,0,8,0,99,6,9,4,0,0,132,0,6,5,35,9,11,8,0,0,67,3,26,21,151,72,59,48,32,12,417
SOSR113,0,8,0,8,10,3,10,0,0,39,5,23,29,103,76,63,43,30,3,376,0,0,3,24,5,7,4,7,0,62,0,0,0,14,0,3,0,0,0,22,4,21,28,40,20,11,0,0,0,128,0,0,0,9,8,3,3,0,0,28,9,24,33,73,48,56,59,28,3,339,3,8,12,43,27,10,6,3,0,108,0,0,0,17,20,29,26,29,6,118,4,3,4,18,17,16,11,7,0,73,17,49,45,411,150,155,223,232,69,1349,353,935,875,1852,968,972,988,658,297,7889,6392,14524,12697,25723,13273,14884,14900,8843,2868,114105,0,0,0,0,0,0,0,0,0,4,5623,12505,10313,21391,11454,13069,12452,7690,3718,98218,0,3,0,29,4,0,0,0,0,33,0,0,0,6,4,5,6,5,0,15,0,5,0,122,16,4,4,0,0,144,0,0,0,16,9,0,3,0,0,30,3,3,19,96,36,25,31,8,6,227
SOSR114,5,5,9,14,16,16,9,0,0,61,6,38,41,147,97,57,59,44,7,491,0,9,4,59,25,12,14,4,0,132,0,0,0,23,3,0,3,0,0,28,5,24,21,45,13,6,0,0,0,119,0,3,0,10,4,8,4,0,0,28,7,26,19,79,41,47,51,23,4,299,0,6,8,37,17,9,10,0,0,92,0,0,0,23,16,16,19,23,8,106,0,3,5,32,15,14,19,0,0,96,15,49,60,385,168,199,208,188,65,1343,384,1091,975,2123,1032,1029,1133,812,392,8969,7877,16722,13848,28265,14292,15678,15942,10077,3513,126221,0,6,3,8,0,0,0,0,0,18,7019,14484,12095,24078,12393,13931,13588,9154,4421,111165,0,4,0,31,0,0,0,0,0,40,0,0,0,6,0,5,5,0,0,20,0,7,14,68,11,8,0,0,0,104,0,4,0,27,5,3,0,0,0,42,0,6,6,92,40,20,24,3,6,207
SOSR115,0,5,3,7,20,13,10,6,0,67,3,40,40,139,131,103,100,52,9,612,0,9,3,46,15,13,20,10,0,117,0,0,8,48,4,3,0,0,0,66,0,27,12,49,10,3,0,0,0,104,0,5,0,10,8,12,7,4,0,46,9,41,29,94,67,89,114,51,5,508,0,9,21,60,31,18,5,3,0,148,0,3,0,19,20,26,54,47,11,181,4,3,5,30,21,19,8,4,0,92,10,79,88,498,251,313,403,302,92,2031,573,1651,1320,2770,1514,1858,1902,1362,511,13461,10391,23185,18690,37549,20666,24580,26088,14889,4552,180592,0,0,0,5,4,0,0,0,0,9,9304,19771,15618,32548,17821,21428,20662,12086,5502,154742,0,0,0,15,4,8,0,0,0,24,0,0,0,4,5,0,6,0,0,22,0,0,3,67,10,8,5,0,0,96,0,3,7,32,4,5,0,0,0,45,3,19,18,123,69,52,49,18,6,365
SOSR121,0,4,0,0,0,4,0,0,0,19,0,5,6,31,26,41,26,9,0,143,0,0,0,12,4,0,7,0,0,19,0,0,0,9,6,3,0,0,0,19,0,3,4,3,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,5,14,14,35,25,29,40,11,0,157,0,4,4,11,8,3,0,0,0,21,0,0,3,9,10,15,7,6,6,51,0,0,0,5,9,4,7,0,0,32,5,18,11,83,79,91,109,79,20,499,153,346,312,719,411,507,555,308,123,3441,2718,6535,5123,9665,6199,7321,7184,3482,879,49118,0,0,0,0,0,0,0,0,0,0,2406,5746,4350,8594,5458,6112,5307,2484,853,41300,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,23,5,3,3,5,0,36,0,0,0,0,5,0,0,0,0,6,0,4,5,30,20,21,10,3,0,95
SOSR122,0,0,0,0,4,4,0,0,0,13,0,3,5,16,17,20,3,5,3,74,0,0,0,3,4,0,0,0,0,9,0,0,0,11,0,0,0,0,0,8,0,0,0,7,0,5,0,0,0,8,0,0,0,0,4,0,0,0,0,6,0,3,3,15,12,15,13,5,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0,19,0,0,0,0,6,7,0,0,0,13,0,5,10,54,30,51,52,43,6,246,63,243,212,465,313,414,369,207,47,2330,1181,3142,2483,4784,3188,4241,3877,1895,427,25218,0,0,0,0,0,0,0,0,0,0,1067,2587,2029,4006,2656,3287,2727,1257,429,20047,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,14,7,10,3,4,0,43
SOSR131,0,16,9,20,23,30,23,7,0,129,7,57,78,231,239,203,161,46,9,1032,0,0,7,50,23,26,17,7,0,132,0,3,0,43,6,11,11,5,0,82,5,32,29,61,15,14,15,3,0,172,0,4,0,17,19,22,7,5,5,71,11,80,65,199,112,181,205,67,11,926,0,9,12,75,51,31,12,6,0,187,0,3,5,21,36,49,62,27,9,213,0,5,9,41,50,42,33,14,0,193,14,85,98,601,466,626,710,459,120,3167,925,2690,2511,4870,3566,4570,3880,1951,481,25449,14047,38580,33245,56241,41279,48733,41527,18477,4005,296123,0,0,0,3,4,3,0,0,0,13,12290,32268,26037,45859,33473,35626,26132,10865,2935,225493,0,0,0,9,12,3,3,0,0,32,0,0,0,17,10,12,6,0,0,47,3,5,0,67,14,15,10,9,0,110,0,0,0,34,18,10,11,0,0,75,7,16,17,153,89,113,79,22,4,500
