SOSR_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
SOSR101,71607,22519,25611,28515,29559,8164,1836,4208,276559,52,46,102,25,36,50,52,13,4,1129,1511,62262,55254,89421,28178,31723,35421,36766,10828,2567,6904,359333,42569,20394,16291,2650,2210,1891,1873,908,394,1332,90511,91113,82495,53759,11993,11054,9834,8781,3132,1233,2424,275822,4779,8170,8386,2213,2608,2088,2299,752,209,757,32254,106,79,89,17,18,13,27,5,4,48,403,95998,90746,62236,14234,13676,11934,11103,3891,1447,3228,308485,66,55,67,8,12,18,10,7,0,883,1139,138632,111203,78594,16893,15899,13847,12983,4803,1842,5443,400135,67231,11772,5576,814,667,625,619,390,162,1228,89087,111517,28985,13289,2299,1953,1627,1577,835,311,1877,164270,17630,7801,6303,1894,2248,1635,1808,726,156,1083,41279,191,42,33,16,14,10,12,11,0,51,379,129341,36826,19618,4204,4215,3271,3397,1568,469,3012,205927,77,29,16,0,4,3,5,4,0,591,726,196648,48627,25209,5024,4885,3903,4022,1959,632,4832,295733,73323,3742,1563,239,207,212,244,201,63,1121,80912,116920,6973,3080,577
SOSR102,3776,1340,1504,1563,1438,526,95,189,13137,0,0,8,0,0,3,0,0,0,35,45,4007,2649,5365,1701,1900,1948,1860,746,157,393,20723,5617,2790,1822,234,184,197,194,98,39,204,11380,2823,4051,3435,646,579,533,479,211,65,112,12943,107,245,308,124,90,82,116,31,8,29,1144,3,4,4,0,0,0,0,0,0,0,18,2937,4306,3752,764,671,621,593,241,78,145,14106,8,6,0,0,0,0,0,0,0,33,47,8556,7103,5573,1003,857,816,784,339,121,380,25533,11317,1975,897,119,83,72,80,50,25,244,14859,4747,1783,1036,165,129,113,125,46,16,94,8253,364,213,223,61,66,55,67,13,0,43,1117,11,0,3,0,4,0,0,0,0,3,17,5121,1998,1270,229,202,167,193,58,15,142,9393,3,0,0,0,0,0,0,0,0,23,36,16446,3967,2165,347,281,241,272,108,40,410,24281,17217,788,321,39,42,38,44,30,16,359,18892,5997,456,210,33
SOSR111,828,251,282,310,306,77,50,27,2617,0,0,0,3,0,0,0,0,0,8,6,524,521,1031,305,312,365,343,95,61,57,3622,692,339,231,36,24,32,21,17,10,27,1441,281,793,546,121,105,108,74,39,32,22,2118,21,63,109,14,46,45,47,12,0,3,367,0,5,0,0,0,0,0,0,3,0,10,301,862,655,136,150,152,121,53,34,31,2492,0,4,0,0,0,0,0,0,0,6,10,999,1198,887,173,175,190,144,69,41,61,3940,1328,260,139,20,15,16,10,4,3,34,1827,430,335,192,28,31,22,24,9,3,12,1078,44,58,100,16,30,22,27,15,0,4,310,0,0,0,0,0,0,0,0,0,0,3,470,394,288,41,54,40,53,22,4,13,1387,0,0,0,0,0,0,0,0,0,5,4,1795,658,437,61,69,53,67,31,9,52,3225,2000,131,57,12,11,7,15,0,0,50,2275,456,103,34,5
SOSR112,2254,885,1091,1244,1232,357,140,144,8667,3,0,5,0,0,4,0,0,0,175,185,1297,1316,2807,1032,1244,1386,1393,428,179,408,11497,1668,733,516,71,69,69,90,37,21,87,3374,844,1906,1803,407,433,468,461,146,63,64,6608,37,129,158,60,73,112,129,44,15,18,779,5,7,0,0,5,0,0,5,0,0,28,887,2048,1965,470,511,580,597,188,77,85,7410,0,4,3,0,0,0,0,0,0,154,160,2553,2776,2488,539,585,661,686,229,97,330,10944,3645,517,308,39,37,31,44,26,10,126,4777,1239,783,515,83,62,95,104,39,12,41,2977,99,88,102,44,42,78,130,38,4,18,647,0,0,9,0,0,3,0,0,0,0,12,1343,874,617,129,107,177,241,80,14,62,3640,3,0,0,0,0,0,4,0,0,124,135,4986,1391,931,171,145,207,280,104,23,312,8552,5832,288,121,19,22,9,18,26,5,165,6507,1392,248,115,12
SOSR113,430,179,189,314,340,110,29,44,1909,0,0,0,0,0,0,6,0,0,47,49,427,355,727,279,270,413,460,174,50,131,3297,794,401,305,51,37,34,39,41,7,48,1762,257,507,464,96,100,88,113,64,9,28,1722,9,30,35,18,10,6,20,0,0,9,137,0,0,0,0,0,0,0,0,0,0,0,272,533,498,110,106,94,135,67,11,37,1859,0,0,0,0,0,0,0,0,0,33,34,1061,933,805,169,144,131,172,101,26,116,3654,1710,294,167,31,19,16,12,12,5,76,2346,436,254,135,26,20,32,17,16,4,15,951,35,27,19,5,10,0,7,5,6,4,111,0,0,0,0,0,0,0,0,0,0,0,475,280,158,25,37,28,29,13,9,14,1066,0,0,0,0,0,0,0,0,0,15,15,2180,575,321,62,58,50,38,28,16,111,3430,2925,147,76,15,14,11,3,9,5,100,3300,547,48,35,5
SOSR114,684,223,280,312,394,139,77,35,2604,0,0,0,0,0,0,0,0,0,14,18,540,481,975,292,348,374,488,187,91,85,3857,847,453,321,29,40,26,30,17,10,43,1823,333,737,649,139,107,118,158,73,40,30,2376,24,59,47,9,19,20,56,19,4,7,261,0,0,4,0,0,0,0,0,0,6,11,349,800,693,149,129,143,217,86,46,39,2650,0,0,0,0,0,0,0,0,0,11,7,1204,1255,1019,181,171,172,247,96,54,88,4483,1728,276,156,27,17,13,21,16,9,54,2312,514,332,220,31,25,26,26,16,8,14,1208,46,45,34,6,16,15,31,8,0,11,205,0,0,0,0,0,0,0,0,0,0,4,555,379,253,45,40,35,56,24,10,20,1414,3,0,0,0,0,0,0,0,0,5,12,2285,655,411,63,54,50,79,43,17,88,3732,2858,142,73,13,15,5,10,5,3,103,3226,600,121,52,5
SOSR115,522,207,272,313,471,157,46,37,2386,3,0,0,0,0,0,0,0,0,27,28,675,474,868,268,354,382,587,194,58,98,3963,1248,603,435,48,31,40,42,24,5,84,2565,379,626,476,126,89,118,125,48,35,30,2042,11,28,35,9,8,20,31,11,3,3,165,3,0,0,0,0,0,0,0,0,0,9,393,658,513,133,100,143,159,50,42,32,2217,0,0,0,0,0,0,0,0,0,32,37,1644,1262,946,181,126,183,201,75,45,149,4817,2946,441,218,33,25,26,25,10,8,95,3840,627,286,160,45,26,33,30,7,3,18,1238,48,36,23,9,9,15,23,5,3,12,176,4,0,0,0,0,0,0,0,0,0,0,679,322,179,58,34,43,50,19,9,31,1424,3,0,0,0,0,0,0,0,0,30,34,3626,765,398,86,59,76,79,31,9,156,5287,5212,214,128,19,13,20,11,11,4,157,5778,789,72,45,5
SOSR121,78,24,40,44,62,12,0,9,339,0,0,0,0,0,0,0,0,0,0,0,172,89,164,44,57,70,74,21,8,18,710,348,162,124,12,11,12,5,0,6,21,696,104,120,89,10,22,18,12,9,0,16,398,0,7,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,109,121,90,13,25,18,13,9,0,15,422,0,0,0,0,0,0,0,0,0,0,0,452,289,211,22,38,27,23,9,3,37,1118,840,124,66,9,9,4,0,0,4,37,1094,170,63,43,18,3,9,0,6,0,13,310,5,0,9,0,0,6,0,3,0,3,29,0,0,0,0,0,0,0,0,0,0,0,174,59,50,17,6,9,3,5,0,10,337,5,0,0,0,0,0,0,0,0,0,0,1013,187,114,29,18,7,6,8,4,50,1434,1568,63,22,4,4,5,3,5,0,69,1741,218,20,11,4
SOSR122,33,25,15,26,56,16,9,16,217,0,0,0,0,0,0,0,0,0,0,0,67,34,77,36,25,36,70,14,9,13,377,161,81,41,10,10,3,9,0,0,3,313,41,33,41,13,8,5,9,0,0,12,163,0,0,0,6,4,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,37,41,14,11,13,13,0,0,13,182,0,0,0,0,0,0,0,0,0,0,0,209,116,81,19,13,15,23,0,0,18,500,412,62,19,0,0,0,3,0,0,17,518,72,32,25,0,0,6,3,0,0,0,143,0,0,6,0,5,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,70,32,31,0,5,5,7,3,0,7,164,0,0,0,0,0,0,0,0,0,3,4,483,91,50,0,5,8,10,6,0,26,684,862,30,19,3,4,0,0,4,0,40,961,128,10,4,0
SOSR131,446,128,129,195,284,94,37,55,1887,0,0,0,0,0,0,0,0,4,199,205,987,569,910,235,224,312,450,173,57,322,4242,1888,788,443,56,48,35,50,32,14,125,3479,845,632,443,81,66,60,85,48,18,63,2350,45,75,51,10,19,25,18,5,9,16,272,6,4,0,0,0,0,0,0,0,9,16,892,707,494,98,88,86,103,58,28,85,2635,0,0,0,0,0,0,0,0,0,188,191,2780,1498,944,155,136,122,155,87,40,394,6301,5097,704,275,37,24,21,28,21,10,226,6440,1557,346,200,29,29,25,16,17,7,44,2269,151,61,47,11,22,18,25,4,0,19,353,0,0,0,3,0,0,0,0,0,0,5,1707,406,255,42,47,41,40,19,7,60,2621,3,0,0,0,0,0,0,0,0,125,136,6808,1109,534,76,70,67,68,39,15,415,9193,9395,377,157,19,17,12,14,15,4,393,10405,2028,134,50,9
