SOSR_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SOSR101,54,7593,..,134980,10734,145713,1184,146895,..,22616,3565,26183,190,26373,..,7658,1085,8746,58,8808,..,3905,2542,6453,42,6494,..,21142,10051,31191,178,31367,..,7922,1646,9569,40,9607,..,7004,371,7373,68,7445,..,10315,1903,12217,101,12313,..,5416,562,5977,43,6021,..,11495,1657,13154,134,13292,..,8504,1423,9928,63,9990,..,7475,609,8094,77,8165,..,8317,1659,9973,45,10015,..,14116,401,14511,117,14630,..,14233,1840,16076,143,16220,..,24590,832,25430,145,25575,..,4139,318,4457,33,4488,..,57081,3398,60476,440,60915,..,27865,3950,31814,236,32052,..,16254,1424,17677,171,17854,..,11133,3307,14441,81,14526,..,8341,2405,10745,62,10811,..,38042,22194,60236,365,60600,..,81746,17567,99316,1819,101140,..,798307,183132,981440,8044,989479,..,12832,3412,16238,107649,123891,1260853,811142,186539,997681,115689,2374220,2532072,..,..,..,..,2532072,..,5051,74,5122,34,5156,..,180141,34578,214715,1511,216224,..,1231,43,1272,10,1280,..,104845,36909,141752,873,142627,..,179929,74421,254356,2109,256467
SOSR102,0,208,..,4625,354,4985,43,5023,..,2659,461,3122,24,3144,..,706,76,784,0,785,..,122,39,166,0,161,..,748,269,1022,6,1023,..,3229,937,4166,16,4176,..,1173,110,1279,13,1301,..,408,50,462,0,465,..,704,80,781,14,790,..,1251,206,1452,11,1461,..,660,82,741,8,753,..,239,14,254,3,260,..,1117,240,1356,13,1370,..,1136,38,1176,10,1189,..,553,42,592,4,596,..,1660,77,1738,12,1747,..,444,15,455,5,459,..,3784,172,3963,33,3996,..,2619,328,2946,26,2971,..,398,14,407,4,412,..,1331,291,1617,10,1628,..,626,152,781,3,784,..,1149,374,1526,10,1538,..,6503,975,7481,161,7640,..,45585,7404,52987,530,53517,..,1782,238,2017,23617,25632,461761,47362,7634,54999,24154,540905,903059,..,..,..,..,903059,..,1233,16,1250,8,1253,..,4450,765,5216,40,5257,..,732,15,748,13,766,..,2010,607,2615,11,2629,..,5156,1709,6876,82,6954
SOSR111,0,39,..,1352,311,1659,12,1670,..,155,16,170,0,170,..,86,14,99,0,99,..,16,3,17,0,17,..,64,21,84,5,84,..,15,4,16,0,16,..,217,24,248,5,251,..,33,0,33,0,33,..,65,7,76,0,77,..,50,6,48,0,48,..,65,4,65,0,65,..,36,3,41,0,42,..,29,9,34,0,34,..,208,13,220,4,225,..,63,3,69,0,66,..,346,23,369,0,369,..,73,3,77,0,78,..,692,38,728,3,735,..,200,29,231,0,230,..,53,3,59,0,56,..,188,38,224,0,224,..,3,5,10,0,10,..,113,45,161,0,161,..,1412,515,1928,57,1986,..,6070,1339,7411,98,7508,..,282,42,324,4524,4853,88318,6354,1389,7738,4623,100680,170315,..,..,..,..,170315,..,313,13,319,0,319,..,362,60,416,4,423,..,293,6,298,4,303,..,208,97,307,6,312,..,505,217,724,5,735
SOSR112,0,73,..,4084,570,4655,55,4707,..,908,165,1068,9,1083,..,223,23,252,0,254,..,51,17,64,0,64,..,217,73,284,5,294,..,46,4,47,0,49,..,679,71,751,7,756,..,135,25,154,0,157,..,146,10,155,0,155,..,154,15,170,6,175,..,171,24,197,0,199,..,231,16,245,3,254,..,91,6,99,0,99,..,647,18,668,5,676,..,171,4,175,4,177,..,909,31,936,8,947,..,239,18,258,4,263,..,1964,74,2041,18,2064,..,644,60,701,9,706,..,214,16,229,3,234,..,464,129,592,0,592,..,78,32,108,0,108,..,429,175,602,14,616,..,3448,744,4197,72,4270,..,17794,2883,20679,258,20938,..,889,112,1003,15127,16130,233250,18681,2997,21684,15387,270318,448724,..,..,..,..,448724,..,560,8,567,5,570,..,1097,116,1213,10,1226,..,889,25,909,14,924,..,698,269,967,7,976,..,1518,741,2262,35,2298
SOSR113,0,18,..,512,49,561,7,570,..,302,24,328,0,328,..,125,27,149,0,156,..,23,5,27,0,27,..,35,3,37,0,37,..,36,8,41,0,41,..,144,13,157,0,160,..,18,9,21,0,21,..,66,5,75,0,75,..,164,7,168,4,170,..,66,10,76,0,74,..,20,0,20,0,25,..,31,3,33,0,33,..,248,8,252,4,254,..,59,3,67,0,67,..,348,9,358,0,362,..,72,7,86,0,86,..,731,25,758,6,764,..,398,26,426,6,430,..,30,7,33,0,36,..,269,65,331,0,334,..,23,6,24,0,23,..,140,42,177,5,183,..,1021,100,1123,23,1146,..,5537,626,6159,63,6222,..,332,26,356,7237,7599,106332,5867,647,6521,7305,120152,206785,..,..,..,..,206785,..,245,3,249,0,251,..,244,25,268,0,273,..,458,19,471,12,484,..,228,97,327,3,328,..,403,135,540,5,542
SOSR114,0,31,..,1298,197,1494,12,1512,..,303,44,348,3,349,..,98,10,107,0,107,..,29,9,33,0,39,..,69,17,86,0,86,..,63,0,62,0,62,..,253,22,277,3,282,..,37,3,40,0,40,..,67,9,80,0,80,..,123,19,136,0,138,..,66,5,71,0,71,..,27,5,32,4,30,..,56,4,60,0,61,..,311,15,324,6,330,..,79,0,82,0,82,..,354,12,362,3,367,..,90,18,110,6,111,..,839,42,878,10,887,..,264,25,289,4,293,..,57,0,56,0,58,..,241,61,304,0,304,..,24,6,28,4,35,..,98,42,137,0,138,..,1212,146,1362,33,1402,..,6701,955,7650,100,7752,..,386,42,427,8163,8589,118834,7089,994,8074,8262,135174,229120,..,..,..,..,229120,..,347,3,349,0,354,..,400,54,449,5,456,..,402,12,416,4,414,..,277,113,391,0,395,..,576,358,927,9,941
SOSR115,0,19,..,692,54,751,6,756,..,372,35,402,11,413,..,160,20,178,0,178,..,30,10,39,3,37,..,51,17,69,0,70,..,39,3,42,0,42,..,158,13,168,0,177,..,22,0,19,3,24,..,102,3,108,5,116,..,130,5,134,0,140,..,109,3,115,0,119,..,12,0,12,0,12,..,62,9,69,0,67,..,186,3,189,3,192,..,80,4,85,0,85,..,309,15,321,5,323,..,98,20,122,3,118,..,673,42,714,8,720,..,459,25,486,0,493,..,52,3,54,0,54,..,259,47,303,4,308,..,40,0,41,0,38,..,127,60,190,0,191,..,1627,156,1778,30,1809,..,7174,826,8000,115,8120,..,588,42,630,12073,12704,168095,7762,874,8634,12187,188916,328145,..,..,..,..,328145,..,299,5,306,0,302,..,366,32,397,7,401,..,554,12,564,6,572,..,322,169,488,10,499,..,554,298,855,6,858
SOSR121,0,10,..,127,19,143,0,143,..,94,7,105,4,107,..,45,4,45,0,45,..,0,0,0,0,0,..,18,4,19,0,19,..,10,0,10,0,10,..,21,3,22,0,24,..,12,0,14,0,14,..,24,3,23,0,23,..,32,0,29,0,29,..,36,0,36,0,36,..,4,0,4,0,4,..,14,0,15,0,15,..,54,0,55,0,55,..,18,0,18,0,18,..,59,3,66,0,66,..,29,0,28,0,29,..,163,7,168,0,164,..,109,3,118,0,117,..,9,0,9,0,9,..,52,14,60,0,69,..,6,0,6,0,6,..,24,5,30,0,30,..,361,35,398,5,405,..,1584,148,1723,22,1749,..,110,11,119,2939,3053,44926,1686,157,1840,2958,49733,89324,..,..,..,..,89324,..,85,0,83,0,89,..,90,4,95,0,95,..,144,5,148,0,151,..,34,14,55,0,56,..,98,36,126,0,133
SOSR122,0,0,..,35,3,40,0,40,..,55,9,62,0,62,..,23,0,22,0,22,..,0,0,0,0,0,..,10,0,11,0,11,..,6,0,6,0,6,..,17,0,17,0,17,..,6,0,6,0,6,..,6,0,10,0,10,..,8,0,8,0,8,..,6,0,6,0,6,..,11,0,13,0,13,..,9,0,9,0,8,..,33,4,36,0,36,..,16,0,16,0,16,..,36,0,40,0,38,..,12,3,18,0,16,..,94,12,103,0,106,..,50,5,56,0,56,..,5,0,5,0,5,..,36,10,46,0,47,..,0,0,0,0,0,..,6,3,13,0,13,..,196,25,223,4,225,..,848,95,940,8,951,..,53,0,56,1908,1963,21829,903,94,991,1920,24744,44130,..,..,..,..,44130,..,51,0,51,0,51,..,45,3,50,3,51,..,89,3,96,0,96,..,23,4,31,0,31,..,96,49,143,0,143
SOSR131,0,41,..,770,87,863,6,867,..,1230,164,1393,5,1403,..,167,14,177,0,182,..,49,22,71,0,71,..,71,33,105,0,105,..,86,11,99,0,104,..,36,11,44,0,44,..,72,3,72,0,78,..,172,11,187,5,192,..,148,8,150,0,150,..,149,25,170,4,171,..,51,11,55,0,55,..,185,25,209,0,213,..,191,7,201,0,201,..,91,6,94,3,97,..,262,0,266,5,271,..,95,16,111,3,117,..,643,27,677,11,687,..,622,41,669,9,671,..,40,9,47,0,47,..,316,57,372,0,375,..,91,9,97,3,98,..,155,60,212,0,213,..,2689,248,2943,46,2992,..,11992,1587,13583,156,13743,..,500,37,542,20931,21466,242939,12490,1628,14118,21088,278147,499886,..,..,..,..,499886,..,627,18,644,5,648,..,2421,304,2723,17,2744,..,448,18,460,21,484,..,643,399,1046,13,1050,..,975,459,1432,37,1468
