SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR101,43244,15428,92069,731389,992709,441674,319624,1114343,232796,3832530
SOSR102,14395,5370,30494,170976,244207,113460,77890,213651,49195,869377
SOSR111,2215,708,4715,30418,43661,20166,13548,39515,9104,156414
SOSR112,8102,2428,16410,79338,115466,53332,36836,110019,32544,427530
SOSR113,3972,1189,7856,33671,50848,24506,18032,51267,15166,193489
SOSR114,4653,1265,9144,38182,56862,27382,20121,54448,16183,213174
SOSR115,5965,1739,11859,52386,82181,41697,30769,72745,24388,304163
SOSR121,902,352,2080,14434,22409,12009,8803,17260,5860,80771
SOSR122,450,145,1000,6908,10885,5811,4634,9485,3912,41640
SOSR131,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,23,19,49,1561,1512,614,402,2643,3376,10112
