SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR101,122198,69468,43466,24688,8885,1760,383075,1936,15982,19990,17561,13603,9897,3132,592,82702,66706,263228,218362,143501,95553,58768,23381,6713,876218,27547,71140,80642,76094,57537,35633,15996,5158,369753,38565,84213,78992,77487,66666,40067,20958,6745,413683,5217,5293,5799,6204,5691,3555,1276,338,33371,4049,7228,10293,14790,15814,12569,6287,2146,73175,47832,96728,95078,98484,88166,56195,28519,9232,520233,2020,5665,6085,5137,4982,4635,2839,1001,32359,33767,55988,46930,34924,30859,27806,24500,19323,274099,184599,616553,589292,445171,334169,217623,107252,43776,2538439
SOSR102,10802,8072,6365,4557,1498,263,41403,399,2891,3762,3497,3377,2930,783,149,17786,7794,32370,29279,21857,15232,12050,4746,1139,124468,3911,12807,16097,17908,15310,10612,4620,1222,82480,16066,33134,31028,31488,30441,19970,10075,3028,175222,2306,1868,1732,1830,1886,1422,519,120,11691,1155,1573,2169,3502,4447,4360,2172,623,20003,19519,36574,34932,36819,36779,25760,12757,3771,206913,344,582,695,802,1027,1187,809,274,5727,6982,7956,7505,7363,7836,9031,9492,7142,63316,39394,102592,103072,96315,85921,66128,34715,13960,542098
SOSR111,1283,951,759,520,175,32,4837,68,502,620,601,578,513,131,19,3033,858,4685,4538,3281,2196,1956,737,175,18429,575,2458,2840,2973,2645,1875,786,199,14360,3297,7798,6674,6044,5479,3517,1605,413,34828,469,526,392,339,323,248,72,14,2396,202,334,375,526,714,671,341,92,3253,3966,8655,7436,6907,6521,4439,2017,522,40476,44,100,114,121,109,186,126,36,841,1361,1698,1577,1378,1449,1551,1618,1016,11656,6919,19165,18413,16218,14256,11042,5606,2003,93628
SOSR112,3879,3198,2764,2283,971,244,17360,163,1268,1592,1669,1655,1563,515,83,8505,2419,12698,11309,8909,7186,6306,2861,817,52517,1419,5485,6372,7036,6946,5562,2725,892,36434,8027,18002,15156,14318,13901,9612,4762,1347,85133,1233,1305,925,925,955,746,282,68,6441,565,855,973,1455,1918,2098,1158,355,9372,9829,20164,17057,16698,16780,12449,6202,1772,100948,153,323,292,330,430,611,438,201,2773,5376,6251,5311,4959,4670,5161,5262,3559,40536,19523,50045,45812,42793,40426,33942,18974,7565,259081
SOSR113,1119,893,882,816,287,57,4985,43,415,574,573,679,661,220,26,3192,651,4081,3895,3219,2854,2907,1175,319,19102,507,2204,2847,3092,3237,2711,1243,308,16149,3384,8093,7170,7210,7331,5261,2513,657,41624,500,565,431,431,540,417,95,28,3006,219,413,440,623,942,1019,505,180,4333,4102,9067,8045,8267,8816,6699,3116,864,48966,55,116,131,149,223,282,217,70,1252,2183,2676,2409,2337,2533,2944,2743,1807,19630,7586,19458,19017,18532,19223,17022,8994,3443,113281
SOSR114,1391,1047,933,752,291,53,5737,62,504,738,716,674,723,212,29,3645,990,5149,4958,3790,2978,2773,1279,326,22242,631,2605,3063,3278,3189,2949,1416,404,17550,3831,8689,7722,7458,7800,5545,2728,761,44533,521,575,436,433,517,390,137,33,3057,259,393,459,757,1034,1051,565,169,4678,4613,9662,8623,8646,9350,6984,3431,968,52274,49,117,125,170,191,298,224,91,1266,2307,2675,2523,2426,2741,3189,3086,1895,20836,8716,21927,21418,20076,20046,17676,9929,3766,123546
SOSR115,1770,1679,1674,1627,524,89,8783,79,637,902,1041,1247,1245,315,37,5500,1081,6199,6496,5561,5029,4865,1904,457,31585,788,3192,4330,4936,5510,4627,2010,500,25889,4993,11770,11025,11010,11883,9096,4011,1025,64813,678,757,607,634,767,669,216,34,4370,315,497,688,962,1463,1571,850,215,6571,5982,13032,12321,12616,14111,11338,5079,1287,75749,69,155,197,200,348,452,313,88,1826,3306,3592,3599,3790,4411,5242,4667,2598,31205,11327,28189,29617,29818,32332,29395,14811,5048,180537
SOSR121,539,522,528,453,157,17,2526,15,152,270,318,369,378,81,11,1589,264,1510,1887,1869,1671,1415,409,67,9082,207,815,1242,1531,1596,1295,429,84,7195,1352,2897,3074,3490,3634,2616,957,193,18204,194,192,178,182,235,171,55,12,1214,84,130,175,297,458,462,173,31,1817,1631,3222,3430,3969,4333,3245,1182,230,21240,23,35,46,68,104,134,65,21,498,847,808,860,945,1188,1451,988,465,7558,2990,6836,8268,9216,9794,8367,3311,899,49680
SOSR122,211,219,250,235,74,3,1130,4,79,101,152,178,172,38,3,733,142,662,745,735,826,631,226,27,3992,96,355,499,725,828,619,218,40,3378,634,1447,1434,1667,1958,1368,443,62,9011,85,94,82,96,136,86,21,4,616,48,62,77,152,216,218,73,13,863,770,1601,1591,1921,2319,1678,534,87,10488,11,13,21,27,52,66,39,6,231,555,509,539,712,845,881,573,210,4823,1579,3349,3709,4485,5295,4285,1691,375,24775
SOSR131,2741,3532,3739,2999,945,120,15679,99,728,1399,2017,2280,1892,362,41,8816,2012,8731,11528,12825,11234,9059,2613,422,58433,1279,4099,6531,9873,10475,7333,2505,417,42518,7934,14884,16867,20701,21555,13031,4691,802,100464,1024,893,963,1273,1493,885,223,38,6793,568,702,1133,2097,2911,2481,912,149,10954,9522,16478,18969,24064,25961,16398,5819,998,118212,142,210,283,411,648,678,375,78,2822,6475,6027,6900,8194,9695,8761,5092,1540,52686,19612,37803,48362,60917,64023,47124,17711,3611,299166
