UCL_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
UCL101001,..,3472,10116,2596,2637,2788,2774,1741,846,1206,28177,..,4019,18079,7333,6920,6668,6883,2805,963,1659,55330,..,28,273,265,424,742,1489,973,816,444,5461,..,5,26,16,29,63,131,142,89,54,559,..,4064,18383,7613,7372,7481,8504,3923,1868,2158,61357,..,8,25,17,8,14,17,24,27,132,273,..,7542,28522,10225,10019,10277,11291,5689,2736,3494,89801,9108,11741,5064,1086,1302,1710,2128,1164,415,854,34574,10760,20238,19237,7983,10652,14925,16047,5850,672,1767,108129,214,185,626,482,748,1142,1576,537,173,206,5873,19,18,17,11,24,34,31,9,4,22,188,10997,20440,19877,8471,11418,16096,17656,6396,850,1998,114198,15,32,22,8,17,42,42,8,0,359,539,20116,32212,24964,9567,12735,17849,19823,7574,1268,3204,149311,24308,8569,17713,5636,6073,6856,7160,2653,725,1563,81262,36905,43222,64324,20000,22606,25183,25821,7168,1548,3359,250129,939,3375,7205,2493,2973,3286,3682,987,291,790,26018,52,47,73,23,29,48,57,11,0,68,409,37905,46643
UCL102001,..,22,49,18,8,18,10,17,13,5,154,..,15,65,19,40,24,37,0,0,6,206,..,0,0,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,5,0,0,6,..,15,65,19,41,24,38,7,4,6,222,..,0,0,0,0,0,0,0,0,0,0,..,40,110,31,47,38,50,24,17,15,375,59,60,33,8,0,11,5,0,0,3,186,25,59,55,25,40,42,28,8,0,3,281,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,59,59,25,40,40,28,8,0,3,283,0,0,0,0,0,0,0,0,0,0,0,83,121,90,29,42,48,29,9,4,8,468,146,57,60,9,9,3,16,6,0,7,325,64,153,400,168,212,186,100,27,0,9,1323,3,0,13,0,5,6,8,0,0,4,32,0,0,0,0,0,0,0,0,0,0,3,68,153
UCL102002,..,208,495,139,98,77,84,61,29,48,1237,..,68,298,80,89,73,83,37,12,22,767,..,0,6,9,5,5,15,10,16,0,70,..,0,0,0,0,0,0,0,0,0,0,..,68,305,89,90,82,101,47,30,22,840,..,0,0,0,0,0,0,0,0,5,5,..,278,796,230,188,156,181,110,64,81,2086,386,675,256,28,37,30,33,16,5,37,1510,104,249,230,63,54,82,107,32,7,14,942,4,0,0,0,0,8,9,3,4,0,28,0,0,0,0,0,0,0,0,0,0,7,110,252,231,66,57,85,114,38,13,15,984,0,0,0,0,0,0,0,0,0,3,9,495,923,491,95,98,116,146,49,23,55,2497,947,380,445,121,121,68,78,52,18,51,2274,270,374,847,259,245,250,191,78,18,47,2595,6,19,42,11,15,16,20,3,3,9,143,0,0,0,0,0,0,0,0,0,0,5,272,400
UCL102003,..,44,88,11,16,25,35,29,12,12,272,..,8,34,18,14,18,22,13,0,3,129,..,0,0,0,0,0,0,0,6,0,10,..,0,0,0,0,0,0,0,0,0,0,..,8,34,18,14,14,23,11,5,3,134,..,0,0,0,0,0,0,0,0,0,0,..,52,127,29,27,37,55,40,16,12,407,66,121,63,6,9,6,10,7,9,14,302,12,36,30,16,10,20,14,3,5,0,151,0,0,8,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,33,32,15,10,20,21,3,5,0,157,0,0,0,0,0,0,0,0,0,0,0,81,159,97,24,15,23,31,18,7,12,461,161,79,95,22,26,27,23,12,5,10,471,22,44,191,81,60,73,57,22,5,0,564,0,0,9,0,8,5,4,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,22,44
UCL102004,..,169,428,96,86,94,128,76,50,37,1166,..,83,390,158,144,182,189,57,26,44,1273,..,0,0,7,11,20,43,25,20,17,137,..,0,0,4,0,0,0,0,3,0,10,..,85,390,170,152,199,226,79,46,60,1417,..,0,0,0,0,0,5,0,0,0,4,..,254,826,270,239,294,355,156,102,97,2580,422,577,242,51,42,54,56,42,18,39,1539,114,353,334,145,209,235,292,116,21,31,1844,8,0,8,8,13,18,26,12,5,3,102,0,3,0,0,0,0,0,0,0,0,3,112,356,340,150,217,258,323,132,24,36,1954,0,0,0,0,0,0,0,0,0,4,5,537,932,585,200,264,311,378,173,39,81,3503,902,312,552,111,134,144,174,84,29,51,2488,305,529,1107,388,487,481,427,139,31,42,3940,6,26,98,45,43,57,54,15,8,17,353,0,3,3,0,0,0,0,0,0,0,8,310,555
UCL102005,..,120,373,66,83,59,73,47,23,38,874,..,91,400,129,101,164,147,52,8,37,1113,..,0,11,5,3,16,34,18,17,13,119,..,0,0,6,0,6,0,0,0,0,10,..,89,413,137,108,177,182,66,25,48,1244,..,0,5,0,0,0,0,0,0,0,3,..,213,784,205,188,244,254,112,48,86,2123,322,409,212,27,36,34,72,63,13,31,1217,151,324,416,173,154,214,309,196,9,36,1976,0,3,3,17,15,18,23,3,0,3,77,0,0,0,0,0,0,0,0,0,0,4,149,330,421,187,167,234,333,199,9,34,2060,0,0,0,0,0,0,0,0,0,7,8,475,737,630,212,202,272,399,260,22,71,3284,724,245,428,93,102,129,128,73,12,46,1984,450,396,1008,345,413,453,513,210,19,55,3857,8,30,66,38,20,38,55,13,4,3,280,0,0,0,0,0,0,0,0,0,0,3,460,425
UCL111001,..,21,44,7,4,8,10,8,5,4,127,..,9,68,23,30,46,40,14,3,9,247,..,0,0,3,0,5,9,6,3,0,26,..,0,0,0,0,0,0,0,0,0,4,..,9,72,24,29,52,51,14,3,8,276,..,0,0,0,0,0,0,0,0,0,0,..,29,124,33,38,65,62,25,12,11,396,38,60,20,8,3,9,3,0,0,4,141,11,70,100,26,41,52,46,3,0,9,348,0,0,6,0,3,4,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,11,70,103,28,43,47,47,3,3,9,375,0,0,0,0,0,0,0,0,0,0,0,47,132,128,35,43,57,52,9,3,14,512,102,44,44,8,13,19,11,10,6,3,256,31,144,371,98,119,95,63,24,3,5,953,0,3,31,6,12,9,9,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,31,147
UCL111002,..,31,71,10,31,19,14,7,0,0,197,..,17,75,26,60,75,76,17,0,23,367,..,0,6,0,4,12,32,11,0,6,72,..,0,0,0,0,0,5,0,0,0,3,..,17,80,32,60,90,107,22,0,35,440,..,0,0,0,0,0,0,0,0,5,3,..,47,154,46,88,104,126,34,0,43,639,42,89,32,9,12,8,6,8,0,9,215,9,48,94,35,50,42,58,7,5,3,356,4,4,3,0,5,14,21,8,0,0,55,0,0,0,0,0,0,0,0,0,0,4,11,55,105,36,56,53,77,13,11,7,414,0,0,0,0,0,0,0,0,0,0,0,53,149,135,41,64,65,86,17,11,14,628,91,43,70,26,12,14,13,6,4,8,292,29,76,132,45,54,60,53,26,29,10,521,10,4,28,12,21,34,66,9,4,0,186,0,0,0,0,0,0,0,0,5,5,10,36,82
UCL111003,..,31,94,32,12,18,22,10,0,7,224,..,26,81,9,16,25,27,9,4,8,206,..,0,3,0,0,0,3,3,0,3,19,..,0,0,0,0,0,0,0,0,0,0,..,26,85,9,15,25,28,18,10,6,218,..,0,0,0,0,0,0,0,0,0,0,..,52,174,38,29,48,55,21,11,19,449,59,115,51,4,4,8,3,4,0,6,254,22,92,86,17,7,27,20,11,4,0,272,0,0,5,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,22,92,94,17,11,27,18,11,6,5,286,0,0,0,0,0,0,0,0,0,0,3,77,209,142,18,10,27,23,14,5,12,540,205,76,93,12,10,22,17,10,5,10,452,56,121,243,78,65,91,86,12,10,0,767,4,9,20,9,8,19,24,3,0,0,106,0,0,0,0,0,0,0,0,0,0,0,61,130
UCL112001,..,9,38,8,13,9,8,7,0,0,89,..,7,34,11,20,83,123,11,0,13,301,..,0,0,0,0,10,40,9,5,0,69,..,0,0,0,0,0,0,0,0,0,4,..,7,32,11,26,96,169,19,5,16,369,..,0,0,0,0,0,0,0,0,0,0,..,13,75,20,38,103,172,22,5,11,455,24,55,17,0,0,3,0,9,0,6,124,14,44,28,20,22,57,82,24,0,5,290,0,0,0,0,0,15,37,9,0,0,56,0,0,0,0,0,0,0,0,0,0,0,14,44,28,20,24,70,118,30,0,5,350,0,0,0,0,0,0,0,0,0,3,3,38,99,42,20,25,77,121,36,0,11,477,42,14,26,10,18,4,7,3,0,0,128,21,37,101,38,60,138,180,28,7,10,619,4,3,0,0,0,8,31,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,25,38
