region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,31,45,149,268,674,1475,1675,1496,881,6694,17,36,106,141,305,355,395,407,110,1872,432,600,1240,1088,1279,1131,1083,1148,756,8757,4169,10529,21620,20240,20924,16188,10766,7910,3745,116091
CED102,29,27,131,255,680,1866,2645,2226,953,8812,0,33,95,134,223,490,587,582,199,2343,440,721,1800,1482,1289,1293,1176,1168,686,10055,3539,9146,22885,21514,18384,15197,10843,7852,3560,112920
CED103,20,63,62,155,372,816,1007,1148,635,4278,8,25,86,115,163,189,228,286,91,1191,329,756,1172,928,964,961,839,996,797,7742,4005,12376,22325,21405,20855,16206,10176,7691,3454,118493
CED104,17,30,40,88,178,369,564,547,348,2181,6,7,24,53,47,80,103,132,50,502,199,222,332,472,701,608,589,527,450,4100,3973,8367,11424,18253,21442,17557,10517,5215,2231,98979
CED105,63,127,639,1137,1773,2153,2036,1876,1002,10806,26,75,320,527,915,901,793,682,224,4463,722,1013,2073,1955,1821,1613,1321,1162,612,12292,5561,11500,23509,20801,20105,15796,9633,7004,3045,116954
CED106,27,18,41,73,138,255,345,385,345,1627,0,13,43,44,73,48,73,96,53,443,362,337,678,802,864,697,581,798,853,5972,3665,8292,13629,19862,21775,16299,11220,7975,4477,107194
CED107,75,85,213,386,872,1703,1696,1653,887,7570,9,12,42,63,75,87,106,68,32,494,570,763,1290,1397,1354,1450,1489,1294,554,10161,4850,9101,15886,18341,19708,17972,12630,7739,2829,109056
CED108,86,67,160,244,669,1270,1201,1341,929,5967,6,10,28,51,69,78,70,45,35,392,334,288,551,734,887,972,1109,1182,784,6841,4526,7871,14577,17046,17987,16964,11709,7352,3315,101347
CED109,127,141,416,685,1355,2263,1815,1209,602,8613,15,31,142,186,281,309,309,224,92,1589,743,791,1464,1603,1575,1605,1294,874,364,10313,6774,11864,23794,23146,21754,16621,9258,4611,1669,119491
CED110,15,23,68,109,249,576,739,894,685,3358,4,7,29,36,51,65,86,73,39,390,249,373,981,925,925,872,853,1119,733,7030,3490,8370,18371,20207,18699,15941,11100,8261,3629,108068
