region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED101,13724,1845,2342,24,3,17938,10539,2169,3989,18,5,16720,2562,943,5073,130,7,8715,988,656,1450,0,3,3097,972,291,1055,45,3,2366,79,114,152,4,0,349,123,58,85,3,3,272,116,28,93,3,0,240,4840,2090,7908,185,16,15039,164,83,138,0,0,385,690,205,414,0,0,1309,29957,6392,14791,227,24,51391
CED102,13870,1938,2497,71,27,18403,9114,1832,4316,37,30,15329,2787,927,6104,180,37,10035,216,251,665,0,0,1132,1103,288,1022,56,11,2480,84,37,97,4,3,225,133,36,91,33,0,293,142,27,89,0,0,258,4465,1566,8068,273,51,14423,140,32,98,0,0,270,829,124,469,24,0,1446,28418,5492,15448,405,108,49871
CED103,14122,1887,2059,16,3,18087,11147,2373,3152,5,0,16677,2775,1639,6600,32,6,11052,579,599,906,4,3,2091,1217,432,1022,18,5,2694,62,103,325,0,3,493,126,140,95,9,0,370,124,40,86,4,0,254,4883,2953,9034,67,17,16954,125,97,274,0,3,499,590,131,356,3,3,1083,30867,7441,14875,91,26,53300
CED104,15935,862,372,87,9,17265,17013,986,282,19,11,18311,2529,507,386,22,3,3447,106,67,90,0,0,263,1205,127,136,39,3,1510,52,47,69,0,4,172,157,29,0,22,4,212,153,16,10,0,0,179,4202,793,691,83,14,5783,267,134,54,0,11,466,435,70,53,6,0,564,37852,2845,1452,195,45,42389
CED105,12103,1330,978,28,12,14451,10197,2384,2340,26,21,14968,3029,1084,3511,40,16,7680,2203,1021,2040,0,9,5273,1761,390,517,28,4,2700,112,186,229,0,4,531,337,66,107,33,0,543,193,35,69,3,0,300,7635,2782,6473,104,33,17027,210,43,74,0,0,327,1130,234,453,12,3,1832,31275,6773,10318,170,69,48605
CED106,15882,1091,2753,6,11,19743,13510,642,3178,11,11,17352,2512,409,3818,11,18,6768,47,120,262,0,0,429,973,123,856,4,15,1971,48,47,224,0,3,322,96,15,81,4,4,200,105,12,70,0,0,187,3781,726,5311,19,40,9877,132,97,261,0,0,490,443,102,270,0,5,820,33748,2658,11773,36,67,48282
CED107,18222,556,232,125,14,19149,16857,315,139,48,20,17379,5368,1205,1185,57,6,7821,1768,248,399,6,0,2421,2762,219,199,38,10,3228,162,84,86,6,0,338,554,27,34,54,5,674,407,21,27,7,0,462,11021,1804,1930,168,21,14944,280,52,27,3,3,365,1207,139,125,78,4,1553,47587,2866,2453,422,62,53390
CED108,15581,987,443,178,9,17198,17794,350,154,15,9,18322,4268,599,488,30,7,5392,1128,454,206,0,0,1788,2191,224,170,13,5,2603,166,154,114,0,0,434,247,81,15,107,0,450,176,15,25,6,0,222,8176,1527,1018,156,12,10889,170,149,120,0,0,439,857,128,112,36,0,1133,42578,3141,1847,385,30,47981
CED109,10538,638,102,85,3,11366,17756,2038,284,13,0,20091,5388,1493,858,17,3,7759,4432,1245,687,0,0,6364,1984,326,108,20,3,2441,133,55,89,0,0,277,237,44,17,81,4,383,163,32,22,4,0,221,12337,3195,1781,122,10,17445,212,68,12,0,0,292,1139,164,138,22,0,1463,41982,6103,2317,242,13,50657
CED110,13816,2421,2720,56,3,19016,12721,1923,3718,10,3,18375,1836,1076,5361,52,3,8328,244,395,773,0,0,1412,840,246,978,25,0,2089,63,56,178,0,0,297,97,198,52,32,3,382,87,14,63,3,3,170,3167,1985,7405,112,9,12678,112,45,245,0,0,402,536,189,411,7,0,1143,30352,6563,14499,185,15,51614
