region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,1040,1334,2205,2423,2675,1619,209,21,4,11530,679,413,706,622,576,1176,1644,1256,665,7737,61,81,117,117,100,113,119,134,72,914,1780,1828,3028,3162,3351,2908,1972,1411,741,20181,484,1453,3073,3048,3487,2012,223,17,0,13797,1012,801,1105,1403,1359,1176,308,34,0,7198,68,105,211,187,154,174,54,7,4,964,61,70,94,93,83,56,11,6,0,474,1625,2429,4483,4731,5083,3418,596,64,4,22433,126,143,188,140,129,82,0,0,0,808,175,87,80,85,69,64,3,6,0,569,301,230,268,225,198,146,3,6,0,1377,1926,2659,4751,4956,5281,3564,599,70,4,23810,1486,612,949,920,909,1894,2907,2184,959,12820,135,173,274,269,248,235,221,225,99,1879,3547,3444,5974,6145,6438,5693,3727,2479,1062,38509
LGA10110,559,723,857,1032,1339,840,152,19,3,5524,603,522,371,316,272,476,790,558,259,4167,58,92,79,86,71,59,60,83,45,633,1220,1337,1307,1434,1682,1375,1002,660,307,10324,185,577,1079,1258,1730,1108,162,29,0,6128,530,561,507,584,663,546,185,36,0,3612,67,67,74,47,92,68,29,3,3,450,39,18,24,34,36,29,8,0,0,188,821,1223,1684,1923,2521,1751,384,68,3,10378,54,64,101,73,59,33,0,0,0,384,151,134,58,32,35,27,5,0,0,442,205,198,159,105,94,60,5,0,0,826,1026,1421,1843,2028,2615,1811,389,68,3,11204,1169,913,590,473,466,779,1370,934,403,7097,111,153,182,180,151,128,112,120,66,1203,2306,2487,2615,2681,3232,2718,1871,1122,472,19504
LGA10150,330,1117,3009,2519,2271,1209,165,13,6,10639,541,377,687,602,497,773,1069,1050,718,6314,52,99,248,166,141,116,105,124,146,1197,923,1593,3944,3287,2909,2098,1339,1187,870,18150,84,846,4114,3411,3024,1667,190,14,3,13353,394,1016,1479,1234,1083,680,207,23,3,6119,21,52,226,201,102,80,15,4,0,701,22,48,121,78,98,54,14,6,6,447,521,1962,5940,4924,4307,2481,426,47,12,20620,22,111,213,159,148,95,4,0,0,752,90,138,143,78,75,62,11,0,0,597,112,249,356,237,223,157,15,0,0,1349,633,2211,6296,5161,4530,2638,441,47,12,21969,1178,749,1022,824,762,1269,1899,1891,1024,10618,99,230,542,369,305,234,195,242,198,2414,1910,3190,7860,6354,5597,4141,2535,2180,1234,35001
LGA10200,496,1751,4035,2765,2601,1359,135,11,3,13156,1585,1156,2505,1959,1637,1701,1415,997,524,13479,127,238,466,325,284,166,133,77,49,1865,2208,3145,7006,5049,4522,3226,1683,1085,576,28500,166,1620,6235,4362,3965,2081,229,10,0,18668,541,1495,2389,1521,1339,783,156,20,3,8247,43,96,292,174,137,133,16,4,6,901,61,198,324,200,195,95,19,4,0,1096,811,3409,9240,6257,5636,3092,420,38,9,28912,74,254,512,324,262,142,5,0,0,1573,184,289,248,181,135,91,11,3,4,1146,258,543,760,505,397,233,16,3,4,2719,1069,3952,10000,6762,6033,3325,436,41,13,31631,3298,2246,3926,3024,2615,2831,2738,1811,778,23267,309,626,1194,702,639,387,258,162,70,4347,4676,6824,15120,10488,9287,6543,3432,2014,861,59245
LGA10250,675,578,1157,2006,2424,1581,259,28,3,8711,450,179,449,551,547,1319,1815,1502,765,7577,38,31,68,87,80,98,95,131,109,737,1163,788,1674,2644,3051,2998,2169,1661,877,17025,204,566,1390,2166,2707,1772,241,24,3,9073,802,451,754,1314,1489,1239,342,51,8,6450,53,34,117,142,164,168,40,4,6,728,30,34,54,58,85,57,12,11,3,344,1089,1085,2315,3680,4445,3236,635,90,20,16595,83,86,120,131,129,84,4,0,0,637,117,57,59,85,79,73,6,3,0,479,200,143,179,216,208,157,10,3,0,1116,1289,1228,2494,3896,4653,3393,645,93,20,17711,1028,299,635,803,935,2246,3292,2618,1214,13070,76,73,150,189,191,205,183,219,168,1454,2393,1600,3279,4888,5779,5844,4120,2930,1402,32235
LGA10300,20,40,73,101,135,78,15,0,3,465,41,13,32,37,37,63,72,58,20,373,0,5,8,9,15,10,3,7,3,60,61,58,113,147,187,151,90,65,26,898,23,47,112,148,189,131,26,0,0,676,22,27,35,55,61,55,15,0,0,270,0,0,3,6,9,5,8,6,0,37,3,3,6,13,7,7,5,0,3,47,48,77,156,222,266,198,54,6,3,1030,3,0,7,0,3,6,0,0,0,19,8,4,3,7,4,0,0,0,0,26,11,4,10,7,7,6,0,0,0,45,59,81,166,229,273,204,54,6,3,1075,72,19,41,47,57,103,126,101,28,594,8,13,13,22,29,22,17,17,6,147,139,113,220,298,359,329,197,124,37,1816
LGA10350,2075,3989,7483,7500,7586,4056,526,50,6,33271,3905,1865,4522,4432,3991,5013,5144,4572,2135,35579,293,331,732,706,620,508,411,462,390,4453,6273,6185,12737,12638,12197,9577,6081,5084,2531,73303,901,4127,11212,10821,10938,6059,806,34,8,44906,2147,2708,3520,4263,4098,2660,687,72,7,20162,167,247,704,493,465,342,84,7,0,2509,179,367,513,507,438,225,51,12,0,2292,3394,7449,15949,16084,15939,9286,1628,125,15,69869,297,683,870,615,639,362,9,0,0,3475,534,369,352,411,329,232,31,6,0,2264,831,1052,1222,1026,968,594,40,6,0,5739,4225,8501,17171,17110,16907,9880,1668,131,15,75608,8032,3281,6024,5871,5941,8138,9674,8040,3334,58335,690,704,1484,1408,1292,1102,821,786,575,8862,12947,12486,24679,24389,24140,19120,12163,8957,3924,142805
LGA10470,753,1057,1507,1896,2026,1307,213,29,4,8792,650,404,541,490,437,797,1153,891,417,5780,57,79,94,100,86,110,100,96,39,761,1460,1540,2142,2486,2549,2214,1466,1016,460,15333,345,1116,2138,2505,2791,1774,251,29,3,10952,779,770,767,1022,992,838,298,48,6,5520,75,84,155,126,133,114,31,8,0,726,27,33,57,79,65,45,13,7,4,330,1226,2003,3117,3732,3981,2771,593,92,13,17528,69,130,111,97,63,50,0,0,0,520,154,111,69,51,48,29,10,0,0,472,223,241,180,148,111,79,10,0,0,992,1449,2244,3297,3880,4092,2850,603,92,13,18520,1449,784,981,835,768,1403,2132,1514,578,10444,129,172,208,213,193,221,197,168,58,1559,3027,3200,4486,4928,5053,4474,2932,1774,649,30523
LGA10550,488,364,771,1375,2063,1338,205,19,5,6628,485,115,407,402,518,1297,1604,996,396,6220,36,28,62,69,87,105,90,106,95,678,1009,507,1240,1846,2668,2740,1899,1121,496,13526,241,452,947,1491,2210,1418,215,22,0,6996,554,257,494,956,1354,1167,288,37,5,5112,45,34,96,101,166,176,40,6,0,664,37,11,32,61,57,43,19,9,0,269,877,754,1569,2609,3787,2804,562,74,5,13041,61,71,78,82,108,90,3,0,0,493,54,20,32,52,70,90,13,3,0,334,115,91,110,134,178,180,16,3,0,827,992,845,1679,2743,3965,2984,578,77,5,13868,992,192,524,602,897,2292,3130,1871,669,11169,73,57,124,151,173,241,187,187,128,1321,2057,1094,2327,3496,5035,5517,3895,2135,802,26358
LGA10600,163,124,246,578,839,508,85,10,0,2553,236,84,175,232,237,438,601,371,177,2551,6,4,17,13,26,24,24,32,13,159,405,212,438,823,1102,970,710,413,190,5263,64,115,282,516,801,519,93,13,4,2407,185,89,176,456,614,457,87,22,0,2086,5,7,18,36,48,50,12,0,0,176,3,12,18,21,24,18,12,0,0,108,257,223,494,1029,1487,1044,204,35,4,4777,32,28,53,42,52,27,6,0,0,240,31,12,25,41,38,22,6,0,0,175,63,40,78,83,90,49,12,0,0,415,320,263,572,1112,1577,1093,216,35,4,5192,469,133,246,334,414,827,1119,711,293,4546,17,21,32,33,64,55,46,46,20,334,806,417,850,1479,2055,1975,1381,792,317,10072
