region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,166,1008,2630,781,512,343,81,17,0,5538,263,873,857,256,184,302,234,139,42,3150,114,383,720,207,172,145,75,34,19,1869,543,2264,4207,1244,868,790,390,190,61,10557,26,581,3341,1298,882,580,130,20,4,6862,191,863,1690,343,210,193,112,34,4,3640,6,62,150,65,31,26,10,0,0,350,11,55,120,25,23,10,6,0,0,250,234,1561,5301,1731,1146,809,258,54,8,11102,6,85,182,58,40,22,0,0,0,393,57,254,178,31,26,22,0,0,0,568,63,339,360,89,66,44,0,0,0,961,297,1900,5661,1820,1212,853,258,54,8,12063,511,1583,1497,375,300,469,421,267,83,5506,236,838,1621,490,378,322,172,72,34,4163,1044,4321,8779,2685,1890,1644,851,393,125,21732
POA2006,119,176,10,9,8,3,0,0,0,325,88,104,12,3,5,3,3,3,3,224,14,52,10,0,0,0,3,0,0,79,221,332,32,12,13,6,6,3,3,628,3,9,6,10,14,9,0,0,0,51,119,198,33,3,3,0,0,0,0,356,14,27,3,0,4,0,0,0,0,48,0,3,0,0,0,0,0,0,0,3,136,237,42,13,21,9,0,0,0,458,3,0,0,3,0,0,0,0,0,6,39,45,0,0,0,0,0,0,0,84,42,45,0,3,0,0,0,0,0,90,178,282,42,16,21,9,0,0,0,548,155,205,38,6,8,3,6,9,6,436,36,85,20,0,3,4,6,3,0,157,369,572,100,22,32,16,12,12,6,1141
POA2007,74,388,768,230,136,59,15,3,0,1673,119,410,204,80,43,55,48,50,13,1022,45,157,224,76,24,20,17,9,4,576,238,955,1196,386,203,134,80,62,17,3271,16,171,1131,395,197,108,17,0,0,2035,67,345,364,95,64,36,11,0,0,982,6,17,35,22,3,4,3,3,0,93,5,14,31,11,3,3,3,0,0,70,94,547,1561,523,267,151,34,3,0,3180,0,29,69,22,7,5,0,0,0,132,45,123,64,14,7,0,0,0,0,253,45,152,133,36,14,5,0,0,0,385,139,699,1694,559,281,156,34,3,0,3565,233,706,400,119,64,95,92,93,21,1823,105,373,525,162,54,41,31,16,4,1311,477,1778,2619,840,399,292,157,112,25,6699
POA2008,77,407,796,275,167,78,14,6,0,1820,60,241,154,37,35,45,55,21,8,656,16,69,89,44,34,21,6,4,4,287,153,717,1039,356,236,144,75,31,12,2763,8,305,1167,472,308,135,22,3,0,2420,72,330,361,143,66,57,9,6,0,1044,0,22,62,20,0,10,3,0,0,117,3,7,28,7,7,3,0,0,0,55,83,664,1618,642,381,205,34,9,0,3636,3,29,46,35,11,4,0,0,0,128,29,88,48,15,8,4,3,0,0,195,32,117,94,50,19,8,3,0,0,323,115,781,1712,692,400,213,37,9,0,3959,123,445,307,87,77,109,113,48,13,1322,39,159,214,108,75,63,22,9,7,696,277,1385,2233,887,552,385,172,66,20,5977
POA2009,47,332,1592,677,433,292,63,5,0,3441,70,115,313,171,126,177,158,72,17,1219,10,61,215,104,82,48,26,4,5,555,127,508,2120,952,641,517,247,81,22,5215,8,343,2570,1226,679,470,87,3,0,5386,46,204,488,227,161,166,73,8,0,1373,0,16,84,55,37,24,3,0,0,219,0,15,36,17,10,0,0,0,0,78,54,578,3178,1525,887,660,163,11,0,7056,4,28,89,57,40,18,3,0,0,239,15,51,40,11,17,5,0,0,0,139,19,79,129,68,57,23,3,0,0,378,73,657,3307,1593,944,683,166,11,0,7434,147,221,456,229,174,271,294,143,28,1963,32,131,488,217,155,107,51,17,5,1203,252,1009,4251,2039,1273,1061,511,171,33,10600
POA2010,91,840,3311,1317,713,420,88,6,0,6786,94,187,376,221,163,254,297,245,177,2014,29,146,491,189,128,95,65,52,30,1225,214,1173,4178,1727,1004,769,450,303,207,10025,44,877,5756,2953,1623,715,119,8,4,12099,89,538,1225,603,356,283,106,5,0,3205,6,30,182,116,55,30,8,6,0,433,4,30,70,40,38,18,10,0,0,210,143,1475,7233,3712,2072,1046,243,19,4,15947,9,54,165,148,82,47,5,0,0,510,23,70,109,46,29,31,0,0,0,308,32,124,274,194,111,78,5,0,0,818,175,1599,7507,3906,2183,1124,248,19,4,16765,184,346,679,476,490,597,635,502,243,4152,66,307,1229,667,413,283,182,111,47,3305,425,2252,9415,5049,3086,2004,1065,632,294,24222
POA2011,63,526,2047,1081,637,517,127,13,5,5016,108,56,202,173,149,230,299,223,143,1583,32,128,393,211,140,146,66,78,102,1296,203,710,2642,1465,926,893,492,314,250,7895,69,683,3486,2119,1239,736,173,11,0,8516,34,282,605,403,271,293,142,37,8,2075,6,21,91,83,43,30,10,6,0,290,7,31,42,26,14,9,7,3,0,139,116,1017,4224,2631,1567,1068,332,57,8,11020,5,36,102,88,60,44,5,0,0,340,9,36,58,32,26,27,3,0,0,191,14,72,160,120,86,71,8,0,0,531,130,1089,4384,2751,1653,1139,340,57,8,11551,166,132,343,320,327,483,604,429,217,3021,67,261,797,489,348,297,153,125,127,2664,363,1482,5524,3560,2328,1919,1097,611,352,17236
POA2015,44,265,1166,705,358,189,26,0,0,2753,54,44,102,111,57,81,90,59,20,618,9,20,83,55,32,20,12,10,6,247,107,329,1351,871,447,290,128,69,26,3618,16,313,1948,1240,651,273,35,4,0,4480,45,155,285,264,148,92,26,0,0,1015,6,12,76,53,17,14,4,0,0,182,3,6,19,14,7,8,0,0,0,57,70,486,2328,1571,823,387,65,4,0,5734,6,9,40,30,23,14,0,0,0,122,9,22,27,9,11,5,3,0,0,86,15,31,67,39,34,19,3,0,0,208,85,517,2395,1610,857,406,68,4,0,5942,108,85,149,144,98,138,167,100,23,1012,19,42,197,130,77,41,30,24,10,570,212,644,2741,1884,1032,585,265,128,33,7524
POA2016,44,387,1216,600,379,219,45,9,0,2899,60,90,142,136,120,193,311,236,64,1352,17,69,174,107,79,65,58,56,22,647,121,546,1532,843,578,477,414,301,86,4898,13,379,2006,1248,778,346,49,7,0,4826,52,315,462,260,197,139,46,10,0,1481,0,26,79,56,27,14,0,0,0,202,7,6,24,18,13,11,10,0,0,89,72,726,2571,1582,1015,510,105,17,0,6598,6,25,64,61,55,31,4,0,0,246,12,45,41,19,21,11,0,3,0,152,18,70,105,80,76,42,4,3,0,398,90,796,2676,1662,1091,552,109,20,0,6996,127,204,279,280,298,413,583,423,100,2707,37,160,390,264,226,158,128,105,33,1501,254,1160,3345,2206,1615,1123,820,548,133,11204
POA2017,82,482,1529,601,347,196,23,3,0,3263,185,389,262,187,202,296,276,186,77,2060,31,124,276,118,94,91,77,53,24,888,298,995,2067,906,643,583,376,242,101,6211,17,451,2564,1249,554,248,24,3,0,5110,76,306,473,246,147,141,41,8,0,1438,7,33,94,56,30,11,0,0,3,234,3,19,35,20,14,10,3,0,0,104,103,809,3166,1571,745,410,68,11,3,6886,8,40,102,53,55,34,0,0,0,292,42,119,60,26,19,25,3,0,0,294,50,159,162,79,74,59,3,0,0,586,153,968,3328,1650,819,469,71,11,3,7472,392,769,447,309,375,563,600,369,113,3937,86,279,566,266,218,201,175,125,36,1952,631,2016,4341,2225,1412,1233,846,505,152,13361
