region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
1100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100102,48,0,0,0,0,48,136,6,3,0,0,145,11,0,0,0,0,11,5,0,3,0,0,8,152,6,6,0,0,164,10,0,0,3,0,13,210,6,6,3,0,225
1100103,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6
1100104,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6
1100105,36,9,0,0,0,45,58,10,0,0,0,68,3,0,0,0,0,3,9,3,0,0,0,12,70,13,0,0,0,83,0,0,0,0,0,0,106,22,0,0,0,128
1100106,6,5,0,12,0,23,14,13,0,15,0,42,0,0,0,0,0,0,0,6,0,0,0,6,14,19,0,15,0,48,0,0,0,0,0,0,20,24,0,27,0,71
1100107,10,10,4,0,0,24,51,4,0,0,0,55,4,5,0,0,0,9,0,0,0,0,0,0,55,9,0,0,0,64,3,0,4,0,0,7,68,19,8,0,0,95
1100108,22,0,0,0,0,22,66,0,0,0,0,66,3,0,0,0,0,3,3,0,0,0,0,3,72,0,0,0,0,72,5,0,0,0,0,5,99,0,0,0,0,99
1100109,28,0,3,0,0,31,66,0,0,0,0,66,9,0,0,0,0,9,11,0,0,0,0,11,86,0,0,0,0,86,7,0,0,0,0,7,121,0,3,0,0,124
1100110,52,7,9,0,0,68,100,7,7,0,0,114,10,0,0,0,0,10,7,0,3,0,0,10,117,7,10,0,0,134,4,0,3,0,0,7,173,14,22,0,0,209
1100111,49,0,0,0,0,49,137,3,0,0,0,140,16,0,0,0,0,16,4,0,0,0,0,4,157,3,0,0,0,160,3,0,0,0,0,3,209,3,0,0,0,212
1100112,14,0,0,0,0,14,110,0,0,0,0,110,12,0,0,0,0,12,3,0,0,0,0,3,125,0,0,0,0,125,3,0,0,0,0,3,142,0,0,0,0,142
1100113,45,0,3,0,0,48,109,0,0,0,0,109,4,0,0,0,0,4,4,0,0,0,0,4,117,0,0,0,0,117,3,0,0,0,0,3,165,0,3,0,0,168
1100114,48,4,0,0,0,52,77,4,0,0,0,81,4,0,0,0,0,4,10,0,0,0,0,10,91,4,0,0,0,95,4,0,0,0,0,4,143,8,0,0,0,151
1100115,50,10,9,0,0,69,91,24,3,3,0,121,8,0,0,0,0,8,6,0,3,0,0,9,105,24,6,3,0,138,4,3,3,0,0,10,159,37,18,3,0,217
1100116,43,15,7,0,0,65,90,12,12,0,0,114,5,0,3,0,0,8,3,3,3,0,0,9,98,15,18,0,0,131,5,0,0,0,0,5,146,30,25,0,0,201
