region_id,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
10101,360,1653,283,2296,227,1227,174,1628,437,2356,382,3175,912,3082,422,4416,1212,3354,400,4966,1150,3167,336,4653,835,2186,310,3331,297,1150,268,1715,38,332,94,464,5468,18507,2669,26644,382,1443,262,2087,241,1234,101,1576,558,2622,179,3359,1297,3098,241,4636,1271,3225,215,4711,1337,2995,237,4569,987,1961,326,3274,445,1250,359,2054,70,684,189,943,6588,18512,2109,27209,742,3096,545,4383,468,2461,275,3204,995,4978,561,6534,2209,6180,663,9052,2483,6579,615,9677,2487,6162,573,9222,1822,4147,636,6605,742,2400,627,3769,108,1016,283,1407,12056,37019,4778,53853
10102,256,1327,224,1807,198,1355,128,1681,437,2706,257,3400,750,3211,271,4232,959,3051,311,4321,727,2327,229,3283,379,1113,156,1648,98,510,110,718,9,108,45,162,3813,15708,1731,21252,317,1215,166,1698,195,1296,85,1576,542,2818,194,3554,1050,3104,219,4373,991,2883,224,4098,751,2121,187,3059,452,1059,132,1643,122,586,137,845,21,294,76,391,4441,15376,1420,21237,573,2542,390,3505,393,2651,213,3257,979,5524,451,6954,1800,6315,490,8605,1950,5934,535,8419,1478,4448,416,6342,831,2172,288,3291,220,1096,247,1563,30,402,121,553,8254,31084,3151,42489
10103,130,473,98,701,77,350,82,509,172,648,128,948,303,819,176,1298,452,911,170,1533,387,829,121,1337,254,549,88,891,83,302,80,465,22,95,30,147,1880,4976,973,7829,107,378,75,560,59,327,41,427,183,672,87,942,430,753,115,1298,459,904,88,1451,393,728,84,1205,279,464,79,822,129,292,78,499,23,187,50,260,2062,4705,697,7464,237,851,173,1261,136,677,123,936,355,1320,215,1890,733,1572,291,2596,911,1815,258,2984,780,1557,205,2542,533,1013,167,1713,212,594,158,964,45,282,80,407,3942,9681,1670,15293
10104,354,1491,301,2146,165,896,96,1157,318,1760,175,2253,744,2479,266,3489,1192,3268,316,4776,1485,3965,391,5841,1230,2980,416,4626,470,1622,368,2460,65,515,137,717,6023,18976,2466,27465,352,1377,245,1974,174,821,73,1068,464,1864,184,2512,1085,2481,215,3781,1456,3529,275,5260,1802,3850,354,6006,1452,2578,397,4427,580,1630,453,2663,93,891,229,1213,7458,19021,2425,28904,706,2868,546,4120,339,1717,169,2225,782,3624,359,4765,1829,4960,481,7270,2648,6797,591,10036,3287,7815,745,11847,2682,5558,813,9053,1050,3252,821,5123,158,1406,366,1930,13481,37997,4891,56369
10201,894,4030,696,5620,535,3728,371,4634,936,6542,578,8056,1600,7863,649,10112,2012,8284,810,11106,1776,7538,664,9978,1351,5215,689,7255,647,3269,711,4627,134,1280,361,1775,9885,47749,5529,63163,955,3659,493,5107,651,3430,259,4340,1266,6721,463,8450,2722,7757,577,11056,2708,8754,710,12172,2269,7852,621,10742,1921,5338,743,8002,933,4276,1009,6218,197,2334,825,3356,13622,50121,5700,69443,1849,7689,1189,10727,1186,7158,630,8974,2202,13263,1041,16506,4322,15620,1226,21168,4720,17038,1520,23278,4045,15390,1285,20720,3272,10553,1432,15257,1580,7545,1720,10845,331,3614,1186,5131,23507,97870,11229,132606
10202,555,4085,656,5296,405,3418,275,4098,640,6462,471,7573,1144,7374,598,9116,1278,7581,627,9486,1114,6761,601,8476,1043,5119,657,6819,473,3120,704,4297,75,996,315,1386,6727,44916,4904,56547,613,3889,551,5053,505,3348,253,4106,1050,6805,410,8265,1958,7572,542,10072,1671,7855,565,10091,1550,7168,483,9201,1397,5526,807,7730,647,3737,987,5371,113,1804,528,2445,9504,47704,5126,62334,1168,7974,1207,10349,910,6766,528,8204,1690,13267,881,15838,3102,14946,1140,19188,2949,15436,1192,19577,2664,13929,1084,17677,2440,10645,1464,14549,1120,6857,1691,9668,188,2800,843,3831,16231,92620,10030,118881
10301,248,1274,218,1740,284,1254,308,1846,300,1869,427,2596,478,1945,339,2762,588,2027,236,2851,601,1843,210,2654,421,1148,174,1743,149,588,139,876,22,166,27,215,3091,12114,2078,17283,346,1092,160,1598,365,1201,96,1662,383,1841,124,2348,676,2000,139,2815,752,1987,130,2869,674,1739,174,2587,476,1073,174,1723,233,717,182,1132,35,413,67,515,3940,12063,1246,17249,594,2366,378,3338,649,2455,404,3508,683,3710,551,4944,1154,3945,478,5577,1340,4014,366,5720,1275,3582,384,5241,897,2221,348,3466,382,1305,321,2008,57,579,94,730,7031,24177,3324,34532
10302,283,1237,268,1788,191,1024,127,1342,494,1821,220,2535,781,2053,245,3079,1014,2520,252,3786,1008,2517,271,3796,752,1819,302,2873,350,1117,310,1777,39,343,88,470,4912,14451,2083,21446,356,1137,233,1726,200,904,81,1185,640,1891,162,2693,1115,1988,186,3289,1133,2296,208,3637,1165,2182,236,3583,992,1576,309,2877,536,1140,308,1984,115,720,139,974,6252,13834,1862,21948,639,2374,501,3514,391,1928,208,2527,1134,3712,382,5228,1896,4041,431,6368,2147,4816,460,7423,2173,4699,507,7379,1744,3395,611,5750,886,2257,618,3761,154,1063,227,1444,11164,28285,3945,43394
10303,181,1079,222,1482,125,894,142,1161,258,1595,283,2136,497,2017,295,2809,681,2274,289,3244,644,2179,264,3087,520,1619,254,2393,167,824,183,1174,16,208,54,278,3089,12689,1986,17764,225,945,181,1351,151,818,78,1047,303,1678,124,2105,740,1898,187,2825,770,2161,170,3101,757,1980,205,2942,646,1397,223,2266,251,860,225,1336,34,456,114,604,3877,12193,1507,17577,406,2024,403,2833,276,1712,220,2208,561,3273,407,4241,1237,3915,482,5634,1451,4435,459,6345,1401,4159,469,6029,1166,3016,477,4659,418,1684,408,2510,50,664,168,882,6966,24882,3493,35341
10304,320,1321,248,1889,240,1254,121,1615,380,2441,207,3028,627,2569,246,3442,748,2595,236,3579,722,2330,231,3283,514,1412,227,2153,216,862,179,1257,35,233,47,315,3802,15017,1742,20561,401,1316,190,1907,257,1231,97,1585,523,2593,174,3290,927,2502,218,3647,889,2620,188,3697,871,2176,180,3227,688,1325,189,2202,359,954,216,1529,61,525,91,677,4976,15242,1543,21761,721,2637,438,3796,497,2485,218,3200,903,5034,381,6318,1554,5071,464,7089,1637,5215,424,7276,1593,4506,411,6510,1202,2737,416,4355,575,1816,395,2786,96,758,138,992,8778,30259,3285,42322
