region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10101,0,152,69,34,74,74,46,19,4,472,0,107,182,201,419,686,790,827,367,3579,100,156,87,73,103,95,98,48,12,772,6285,3415,3162,4380,4486,4259,2980,1798,596,31361,0,182,2472,5061,5679,5662,3866,1659,276,24857,0,701,1276,1123,865,534,170,43,3,4715,0,163,471,815,619,267,175,170,91,2771,12723,0,0,0,0,0,0,0,0,12723,0,2628,0,0,0,0,0,0,0,2628,0,1996,654,320,245,118,15,0,0,3348,0,253,93,70,99,144,128,111,53,951,0,147,82,47,43,33,18,4,0,374,0,288,195,117,165,153,101,40,7,1066,0,264,465,600,1063,1371,1364,1190,487,6804,224,329,203,171,195,195,160,78,24,1579,12947,6951,5911,8324,8973,8477,5997,3295,941,61816
10102,0,113,102,52,58,58,25,18,3,429,0,113,300,280,369,484,393,318,165,2422,68,123,104,61,46,76,51,16,11,556,5139,3105,3337,4154,3821,2823,1504,744,283,24910,0,172,2717,5071,4946,3733,1897,692,71,19299,0,576,1306,1051,807,395,85,12,0,4232,0,100,308,548,594,252,97,77,43,2019,10318,0,0,0,0,0,0,0,0,10318,0,2497,0,0,0,0,0,0,0,2497,0,1869,690,224,131,52,11,0,0,2977,0,247,161,76,82,123,78,76,52,895,0,151,98,47,36,29,11,3,3,378,0,267,288,129,161,121,58,30,6,1060,0,235,689,778,896,951,658,463,219,4889,145,233,213,149,129,138,80,27,14,1128,10463,6347,6470,8073,7782,5794,2975,1380,408,49692
10103,0,70,55,13,23,20,12,6,0,199,0,39,65,56,136,215,182,209,102,1004,41,49,38,23,34,45,23,9,12,274,1580,820,798,1150,1304,1085,745,440,182,8104,0,32,538,1336,1571,1374,979,421,95,6346,0,192,387,333,278,152,55,14,0,1411,0,27,85,172,195,66,49,34,37,665,3192,0,0,0,0,0,0,0,0,3192,0,621,0,0,0,0,0,0,0,621,0,408,92,66,49,40,0,4,0,659,0,65,23,10,10,23,30,23,12,196,0,59,28,16,10,3,3,3,0,122,0,143,141,40,57,49,19,19,0,468,0,109,170,180,365,468,345,306,143,2086,87,93,83,58,62,82,53,25,12,555,3279,1749,1547,2211,2597,2257,1533,849,299,16321
10104,0,119,51,43,135,124,72,44,15,603,0,76,133,178,519,856,917,949,425,4053,110,149,84,76,133,237,182,87,23,1081,5311,2849,2343,3582,4919,5484,4037,2347,770,31642,0,115,1500,3512,5100,6839,5513,2534,464,25577,0,560,1059,1179,1212,936,344,67,4,5361,0,123,467,851,850,280,121,150,89,2931,10685,0,0,0,0,0,0,0,0,10685,0,2428,0,0,0,0,0,0,0,2428,0,1563,460,282,220,122,15,0,0,2662,0,194,69,51,95,152,117,127,97,902,0,144,85,52,57,38,13,7,6,402,0,270,167,131,253,259,145,95,26,1346,0,166,381,560,1233,1699,1569,1427,602,7637,231,311,214,182,287,445,345,147,34,2196,10916,5874,4402,6800,9307,10770,8182,4554,1322,62127
10201,0,341,315,136,224,265,149,83,28,1541,0,185,424,500,911,1846,2172,2534,1403,9975,198,392,223,141,151,211,180,114,54,1664,14403,8992,8019,10528,11517,10052,7390,5542,2309,78752,0,388,6291,12185,13267,12111,8554,4988,1204,58988,0,1221,3016,2429,2011,1173,462,126,27,10465,0,255,952,2058,2457,1004,434,431,266,7857,28876,0,0,0,0,0,0,0,0,28876,0,7903,0,0,0,0,0,0,0,7903,0,5850,2245,846,601,358,47,0,0,9947,0,610,303,165,287,407,414,383,199,2768,0,476,307,168,162,89,51,19,12,1284,0,699,835,368,511,521,335,176,44,3489,0,396,1025,1368,2160,3213,3293,3381,1887,16723,402,761,512,351,317,384,332,168,70,3297,29278,18559,15486,19938,21773,19260,13922,9672,3709,151597
10202,0,245,196,126,235,274,203,81,19,1379,0,158,340,376,817,1517,1995,2000,924,8127,258,408,196,126,147,210,180,122,47,1694,14204,8740,7930,9656,9661,8710,7190,4801,1687,72579,0,490,5991,10050,10604,10121,8330,4526,864,50976,0,1453,3222,2486,1761,967,408,114,13,10424,0,432,1442,2561,2223,909,417,412,268,8664,28634,0,0,0,0,0,0,0,0,28634,0,6629,0,0,0,0,0,0,0,6629,0,5878,1885,821,597,318,58,3,0,9560,0,641,308,175,347,444,378,378,218,2889,0,560,275,176,200,119,51,28,11,1420,0,468,556,354,538,554,400,176,42,3088,0,358,918,1306,1996,2748,3127,2886,1296,14635,503,800,477,332,317,352,302,170,63,3316,29137,17709,15074,18261,18583,16532,13471,8693,2775,140235
10301,0,342,69,42,44,50,31,19,3,600,0,113,157,132,232,389,436,437,214,2110,55,146,53,35,53,69,43,34,5,493,4113,2710,2227,2675,2723,2379,1569,1003,334,19733,0,136,1764,3059,3321,3180,1972,932,135,14499,0,684,956,633,517,295,95,7,3,3190,0,139,343,505,440,176,103,75,28,1809,8438,0,0,0,0,0,0,0,0,8438,0,1735,0,0,0,0,0,0,0,1735,0,1246,409,172,128,39,6,0,0,2000,0,194,67,41,61,80,80,65,50,638,0,147,62,36,32,19,5,3,3,307,0,668,231,113,90,95,70,34,6,1307,0,231,406,422,616,778,720,614,269,4056,119,287,143,95,92,118,83,47,11,995,8557,5467,4381,5076,5297,4780,3134,1777,505,38974
10302,0,117,57,35,51,66,44,24,14,408,0,116,157,155,348,548,682,761,382,3149,102,130,60,61,63,97,87,54,24,678,5290,2626,2548,3124,3429,3347,2644,1749,628,25385,0,148,2089,3477,4324,4514,3330,1736,318,19936,0,648,1078,767,583,381,147,28,0,3632,0,166,397,647,495,220,158,156,75,2314,10604,0,0,0,0,0,0,0,0,10604,0,1917,0,0,0,0,0,0,0,1917,0,1345,441,254,246,105,14,5,0,2410,0,251,75,56,90,119,141,88,42,862,0,132,44,28,31,16,14,6,0,271,0,303,152,89,120,122,86,50,14,936,0,289,443,508,915,1201,1208,1165,503,6232,210,265,150,137,148,170,155,83,33,1351,10814,5464,4869,5963,6952,6848,5253,3317,985,50465
10303,0,82,44,38,57,56,41,29,3,350,0,60,103,120,275,494,568,482,227,2329,86,121,54,45,69,88,74,33,23,593,3856,2227,1981,2671,2920,2719,2074,1161,381,19990,0,129,1540,2983,3447,3469,2558,1130,150,15406,0,537,899,734,628,320,118,23,6,3265,0,150,312,516,452,181,115,117,70,1913,7882,0,0,0,0,0,0,0,0,7882,0,1560,0,0,0,0,0,0,0,1560,0,1300,394,227,176,86,17,0,0,2200,0,191,59,49,73,89,118,89,37,705,0,105,46,39,36,20,11,7,3,267,0,179,128,93,122,134,94,54,6,810,0,194,312,405,764,1046,1072,728,287,4808,176,267,141,120,145,155,134,52,26,1216,8058,4612,3831,5166,5843,5500,4237,2200,585,40032
10304,0,192,112,36,52,38,31,19,0,480,0,100,215,200,337,558,571,592,268,2841,115,151,101,37,71,61,63,50,17,666,5606,3137,3118,3431,3506,3008,2005,1365,455,25631,0,211,2540,4090,4325,3915,2500,1275,207,19063,0,681,1227,760,558,307,95,18,6,3652,0,170,423,651,572,215,112,138,62,2343,11286,0,0,0,0,0,0,0,0,11286,0,2102,0,0,0,0,0,0,0,2102,0,1731,514,230,192,94,12,0,0,2773,0,231,90,52,88,136,94,98,46,835,0,182,72,49,34,18,9,0,4,368,0,400,299,101,124,113,66,31,4,1138,0,252,530,542,752,1058,940,822,354,5250,223,277,208,111,136,115,97,77,23,1267,11509,6237,5903,6586,6781,5971,3925,2459,706,50077
