region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
10101,6388,577,431,70,4,12,55,7537
10102,5929,520,311,45,3,5,29,6842
10103,1638,113,89,13,3,6,9,1871
10104,5076,537,322,51,0,11,60,6057
10201,16137,1464,894,131,12,17,92,18747
10202,13285,1512,1052,165,20,23,139,16196
10301,4018,374,231,36,3,7,26,4695
10302,4815,364,301,56,3,10,72,5621
10303,3832,360,275,50,6,7,48,4578
10304,5360,434,326,48,8,13,29,6218
10401,3832,367,291,57,3,20,46,4616
10402,6948,693,449,77,4,9,59,8239
10501,2005,139,122,65,3,8,42,2384
10502,1551,167,114,22,3,3,20,1880
10503,5998,449,369,81,9,8,109,7023
10601,8168,763,599,105,13,16,88,9752
10602,7078,636,457,60,9,17,46,8303
10603,6068,608,409,66,12,9,49,7221
10604,2850,234,222,29,0,3,28,3366
10701,7690,638,428,81,5,18,60,8920
10702,0,0,0,0,0,0,0,0
10703,9091,856,507,105,9,22,66,10656
10704,12331,835,486,85,6,13,45,13801
10801,2047,203,116,19,0,6,36,2427
10802,3303,293,248,54,4,11,55,3968
10803,35,0,0,0,0,0,0,35
10804,5907,607,369,59,0,6,62,7010
10805,3947,372,286,65,8,8,60,4746
10901,5317,433,283,40,5,3,52,6133
10902,1144,75,77,10,0,3,24,1333
10903,3404,261,216,29,0,9,33,3952
11001,3170,219,154,36,7,11,28,3625
11002,3066,293,228,36,3,4,40,3670
11003,2368,147,161,42,0,7,36,2761
11004,6871,647,410,73,6,15,66,8088
11101,12110,1050,630,141,7,26,92,14056
11102,6571,702,467,80,10,14,68,7912
11103,13956,1241,714,109,9,24,85,16138
11201,6249,573,330,49,3,8,45,7257
11202,5880,551,420,71,4,15,62,7003
11203,6942,717,420,90,9,13,48,8239
11301,4759,294,242,50,3,8,44,5400
11302,1315,131,86,5,3,0,13,1553
11303,8304,671,493,66,6,5,81,9626
11401,7331,690,476,84,5,18,96,8700
11402,4149,327,229,25,0,10,29,4769
11501,20739,947,473,195,3,8,37,22402
11502,3421,218,130,30,0,4,12,3815
11503,2968,201,153,40,4,6,14,3386
11504,4114,228,145,40,0,3,20,4550
11601,15582,884,556,278,19,16,61,17396
11602,11110,614,432,135,4,9,32,12336
11603,11927,796,603,249,26,24,86,13711
11701,4554,250,121,62,3,0,12,5002
11702,4448,253,99,49,3,3,25,4880
11703,7226,555,122,48,3,5,27,7986
11801,10666,624,198,35,0,0,14,11537
11802,12351,659,265,90,0,7,38,13410
11901,19633,990,560,274,16,23,55,21551
11902,15880,752,354,231,7,17,36,17277
11903,14516,752,339,188,3,17,41,15856
11904,14248,729,282,162,6,7,39,15473
12001,8737,447,160,70,3,10,14,9441
12002,5209,335,97,22,0,7,11,5681
12003,15160,690,263,166,5,9,34,16327
12101,12427,581,188,81,3,3,22,13305
12102,10453,552,232,71,3,7,30,11348
12103,16056,644,266,100,0,8,24,17098
12104,7385,451,104,23,0,3,10,7976
12201,4441,254,92,15,0,4,8,4814
12202,7127,512,248,50,4,0,13,7954
12203,17715,1060,460,125,10,6,24,19400
12301,6895,576,414,60,7,10,31,7993
12302,16471,1293,896,305,21,41,122,19149
12303,4421,331,267,58,3,6,30,5116
12401,8003,703,396,55,3,6,48,9214
12402,0,0,0,0,0,0,0,0
12403,14440,1257,845,187,18,27,77,16851
12404,3640,364,252,37,7,9,30,4339
12405,6044,478,360,91,6,17,42,7038
12501,8906,430,165,175,0,9,38,9723
12502,7973,376,167,99,0,12,11,8638
12503,16230,814,461,258,10,9,64,17846
12504,14687,668,284,143,3,12,39,15836
12601,6281,268,99,57,0,3,10,6718
12602,14378,657,229,143,9,10,28,15454
12701,10827,580,374,179,15,18,46,12039
12702,22060,1178,611,464,16,32,82,24443
12703,13539,732,473,190,12,11,48,15005
12801,12128,775,383,57,4,10,30,13387
12802,14748,894,448,94,0,11,33,16228
19797,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0
