region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10101,0,6804,6804,8729,479,9208,3434,35,3469,3335,12,3347,1648,4,1652,770,0,770,17916,7334,25250
10102,0,4890,4890,5795,432,6227,3001,63,3064,3222,10,3232,1383,6,1389,557,0,557,13958,5401,19359
10103,0,2085,2085,2394,162,2556,846,38,884,904,10,914,364,7,371,144,0,144,4652,2302,6954
10104,0,7637,7637,10867,605,11472,3347,61,3408,2681,9,2690,1261,3,1264,608,0,608,18764,8315,27079
10201,0,16724,16724,19420,1470,20890,8806,193,8999,9304,36,9340,3881,9,3890,1642,7,1649,43053,18439,61492
10202,0,14634,14634,17756,1359,19115,8255,119,8374,7974,38,8012,3703,7,3710,1862,4,1866,39550,16161,55711
10301,0,4055,4055,5021,420,5441,2182,104,2286,2152,44,2196,1045,12,1057,493,5,498,10893,4640,15533
10302,0,6235,6235,7370,394,7764,2625,46,2671,2287,9,2296,1413,3,1416,724,0,724,14419,6687,21106
10303,0,4809,4809,5741,373,6114,2192,22,2214,2067,6,2073,1033,0,1033,436,3,439,11469,5213,16682
10304,0,5255,5255,6312,421,6733,2749,73,2822,2736,31,2767,1482,6,1488,711,4,715,13990,5790,19780
10401,0,5271,5271,7080,456,7536,2485,44,2529,2155,16,2171,1003,0,1003,571,0,571,13294,5787,19081
10402,0,8370,8370,10899,905,11804,4282,129,4411,3988,34,4022,1796,9,1805,849,0,849,21814,9447,31261
10501,0,3008,3008,2885,222,3107,1141,18,1159,1036,7,1043,615,3,618,404,0,404,6081,3258,9339
10502,0,2843,2843,2823,159,2982,1104,7,1111,871,5,876,397,0,397,218,0,218,5413,3014,8427
10503,0,6658,6658,8043,585,8628,3402,66,3468,3189,13,3202,1701,3,1704,928,3,931,17263,7328,24591
10601,0,6700,6700,9418,628,10046,4601,72,4673,4545,11,4556,2157,7,2164,1018,3,1021,21739,7421,29160
10602,0,4945,4945,7229,469,7698,3824,56,3880,3964,17,3981,1697,3,1700,765,0,765,17479,5490,22969
10603,0,6171,6171,9220,509,9729,3407,47,3454,3419,8,3427,1585,0,1585,757,0,757,18388,6735,25123
10604,0,2841,2841,3457,308,3765,1524,26,1550,1512,8,1520,796,3,799,303,0,303,7592,3186,10778
10701,0,6045,6045,8026,457,8483,4179,46,4225,4389,8,4397,1887,3,1890,883,0,883,19364,6559,25923
10702,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
10703,0,6275,6275,9755,441,10196,4853,47,4900,5141,9,5150,2269,3,2272,1031,0,1031,23049,6775,29824
10704,0,12539,12539,13694,1616,15310,6615,530,7145,6723,237,6960,2724,96,2820,1040,31,1071,30796,15049,45845
10801,0,3800,3800,4909,302,5211,1378,23,1401,1161,3,1164,535,0,535,230,0,230,8213,4128,12341
10802,0,5384,5384,6622,482,7104,2320,24,2344,1829,3,1832,963,3,966,618,0,618,12352,5896,18248
10803,0,42,42,45,3,48,19,0,19,22,0,22,3,0,3,0,0,0,89,45,134
10804,0,8019,8019,11211,684,11895,3610,70,3680,3323,5,3328,1491,6,1497,650,0,650,20285,8784,29069
10805,0,5590,5590,7683,468,8151,2539,37,2576,2169,10,2179,1074,0,1074,562,3,565,14027,6108,20135
10901,0,6487,6487,7089,704,7793,3004,139,3143,2859,44,2903,1272,10,1282,549,3,552,14773,7387,22160
10902,0,1272,1272,1672,82,1754,627,10,637,548,0,548,296,0,296,163,0,163,3306,1364,4670
10903,0,4744,4744,6122,309,6431,1753,31,1784,1759,4,1763,890,0,890,404,0,404,10928,5088,16016
11001,0,3611,3611,4373,381,4754,1710,84,1794,1657,27,1684,813,11,824,375,5,380,8928,4119,13047
11002,0,4326,4326,5269,296,5565,1846,33,1879,1593,3,1596,869,3,872,457,0,457,10034,4661,14695
11003,0,2526,2526,2958,193,3151,1256,14,1270,1228,9,1237,650,0,650,364,0,364,6456,2742,9198
11004,0,7780,7780,9867,688,10555,4100,77,4177,3779,18,3797,1800,9,1809,819,0,819,20365,8572,28937
11101,0,10771,10771,14687,865,15552,6759,118,6877,7066,32,7098,2781,4,2785,1068,5,1073,32361,11795,44156
11102,0,5919,5919,8870,540,9410,3913,50,3963,3801,15,3816,1749,4,1753,752,0,752,19085,6528,25613
11103,0,17898,17898,18618,2618,21236,8649,837,9486,7776,294,8070,3108,119,3227,1157,68,1225,39308,21834,61142
11201,0,8017,8017,9766,1091,10857,3951,244,4195,3552,88,3640,1435,12,1447,629,6,635,19333,9458,28791
11202,0,7257,7257,8737,825,9562,3631,150,3781,3302,56,3358,1587,17,1604,842,6,848,18099,8311,26410
11203,0,9569,9569,11876,1097,12973,4435,122,4557,3884,33,3917,1811,10,1821,813,6,819,22819,10837,33656
11301,0,4315,4315,5201,325,5526,2290,41,2331,2290,8,2298,1338,5,1343,649,6,655,11768,4700,16468
11302,0,1589,1589,1943,84,2027,707,7,714,698,0,698,313,3,316,159,0,159,3820,1683,5503
11303,0,8703,8703,10925,925,11850,4450,196,4646,4230,65,4295,2271,17,2288,1088,0,1088,22964,9906,32870
11401,0,9946,9946,13583,769,14352,4591,72,4663,4173,17,4190,1853,6,1859,858,0,858,25058,10810,35868
11402,0,4329,4329,6131,276,6407,2117,26,2143,2226,13,2239,1079,3,1082,505,0,505,12058,4647,16705
