region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
SED10001,40,1387,529,180,1273,1.1,975,2.4
SED10002,32,2000,412,350,1153,1.3,1127,3.1
SED10003,44,1733,489,300,1118,1.1,913,2.4
SED10004,37,3000,990,450,2636,1.2,1981,2.2
SED10005,33,1950,385,320,1086,1.3,998,3.1
SED10006,39,1083,471,125,1098,1.1,882,2.4
SED10007,39,1517,506,190,1341,1.1,1026,2.5
SED10008,38,2405,697,415,2035,1.1,1835,2.9
SED10009,49,1314,438,208,972,1.1,815,2.3
SED10010,33,2000,536,300,1385,1.2,1274,3.0
SED10011,42,1820,578,275,1568,1.1,1223,2.5
SED10012,43,1300,485,160,1177,1.1,912,2.4
SED10013,36,1690,349,250,946,1.3,926,3.2
SED10014,33,2167,655,320,1764,1.1,1639,3.1
SED10015,34,1798,542,260,1353,1.1,1194,2.8
SED10016,38,2167,533,340,1413,1.2,1266,2.7
SED10017,39,2600,707,460,2266,1.1,2090,3.1
SED10018,37,1600,491,240,1321,1.1,1108,2.6
SED10019,40,1800,555,270,1485,1.1,1193,2.5
SED10020,45,1300,398,210,932,1.1,771,2.4
SED10021,43,1560,465,250,1084,1.1,893,2.4
SED10022,34,2700,902,475,2423,1.2,1856,2.3
SED10023,39,2500,745,370,1971,1.1,1534,2.5
SED10024,42,3000,775,650,2624,1.1,2460,3.0
SED10025,36,2600,773,470,2102,1.2,1794,2.5
SED10026,38,1360,522,170,1211,1.1,967,2.5
SED10027,38,2167,535,340,1517,1.1,1309,2.9
SED10028,39,2462,677,413,2112,1.1,1786,2.8
SED10029,34,1818,362,280,998,1.3,897,3.0
SED10030,42,1816,505,270,1261,1.1,960,2.3
SED10031,43,1733,532,220,1317,1.1,1041,2.4
SED10032,31,1993,433,320,1165,1.3,1074,2.9
SED10033,37,2500,698,400,2068,1.1,1931,3.2
SED10034,38,2262,701,360,1948,1.1,1683,2.8
SED10035,34,2522,721,420,1868,1.2,1470,2.3
SED10036,38,2383,694,390,2085,1.1,1828,2.9
SED10037,39,2000,502,240,1492,1.1,1113,2.5
SED10038,41,1820,532,265,1422,1.1,1177,2.6
SED10039,37,2167,543,370,1465,1.2,1333,2.8
SED10040,40,2817,779,470,2536,1.1,2110,2.8
SED10041,43,1733,501,250,1322,1.1,1062,2.5
SED10042,34,1950,398,290,1084,1.3,958,2.9
SED10043,39,2800,847,420,2535,1.1,1979,2.6
SED10044,42,1415,437,220,1033,1.1,848,2.4
SED10045,32,1842,410,270,1174,1.2,1071,3.1
SED10046,34,1950,555,260,1386,1.1,1225,2.8
SED10047,33,2167,525,300,1439,1.1,1345,3.2
SED10048,36,1733,569,260,1576,1.1,1329,2.7
SED10049,36,2870,920,480,2504,1.2,1996,2.5
SED10050,38,2600,624,360,1792,1.2,1376,2.6
SED10051,34,2500,781,385,2053,1.2,1635,2.3
SED10052,35,2300,719,370,2030,1.1,1871,3.1
SED10053,39,2500,688,370,1991,1.1,1640,2.7
SED10054,38,1910,743,250,1839,1.1,1456,2.5
SED10055,31,1900,488,270,1277,1.2,1222,3.3
SED10056,33,2000,640,320,1641,1.1,1505,3.0
SED10057,44,1083,444,140,1024,1.1,824,2.3
SED10058,38,1300,484,150,1154,1.1,925,2.5
SED10059,48,1300,397,200,917,1.1,752,2.3
SED10060,37,1900,625,275,1674,1.1,1205,2.2
SED10061,37,2800,1195,480,2792,1.2,2269,2.1
SED10062,41,1235,444,170,1054,1.1,845,2.4
SED10063,37,2167,569,360,1564,1.2,1336,2.7
SED10064,38,1595,532,205,1354,1.1,1066,2.5
SED10065,46,1300,388,200,902,1.1,750,2.4
SED10066,33,2058,591,340,1494,1.2,1328,2.6
SED10067,35,1950,622,280,1582,1.1,1308,2.6
SED10068,42,2817,755,462,2103,1.1,1746,2.7
SED10069,48,1690,445,250,996,1.1,827,2.3
SED10070,43,1700,480,250,1160,1.1,932,2.4
SED10071,32,2383,705,350,1892,1.1,1771,3.1
SED10072,37,2200,571,380,1484,1.2,1293,2.6
SED10073,36,2232,602,360,1759,1.2,1425,2.6
SED10074,38,1800,465,245,1278,1.1,1053,2.7
SED10075,36,2167,507,350,1486,1.1,1458,3.3
SED10076,46,1500,406,220,939,1.1,785,2.3
SED10077,34,2167,544,389,1515,1.3,1359,2.7
SED10078,44,1733,475,253,1238,1.1,940,2.5
SED10079,32,2596,931,490,2390,1.3,1670,1.9
SED10080,40,1387,504,200,1175,1.1,945,2.5
SED10081,43,2086,565,315,1524,1.1,1220,2.6
SED10082,40,1800,504,270,1287,1.1,1019,2.5
SED10083,36,2022,569,300,1536,1.1,1343,2.8
SED10084,45,1800,449,300,1070,1.1,856,2.3
SED10085,38,1733,547,200,1466,1.1,1196,2.5
SED10086,36,3000,1044,510,2658,1.2,2126,2.3
SED10087,36,1517,564,210,1370,1.1,1102,2.5
SED10088,39,2600,706,428,1972,1.1,1654,2.7
SED10089,36,1733,514,275,1460,1.1,1157,2.5
SED10090,37,2817,916,481,2532,1.2,2032,2.5
SED10091,35,2000,595,285,1567,1.1,1422,3.0
SED10092,37,1733,429,240,1225,1.1,944,2.4
SED10093,38,1733,468,265,1190,1.1,960,2.6
SED19494,37,0,349,0,0,0,0,0
SED19797,63,0,471,0,0,0,0,0
