region_id,SEO_Males,SEO_Females,SEO_Persons,SOL_Arabic_M,SOL_Arabic_F,SOL_Arabic_P,SOL_Assyrian_M,SOL_Assyrian_F,SOL_Assyrian_P,SOL_Aus_Indig_Lang_M,SOL_Aus_Indig_Lang_F,SOL_Aus_Indig_Lang_P,SOL_Chin_lang_Cant_M,SOL_Chin_lang_Cant_F,SOL_Chin_lang_Cant_P,SOL_Chin_lang_Mand_M,SOL_Chin_lang_Mand_F,SOL_Chin_lang_Mand_P,SOL_Chin_lang_Other_M,SOL_Chin_lang_Other_F,SOL_Chin_lang_Other_P,SOL_Chin_lang_Tot_M,SOL_Chin_lang_Tot_F,SOL_Chin_lang_Tot_P,SOL_Croatian_M,SOL_Croatian_F,SOL_Croatian_P,SOL_Dutch_M,SOL_Dutch_F,SOL_Dutch_P,SOL_French_M,SOL_French_F,SOL_French_P,SOL_German_M,SOL_German_F,SOL_German_P,SOL_Greek_M,SOL_Greek_F,SOL_Greek_P,SOL_Hungarian_M,SOL_Hungarian_F,SOL_Hungarian_P,SOL_In_Ar_Lang_Beng_M,SOL_In_Ar_Lang_Beng_F,SOL_In_Ar_Lang_Beng_P,SOL_In_Ar_Lang_Hind_M,SOL_In_Ar_Lang_Hind_F,SOL_In_Ar_Lang_Hind_P,SOL_In_Ar_Lang_Punj_M,SOL_In_Ar_Lang_Punj_F,SOL_In_Ar_Lang_Punj_P,SOL_In_Ar_Lang_Sinh_M,SOL_In_Ar_Lang_Sinh_F,SOL_In_Ar_Lang_Sinh_P,SOL_In_Ar_Lang_Urdu_M,SOL_In_Ar_Lang_Urdu_F,SOL_In_Ar_Lang_Urdu_P,SOL_In_Ar_Lang_Othr_M,SOL_In_Ar_Lang_Othr_F,SOL_In_Ar_Lang_Othr_P,SOL_In_Ar_Lang_Tot_M,SOL_In_Ar_Lang_Tot_F,SOL_In_Ar_Lang_Tot_P,SOL_Ir_Lang_Dari_M,SOL_Ir_Lang_Dari_F,SOL_Ir_Lang_Dari_P,SOL_Ir_La_Pe_excl_Da_M,SOL_Ir_La_Pe_excl_Da_F,SOL_Ir_La_Pe_excl_Da_P,SOL_Irani_Lan_Othr_M,SOL_Irani_Lan_Othr_F,SOL_Irani_Lan_Othr_P,SOL_Iran_Lan_Tot_M,SOL_Iran_Lan_Tot_F,SOL_Iran_Lan_Tot_P,SOL_Italian_M,SOL_Italian_F,SOL_Italian_P,SOL_Japanese_M,SOL_Japanese_F,SOL_Japanese_P,SOL_Khmer_M,SOL_Khmer_F,SOL_Khmer_P,SOL_Korean_M,SOL_Korean_F,SOL_Korean_P,SOL_Macedonian_M,SOL_Macedonian_F,SOL_Macedonian_P,SOL_Maltese_M,SOL_Maltese_F,SOL_Maltese_P,SOL_Polish_M,SOL_Polish_F,SOL_Polish_P,SOL_Portuguese_M,SOL_Portuguese_F,SOL_Portuguese_P,SOL_Russian_M,SOL_Russian_F,SOL_Russian_P,SOL_Samoan_M,SOL_Samoan_F,SOL_Samoan_P,SOL_Serbian_M,SOL_Serbian_F,SOL_Serbian_P,SOL_Se_As_A_L_Filipino_M,SOL_Se_As_A_L_Filipino_F,SOL_Se_As_A_L_Filipino_P,SOL_Se_As_A_L_Indon_M,SOL_Se_As_A_L_Indon_F,SOL_Se_As_A_L_Indon_P,SOL_Se_As_A_L_Tagal_M,SOL_Se_As_A_L_Tagal_F,SOL_Se_As_A_L_Tagal_P,SOL_Se_As_A_L_Othr_M,SOL_Se_As_A_L_Othr_F,SOL_Se_As_A_L_Othr_P,SOL_Se_As_A_L_Tot_M,SOL_Se_As_A_L_Tot_F,SOL_Se_As_A_L_Tot_P,SOL_Spanish_M,SOL_Spanish_F,SOL_Spanish_P,SOL_Tamil_M,SOL_Tamil_F,SOL_Tamil_P,SOL_Thai_M,SOL_Thai_F,SOL_Thai_P,SOL_Turkish_M,SOL_Turkish_F,SOL_Turkish_P,SOL_Vietnamese_M,SOL_Vietnamese_F,SOL_Vietnamese_P,SOL_Other_M,SOL_Other_F,SOL_Other_P,SOL_Tot_M,SOL_Tot_F,SOL_Tot_P,Language_spoken_home_ns_M,Language_spoken_home_ns_F,Language_spoken_home_ns_P,Total_M,Total_F,Total_P
SED10001,32162,33734,65896,64,46,110,0,0,0,10,5,15,39,39,78,34,36,70,4,5,9,77,80,157,30,28,58,42,51,93,31,40,71,82,112,194,83,92,175,13,16,29,58,41,99,59,53,112,50,34,84,11,11,22,14,13,27,177,153,330,369,305,674,0,0,0,10,6,16,3,3,6,13,9,22,94,87,181,4,12,16,3,0,3,11,17,28,4,0,4,3,0,3,20,27,47,3,6,9,15,18,33,3,0,3,18,18,36,29,57,86,4,13,17,32,72,104,9,14,23,74,156,230,38,35,73,13,16,29,11,41,52,3,4,7,13,13,26,299,309,608,1443,1543,2986,1701,1414,3115,35306,36691,71997
SED10002,10713,9930,20643,6537,6204,12741,31,20,51,4,0,4,3937,4282,8219,3518,3729,7247,458,490,948,7913,8501,16414,371,355,726,13,9,22,68,66,134,60,64,124,447,473,920,23,44,67,375,271,646,614,565,1179,416,287,703,75,77,152,1062,783,1845,1092,793,1885,3634,2776,6410,517,410,927,880,570,1450,132,97,229,1529,1077,2606,448,459,907,39,60,99,36,33,69,1942,2108,4050,85,66,151,34,50,84,97,130,227,75,71,146,181,215,396,120,148,268,75,88,163,217,295,512,269,287,556,371,505,876,37,56,93,894,1143,2037,323,367,690,853,865,1718,67,131,198,2538,2531,5069,1803,2022,3825,1924,1958,3882,32164,32034,64198,4396,2793,7189,47273,44757,92030
SED10003,29036,31187,60223,21,13,34,0,3,3,18,10,28,32,37,69,32,38,70,3,7,10,67,82,149,15,17,32,68,85,153,112,136,248,180,229,409,38,43,81,8,14,22,0,0,0,8,5,13,34,31,65,4,0,4,5,4,9,8,8,16,59,48,107,0,0,0,12,12,24,0,0,0,12,12,24,150,147,297,71,107,178,3,3,6,9,7,16,5,3,8,10,10,20,14,20,34,43,44,87,8,15,23,3,3,6,6,6,12,11,26,37,20,26,46,9,34,43,5,5,10,45,91,136,88,110,198,8,3,11,38,45,83,4,4,8,26,25,51,252,281,533,1381,1616,2997,1456,1352,2808,31873,34155,66028
SED10004,27377,29832,57209,167,171,338,11,6,17,5,5,10,330,457,787,337,548,885,54,98,152,721,1103,1824,76,80,156,73,95,168,255,258,513,230,277,507,499,557,1056,40,56,96,36,25,61,89,82,171,17,15,32,20,23,43,11,8,19,58,49,107,231,202,433,3,5,8,72,60,132,0,0,0,75,65,140,1554,1715,3269,129,223,352,5,11,16,91,128,219,43,50,93,44,59,103,67,86,153,119,132,251,50,87,137,6,13,19,73,99,172,35,58,93,102,114,216,41,100,141,20,30,50,198,302,500,382,437,819,25,18,43,122,194,316,83,104,187,228,312,540,517,564,1081,6119,7409,13528,2536,2151,4687,36032,39392,75424
SED10005,10484,10672,21156,12033,11844,23877,74,78,152,3,0,3,1018,1155,2173,912,1022,1934,96,101,197,2026,2278,4304,134,134,268,14,9,23,95,122,217,48,75,123,1455,1522,2977,27,39,66,308,283,591,242,296,538,72,58,130,35,33,68,614,497,1111,96,86,182,1367,1253,2620,55,45,100,79,69,148,65,69,134,199,183,382,748,825,1573,13,20,33,16,20,36,339,364,703,1008,951,1959,45,61,106,144,191,335,120,143,263,45,54,99,240,293,533,89,97,186,81,114,195,316,367,683,161,229,390,23,38,61,581,748,1329,289,304,593,37,27,64,43,74,117,147,139,286,4288,4592,8880,1075,1133,2208,26742,27573,54315,2721,2503,5224,39947,40748,80695
SED10006,31034,30331,61365,22,20,42,0,0,0,31,32,63,53,40,93,18,24,42,7,3,10,78,67,145,33,21,54,18,24,42,19,13,32,45,61,106,23,12,35,14,14,28,10,3,13,17,20,37,4,0,4,3,6,9,15,7,22,18,13,31,67,49,116,0,4,4,0,0,0,3,0,3,3,4,7,44,22,66,6,7,13,3,3,6,8,4,12,3,5,8,7,4,11,9,13,22,8,5,13,3,12,15,3,3,6,42,29,71,11,35,46,13,11,24,17,38,55,4,3,7,45,87,132,25,32,57,15,15,30,8,15,23,3,7,10,11,9,20,200,164,364,796,753,1549,2458,2102,4560,34288,33186,67474
SED10007,33068,33471,66539,89,58,147,0,0,0,17,4,21,62,66,128,54,59,113,13,9,22,129,134,263,30,18,48,48,42,90,30,33,63,87,86,173,31,28,59,10,16,26,19,15,34,27,24,51,5,5,10,7,9,16,14,12,26,11,6,17,83,71,154,4,0,4,7,9,16,5,10,15,16,19,35,67,80,147,18,27,45,6,4,10,10,11,21,5,7,12,16,8,24,5,21,26,3,7,10,17,19,36,3,3,6,25,22,47,18,27,45,5,10,15,16,43,59,0,5,5,39,85,124,40,42,82,10,12,22,16,28,44,11,10,21,19,30,49,223,184,407,1103,1109,2212,2780,1526,4306,36951,36106,73057
SED10008,24879,25530,50409,780,756,1536,13,36,49,0,0,0,1202,1299,2501,1235,1346,2581,92,124,216,2529,2769,5298,178,199,377,38,63,101,83,91,174,104,120,224,368,409,777,53,59,112,93,90,183,549,615,1164,216,231,447,246,259,505,134,126,260,215,206,421,1453,1527,2980,70,83,153,319,315,634,54,50,104,443,448,891,354,349,703,44,59,103,12,16,28,723,771,1494,20,24,44,80,91,171,134,156,290,28,37,65,99,121,220,8,10,18,56,69,125,105,149,254,148,138,286,156,224,380,25,18,43,434,529,963,323,390,713,420,428,848,40,55,95,134,148,282,116,110,226,722,736,1458,9789,10576,20365,883,839,1722,35551,36945,72496
SED10009,30282,31431,61713,12,8,20,0,0,0,20,19,39,26,26,52,11,16,27,3,4,7,40,46,86,66,75,141,72,96,168,55,55,110,161,213,374,74,58,132,21,22,43,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,3,3,6,9,6,15,0,0,0,0,3,3,0,0,0,0,3,3,119,82,201,13,28,41,0,0,0,3,4,7,3,13,16,18,12,30,23,23,46,10,5,15,11,11,22,4,11,15,31,18,49,0,29,29,6,7,13,10,37,47,3,18,21,19,91,110,43,49,92,4,5,9,11,31,42,3,4,7,37,39,76,150,153,303,1032,1180,2212,1600,1489,3089,32914,34100,67014
SED10010,20856,20882,41738,1655,1691,3346,33,23,56,10,17,27,531,565,1096,498,572,1070,47,58,105,1076,1195,2271,291,318,609,46,59,105,89,97,186,100,159,259,424,411,835,77,95,172,373,377,750,1651,1688,3339,1503,1162,2665,186,150,336,304,279,583,660,622,1282,4677,4278,8955,222,203,425,250,253,503,158,136,294,630,592,1222,379,448,827,15,26,41,11,20,31,255,294,549,43,41,84,420,434,854,230,325,555,54,62,116,73,88,161,212,222,434,249,226,475,848,1012,1860,169,190,359,1573,1820,3393,72,90,162,2662,3112,5774,357,414,771,387,374,761,52,89,141,371,384,755,150,167,317,1702,1765,3467,16730,17426,34156,1628,1515,3143,39214,39823,79037
