region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED10001,6523,549,370,45,3,7,59,7556
SED10002,11095,516,215,218,5,14,40,12103
SED10003,5665,523,294,52,3,9,35,6581
SED10004,6948,435,127,29,3,9,11,7562
SED10005,10035,453,256,164,6,16,35,10965
SED10006,5759,371,365,118,11,16,103,6743
SED10007,6599,594,420,74,5,13,58,7763
SED10008,10420,465,253,101,3,6,14,11262
SED10009,5008,530,321,52,0,11,62,5984
SED10010,9837,553,356,175,18,11,39,10989
SED10011,6850,643,357,51,3,7,38,7949
SED10012,6345,488,372,62,4,11,46,7328
SED10013,8629,565,302,222,9,16,43,9786
SED10014,9994,788,571,127,16,17,51,11564
SED10015,7637,621,414,156,8,18,60,8914
SED10016,9502,507,204,101,3,4,19,10340
SED10017,11336,501,235,103,0,6,30,12211
SED10018,7306,744,581,102,12,22,83,8850
SED10019,6738,549,344,75,3,10,52,7771
SED10020,5657,527,426,76,6,24,69,6785
SED10021,5987,604,388,67,3,9,51,7109
SED10022,7014,383,108,30,0,0,13,7548
SED10023,7490,484,231,33,4,6,26,8274
SED10024,10298,423,187,77,0,5,13,11003
SED10025,9364,467,165,86,3,11,19,10115
SED10026,6513,513,407,81,6,10,102,7632
SED10027,8532,479,262,97,4,3,23,9400
SED10028,9888,446,140,97,4,3,19,10597
SED10029,9682,533,289,202,7,16,39,10768
SED10030,6180,559,393,55,3,9,45,7244
SED10031,6322,618,407,52,4,12,52,7467
SED10032,10302,474,259,141,8,7,31,11222
SED10033,10939,648,420,112,6,10,37,12172
SED10034,8759,548,301,49,0,7,19,9683
SED10035,6627,402,139,62,5,6,18,7259
SED10036,10551,562,252,78,0,7,33,11483
SED10037,7297,494,299,49,3,7,28,8177
SED10038,7337,669,401,82,7,13,41,8550
SED10039,9869,453,194,138,5,11,24,10694
SED10040,10288,427,169,52,0,3,18,10957
SED10041,6245,660,408,80,12,12,63,7480
SED10042,10527,484,252,161,4,12,31,11471
SED10043,8595,435,154,51,3,3,17,9258
SED10044,6203,594,430,74,3,10,63,7377
SED10045,10406,566,324,195,16,16,43,11566
SED10046,7591,678,490,114,7,19,74,8973
SED10047,11623,599,391,172,7,16,44,12852
SED10048,8374,764,544,71,15,19,52,9839
SED10049,8732,519,202,38,3,3,14,9511
SED10050,8601,503,225,94,0,5,30,9458
SED10051,6048,353,115,59,3,3,29,6610
SED10052,10238,618,356,95,5,6,24,11342
SED10053,8313,507,249,43,0,6,16,9134
SED10054,7608,634,406,56,5,10,42,8761
SED10055,10353,644,489,218,24,15,53,11796
SED10056,9624,757,530,124,9,23,55,11122
SED10057,5383,436,347,60,4,16,74,6320
SED10058,6894,436,377,75,5,13,86,7886
SED10059,4947,508,332,76,7,13,58,5941
SED10060,5464,491,234,28,3,6,30,6256
SED10061,6340,372,87,16,0,4,11,6830
SED10062,6179,498,366,74,8,16,72,7213
SED10063,9036,477,211,96,0,5,23,9848
SED10064,6914,582,434,59,10,18,68,8085
SED10065,5191,512,400,75,8,7,80,6273
SED10066,10499,472,200,115,0,9,27,11322
SED10067,7309,659,413,93,7,13,52,8546
SED10068,8148,574,290,52,3,3,15,9085
SED10069,5288,517,303,46,0,9,56,6219
SED10070,5797,607,399,61,6,7,63,6940
SED10071,13538,858,601,163,11,12,42,15225
SED10072,8321,457,171,90,3,3,29,9074
SED10073,8984,389,145,112,3,9,14,9656
SED10074,7170,727,437,84,5,21,67,8511
SED10075,10690,505,274,144,6,11,34,11664
SED10076,5262,490,364,66,5,15,73,6275
SED10077,9201,418,152,106,4,3,22,9906
SED10078,6359,605,390,69,4,16,57,7500
SED10079,3923,279,70,22,0,0,15,4309
SED10080,6401,604,382,62,6,10,69,7534
SED10081,7085,643,318,53,4,3,33,8139
SED10082,6767,704,456,73,5,6,46,8057
SED10083,9491,504,286,138,8,15,33,10475
SED10084,5736,586,345,73,6,10,37,6793
SED10085,7234,568,500,72,3,12,70,8459
SED10086,7027,393,144,23,0,0,9,7596
SED10087,7000,583,423,48,8,5,59,8126
SED10088,9419,580,252,87,7,5,8,10358
SED10089,6853,596,361,69,4,13,37,7933
SED10090,9282,454,124,63,0,0,17,9940
SED10091,9065,705,562,124,10,20,68,10554
SED10092,6637,471,314,69,4,12,44,7551
SED10093,6960,807,582,86,14,21,74,8544
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
