region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10001,28182,29798,57980,13552,6877,20429,2874,7622,10496,1058,1088,2146,992,909,1901,18476,16496,34972,8237,11914,20151,5.4,5.5,5.4,65.6,55.4,60.3,62.0,52.3,57.0,479,452,931,314,585,899,2050,3306,5356,1543,2424,3967,8222,4685,12907,28257,29219,57476,4866,5575,10441,19154,19578,38732,11830,13069,24899
SED10002,37635,35714,73349,14410,8446,22856,4972,5180,10152,1395,1043,2438,1851,1516,3367,22628,16185,38813,12139,17242,29381,8.2,9.4,8.7,60.1,45.3,52.9,55.2,41.1,48.3,1943,1421,3364,291,329,620,5115,5337,10452,2812,2959,5771,4727,2852,7579,35746,35357,71103,6478,6025,12503,22267,22493,44760,16791,15896,32687
SED10003,25754,28377,54131,9154,5336,14490,4163,7715,11878,932,951,1883,1190,993,2183,15439,14995,30434,8909,12031,20940,7.7,6.6,7.2,59.9,52.8,56.2,55.3,49.3,52.2,674,724,1398,382,651,1033,3099,4292,7391,1741,3128,4869,7088,3921,11009,25115,27002,52117,4878,5497,10375,16581,17567,34148,11665,13226,24891
SED10004,30137,33702,63839,16323,13365,29688,3479,6995,10474,888,1295,2183,1067,901,1968,21757,22556,44313,6008,8994,15002,4.9,4.0,4.4,72.2,66.9,69.4,68.7,64.3,66.3,3424,4020,7444,732,1352,2084,8066,9819,17885,2446,3298,5744,3777,2331,6108,26288,29048,55336,6555,7542,14097,15166,17120,32286,15403,17246,32649
SED10005,30234,31771,62005,11515,6304,17819,3528,4722,8250,1184,925,2109,1576,1209,2785,17803,13160,30963,10132,16318,26450,8.9,9.2,9.0,58.9,41.4,49.9,53.7,37.6,45.4,880,661,1541,163,187,350,3000,3323,6323,1930,2542,4472,5279,3009,8288,32691,33718,66409,4030,4015,8045,22498,23324,45822,11152,11543,22695
SED10006,26680,25913,52593,12610,6485,19095,2028,5367,7395,1097,928,2025,1108,768,1876,16843,13548,30391,7638,10502,18140,6.6,5.7,6.2,63.1,52.3,57.8,59.0,49.3,54.2,200,240,440,93,315,408,1190,2381,3571,998,1734,2732,6092,3548,9640,26938,26178,53116,4343,4365,8708,19213,18320,37533,9707,9981,19688
SED10007,29223,29048,58271,13260,6615,19875,2769,7087,9856,1041,1000,2041,1094,894,1988,18164,15596,33760,9509,12021,21530,6.0,5.7,5.9,62.2,53.7,57.9,58.4,50.6,54.5,522,479,1001,236,491,727,1870,2992,4862,1479,2182,3661,8618,4643,13261,28773,28965,57738,4839,5106,9945,19527,19448,38975,11879,12523,24402
SED10008,27801,29656,57457,15216,8831,24047,3197,7455,10652,888,1120,2008,882,725,1607,20183,18131,38314,6837,10641,17478,4.4,4.0,4.2,72.6,61.1,66.7,69.4,58.7,63.9,1889,1523,3412,461,693,1154,5140,5972,11112,2724,3532,6256,6430,3328,9758,30518,31798,62316,3723,3904,7627,21549,22465,44014,10462,11005,21467
SED10009,27104,28581,55685,8592,4677,13269,3535,6668,10203,919,919,1838,1069,749,1818,14115,13013,27128,11444,14036,25480,7.6,5.8,6.7,52.1,45.5,48.7,48.1,42.9,45.5,482,434,916,348,640,988,2040,2840,4880,1518,2513,4031,8425,4333,12758,26444,27503,53947,4529,4811,9340,18274,18600,36874,11064,12121,23185
SED10010,30504,31695,62199,15153,8944,24097,3299,5779,9078,1119,1097,2216,1470,1402,2872,21041,17222,38263,7989,13000,20989,7.0,8.1,7.5,69.0,54.3,61.5,64.2,49.9,56.9,1217,1104,2321,215,298,513,3654,4469,8123,2345,2551,4896,6549,3876,10425,32334,33132,65466,4624,4625,9249,21617,22395,44012,12604,12664,25268
SED10011,25966,28672,54638,11728,6649,18377,3512,7536,11048,857,998,1855,947,760,1707,17044,15943,32987,7471,11252,18723,5.6,4.8,5.2,65.6,55.6,60.4,62.0,53.0,57.2,1330,1404,2734,569,936,1505,3510,5097,8607,2354,3432,5786,7014,4024,11038,26937,29008,55945,3579,3976,7555,18810,20171,38981,9916,11040,20956
SED10012,26245,27079,53324,12204,6139,18343,2735,6275,9010,911,954,1865,761,652,1413,16611,14020,30631,8169,11692,19861,4.6,4.7,4.6,63.3,51.8,57.4,60.4,49.4,54.8,466,430,896,254,470,724,1677,2734,4411,1340,2136,3476,6961,3907,10868,27149,27749,54898,3931,4139,8070,19399,19537,38936,9772,10392,20164
SED10013,29156,31349,60505,10856,6236,17092,3073,4273,7346,1099,877,1976,1758,1562,3320,16786,12948,29734,10521,16640,27161,10.5,12.1,11.2,57.6,41.3,49.1,51.5,36.3,43.7,279,250,529,62,95,157,2010,2279,4289,1498,1791,3289,4216,2763,6979,31419,32988,64407,3549,3800,7349,22958,24032,46990,9509,10476,19985
SED10014,29091,30902,59993,16904,9252,26156,2799,7634,10433,1109,1249,2358,978,996,1974,21790,19131,40921,5950,10405,16355,4.5,5.2,4.8,74.9,61.9,68.2,71.5,58.7,64.9,527,546,1073,214,395,609,2102,3258,5360,2034,2949,4983,9053,4655,13708,31885,32957,64842,4825,5096,9921,21609,22248,43857,12336,13189,25525
SED10015,26629,28132,54761,13223,7739,20962,2654,5360,8014,1017,932,1949,1288,1257,2545,18182,15288,33470,7024,11516,18540,7.1,8.2,7.6,68.3,54.3,61.1,63.4,49.9,56.5,685,570,1255,163,250,413,2036,2740,4776,1617,2243,3860,6904,3995,10899,28317,29430,57747,3824,4054,7878,19954,20648,40602,9850,10613,20463
SED10016,31355,33642,64997,13925,9380,23305,4191,6591,10782,1135,1140,2275,1335,1182,2517,20586,18293,38879,8872,13491,22363,6.5,6.5,6.5,65.7,54.4,59.8,61.4,50.9,55.9,1945,1998,3943,403,676,1079,4915,5906,10821,2579,3178,5757,4931,3005,7936,31247,32989,64236,4723,4928,9651,21031,22423,43454,12607,13225,25832
SED10017,28620,30984,59604,15334,8869,24203,3567,7798,11365,815,984,1799,923,817,1740,20639,18468,39107,7075,11393,18468,4.5,4.4,4.4,72.1,59.6,65.6,68.9,57.0,62.7,2720,1859,4579,485,722,1207,6751,7022,13773,2687,3713,6400,4887,2859,7746,30675,32241,62916,3988,4124,8112,21309,22476,43785,11426,12035,23461
SED10018,28726,29662,58388,13615,5994,19609,2521,7324,9845,1200,1112,2312,1031,953,1984,18367,15383,33750,8971,12972,21943,5.6,6.2,5.9,63.9,51.9,57.8,60.3,48.6,54.4,223,198,421,125,234,359,1089,1958,3047,1207,1931,3138,9738,5144,14882,29802,30659,60461,4510,4904,9414,20718,20967,41685,11115,12168,23283
SED10019,24761,27058,51819,11702,6142,17844,2808,7202,10010,831,937,1768,818,692,1510,16159,14973,31132,7603,11112,18715,5.1,4.6,4.9,65.3,55.3,60.1,62.0,52.8,57.2,692,610,1302,289,458,747,2723,3638,6361,1876,2485,4361,7727,3977,11704,26105,27835,53940,3582,3785,7367,18853,20158,39011,8932,9677,18609
SED10020,28311,29537,57848,9530,4873,14403,3125,6362,9487,964,827,1791,1376,1090,2466,14995,13152,28147,11859,15039,26898,9.2,8.3,8.8,53.0,44.5,48.7,48.1,40.8,44.4,284,245,529,198,342,540,1369,2188,3557,1234,1932,3166,8296,4879,13175,28404,29172,57576,4760,5237,9997,19258,19608,38866,11800,12788,24588
SED10021,27407,29807,57214,9963,5843,15806,3709,7302,11011,900,991,1891,1489,1094,2583,16061,15230,31291,9923,13151,23074,9.3,7.2,8.3,58.6,51.1,54.7,53.2,47.4,50.2,500,436,936,244,448,692,2272,3298,5570,1637,2700,4337,8255,4867,13122,26854,28520,55374,5498,6035,11533,17331,18182,35513,13019,14282,27301
