region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
105051100,356,103,672,7124,7433,2948,2492,9230,2985,32212
105054800,279,148,630,13166,13430,4466,2752,6297,3300,43411
105055200,471,166,904,18514,18672,5767,3675,12437,6201,65266
105057201,47,40,129,5117,3371,905,557,7913,4777,22640
105057204,310,222,675,15626,10692,2139,1127,8840,6972,45396
105057205,162,135,429,16529,13268,3214,1802,10092,6502,51407
105057206,96,41,206,11844,9087,2257,1345,8409,5066,38008
105106550,1425,466,2774,30019,26447,9699,6732,24693,11897,109487
105108050,542,345,1387,16910,12845,4139,2803,9710,7285,53692
105108500,590,377,1545,13344,10876,3868,2692,7771,5556,44107
105154150,1070,321,2124,14281,15242,7268,5780,17899,4391,64861
105154450,537,210,1241,10579,10860,5085,3992,12299,3143,45958
105156650,1319,391,2476,17416,18084,7677,6239,23303,7692,80411
105157151,1181,553,2822,20583,22035,10334,7940,16239,5840,82971
105157152,884,307,1775,21076,24366,12160,9077,16161,4680,87520
105200351,428,266,995,8384,8110,3836,4209,17052,5340,46931
105200353,820,243,1532,9488,9802,4821,4966,17192,5412,51681
105200355,665,258,1394,9715,10800,5158,4512,10727,3282,44194
105201550,925,507,2226,21760,22534,10016,9505,34416,11766,109997
105252851,1039,334,1837,16524,15728,7200,7682,36533,9165,92832
105252854,405,75,647,11934,10915,5160,4996,19592,4110,56707
105254901,554,221,1071,15484,16807,7627,7715,25104,9190,81927
105254904,258,103,492,12100,12157,5475,5115,16595,4531,55973
105301450,429,97,766,10056,11781,5581,4467,8466,2605,42956
105301501,240,329,722,12427,13570,6213,5880,15262,5292,58644
105301504,349,117,641,11919,13332,6291,5626,13328,4808,55304
105308400,222,84,465,6932,8860,4667,4283,6196,2337,33275
105350150,729,226,1234,8427,8870,3377,2334,8826,3166,35000
105351300,383,195,811,6341,5905,2572,2076,8336,2417,27647
105351521,308,76,601,7756,7954,3413,2542,7993,2899,32557
105351524,349,234,907,8171,8467,3352,2293,5702,2479,30464
105357100,360,112,671,6643,6096,2787,2247,8666,3005,29444
105400200,476,131,858,11518,10986,4660,4424,20059,7595,59242
105403950,687,437,1585,15694,17202,7861,7541,22638,7476,78412
105406251,484,105,761,8398,8993,3331,2678,12510,4584,40494
105406252,360,256,988,8613,9074,4440,3642,9066,2724,37559
105406253,316,229,820,6612,7918,3805,3084,6721,2084,30224
105406254,226,100,482,4923,4651,2142,2402,9536,3368,27022
105450900,681,338,1555,13200,18209,9280,7189,8936,4330,61144
105453800,463,145,866,10567,13105,6666,5739,9214,3695,48986
105456351,333,232,853,16143,18532,8550,7916,18160,6839,76140
105456354,494,222,1040,14465,17189,7902,6720,12841,4503,63620
105530751,489,122,792,18016,20872,9249,7719,17070,5024,77950
105530752,617,218,1192,15881,17750,8169,7599,21331,6334,77064
105530753,490,147,781,14311,15442,6832,7571,23088,7379,74623
105554100,400,69,645,2647,2691,1319,971,2450,615,10693
105554700,352,128,762,7175,7493,3064,2130,4232,1442,25536
105555350,348,140,837,6267,6019,2570,1902,3710,1964,22432
105555950,408,234,1073,18078,15958,4728,2762,8363,5466,55355
105556700,1160,440,2498,20563,22044,9633,7096,20780,5807,85923
105558250,714,199,1509,14084,14645,6337,4546,11338,3544,54494
105604001,765,379,1735,12998,14655,7543,5772,9779,2611,53358
105604004,926,305,2081,17800,20233,9944,7260,14229,3576,73042
105604500,1388,634,3481,21680,23322,12365,9576,15007,4831,86781
105607421,349,111,783,14703,15985,7938,6161,11148,2598,58533
105607423,286,53,530,10085,11400,5591,4633,8041,2063,41813
105607425,284,70,527,8083,8788,4359,3559,6811,1633,33233
105655150,274,186,858,9346,8750,3593,2598,5248,2696,32231
105656370,677,290,1517,11145,13149,6536,4400,7480,3016,45726
105658000,1868,636,3877,29193,31357,13770,9941,21005,7164,112430
105703101,956,558,2359,11901,14750,7654,5860,9943,4357,54465
105703104,1168,724,2771,16290,20401,9929,8432,15286,7264,77602
105708551,977,365,1902,11643,14925,8068,7532,14063,5386,61617
105708554,835,533,1932,11820,14581,7666,6528,12033,5179,57807
110051720,498,134,865,7219,9525,4907,5290,9131,3911,39983
110054651,633,329,1502,10004,12579,6908,5752,10601,3914,49758
110054653,766,249,1594,13218,16690,8282,6853,11959,3780,60782
110054655,926,287,1722,8490,10962,6132,5210,9402,3095,43291
110055050,515,198,1055,11000,13980,7140,6361,10380,3793,52654
110055903,618,190,1165,11242,12002,4616,3174,8471,3434,42939
110055904,569,199,1091,7820,8997,4401,3811,8518,2617,36164
110055905,722,324,1607,10308,12282,5529,4205,8460,3338,44122
110056400,575,337,1380,9759,13386,7446,6622,10442,4521,52176
110102700,75,23,166,1256,1761,996,986,1269,491,6759
110103050,83,26,142,669,995,670,577,889,295,4095
110103320,507,412,1336,4440,7005,4406,4015,6211,3062,29139
110105650,81,36,170,2432,2955,1482,1472,2413,1435,12189
110107000,150,30,267,3694,4607,2297,2346,3413,1310,17667
110107620,146,48,288,2103,2745,1424,1402,2262,912,10848
115054400,273,103,615,3404,4737,2648,1939,2782,968,16478
115056900,463,151,919,9953,12533,6659,6002,11376,3521,50044
115058451,1112,422,2438,19160,21745,9967,7785,17749,6365,82771
115058454,968,327,1824,14907,18002,9718,8583,17079,5686,73975
115076951,401,168,757,4870,6489,3477,3233,5474,2999,26542
115106952,823,403,1809,8018,12507,7578,6961,10141,4664,49869
115108350,531,238,1168,6855,9598,5442,4873,6301,2718,35787
120057554,983,545,2206,8355,10928,5787,4834,10213,4440,44557
120057556,96,27,173,1808,2459,1262,1049,1639,557,8774
120074851,407,98,748,5140,6886,3493,2833,4631,1631,24614
120100250,679,271,1399,6353,8793,4866,3749,6037,2433,32231
120101350,286,107,572,5183,6848,3348,2660,3693,2088,23820
120104550,90,47,203,1203,1862,1151,1225,1382,646,7469
120104854,43,24,114,1785,2866,1680,1382,1305,719,9737
120106611,175,95,366,1398,2030,1141,1189,2071,873,8702
120106612,93,41,199,1538,2196,1288,1293,1711,720,8746
120107558,278,98,523,2982,4271,2527,2251,3017,1570,16618
125011801,633,368,1397,8088,10968,5598,4521,8044,3426,40645
125036381,800,282,1590,6676,9444,4963,4004,7059,2814,34960
125050600,145,45,317,1700,2855,1729,1542,1584,662,10072
125051736,278,113,564,2664,4156,2650,2613,3480,1380,16943
125051737,365,108,646,3170,4580,2581,2478,4037,1777,18623
125051738,16,3,40,751,1213,719,901,897,394,4875
125051804,121,60,308,2687,3950,2248,1940,2661,1176,14662
125055700,296,108,628,2426,3799,2247,2186,3297,1375,15330
125103380,640,215,1246,6157,9216,5810,5299,8111,3267,37860
125104350,406,119,717,3519,5299,3214,3123,5036,2471,22662
125106385,290,275,863,4233,6402,3879,3633,4503,2143,24793
125108859,6,0,6,73,91,46,19,57,12,298
130057311,497,205,1005,7004,9156,4637,4201,7155,3287,35440
130103550,98,90,268,1803,2227,1193,1296,1992,1001,9512
130103660,70,17,134,626,892,574,613,1010,306,4021
130104201,26,6,52,680,980,549,578,769,271,3827
130104920,86,26,170,1046,1352,802,878,1403,541,6022
130107314,85,35,181,1611,2150,1315,1292,1954,738,9060
130150111,202,84,437,3679,4310,1922,1416,3426,1530,16283
130150112,7,3,35,692,997,541,405,395,187,3217
130153010,129,24,221,1186,1690,982,960,1542,731,7091
130153650,50,15,90,595,787,462,476,792,316,3428
130154202,81,142,315,1523,2081,1186,1164,1941,937,8832
130157400,78,31,155,835,1332,801,865,1133,547,5513
130157650,37,19,88,911,1302,753,646,800,351,4763
130157850,41,12,77,486,599,314,324,561,176,2460
130205300,90,24,166,1898,2344,1178,1135,2413,1316,10284
130205750,128,28,230,1822,2439,1283,1300,2229,982,10055
135012601,350,99,678,5712,7529,3721,2856,5561,2026,27405
135052604,11,6,32,498,719,422,393,396,263,2691
135052950,49,28,114,580,783,465,521,789,358,3496
135055271,210,89,392,2760,3698,1949,1995,3164,1502,15068
135055850,40,22,97,868,1207,610,721,1124,482,5012
135058020,143,49,268,1221,1728,982,1164,1746,811,7652
135058150,81,20,156,1023,1496,834,790,1486,1120,6749
135100950,31,9,49,354,475,270,297,556,266,2218
135102150,32,13,73,557,728,363,356,841,324,3169
135107900,34,18,74,806,1146,559,570,1265,737,5083
135107950,25,6,45,431,517,256,253,540,186,2183
135151150,11,8,19,308,486,214,212,493,428,2141
135151200,7,5,21,227,291,148,124,417,113,1320
135151750,37,11,61,642,887,442,446,835,405,3657
140030471,328,88,607,5704,7000,3339,2740,4899,2497,26179
140070473,16,4,42,811,1218,651,558,615,490,4343
140070850,51,14,99,1002,1467,725,695,1052,477,5418
140071400,128,45,247,1890,2560,1446,1403,2086,629,10014
140074870,181,84,387,2807,3910,2109,2201,3552,1809,16388
140075274,35,10,71,424,656,392,461,588,203,2724
140076100,45,8,79,744,1014,540,505,817,404,4024
140150800,75,30,152,860,1042,592,717,1017,352,4580
140152350,156,49,327,1622,2246,1360,1297,2249,1063,9837
140152900,120,44,231,1339,1747,948,917,1672,616,7239
140154600,75,30,159,868,1160,632,755,1155,527,5097
140156200,195,64,370,2037,2667,1483,1455,2481,1193,11316
140158100,45,17,97,516,670,437,461,624,268,2976
140206150,392,133,772,6194,7777,3760,3083,6285,2533,29632
145056181,11,9,52,1781,2719,1370,922,979,587,8358
145056470,164,112,443,7433,9114,3564,2419,5410,2357,30297
145101050,22,8,48,322,477,243,300,445,146,1933
145103311,244,121,531,3250,4285,2174,1772,3729,1875,17085
145103314,20,12,53,896,1368,822,765,898,434,5183
145103700,43,17,88,504,669,400,447,631,237,2888
145106184,37,5,53,511,835,483,408,416,247,2900
145107640,62,22,147,1125,1510,887,812,1081,468,5883
145108710,96,66,222,2338,3557,1808,1392,1741,866,11702
145108750,181,66,324,1790,2183,1267,1227,2133,930,9530
145150550,326,203,804,4580,7058,4127,3640,4789,2165,26359
145152750,537,206,1130,4860,7723,4654,3966,5767,2890,29860
145201000,36,23,89,359,528,272,294,348,163,1964
145202050,112,36,250,1557,2140,1145,936,1391,729,7898
145207050,30,5,69,1390,1559,725,556,905,887,6022
150057751,522,216,1091,9757,11909,5478,4405,8610,3017,43176
150102000,52,27,102,601,758,396,489,632,304,3180
150102200,111,27,199,996,1444,827,759,1359,563,5948
150103500,42,20,87,501,649,382,458,605,285,2880
150104300,37,23,96,771,935,541,548,813,1138,4746
150104950,53,15,91,431,574,321,360,503,176,2365
150105800,82,26,162,788,1009,578,610,1157,521,4663
150107350,80,31,168,785,1087,673,671,1004,379,4599
150107500,138,48,268,1470,2200,1221,1145,1955,733,8724
150107754,20,3,41,804,1012,552,505,602,230,3705
150151600,19,3,34,420,455,249,299,464,144,2031
150153450,216,116,481,3696,4256,2308,2060,4452,2108,18880
150153850,41,8,65,391,539,280,304,614,230,2358
150154750,90,44,191,1580,2057,1076,977,1735,1001,8426
150155550,13,3,28,304,405,214,222,429,173,1747
155050050,576,170,1066,8740,10397,4649,3761,7904,3059,38510
155053341,18,8,40,599,768,405,413,497,195,2877
155102300,102,105,307,1566,2199,1229,1146,2006,841,8987
155103342,87,30,167,887,1128,676,699,1010,460,4860
155107450,38,19,87,482,659,377,335,541,341,2735
155107700,13,7,26,178,180,122,153,200,84,917
155150650,80,103,255,1175,1583,919,875,1428,689,6669
155151860,3,3,12,254,287,146,179,208,94,1168
155152500,103,50,215,977,1426,793,667,1294,613,5770
155154250,17,6,33,234,242,183,156,268,124,1207
155155500,68,26,149,1040,1437,782,692,1321,498,5770
155157800,48,19,100,609,724,381,480,714,357,3265
155200300,14,14,34,315,403,193,230,441,230,1812
155208200,32,45,110,947,1240,773,672,1126,517,5275
160101250,223,150,491,2235,3418,1860,1773,3938,1953,15177
160101700,7,0,13,266,406,182,179,395,148,1576
160108809,0,0,3,105,139,61,84,145,32,566
185019779,0,0,0,9,9,3,6,69,13,109
199999499,66,48,123,2361,1818,643,574,3419,2922,11737
