region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
105051100,491,248,131,35,11,3,1651,8,92,98,73,41,10,0,0,322,368,1669,1229,691,359,136,40,13,4505,251,729,762,498,281,125,55,13,2714,36,82,119,110,75,38,16,12,488,328,783,898,796,543,362,188,40,3938,49,59,70,51,23,15,4,0,271,413,924,1087,957,641,415,208,52,4697,53,105,109,124,100,82,33,14,620,454,502,523,436,489,476,369,179,3428,1587,4713,4299,3027,2042,1279,716,274,17937
105054800,1636,1080,853,304,61,4,5093,18,331,507,311,296,77,6,3,1549,634,4239,3934,1863,1337,469,108,19,12603,208,978,1179,788,629,265,78,15,4140,30,89,153,122,101,48,19,8,570,276,776,814,667,465,268,120,35,3421,39,74,84,46,30,20,4,0,297,345,939,1051,835,596,336,143,43,4288,29,101,169,159,124,72,37,9,700,327,622,710,486,470,375,342,214,3546,1612,8314,9186,5522,4305,1898,775,307,31919
105055200,1809,1180,665,159,28,5,5543,28,484,603,452,264,50,7,0,1888,1315,5940,4328,2144,1049,311,80,20,15187,590,1723,1679,1038,531,184,69,19,5833,63,178,199,177,118,51,21,6,813,633,1548,1501,1012,608,322,150,40,5814,94,175,143,100,46,11,0,3,572,790,1901,1843,1289,772,384,171,49,7199,63,206,209,223,158,87,35,13,994,837,1398,1186,897,748,561,477,228,6332,3704,13268,11657,7223,4187,1736,867,334,42976
105057201,451,245,156,91,23,6,2340,17,130,59,38,38,10,0,0,292,862,3061,784,409,356,161,54,8,5695,593,783,276,168,131,78,26,6,2061,25,43,26,11,21,8,8,0,142,199,253,120,107,73,42,18,7,819,22,32,6,13,11,4,3,0,91,246,328,152,131,105,54,29,7,1052,91,148,50,41,46,30,16,4,426,1285,1837,567,433,362,203,98,37,4822,3221,7528,2339,1465,1194,627,246,68,16688
105057204,1267,686,506,203,50,15,4676,24,392,351,230,139,48,13,0,1197,1082,6545,2912,1387,889,376,149,51,13391,374,1480,992,582,395,227,74,22,4146,23,108,124,112,79,43,14,3,506,355,971,621,464,301,175,90,21,2998,56,89,58,38,40,10,5,0,296,434,1168,803,614,420,228,109,24,3800,49,212,142,130,96,90,41,15,775,838,2266,1348,951,717,448,361,318,7247,2865,13948,7815,4580,3162,1620,797,445,35232
105057205,1384,776,400,139,22,3,4911,25,417,374,245,163,33,9,0,1266,1418,6470,2968,1364,678,245,126,16,13285,490,1555,1251,644,424,176,78,8,4626,49,135,163,110,83,30,6,0,576,502,1330,929,595,376,210,90,20,4052,78,128,101,56,35,6,0,0,404,629,1593,1193,761,494,246,96,20,5032,81,207,204,164,110,62,35,13,876,1206,1727,1058,813,640,565,394,135,6538,3974,14031,8432,4767,2909,1466,760,195,36534
105057206,1071,573,529,200,46,4,4747,22,317,192,145,127,36,10,0,849,1563,5178,1986,904,675,274,75,9,10664,432,1106,632,394,304,146,59,9,3082,29,100,66,72,56,20,6,0,349,323,677,378,279,208,102,34,8,2009,41,74,42,33,25,7,3,0,225,393,851,486,384,289,129,43,8,2583,56,167,112,92,74,53,29,6,589,1229,1741,776,494,420,251,140,46,5097,3883,11496,5255,2986,2418,1089,402,82,27611
105106550,2649,1749,1002,416,112,31,9499,38,612,598,436,312,89,45,14,2144,2814,8790,5952,3520,2031,776,336,154,24373,762,2235,2372,1706,1198,545,320,132,9270,111,236,308,353,260,150,69,27,1514,942,2307,1978,1853,1320,863,527,199,9989,137,177,158,142,82,44,18,5,763,1190,2720,2444,2348,1662,1057,614,231,12266,173,333,317,395,393,289,172,84,2156,2243,2563,1946,1583,1365,1225,1074,592,12591,7481,20532,16278,11737,7963,4397,2673,1238,72299
105108050,1425,839,548,212,68,17,4639,14,318,372,259,179,67,18,6,1233,837,6203,4083,2058,1322,531,248,79,15361,329,1492,1326,853,607,353,164,62,5186,53,153,149,108,118,69,37,14,701,359,1123,823,624,528,362,221,98,4138,40,92,58,52,28,16,7,6,299,452,1368,1030,784,674,447,265,118,5138,56,209,184,208,146,128,98,56,1085,898,2176,1316,850,722,658,526,382,7528,2631,13251,9736,5851,4198,2396,1387,720,40170
105108500,1192,1038,805,467,155,49,4812,13,268,255,235,211,91,31,9,1113,904,4331,2928,2216,1744,959,464,167,13713,167,803,797,742,636,437,234,89,3905,15,72,77,93,99,85,33,21,495,189,454,410,320,324,235,128,80,2140,19,43,36,32,39,14,6,3,192,223,569,523,445,462,334,167,104,2827,47,139,126,147,197,183,119,70,1028,680,1156,932,750,680,591,468,390,5647,2077,8329,6753,5573,4735,3062,1638,878,33045
105154150,1012,581,353,105,43,3,3919,24,184,223,183,155,58,12,5,844,1068,3657,2453,1953,1141,462,198,45,10977,602,1313,1448,1226,770,403,207,55,6024,71,109,200,282,201,116,73,36,1088,688,1283,1503,1460,1065,740,484,233,7456,100,109,127,130,86,33,18,0,603,859,1501,1830,1872,1352,889,575,269,9147,116,166,237,309,279,177,146,59,1489,690,686,573,681,584,522,597,342,4675,3468,9220,7776,6805,4634,2616,1778,778,37075
105154450,807,577,302,103,28,11,3277,17,134,168,169,144,46,11,0,689,845,2726,2121,1744,929,352,160,39,8916,453,971,1154,1030,652,283,164,46,4753,35,81,169,208,156,90,45,23,807,475,794,991,1037,737,492,316,111,4953,55,88,77,102,65,24,6,3,420,565,963,1237,1347,958,606,367,137,6180,78,129,167,239,197,127,94,40,1071,581,505,394,459,428,379,318,248,3312,2632,6784,6048,5565,3610,1896,1142,521,28198
105156650,1072,561,322,94,40,4,4174,19,218,269,202,121,36,13,3,881,1076,4762,2871,1787,1065,403,188,53,12205,866,2149,1922,1270,783,362,173,64,7589,110,196,316,318,215,103,47,29,1334,770,1892,1989,1739,1186,781,491,155,9003,135,197,207,153,99,33,10,8,842,1015,2285,2512,2210,1500,917,548,192,11179,149,302,337,391,252,185,109,68,1793,1166,1447,1183,1031,1006,879,843,515,8070,4373,13162,10166,7452,5049,2876,1914,899,45891
105157151,765,590,496,220,84,15,2742,21,219,308,343,309,99,42,9,1350,955,3206,2933,2183,1642,651,347,89,12006,681,1845,2150,1867,1372,744,402,135,9196,126,237,353,403,409,263,148,46,1985,1324,2877,2927,2739,2012,1384,952,300,14515,143,176,211,180,157,71,31,10,979,1593,3290,3491,3322,2578,1718,1131,356,17479,104,258,328,438,474,335,320,98,2355,736,807,771,796,748,765,987,570,6180,4125,10162,10746,9539,7619,4532,3313,1272,51308
105157152,866,832,580,208,35,6,3200,27,266,376,436,369,76,18,3,1571,1107,3229,3270,2596,1802,533,176,43,12756,724,1641,2439,2232,1598,686,197,59,9576,137,226,406,587,572,275,88,27,2318,1703,2825,3403,3367,2490,1561,710,174,16233,194,199,221,255,201,81,26,3,1180,2034,3250,4030,4209,3263,1917,824,204,19731,113,180,286,474,515,339,175,60,2142,815,622,661,734,769,608,691,482,5382,4879,9802,11928,11513,8896,4367,2116,857,54358
105200351,367,208,113,25,5,0,1302,14,72,70,45,39,10,7,6,263,600,1912,1115,708,439,157,47,18,4996,490,1016,795,588,285,82,51,9,3316,53,131,151,133,75,27,13,6,589,593,1107,1006,797,534,305,162,50,4554,97,147,129,92,26,8,0,0,499,743,1385,1286,1022,635,340,175,56,5642,103,182,190,200,139,74,44,15,947,1001,958,854,769,623,460,422,329,5416,3005,6055,4677,3540,2273,1148,751,433,21882
105200353,223,168,103,30,7,3,853,12,77,60,55,44,14,0,0,262,531,1420,1127,742,458,146,61,18,4503,416,899,873,680,426,159,74,18,3545,73,119,166,167,129,45,23,16,738,711,1271,1300,1180,922,585,387,133,6489,107,149,141,116,44,16,9,3,585,891,1539,1607,1463,1095,646,419,152,7812,80,173,190,200,173,137,74,31,1058,928,723,835,779,710,604,598,343,5520,2891,5117,4915,4087,3009,1736,1233,565,23553
105200355,339,301,136,51,9,3,1209,17,106,111,117,96,30,12,0,489,448,1562,1356,954,502,179,68,20,5089,361,849,964,833,537,201,102,29,3876,67,82,191,222,214,81,53,14,924,712,1272,1385,1471,1016,691,469,139,7155,79,106,109,113,72,27,6,6,518,858,1460,1685,1806,1302,799,528,159,8597,58,117,170,217,167,132,108,29,998,530,386,422,497,473,468,571,399,3746,2306,4816,5047,4725,3213,1860,1398,639,24004
105201550,1431,792,361,97,26,6,4970,35,281,311,223,152,53,7,0,1062,1354,5350,3543,2385,1174,435,185,33,14459,1110,2627,2365,1594,809,311,154,55,9025,130,282,438,423,223,113,66,14,1689,1134,2339,2523,2087,1311,834,513,171,10912,180,273,260,212,104,38,9,7,1083,1444,2894,3221,2722,1638,985,588,192,13684,186,431,501,485,321,159,137,47,2267,1844,2026,1812,1748,1457,1251,1190,551,11879,6091,15748,13184,9949,5912,3291,2287,884,57346
105252851,205,131,118,44,13,3,943,24,73,67,54,42,12,0,4,276,871,2428,1479,863,596,222,64,24,6547,837,1561,1255,912,466,209,98,7,5345,119,247,277,236,145,62,35,7,1128,1113,1938,1818,1693,1204,738,414,77,8995,210,302,253,170,97,28,8,3,1071,1442,2487,2348,2099,1446,828,457,87,11194,149,283,278,298,220,147,69,23,1467,1559,1231,1603,1528,1225,1047,1000,441,9634,4939,8435,7235,5885,4113,2509,1701,589,35406
105252854,148,124,106,18,6,0,674,20,58,58,67,48,8,3,0,262,819,1694,1020,747,640,167,32,7,5126,595,1021,956,793,487,147,29,12,4040,100,153,243,252,121,39,7,6,921,907,1342,1324,1628,1218,484,145,26,7074,130,171,123,143,65,13,0,0,645,1137,1666,1690,2023,1404,536,152,32,8640,99,166,200,295,199,87,34,6,1086,804,524,568,692,674,497,294,75,4128,3533,5342,4640,4741,3558,1460,550,132,23956
105254901,546,380,203,59,4,3,1851,19,168,138,122,91,23,3,0,564,702,2639,1939,1377,750,214,95,11,7727,650,1673,1641,1169,644,241,84,12,6114,131,265,270,255,182,78,36,9,1226,1294,2722,2560,2153,1442,819,365,79,11434,216,299,243,207,103,41,0,0,1109,1641,3286,3073,2615,1727,938,401,88,13769,131,319,326,346,289,149,75,16,1651,1646,1673,1449,1545,1245,1098,753,285,9694,4841,10362,9112,7554,4949,2722,1415,415,41370
105254904,298,246,106,14,9,0,996,17,99,95,87,36,0,3,0,337,573,1791,1597,1140,564,129,25,4,5823,521,1228,1413,899,380,117,28,8,4594,103,197,301,247,118,24,5,0,995,971,1868,2218,1851,953,339,78,28,8306,158,205,216,119,69,9,7,0,783,1232,2270,2735,2217,1140,372,90,28,10084,108,184,297,277,168,63,17,8,1122,980,677,724,769,635,398,215,67,4465,3480,6523,7159,5635,3029,1093,387,115,27421
105301450,259,197,139,50,6,3,869,18,108,138,129,93,26,6,3,521,337,1305,1283,683,450,147,59,8,4272,296,862,1128,790,497,174,69,25,3841,78,134,186,207,154,65,14,9,847,979,1931,2192,1709,1129,483,217,51,8691,117,146,144,86,62,14,6,0,575,1174,2211,2522,2002,1345,562,237,60,10113,49,119,174,197,167,93,45,30,874,542,335,453,409,388,362,281,122,2892,2443,5128,5957,4407,3079,1414,703,251,23382
105301501,477,395,177,42,7,5,1611,8,94,116,109,88,22,4,0,441,503,1650,1317,1089,667,160,41,9,5436,422,1009,956,955,576,148,51,6,4123,98,165,214,252,185,56,14,0,984,1229,1980,1793,2032,1484,586,142,41,9287,200,201,160,167,94,22,8,0,852,1527,2346,2167,2451,1763,664,164,41,11123,132,185,246,293,265,90,34,12,1257,1079,713,725,848,793,547,455,343,5503,3723,6453,6004,6140,4329,1673,756,416,29494
105301504,204,221,185,55,10,0,945,22,97,89,106,81,35,3,4,437,423,1307,934,681,587,237,62,9,4240,384,948,798,796,626,243,76,12,3883,108,195,208,191,235,90,20,6,1053,1218,2163,1881,1774,1582,667,234,63,9582,230,246,151,142,111,32,9,0,921,1556,2604,2240,2107,1928,789,263,69,11556,92,188,200,221,260,128,56,22,1167,999,734,742,801,785,537,350,114,5062,3508,6116,5207,4933,4452,2024,820,230,27290
105308400,142,160,144,39,10,4,627,6,44,96,112,96,24,6,0,384,181,603,721,532,431,154,44,9,2675,176,412,633,598,429,164,56,10,2478,64,71,156,168,142,50,12,3,666,869,1419,1834,1608,1097,510,185,32,7554,115,94,86,84,69,20,6,0,474,1048,1584,2076,1860,1308,580,203,35,8694,30,56,89,114,90,52,18,7,456,478,290,453,468,400,338,269,128,2824,1937,3099,4210,3844,2898,1351,606,193,18138
105350150,855,656,407,105,29,8,3367,21,211,218,190,112,28,6,0,786,698,2793,1888,1265,737,214,98,37,7730,400,790,759,653,366,129,60,24,3181,34,81,98,111,93,32,17,19,485,248,616,579,618,422,213,138,36,2870,47,75,71,43,26,11,6,3,282,329,772,748,772,541,256,161,58,3637,43,119,120,167,132,72,49,30,732,503,645,456,448,358,343,452,405,3610,2062,6569,5044,4151,2653,1147,855,562,23043
105351300,445,369,206,67,18,6,2311,9,110,117,92,60,15,11,0,414,664,1936,1107,901,585,206,94,35,5528,471,738,539,468,277,134,88,40,2755,23,44,75,80,53,21,16,10,322,247,475,390,417,272,195,115,40,2151,36,49,32,47,19,11,3,0,197,306,568,497,544,344,227,134,50,2670,71,97,97,92,92,50,48,19,566,475,469,265,313,264,260,333,303,2682,2090,5024,3067,2779,1828,959,726,453,16926
