region_id,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
105051100,10,57,66,55,36,18,5,0,247,40,301,168,48,13,4,0,0,574,117,432,510,520,379,259,109,22,2348,48,129,188,150,82,54,38,9,698,7,33,37,31,19,4,5,0,136,18,71,98,51,44,8,0,4,294,10,30,51,42,38,26,12,0,209,142,585,432,258,141,55,22,10,1645,40,165,145,106,66,26,13,0,561,39,95,52,37,20,9,3,0,255,40,109,101,64,32,13,9,0,368,8,5,3,0,3,0,3,0,22,7,20,28,31,12,5,4,0,107,255,269,301,241,237,243,154,62,1762,781,2301,2180,1634,1122,724,377,107,9226,31,87,72,47,26,10,0,5,278,9,100,66,31,13,0,0,0,219,18,79,59,47,50,33,25,9,320,7,29,21,7,8,0,0,0,72,0,14,13,9,3,0,0,0,39,49,227,233,159,106,52,21,9,856,34,174,221,148,99,49,18,8,751,217,794
105054800,27,148,232,112,108,46,8,3,684,30,238,265,107,38,6,0,0,684,61,421,539,436,329,216,78,24,2104,47,227,300,247,174,88,34,3,1120,3,62,60,48,24,9,3,3,212,18,154,172,118,117,65,17,0,661,7,75,86,80,137,56,19,7,467,101,896,1179,560,353,101,27,8,3225,77,487,674,379,348,137,35,5,2142,99,417,328,193,127,38,10,3,1215,25,96,127,56,24,16,8,3,355,3,5,3,0,0,0,0,0,11,7,46,55,35,37,16,4,0,200,179,343,413,259,225,196,144,47,1806,684,3615,4433,2630,2041,990,387,106,14886,29,187,179,104,77,19,0,3,598,4,74,79,53,27,4,0,0,241,8,70,69,50,29,29,13,5,273,11,104,122,60,31,9,3,0,340,9,41,48,22,27,5,0,0,152,71,463,475,351,284,117,29,8,1798,30,267,297,300,444,166,37,5,1546,178,1315
105055200,70,258,246,154,94,36,11,0,869,102,603,357,161,41,5,0,0,1269,146,701,758,608,360,218,99,23,2913,77,359,377,237,147,85,39,13,1334,19,81,92,57,31,6,0,0,286,52,218,274,168,84,22,12,3,833,17,149,167,201,165,42,13,3,757,273,1135,1015,526,283,65,18,6,3321,138,756,778,479,357,104,23,3,2638,227,802,596,326,114,35,6,0,2106,109,264,210,115,53,22,11,3,787,8,7,3,8,5,3,0,3,37,17,96,106,64,28,12,5,4,332,478,778,669,526,393,301,232,76,3453,1733,6207,5648,3630,2155,956,469,137,20935,79,319,226,98,52,14,0,0,788,16,138,114,55,18,6,3,0,350,20,126,110,59,46,32,21,6,420,24,143,137,46,8,4,3,0,365,14,74,60,21,9,6,0,0,184,141,672,594,448,231,84,32,12,2214,67,438,478,438,361,107,32,5,1926,379,1570
105057201,23,96,36,23,24,8,5,3,218,70,463,124,33,22,5,0,0,717,99,298,119,91,74,40,29,6,756,14,69,28,29,39,13,11,0,203,3,17,8,5,0,3,0,0,36,19,78,30,26,40,34,13,3,243,8,30,18,23,21,12,3,0,115,363,1129,310,189,132,65,18,4,2210,76,284,153,93,88,48,10,10,762,50,142,44,27,11,7,3,0,284,87,190,39,20,9,5,3,0,353,19,8,5,0,0,0,0,0,32,17,30,10,14,8,3,3,0,85,700,1070,327,237,187,114,41,17,2693,1548,3904,1251,810,655,357,139,43,8707,28,83,27,9,18,0,0,0,165,22,146,37,15,8,0,0,0,228,26,82,19,15,6,4,3,0,155,13,38,11,5,0,0,0,0,67,3,16,4,4,0,0,0,0,27,42,142,60,44,59,34,10,3,394,13,84,47,43,69,36,15,3,310,541,1318
105057204,34,250,168,90,72,30,15,0,659,65,513,242,95,28,7,0,0,950,92,570,307,248,174,152,67,14,1624,51,277,217,158,97,55,19,5,879,13,49,59,30,18,7,3,3,182,24,262,203,144,121,57,26,13,850,8,91,107,109,107,37,11,0,470,254,1885,1075,513,214,123,34,7,4105,115,979,728,446,362,144,60,15,2849,135,766,458,239,82,33,10,0,1723,80,319,218,147,69,22,5,3,863,8,3,3,3,0,0,3,0,20,21,78,75,57,29,10,5,3,278,436,1314,871,606,424,250,164,69,4134,1336,7356,4731,2885,1797,927,422,132,19586,29,187,73,35,23,21,4,4,376,13,114,55,20,12,3,0,0,217,26,115,39,30,19,10,7,6,252,40,163,89,32,21,8,0,3,356,16,42,12,5,3,0,0,0,78,78,462,220,171,155,88,40,18,1232,24,206,137,107,180,82,37,11,784,308,1752
105057205,77,276,210,118,63,41,8,3,796,77,647,326,105,30,10,0,0,1195,156,811,511,354,257,134,93,9,2325,69,333,251,176,123,50,20,3,1025,12,55,63,39,26,7,0,0,202,30,267,211,129,65,21,10,3,736,10,106,140,140,106,29,16,3,550,350,1618,1067,470,195,66,17,3,3786,174,772,584,365,237,66,23,3,2224,215,796,414,195,92,23,6,0,1741,81,272,243,113,39,25,5,3,781,21,4,3,0,0,0,3,0,31,22,93,78,43,26,15,7,4,288,656,991,616,487,338,316,199,43,3646,1950,7041,4717,2734,1597,803,407,77,19326,75,250,124,61,27,17,4,0,558,12,148,91,36,9,0,0,0,296,35,153,84,48,42,34,18,0,414,31,160,83,35,11,5,3,0,328,7,45,20,15,7,3,3,0,100,108,633,310,212,126,62,32,12,1495,43,328,248,159,167,67,25,7,1044,418,1952
105057206,101,232,126,75,63,35,12,0,644,95,686,273,80,41,5,0,0,1180,132,617,280,208,179,104,34,9,1563,44,201,115,81,66,36,15,4,562,7,33,31,17,14,0,4,0,106,40,216,134,82,57,41,12,0,582,10,65,61,47,62,29,16,0,290,319,1462,638,286,222,69,14,0,3010,140,574,380,248,236,90,26,3,1697,150,452,192,93,46,17,6,3,959,66,198,83,47,15,11,0,0,420,8,9,0,0,0,0,0,0,17,21,69,40,25,19,12,3,0,189,675,1003,438,268,225,130,68,11,2818,1808,5817,2791,1557,1245,579,210,30,14037,98,237,103,52,35,8,8,4,545,34,181,89,34,10,0,0,0,348,42,152,52,31,22,7,9,0,315,31,116,59,29,16,8,0,0,259,7,48,12,6,10,0,3,0,86,102,397,197,135,133,60,25,3,1052,30,194,116,100,182,86,27,7,742,502,1729
105106550,147,406,341,245,182,123,32,13,1489,160,755,470,241,100,15,0,0,1741,611,1739,1180,1234,989,628,373,134,6888,209,731,622,486,335,195,96,30,2704,35,158,122,89,40,29,19,4,496,69,451,445,319,221,132,78,32,1747,32,172,151,189,207,82,50,21,904,572,2207,1887,1152,648,258,121,40,6885,236,802,861,631,415,204,90,30,3269,182,583,379,232,90,39,15,6,1526,83,245,233,143,104,56,32,10,906,50,6,3,3,4,3,3,0,72,33,92,105,87,45,33,16,12,423,1293,1581,1201,947,754,586,437,203,7002,3712,9928,8000,5998,4134,2383,1362,535,36052,167,499,274,230,141,49,15,13,1388,35,215,191,134,47,6,4,0,632,129,318,167,150,94,104,56,28,1046,75,229,128,69,29,9,0,0,539,31,88,45,25,10,0,3,0,202,260,1358,1081,840,548,272,144,62,4565,107,677,684,653,620,279,163,82,3265,942,2920
105108050,20,177,158,111,64,40,27,6,603,24,321,246,130,54,10,0,0,785,85,627,483,382,397,260,148,59,2441,98,425,301,222,159,97,49,11,1362,6,77,64,37,13,9,4,0,210,22,201,190,189,156,77,64,18,917,7,85,72,77,76,44,23,3,387,217,1702,1378,662,382,151,67,28,4587,96,713,695,374,336,145,63,18,2440,83,540,374,183,84,31,9,7,1311,52,186,159,77,51,36,11,14,586,4,5,3,0,3,6,0,0,21,17,81,76,52,20,8,6,4,264,475,1249,743,460,350,318,204,111,3910,1206,6389,4942,2956,2145,1232,675,279,19824,36,182,131,66,69,30,12,6,532,9,73,88,56,9,4,0,0,239,13,97,65,40,46,54,30,24,369,25,133,82,57,23,7,3,0,330,9,40,30,10,8,3,0,0,100,82,578,410,341,238,122,70,30,1871,41,360,306,345,343,177,73,22,1667,256,1825
105108500,34,107,120,71,78,51,20,9,490,19,160,111,68,22,6,0,0,386,40,297,231,239,245,204,132,81,1469,27,176,172,109,136,97,29,23,769,4,32,21,30,16,14,16,0,133,22,117,162,204,251,222,136,61,1175,3,46,49,54,69,30,17,13,281,195,1205,984,771,520,294,102,30,4101,114,588,541,528,510,305,127,33,2746,73,320,214,142,66,33,16,7,871,25,97,86,50,32,14,7,3,314,3,0,3,0,3,0,3,0,12,8,50,38,40,27,13,9,6,191,354,604,470,365,299,268,185,119,2664,921,3799,3202,2671,2274,1551,799,385,15602,33,126,107,67,58,42,17,19,469,0,41,43,37,16,8,0,0,145,5,37,34,25,23,23,21,15,183,32,103,95,70,43,18,10,3,374,3,24,25,11,12,4,0,3,82,60,366,304,356,344,228,135,53,1846,28,221,180,257,407,196,97,27,1413,233,1218
