region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
105051100,448,849,2287,2350,1836,1085,183,16,3,9057,632,325,730,612,492,921,1304,936,413,6365,51,71,191,175,132,131,122,104,43,1020,1131,1245,3208,3137,2460,2137,1609,1056,459,16442,174,859,3343,3347,2750,1502,232,14,0,12221,452,617,1008,1182,893,677,203,19,3,5054,37,49,227,167,109,85,18,0,0,692,27,58,84,118,77,42,21,6,0,433,690,1583,4662,4814,3829,2306,474,39,3,18400,41,93,151,131,109,58,4,0,0,587,96,84,85,68,50,46,6,0,0,435,137,177,236,199,159,104,10,0,0,1022,827,1760,4898,5013,3988,2410,484,39,3,19422,1304,638,1023,849,798,1462,2342,1691,600,10707,118,161,395,367,282,266,248,178,69,2084,2249,2559,6316,6229,5068,4138,3074,1908,672,32213
105054800,336,1140,4588,4468,3049,2077,380,27,4,16069,428,216,576,906,482,898,1115,782,338,5741,39,79,241,271,188,167,138,112,97,1332,803,1435,5405,5645,3719,3142,1633,921,439,23142,106,956,6491,6507,4271,2535,389,20,0,21275,394,817,1283,1890,1175,1188,390,43,4,7184,25,39,362,409,172,141,45,4,0,1197,20,32,85,102,62,37,8,0,0,346,545,1844,8221,8908,5680,3901,832,67,4,30002,26,89,186,206,171,94,3,0,0,775,96,88,66,83,69,61,19,0,0,482,122,177,252,289,240,155,22,0,0,1257,667,2021,8473,9197,5920,4056,854,67,4,31259,890,416,813,1183,805,1502,1990,1377,487,9463,85,154,515,608,386,336,266,200,138,2688,1642,2591,9801,10988,7111,5894,3110,1644,629,43410
105055200,597,2312,6876,5871,3869,1993,281,21,0,21820,737,504,1079,1133,857,1348,1747,1293,482,9180,87,193,561,469,297,237,169,140,83,2236,1421,3009,8516,7473,5023,3578,2197,1454,565,33236,178,2063,9569,8328,5634,2605,305,22,0,28704,604,1647,2740,2740,1726,1119,281,37,0,10894,41,123,507,468,231,173,33,3,0,1579,41,100,180,157,136,61,21,4,3,703,864,3933,12996,11693,7727,3958,640,66,3,41880,68,173,375,328,269,159,10,0,0,1382,169,181,225,165,107,82,12,3,0,944,237,354,600,493,376,241,22,3,0,2326,1101,4287,13596,12186,8103,4199,662,69,3,44206,1596,945,1634,1626,1511,2353,3302,2409,777,16153,195,467,1228,1016,701,537,351,290,124,4909,2892,5699,16458,14828,10315,7089,4315,2768,904,65268
105057201,179,1063,2705,795,526,355,83,16,0,5722,267,935,875,268,190,306,234,138,42,3255,121,404,748,220,172,151,78,38,18,1950,567,2402,4328,1283,888,812,395,192,60,10927,32,600,3455,1359,904,589,134,20,4,7097,202,938,1728,353,218,200,113,34,4,3790,3,67,157,65,31,28,11,0,0,362,12,59,128,23,23,10,6,0,0,261,249,1664,5468,1800,1176,827,264,54,8,11510,7,92,185,61,41,24,0,0,0,410,68,282,199,32,26,23,0,0,0,630,75,374,384,93,67,47,0,0,0,1040,324,2038,5852,1893,1243,874,264,54,8,12550,528,1696,1534,390,307,478,424,266,83,5706,252,904,1702,515,388,333,179,75,36,4384,1104,4638,9088,2798,1938,1685,867,395,127,22640
105057204,175,1518,5892,2730,1543,1093,275,24,6,13256,244,261,620,455,354,530,687,510,331,3992,74,301,935,452,294,263,140,131,138,2728,493,2080,7447,3637,2191,1886,1102,665,475,19976,114,1697,10008,5566,3166,1673,345,27,7,22603,150,916,1978,1120,709,672,303,51,6,5905,12,54,308,216,106,73,31,6,0,806,9,62,125,72,59,29,18,4,0,378,285,2729,12419,6974,4040,2447,697,88,13,29692,19,97,283,249,154,95,7,0,0,904,36,109,177,90,62,64,4,0,0,542,55,206,460,339,216,159,11,0,0,1446,340,2935,12879,7313,4256,2606,708,88,13,31138,436,509,1097,892,885,1171,1407,1019,479,7895,159,600,2133,1248,824,623,352,237,185,6361,935,4044,16109,9453,5965,4400,2467,1344,677,45394
105057205,337,2050,6516,3473,1984,1046,152,18,3,15579,497,811,901,653,558,853,985,675,213,6146,101,362,722,395,289,217,177,142,61,2466,935,3223,8139,4521,2831,2116,1314,835,277,24191,85,1888,10508,6431,3501,1500,186,15,0,24114,353,1403,2110,1408,895,638,178,30,3,7018,25,116,405,298,127,76,11,0,3,1061,17,56,137,85,57,42,13,0,0,407,480,3463,13160,8222,4580,2256,388,45,6,32600,28,122,316,223,180,111,3,0,0,983,114,304,193,101,68,57,11,3,0,851,142,426,509,324,248,168,14,3,0,1834,622,3889,13669,8546,4828,2424,402,48,6,34434,1002,1615,1497,1095,1078,1601,1916,1250,326,11380,240,790,1593,951,705,505,409,301,100,5594,1864,6294,16759,10592,6611,4530,2727,1599,432,51408
105057206,429,1888,4861,2174,1348,955,198,16,3,11872,523,1048,929,527,433,603,575,365,118,5121,98,404,698,299,196,159,88,41,26,2009,1050,3340,6488,3000,1977,1717,861,422,147,19002,76,1360,7468,3690,2014,1315,211,13,0,16147,408,1401,1731,822,575,537,219,20,3,5716,35,120,316,184,98,62,10,6,0,831,13,53,115,54,32,18,7,0,3,295,532,2934,9630,4750,2719,1932,447,39,6,22989,28,130,304,174,115,64,7,0,0,822,132,340,180,55,51,36,9,0,0,803,160,470,484,229,166,100,16,0,0,1625,692,3404,10114,4979,2885,2032,463,39,6,24614,968,1872,1583,765,696,1035,1079,648,169,8815,237,891,1622,711,441,356,194,96,32,4580,1897,6167,13319,6455,4022,3423,1736,783,207,38009
105106550,1193,3791,9573,7670,6172,3548,721,76,12,32756,1937,2224,1816,1854,1373,2368,3285,2911,1614,19382,219,480,888,638,481,392,359,348,192,3997,3349,6495,12277,10162,8026,6308,4365,3335,1818,56135,342,3055,13970,10743,8410,4525,760,53,6,41864,1350,2929,3378,3692,3003,2235,863,142,15,17607,107,236,688,615,349,291,93,18,3,2400,71,163,282,207,215,147,39,18,9,1151,1870,6383,18318,15257,11977,7198,1755,231,33,63022,71,280,459,339,338,175,8,0,0,1670,389,720,300,220,166,143,28,0,0,1966,460,1000,759,559,504,318,36,0,0,3636,2330,7383,19077,15816,12481,7516,1791,231,33,66658,4112,4750,3336,2817,2313,3973,5786,5018,2432,34537,479,1073,1931,1337,1022,825,705,611,308,8291,6921,13206,24344,19970,15816,12314,8282,5860,2773,109486
105108050,379,1535,6195,4109,2693,1696,423,55,3,17088,675,296,744,983,608,911,1283,1177,757,7434,99,258,900,534,327,258,232,191,171,2970,1153,2089,7839,5626,3628,2865,1938,1423,931,27492,121,1389,9289,6315,3814,2128,432,40,6,23534,412,1048,1958,2041,1445,1214,527,99,16,8760,28,66,406,319,133,116,44,10,4,1126,17,65,194,134,102,62,21,12,4,611,578,2568,11847,8809,5494,3520,1024,161,30,34031,18,94,257,206,141,97,8,3,0,824,105,108,131,116,74,64,19,3,0,620,123,202,388,322,215,161,27,6,0,1444,701,2770,12235,9131,5709,3681,1051,167,30,35475,1423,580,1108,1213,899,1452,2176,2003,1104,11958,195,566,2018,1178,705,536,469,337,250,6254,2319,3916,15361,11522,7313,5669,3696,2507,1384,53687
105108500,297,1220,4033,2834,2361,1935,643,119,14,13456,847,273,501,864,799,1004,1458,1149,829,7724,94,163,539,422,336,287,222,181,166,2410,1238,1656,5073,4120,3496,3226,2323,1449,1009,23590,78,1110,6087,4252,3416,2419,713,100,14,18189,359,812,1015,1225,1174,1308,830,213,49,6985,35,67,260,226,132,158,79,18,6,981,15,47,97,66,71,47,27,14,5,389,487,2036,7459,5769,4793,3932,1649,345,74,26544,14,68,158,127,125,67,12,0,0,571,92,91,67,60,61,50,17,9,0,447,106,159,225,187,186,117,29,9,0,1018,593,2195,7684,5956,4979,4049,1678,354,74,27562,1751,523,685,1052,1006,1451,2250,1900,1211,11829,212,325,1102,843,657,550,451,315,260,4715,2556,3043,9471,7851,6642,6050,4379,2569,1545,44106
