region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
105051100,301,821,2484,2560,2069,1260,291,24,0,9810,0,0,0,5,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,7,13,27,100,116,115,73,12,0,0,456,0,0,6,10,6,3,0,0,0,25,0,9,45,38,23,18,3,0,0,136,5,19,115,138,78,52,7,0,0,414,135,180,242,210,171,110,16,3,0,1067,84,75,129,121,95,74,6,3,0,587,11,42,131,170,121,59,6,0,0,540,14,21,57,55,24,21,0,0,0,192,3,30,201,143,75,43,4,0,0,499,11,16,62,37,22,10,6,0,4,168,12,50,215,166,105,48,5,0,0,601,5,24,99,113,90,43,8,3,0,385,6,38,131,118,96,60,14,0,0,463,15,48,178,231,211,98,13,3,0,797,35,104,324,414,402,269,58,3,0,1609,16,18,43,33,27,12,10,0,0,159,12,32,51,74,64,31,6,0,0,270
105054800,255,772,3749,4570,2748,1891,460,42,3,14490,0,0,3,0,3,5,3,0,0,14,0,0,3,4,3,0,6,0,0,16,12,28,191,160,103,37,6,0,0,537,0,3,23,14,8,6,0,0,0,54,3,14,70,80,53,12,6,0,0,238,3,28,185,230,107,49,7,3,0,612,66,183,288,265,173,106,24,3,0,1108,90,150,185,113,71,39,7,0,0,655,3,13,67,85,83,37,7,0,0,295,4,49,328,303,175,94,15,0,0,968,4,41,511,527,197,89,14,0,0,1383,5,18,102,86,48,26,7,3,0,295,12,120,805,811,428,233,37,4,0,2450,7,40,194,209,109,69,20,0,0,648,0,34,217,215,190,152,25,3,0,836,14,82,416,411,481,498,76,3,0,1981,31,146,543,523,476,403,89,3,0,2214,5,56,115,95,98,62,10,0,0,441,21,48,139,139,78,66,6,0,0,497
105055200,389,1792,6382,6061,4021,2049,366,45,3,21108,0,3,6,0,0,3,3,0,0,15,0,3,5,3,8,0,0,0,0,19,15,59,231,193,159,80,14,0,0,751,0,0,20,27,14,8,0,0,0,69,0,12,85,90,27,24,0,0,0,238,4,60,218,205,100,55,10,0,0,652,132,343,541,297,195,129,20,4,0,1661,136,320,359,197,124,64,8,3,0,1211,4,32,146,137,112,49,9,0,0,489,7,117,433,383,168,65,7,0,0,1180,7,106,523,488,168,65,6,0,0,1363,7,33,88,74,59,20,3,0,0,284,29,235,898,719,367,125,20,3,0,2396,11,94,313,193,158,73,16,3,0,861,5,72,463,500,361,185,17,0,0,1603,23,158,753,821,638,390,48,0,0,2831,33,282,961,828,768,431,64,3,0,3370,20,68,214,186,82,45,9,0,0,624,22,94,243,195,138,68,7,0,0,767
105057201,115,798,2968,1050,674,492,179,35,12,6323,0,0,3,0,0,5,0,0,0,8,0,0,4,0,3,0,0,0,0,7,0,29,69,25,23,6,0,0,0,152,0,0,6,5,0,0,0,0,0,11,0,9,33,13,5,3,0,0,0,63,0,18,78,30,26,20,3,0,0,175,19,142,242,63,43,29,7,0,0,545,82,311,577,119,57,30,0,3,0,1179,0,10,46,29,14,6,0,0,0,105,3,16,83,17,23,6,0,0,0,148,3,56,318,98,51,29,5,3,0,563,3,11,47,12,12,12,6,3,0,106,0,76,358,109,73,40,17,3,0,676,3,29,154,46,29,19,8,0,0,288,3,8,35,25,25,13,3,0,0,112,6,33,105,35,31,37,6,0,0,253,5,51,159,72,46,58,18,3,0,412,3,11,34,18,11,5,3,0,0,85,3,24,62,24,10,8,0,0,0,131
105057204,133,1309,6737,4359,2564,1412,423,60,9,17006,0,0,4,3,3,3,3,0,0,16,0,0,8,5,3,3,0,0,0,19,0,32,152,92,46,22,7,0,0,351,0,3,17,3,6,0,0,0,0,29,0,15,66,32,19,8,3,0,0,143,0,43,226,92,21,39,6,0,0,427,36,212,425,178,92,87,19,0,0,1049,39,259,443,138,87,56,13,3,0,1038,3,11,76,51,32,23,4,0,0,200,4,99,419,201,104,45,9,0,0,881,4,85,592,329,104,46,14,0,3,1177,3,25,100,42,33,21,13,3,0,240,10,201,1294,473,248,141,34,3,0,2404,3,64,315,124,68,54,10,0,0,638,16,76,223,140,108,76,23,0,0,662,9,63,348,194,165,152,37,4,0,972,9,107,522,281,206,161,52,3,0,1341,7,40,161,108,51,43,11,3,0,424,3,45,177,78,51,32,11,0,0,397
105057205,212,1621,6874,4879,2711,1268,240,26,3,17834,0,6,6,0,0,0,0,0,0,12,0,0,12,11,3,0,0,0,0,26,0,44,223,121,62,39,5,0,0,494,0,5,27,22,4,5,0,0,0,63,5,23,87,50,32,11,0,0,0,208,7,57,279,150,63,33,3,3,0,595,62,287,449,209,118,65,15,3,0,1208,86,268,376,144,87,40,3,3,0,1007,4,25,150,125,81,30,0,3,0,418,11,100,435,233,95,26,10,0,0,910,7,85,632,310,116,27,4,0,0,1181,10,26,100,45,17,14,5,0,0,217,10,263,1024,500,239,106,6,3,0,2151,7,70,314,160,74,50,3,0,0,678,0,109,349,221,169,82,10,0,0,940,12,125,573,356,251,187,32,0,0,1536,14,172,744,416,291,203,35,0,0,1875,13,71,168,107,68,17,4,0,0,448,14,51,230,111,60,41,10,0,0,517
105057206,198,1290,5030,2671,1464,1017,257,19,6,11952,0,3,3,3,0,3,0,0,0,12,0,0,6,5,3,0,0,0,0,14,11,26,141,66,43,28,3,0,0,318,0,3,17,4,0,3,0,0,0,27,0,17,90,35,27,6,0,0,0,175,7,30,176,82,45,15,4,0,0,359,98,288,353,123,82,62,9,3,3,1021,99,298,385,113,70,34,8,3,0,1010,0,16,64,40,41,13,3,0,0,177,4,85,322,132,62,32,9,3,0,649,4,102,554,288,104,38,4,0,0,1094,3,33,74,39,19,19,10,0,0,197,17,231,825,342,175,125,19,3,0,1737,5,71,242,84,46,28,7,3,0,486,3,37,176,126,84,67,14,0,0,507,26,126,355,215,171,208,37,3,0,1141,21,141,483,229,174,169,35,0,0,1252,9,47,126,54,47,27,8,0,0,318,12,52,127,62,42,19,10,0,0,324
105106550,912,3049,9068,7879,6050,3771,1047,153,20,31949,0,3,3,6,3,8,3,0,0,26,0,3,11,13,4,3,3,0,0,37,22,89,266,224,192,104,21,5,0,923,0,8,35,43,16,4,3,0,0,109,7,41,154,158,73,44,15,3,0,495,6,79,309,307,174,92,22,0,3,992,263,584,629,471,430,291,73,11,0,2752,260,520,471,305,279,160,28,3,4,2030,12,72,275,294,250,118,9,4,0,1034,43,106,418,352,170,57,9,0,0,1155,12,141,914,684,336,121,18,0,0,2226,20,78,208,131,111,71,23,4,0,646,38,345,1313,901,526,247,51,5,0,3426,12,119,439,310,194,104,25,0,0,1203,9,127,514,411,400,204,37,3,0,1705,69,281,1018,928,1019,669,107,6,0,4097,83,452,1587,1309,1335,899,177,16,0,5858,29,83,224,176,117,44,23,4,0,700,44,128,289,226,167,120,25,0,0,999
105108050,270,1138,5852,4852,2912,1883,612,107,27,17653,0,3,8,0,3,3,3,3,0,23,0,0,12,6,4,0,0,0,0,22,7,30,191,112,60,41,13,0,0,454,0,0,14,13,5,3,0,0,0,35,3,31,104,70,44,26,8,0,0,286,3,34,267,188,95,49,22,4,3,665,86,287,453,282,197,152,32,3,0,1492,90,199,348,176,80,55,17,3,0,968,0,14,75,97,61,35,4,0,0,286,5,63,465,291,129,37,10,0,0,1000,4,62,539,392,151,67,23,4,0,1242,7,46,103,100,53,38,8,6,0,361,10,159,1209,697,332,158,48,3,0,2616,5,71,348,186,101,62,14,3,0,790,3,39,187,119,124,97,13,0,0,582,17,89,485,397,422,328,66,10,0,1814,19,154,688,482,496,365,90,4,3,2301,6,41,150,111,71,33,11,3,0,426,28,64,199,145,84,53,17,6,0,596
105108500,238,888,3539,3035,2521,2047,1016,230,57,13571,0,0,5,3,6,13,9,3,0,39,0,3,8,8,3,0,0,0,0,22,3,16,106,89,64,50,21,5,0,354,0,0,15,8,8,3,0,0,0,34,0,17,54,54,53,34,10,0,0,222,3,32,158,147,95,90,27,3,0,555,58,185,268,179,182,187,78,14,0,1151,61,141,188,93,64,71,23,5,0,646,3,12,50,51,65,36,13,4,0,234,6,66,293,205,99,53,12,0,0,734,3,76,479,307,186,106,43,8,3,1211,0,15,99,78,65,69,32,15,7,380,6,194,891,555,340,235,63,8,3,2295,0,51,206,119,97,71,9,3,0,556,12,38,130,90,83,74,18,3,0,448,42,79,242,223,257,269,77,9,0,1198,24,116,419,324,418,379,129,14,3,1826,3,30,116,67,58,42,18,6,0,340,16,41,118,64,66,54,17,3,3,382
