region_id,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
105051100,11,27,48,60,32,21,6,3,0,208,388,760,2177,2256,1760,1045,180,18,4,8588,0,0,4,9,0,0,0,0,0,13,0,3,3,8,6,0,0,0,0,20,23,77,259,358,346,238,36,3,0,1340,3,7,21,30,36,19,4,0,0,120,41,105,248,300,215,118,26,0,0,1053,11,56,251,284,212,125,26,3,0,968,197,305,480,389,281,172,39,3,0,1866,161,177,331,291,220,141,25,6,0,1352,18,105,378,513,492,279,50,3,0,1838,28,43,140,130,66,37,0,0,0,444,7,61,395,311,144,78,9,0,0,1005,14,30,107,101,51,24,13,3,4,347,21,98,463,350,208,109,14,3,0,1266,12,41,204,207,163,94,16,3,0,740,6,100,317,305,282,186,46,3,0,1245,21,73,273,317,293,154,33,3,0,1167,41,125,412,544,506,348,77,3,0,2056,34,51,97,78,67,26,13,0,0,366
105054800,10,20,86,67,48,29,6,5,0,271,290,1073,4471,4337,2932,2012,371,27,0,15513,0,0,8,0,9,13,6,0,0,36,0,0,19,15,7,0,6,0,0,47,19,51,413,444,277,153,36,0,3,1396,0,6,58,62,32,25,3,0,0,186,17,82,373,406,290,148,39,3,0,1358,6,51,371,491,279,128,23,6,0,1355,116,289,497,472,292,195,51,6,0,1918,162,264,397,273,169,80,17,0,0,1362,6,33,181,240,225,142,48,3,0,878,25,102,587,643,344,204,42,3,0,1950,9,85,1008,1210,448,177,37,3,0,2977,9,36,183,189,101,74,17,6,0,615,21,199,1483,1763,928,550,120,10,0,5074,12,64,340,380,187,122,31,0,0,1136,8,51,405,416,389,314,46,3,0,1632,24,134,594,618,656,717,116,6,0,2865,37,176,703,711,618,568,129,6,0,2948,21,101,212,205,178,118,22,3,0,860
105055200,19,50,116,96,58,30,13,6,0,388,474,2141,6616,5632,3704,1909,274,22,0,20772,0,3,11,10,5,7,3,0,0,39,0,3,14,11,11,0,0,0,0,39,26,160,593,604,497,289,50,4,0,2223,0,8,75,88,58,28,3,0,0,260,25,123,565,501,307,203,29,0,3,1756,19,123,522,480,304,135,29,0,0,1612,189,590,1048,623,449,216,40,12,0,3167,257,635,893,512,280,138,28,8,0,2751,12,94,410,509,419,224,41,0,0,1709,27,199,880,809,400,144,21,0,0,2480,10,189,1052,983,360,105,9,0,0,2708,24,53,180,174,110,53,10,0,0,604,46,387,1816,1613,843,331,52,7,0,5095,18,184,566,427,284,136,36,3,0,1654,10,131,800,891,709,367,49,7,0,2964,40,278,1205,1279,1020,651,74,9,0,4556,43,360,1260,1213,1040,601,96,7,0,4620,39,152,391,365,200,103,18,4,0,1272
105057201,4,29,87,10,20,9,5,3,0,167,137,863,2500,750,502,335,81,18,0,5186,0,3,6,0,3,5,3,0,0,20,0,3,10,3,10,5,0,0,0,31,3,46,168,69,44,41,6,0,3,380,0,0,16,12,5,4,0,0,0,37,0,23,110,41,38,18,3,6,0,239,3,36,179,74,57,45,22,4,0,420,33,245,490,121,86,59,21,0,0,1055,153,656,1224,268,127,71,7,3,3,2512,0,20,116,71,44,34,3,3,0,291,3,33,211,57,49,26,13,0,0,392,6,118,767,273,153,73,16,3,0,1409,6,11,103,36,31,31,14,11,0,243,3,142,886,319,190,151,48,11,3,1753,3,49,303,80,53,34,12,0,0,534,3,21,106,69,57,28,10,0,0,294,6,53,156,70,60,55,18,0,0,418,5,73,240,118,79,92,40,9,3,659,6,23,88,33,17,17,6,0,0,190
105057204,7,40,112,50,32,24,5,4,4,278,153,1420,5680,2614,1479,1036,274,23,7,12686,0,3,8,6,6,8,6,3,0,40,0,0,21,11,12,8,4,0,0,56,4,65,373,231,133,70,24,0,0,900,0,6,37,23,21,9,3,0,0,99,4,69,329,199,119,66,24,3,0,813,0,63,450,278,127,86,26,4,0,1034,50,366,812,426,248,174,43,3,3,2125,72,516,1158,454,268,133,42,3,3,2649,7,30,247,188,175,91,25,0,0,763,13,160,915,529,243,122,23,6,0,2011,4,177,1543,907,326,122,39,12,3,3133,3,44,211,113,97,61,23,3,3,558,14,363,2782,1318,651,400,112,18,0,5658,8,113,609,348,172,119,28,0,0,1397,54,278,600,386,312,180,43,0,0,1853,13,92,604,436,343,296,70,12,0,1866,9,147,803,544,426,293,85,3,0,2310,10,83,353,252,151,98,35,6,0,988
105057205,5,54,108,55,39,12,5,3,0,281,267,1841,6286,3346,1869,988,150,18,0,14765,3,10,9,0,0,0,0,0,0,22,0,7,24,14,7,3,3,0,0,58,5,97,571,371,205,101,23,3,3,1379,0,18,79,51,28,9,3,0,0,188,18,116,473,296,177,90,12,0,0,1182,11,102,593,395,198,88,13,3,0,1403,97,469,898,508,257,147,28,6,0,2410,155,543,912,417,243,100,22,3,0,2395,9,66,438,422,301,153,18,3,0,1410,19,197,938,600,222,74,15,0,0,2065,13,189,1393,827,283,76,9,0,0,2790,14,50,210,145,63,41,10,3,0,536,17,440,2268,1227,613,241,34,6,0,4846,12,144,607,359,183,102,23,5,0,1435,7,234,776,547,413,184,23,3,0,2187,23,212,885,724,514,326,51,3,0,2738,20,223,1051,689,466,319,54,0,0,2822,24,144,372,242,165,66,11,0,0,1024
105057206,13,39,81,39,21,18,10,0,0,221,332,1645,4600,2081,1256,914,190,18,3,11039,0,3,6,6,0,6,3,0,0,24,0,3,17,8,6,3,3,0,0,40,16,72,340,172,122,79,15,0,0,816,0,9,51,26,14,14,3,0,0,117,10,81,352,160,109,50,10,0,0,772,11,74,365,195,110,64,18,0,0,837,122,440,622,241,156,116,24,3,3,1727,171,515,888,305,145,87,18,6,0,2135,3,42,179,140,116,75,8,0,0,563,17,152,698,359,131,81,22,3,0,1463,8,193,1240,643,244,96,15,3,0,2442,6,59,157,84,56,44,20,0,3,429,28,413,1905,831,428,286,66,7,0,3964,8,116,421,199,86,61,14,3,0,908,3,95,382,260,202,156,27,0,0,1125,49,241,621,388,307,333,71,6,0,2016,28,183,690,377,271,236,58,3,0,1846,18,96,283,142,92,58,18,0,0,707
105106550,31,75,173,131,132,68,36,12,4,662,960,3334,9250,7380,5928,3428,708,76,11,31075,3,10,19,20,18,14,6,3,0,93,0,15,43,27,14,8,3,0,0,110,49,190,707,696,584,391,80,12,0,2709,3,32,135,109,77,61,10,0,0,427,103,354,1232,959,640,359,96,17,3,3763,28,163,632,705,473,276,77,11,3,2368,427,965,1188,851,723,508,161,23,0,4846,509,928,1083,668,543,340,73,15,8,4167,31,165,709,816,796,487,109,7,0,3120,84,196,793,739,433,170,25,6,0,2446,21,279,1851,1571,719,253,51,7,0,4752,34,133,392,311,236,154,53,10,0,1323,70,669,2599,2030,1292,661,173,16,0,7510,32,228,744,569,362,193,57,6,0,2191,31,304,1119,939,952,526,102,6,0,3979,127,550,1635,1384,1472,1028,195,19,0,6410,106,559,2026,1777,1751,1217,281,36,5,7758,89,258,458,382,247,124,53,7,0,1618
105108050,15,44,149,91,69,35,14,4,0,421,308,1430,5994,3955,2581,1637,413,56,6,16380,0,7,17,4,6,3,8,6,0,51,0,0,25,26,11,0,4,0,0,66,7,68,448,322,205,159,45,4,3,1261,0,3,46,44,35,14,3,0,0,145,34,179,761,458,274,158,48,4,0,1916,8,69,498,426,276,152,66,15,6,1516,132,402,767,507,341,283,86,20,0,2538,162,393,808,462,209,116,46,10,0,2206,3,44,197,245,222,156,48,3,0,918,14,108,823,641,322,102,25,0,0,2035,4,148,1323,1087,428,179,44,7,4,3224,18,80,233,242,117,80,28,9,3,810,20,267,2380,1703,841,462,152,14,3,5842,13,111,617,381,192,122,33,13,0,1482,12,95,372,276,283,223,36,3,0,1300,40,140,701,585,591,478,106,14,0,2655,30,188,877,684,703,556,143,17,3,3201,22,88,300,242,155,67,14,6,0,894
105108500,7,35,75,71,63,50,33,11,0,345,247,1147,3920,2735,2272,1886,632,114,19,12972,0,0,9,11,14,26,14,6,0,80,0,6,22,17,20,13,8,3,0,89,13,44,246,209,179,149,67,19,3,929,0,3,38,17,21,14,3,0,0,96,7,75,286,229,170,124,49,10,8,958,14,59,324,307,249,223,100,20,5,1301,90,278,427,319,314,307,151,33,0,1919,134,290,414,247,156,136,60,15,0,1452,6,31,132,118,145,111,44,4,0,591,6,113,497,377,220,117,37,3,0,1370,3,153,1160,893,604,294,136,38,17,3298,6,48,215,198,170,167,77,30,14,925,14,305,1663,1170,841,669,265,42,9,4978,6,88,350,234,172,137,38,6,0,1031,35,116,262,190,171,154,60,3,0,991,70,121,353,339,354,379,119,13,0,1748,30,142,534,475,634,622,275,52,7,2771,14,52,199,150,114,81,40,13,0,663
