region_id,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
105051100,12,3,0,0,0,0,3,0,0,18,3,11,0,0,3,0,0,0,0,17,172,130,333,19,157,71,223,212,23,1340,6,29,24,0,23,0,19,18,0,119,109,47,581,3,109,7,42,146,9,1053,155,149,61,5,226,140,189,27,15,967,278,84,109,18,138,1035,72,106,26,1866,222,38,263,347,71,124,27,244,14,1350,153,134,68,105,529,99,623,107,22,1840,73,140,73,3,83,46,10,8,6,442,159,331,22,9,421,28,7,8,21,1006,52,36,19,6,76,138,8,9,3,347,140,646,118,9,296,27,5,13,11,1265,87,84,36,67,125,23,26,281,13,742,104,181,131,313,282,16,95,90,30,1242,89,677,38,133,190,4,9,23,4,1167,98,686,84,640,359,17,28,126,18,2056,38,68,41,112,61,15,4,23,5,367,52,65,313,55,67,7,15,100,7,681,27,63,66,36,57,25,39,53,146,512
105054800,16,8,4,0,0,3,0,3,0,34,16,15,0,0,6,4,4,0,0,45,463,360,199,12,105,149,48,52,7,1395,50,63,23,0,25,0,9,17,0,187,345,144,523,4,141,26,37,129,9,1358,506,350,51,0,158,205,60,14,10,1354,529,180,88,22,127,843,42,70,19,1920,367,42,191,493,63,77,9,112,7,1361,171,170,33,75,167,49,143,52,19,879,396,1045,140,3,205,120,6,19,15,1949,785,1320,23,5,726,56,0,4,58,2977,142,122,22,5,90,209,8,8,8,614,933,3099,180,14,664,95,5,13,74,5077,330,321,50,105,157,39,14,108,12,1136,298,601,54,220,364,4,36,27,29,1633,311,2016,70,194,235,6,0,15,18,2865,240,1766,57,475,323,16,7,41,23,2948,127,395,64,146,76,31,3,15,4,861,141,179,180,159,92,19,6,41,11,828,106,138,42,39,75,42,16,25,99,582
105055200,8,3,5,0,7,3,3,12,0,41,6,14,4,0,14,0,0,0,0,38,360,371,542,18,209,132,251,310,31,2224,52,73,39,3,46,3,14,26,3,259,255,156,822,3,177,18,38,272,12,1753,350,345,117,3,270,239,191,76,19,1610,649,261,218,36,236,1495,115,131,25,3166,455,60,526,1001,133,193,23,341,20,2752,188,172,89,115,443,113,468,99,21,1708,336,1392,251,6,327,103,19,23,24,2481,500,1059,48,15,973,70,3,3,37,2708,98,85,33,10,127,209,11,26,3,602,609,3153,327,29,786,80,11,42,59,5096,254,340,83,153,282,64,26,429,23,1654,430,990,129,372,798,12,94,85,55,2965,431,3215,123,217,475,10,14,34,37,4556,360,2304,142,997,541,31,38,169,40,4622,174,567,117,192,100,52,6,53,9,1270,193,306,401,195,158,30,27,152,12,1474,82,165,104,55,110,42,39,82,218,897
105057201,9,3,3,0,3,0,0,3,0,21,15,17,0,0,5,0,0,0,0,37,91,83,59,15,35,25,13,45,14,380,9,13,3,3,7,3,3,0,0,41,59,47,45,4,37,8,5,30,5,240,135,90,31,3,66,56,18,17,3,419,220,84,42,20,57,531,29,47,24,1054,275,29,567,924,101,155,13,411,35,2510,48,58,6,32,62,22,41,12,7,288,76,208,27,3,50,28,0,0,0,392,211,732,29,12,362,22,0,8,33,1409,39,51,0,9,51,81,0,6,6,243,227,1217,49,4,179,35,0,3,39,1753,61,90,6,59,51,15,4,241,7,534,52,111,21,25,64,3,8,6,4,294,45,271,10,24,54,3,0,6,5,418,38,339,14,146,79,8,4,14,15,657,22,62,11,59,14,8,3,8,3,190,30,32,76,37,24,8,0,38,9,254,57,45,16,32,30,27,0,30,139,376
105057204,19,3,0,0,3,3,3,10,0,41,13,21,4,0,12,0,4,0,0,54,260,283,113,18,79,65,31,46,7,902,21,43,5,0,22,4,3,0,0,98,174,146,266,3,73,27,16,99,10,814,355,302,46,5,118,163,25,7,13,1034,598,246,88,32,126,951,23,44,17,2125,526,91,492,1051,136,72,15,228,38,2649,117,138,22,163,145,51,93,24,9,762,386,1135,111,3,211,124,8,10,24,2012,614,1562,27,11,789,63,0,6,62,3134,100,110,17,7,83,220,3,5,12,557,803,3840,152,15,608,129,4,21,85,5657,293,421,38,166,159,77,4,225,13,1396,306,535,270,297,365,4,31,18,27,1853,210,1271,42,132,172,15,0,13,13,1868,138,1362,48,373,264,25,14,56,31,2311,158,486,60,127,85,42,4,19,7,988,110,146,252,144,79,16,8,42,6,803,95,169,44,46,54,31,12,34,148,633
105057205,3,3,3,3,0,0,3,13,0,28,11,28,3,3,10,0,3,0,0,58,322,375,237,13,134,127,76,76,17,1377,24,82,21,3,37,9,8,5,0,189,215,170,497,7,125,18,23,123,8,1186,339,381,75,3,256,224,81,25,17,1401,642,230,103,32,168,1098,58,60,17,2408,489,66,415,944,100,128,24,213,16,2395,205,210,55,226,334,85,225,52,18,1410,327,1119,147,5,276,141,12,17,20,2064,533,1252,42,20,831,62,3,8,40,2791,96,103,27,7,91,181,3,18,7,533,627,3122,265,8,641,107,10,20,47,4847,289,396,46,165,203,75,7,235,19,1435,333,630,212,395,454,13,49,46,56,2188,282,1872,62,149,310,16,9,17,22,2739,185,1574,54,546,347,29,18,56,11,2820,159,446,83,159,98,36,8,29,7,1025,124,209,305,178,117,9,17,66,0,1025,84,153,55,53,100,27,19,27,166,684
105057206,10,3,4,0,3,0,0,3,0,23,11,15,5,0,6,0,0,3,0,40,191,264,112,22,75,67,29,53,4,817,30,57,5,3,11,3,3,3,0,115,168,152,212,0,98,14,24,94,12,774,225,236,40,6,138,116,42,22,13,838,416,164,77,22,102,847,29,55,16,1728,355,48,408,841,120,103,17,229,12,2133,97,98,23,41,123,38,109,22,12,563,229,808,109,5,171,100,8,12,20,1462,476,1166,44,13,662,37,0,6,37,2441,77,83,14,18,69,139,3,15,13,431,534,2597,159,11,496,88,6,7,66,3964,166,249,26,110,147,48,3,145,14,908,197,389,68,142,255,9,12,16,37,1125,165,1374,57,151,227,3,0,23,16,2016,114,1066,47,326,212,14,3,32,32,1846,94,259,41,163,74,30,3,34,8,706,83,152,107,110,80,10,9,33,3,587,62,104,37,34,51,27,14,31,112,472
105106550,30,13,13,3,14,3,3,11,3,93,23,46,8,3,11,0,10,3,0,104,581,568,574,25,328,206,203,201,24,2710,67,145,67,0,61,11,43,26,6,426,607,316,1811,12,369,41,89,490,25,3760,649,492,118,6,443,394,172,59,35,2368,972,367,248,51,331,2515,129,201,30,4844,821,115,571,1533,251,312,69,454,39,4165,367,399,122,277,754,206,799,152,45,3121,403,1199,244,15,275,223,15,41,31,2446,851,2116,64,20,1479,104,10,10,97,4751,190,178,31,5,265,590,9,28,30,1326,974,4630,370,22,1216,155,17,28,99,7511,343,530,110,279,298,111,22,470,29,2192,583,1036,279,841,858,23,162,128,70,3980,418,4301,167,586,782,26,8,57,65,6410,369,4126,240,1503,1173,44,58,185,62,7760,230,427,146,383,220,60,6,125,21,1618,178,275,708,329,261,42,21,133,13,1960,165,228,127,103,211,81,47,109,403,1474
105108050,16,6,3,4,8,4,0,10,0,51,19,26,12,3,5,0,0,3,0,68,376,311,216,27,112,117,39,34,26,1258,32,53,17,0,17,3,18,9,0,149,338,219,831,4,156,27,43,285,12,1915,551,357,41,8,192,284,50,14,19,1516,687,286,112,24,153,1159,37,52,29,2539,498,68,371,866,108,108,12,157,20,2208,131,155,34,97,178,53,191,63,15,917,371,1194,125,12,153,147,8,9,17,2036,660,1609,22,10,787,57,0,3,76,3224,124,131,15,14,128,362,7,8,20,809,954,3764,208,17,625,157,5,11,101,5842,326,487,77,136,177,65,4,202,10,1484,204,393,75,223,273,3,40,61,29,1301,236,1759,36,314,248,27,0,12,21,2653,195,1777,54,621,437,23,14,47,30,3198,160,386,52,131,90,40,3,21,8,891,136,135,315,229,117,18,13,69,12,1044,113,216,76,63,120,62,16,38,225,929
105108500,50,7,0,0,9,3,0,7,4,80,40,31,0,0,10,3,4,0,0,88,373,216,108,13,76,93,15,18,16,928,34,40,3,0,9,3,3,3,0,95,310,152,259,3,110,19,12,76,14,955,571,269,25,4,175,211,19,11,16,1301,659,217,81,19,107,761,16,35,24,1919,453,61,156,529,99,52,14,62,29,1455,148,106,19,72,111,39,71,17,7,590,299,762,74,3,125,80,3,6,18,1370,752,1617,15,6,689,47,3,9,160,3298,161,187,11,7,122,386,0,10,41,925,761,3373,103,17,518,123,0,13,74,4982,260,369,18,119,109,45,0,94,16,1030,219,351,37,123,208,3,15,12,21,989,173,1168,14,201,154,14,0,5,20,1749,183,1773,29,325,394,15,10,19,22,2770,133,283,44,97,64,28,3,7,3,662,118,103,151,154,79,20,0,21,6,652,157,157,28,46,77,39,6,28,166,704
