region_id,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR101,2537,2386,4923,127799,121374,249173,7632,6878,14510,137968,130638,268606,2525,2198,4723,116177,109486,225663,6447,5842,12289,125149,117526,242675,2414,2212,4626,113015,106850,219865,6035,5438,11473,121464,114500,235964,2399,2319,4718,115835,110009,225844,6362,5449,11811,124596,117777,242373,1900,1868,3768,129107,129889,258996,9479,7919,17398,140486,139676,280162,1456,1629,3085,142812,149785,292597,11540,9470,21010,155808,160884,316692,1212,1385,2597,143027,147355,290382,9894,8462,18356,154133,157202,311335,1277,1439,2716,139868,145540,285408,8395,7258,15653,149540,154237,303777,1212,1466,2678,130394,138419,268813,7320,6372,13692,138926,146257,285183,1031,1258,2289,126863,131099,257962,6887,6029,12916,134781,138386,273167,929,1011,1940,116763,122206,238969,6593,5534,12127,124285,128751,253036,737,839,1576,100157,106407,206564,5534,4988,10522,106428,112234,218662,547,634,1181,90895,93605,184500,4906,4355,9261,96348,98594,194942,790,1001,1791,203218,250012,453230,12319,14727,27046,216327,265740,482067,20966,21645,42611,1795930,1862036,3657966,109343,98721,208064,1926239,1982402,3908641
SOSR102,1246,1186,2432,20030,18920,38950,901,852,1753,22177,20958,43135,1262,1169,2431,19501,18511,38012,913,840,1753,21676,20520,42196,1273,1220,2493,20121,19500,39621,1002,895,1897,22396,21615,44011,1271,1157,2428,21264,20170,41434,1052,810,1862,23587,22137,45724,951,857,1808,19929,19972,39901,1032,758,1790,21912,21587,43499,617,735,1352,18703,19069,37772,969,755,1724,20289,20559,40848,521,572,1093,17921,19097,37018,843,681,1524,19285,20350,39635,535,638,1173,20245,21571,41816,910,761,1671,21690,22970,44660,555,631,1186,20982,22632,43614,1009,835,1844,22546,24098,46644,517,627,1144,21508,23044,44552,1008,814,1822,23033,24485,47518,443,490,933,21630,23158,44788,1045,953,1998,23118,24601,47719,310,381,691,19926,21234,41160,884,733,1617,21120,22348,43468,248,280,528,18968,20383,39351,848,802,1650,20064,21465,41529,395,497,892,52860,66973,119833,2612,3525,6137,55867,70995,126862,10144,10440,20584,313588,334234,647822,15028,14014,29042,338760,358688,697448
SOSR103,388,388,776,7291,6976,14267,292,306,598,7971,7670,15641,374,328,702,7223,6876,14099,302,297,599,7899,7501,15400,393,356,749,7539,7080,14619,286,258,544,8218,7694,15912,366,371,737,7921,7567,15488,331,286,617,8618,8224,16842,280,255,535,8370,7948,16318,405,356,761,9055,8559,17614,219,215,434,7302,7208,14510,405,267,672,7926,7690,15616,145,155,300,6882,7050,13932,321,210,531,7348,7415,14763,160,186,346,7614,8007,15621,293,244,537,8067,8437,16504,151,184,335,7541,7959,15500,315,230,545,8007,8373,16380,131,171,302,8034,8155,16189,331,265,596,8496,8591,17087,111,146,257,7742,8006,15748,319,260,579,8172,8412,16584,88,101,189,6627,7178,13805,277,249,526,6992,7528,14520,65,61,126,6428,6472,12900,293,245,538,6786,6778,13564,87,137,224,16818,20558,37376,844,1071,1915,17749,21766,39515,2958,3054,6012,113332,117040,230372,5014,4544,9558,121304,124638,245942
SOSR111,259,227,486,3670,3520,7190,169,174,343,4098,3921,8019,239,235,474,3529,3322,6851,172,142,314,3940,3699,7639,247,222,469,3601,3462,7063,177,154,331,4025,3838,7863,185,196,381,3622,3664,7286,192,158,350,3999,4018,8017,141,160,301,3389,3546,6935,165,149,314,3695,3855,7550,115,129,244,3350,3503,6853,140,108,248,3605,3740,7345,101,88,189,3365,3448,6813,156,107,263,3622,3643,7265,83,99,182,3431,3740,7171,156,115,271,3670,3954,7624,75,137,212,3476,3696,7172,184,143,327,3735,3976,7711,71,82,153,3362,3581,6943,152,118,270,3585,3781,7366,55,80,135,3409,3660,7069,160,133,293,3624,3873,7497,49,53,102,3131,3305,6436,140,108,248,3320,3466,6786,36,53,89,2865,3054,5919,116,122,238,3017,3229,6246,45,71,116,6518,8420,14938,339,440,779,6902,8931,15833,1701,1832,3533,50718,53921,104639,2418,2171,4589,54837,57924,112761
SOSR112,1651,1644,3295,11887,11258,23145,660,624,1284,14198,13526,27724,1430,1385,2815,11190,10555,21745,614,620,1234,13234,12560,25794,1459,1415,2874,11431,10880,22311,701,619,1320,13591,12914,26505,1323,1341,2664,11922,11490,23412,672,618,1290,13917,13449,27366,1013,1046,2059,11042,11420,22462,695,541,1236,12750,13007,25757,770,810,1580,10286,10875,21161,544,431,975,11600,12116,23716,640,641,1281,9717,10493,20210,530,437,967,10887,11571,22458,580,733,1313,10689,11250,21939,512,466,978,11781,12449,24230,641,745,1386,10911,11930,22841,579,521,1100,12131,13196,25327,500,620,1120,11196,12203,23399,597,523,1120,12293,13346,25639,462,524,986,11668,12961,24629,639,499,1138,12769,13984,26753,357,389,746,11023,11652,22675,577,433,1010,11957,12474,24431,256,265,521,10413,11205,21618,501,470,971,11170,11940,23110,322,453,775,27432,36003,63435,1495,2015,3510,29249,38471,67720,11404,12011,23415,170807,184175,354982,9316,8817,18133,191527,205003,396530
SOSR113,1072,1046,2118,7976,7513,15489,478,494,972,9526,9053,18579,1006,971,1977,7899,7290,15189,438,454,892,9343,8715,18058,1010,973,1983,8320,8033,16353,523,445,968,9853,9451,19304,934,942,1876,8508,8434,16942,492,458,950,9934,9834,19768,625,696,1321,7512,7522,15034,480,421,901,8617,8639,17256,516,531,1047,6766,6830,13596,413,329,742,7695,7690,15385,428,422,850,6338,6786,13124,364,297,661,7130,7505,14635,390,501,891,7183,7604,14787,393,343,736,7966,8448,16414,402,516,918,7610,8278,15888,428,354,782,8440,9148,17588,362,457,819,8401,8817,17218,463,386,849,9226,9660,18886,335,399,734,8667,9488,18155,467,392,859,9469,10279,19748,250,281,531,8475,9073,17548,464,370,834,9189,9724,18913,187,215,402,8626,9353,17979,438,377,815,9251,9945,19196,284,344,628,25872,32382,58254,1529,2024,3553,27685,34750,62435,7801,8294,16095,128153,137403,265556,7370,7144,14514,143324,152841,296165
SOSR114,890,931,1821,6472,6055,12527,385,394,779,7747,7380,15127,825,787,1612,6103,5891,11994,346,327,673,7274,7005,14279,854,826,1680,6269,6105,12374,364,349,713,7487,7280,14767,755,721,1476,6041,5698,11739,315,333,648,7111,6752,13863,445,503,948,4784,4764,9548,288,219,507,5517,5486,11003,380,411,791,4584,5059,9643,305,237,542,5269,5707,10976,307,382,689,4869,5162,10031,270,240,510,5446,5784,11230,347,390,737,5541,6040,11581,329,286,615,6217,6716,12933,346,398,744,5697,6372,12069,306,282,588,6349,7052,13401,306,374,680,6214,6420,12634,297,246,543,6817,7040,13857,275,332,607,6409,6812,13221,331,252,583,7015,7396,14411,203,232,435,6075,6354,12429,302,244,546,6580,6830,13410,164,189,353,6442,6944,13386,320,287,607,6926,7420,14346,279,355,634,19645,24125,43770,1041,1315,2356,20965,25795,46760,6376,6831,13207,95145,101801,196946,5199,5011,10210,106720,113643,220363
SOSR115,1336,1406,2742,9677,9109,18786,530,507,1037,11543,11022,22565,1355,1312,2667,9738,9189,18927,561,578,1139,11654,11079,22733,1354,1269,2623,10313,9587,19900,581,550,1131,12248,11406,23654,1196,1067,2263,10033,9157,19190,557,464,1021,11786,10688,22474,769,741,1510,7462,7275,14737,494,345,839,8725,8361,17086,589,630,1219,7012,7365,14377,362,309,671,7963,8304,16267,494,590,1084,7301,8037,15338,370,293,663,8165,8920,17085,548,713,1261,8916,9645,18561,464,409,873,9928,10767,20695,585,661,1246,9350,10314,19664,522,422,944,10457,11397,21854,533,621,1154,10121,11197,21318,521,458,979,11175,12276,23451,498,557,1055,11126,11804,22930,607,476,1083,12231,12837,25068,428,417,845,11076,11294,22370,542,469,1011,12046,12180,24226,345,316,661,11314,11525,22839,533,436,969,12192,12277,24469,462,581,1043,31142,36427,67569,1717,2135,3852,33321,39143,72464,10492,10881,21373,154581,161925,316506,8361,7851,16212,173434,180657,354091
SOSR121,391,349,740,2642,2577,5219,110,126,236,3143,3052,6195,384,356,740,2932,2756,5688,136,141,277,3452,3253,6705,370,354,724,3061,3021,6082,166,141,307,3597,3516,7113,319,293,612,3013,2745,5758,142,125,267,3474,3163,6637,174,213,387,1911,1732,3643,120,95,215,2205,2040,4245,133,172,305,1645,1811,3456,73,63,136,1851,2046,3897,115,164,279,1910,2115,4025,83,67,150,2108,2346,4454,170,165,335,2437,2770,5207,118,93,211,2725,3028,5753,143,180,323,2817,3131,5948,127,95,222,3087,3406,6493,150,166,316,3156,3262,6418,142,135,277,3448,3563,7011,129,159,288,3411,3510,6921,157,132,289,3697,3801,7498,108,96,204,3266,3273,6539,142,125,267,3516,3494,7010,83,89,172,3307,3147,6454,143,122,265,3533,3358,6891,143,142,285,7645,7929,15574,392,381,773,8180,8452,16632,2812,2898,5710,43153,43779,86932,2051,1841,3892,48016,48518,96534
SOSR122,189,183,372,1454,1426,2880,89,82,171,1732,1691,3423,170,217,387,1601,1474,3075,77,82,159,1848,1773,3621,193,224,417,1762,1648,3410,94,107,201,2049,1979,4028,177,185,362,1516,1501,3017,78,81,159,1771,1767,3538,112,101,213,974,932,1906,66,47,113,1152,1080,2232,79,78,157,945,959,1904,57,32,89,1081,1069,2150,91,92,183,1048,1173,2221,48,56,104,1187,1321,2508,105,115,220,1399,1534,2933,83,68,151,1587,1717,3304,88,121,209,1597,1725,3322,99,74,173,1784,1920,3704,97,107,204,1832,1872,3704,96,74,170,2025,2053,4078,89,83,172,2054,2039,4093,121,79,200,2264,2201,4465,88,61,149,1971,1977,3948,92,85,177,2151,2123,4274,47,71,118,2027,1930,3957,103,84,187,2177,2085,4262,92,94,186,4745,4559,9304,254,223,477,5091,4876,9967,1617,1732,3349,24925,24749,49674,1357,1174,2531,27899,27655,55554
