region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SOSR101,1478,126346,10144,137968,6968,226491,13154,246613,2349,115396,6851,124596,1789,127617,11079,140485,3255,281698,24987,309940,4613,265127,18726,288466,7093,236750,15223,259066,10518,180946,11312,202776,11291,104954,7147,123392,13632,51391,4622,69645,9534,11748,2010,23292,72520,1728464,125255,1926239,908,120469,9260,130637,3266,216966,11792,232024,1405,110809,5563,117777,1225,129609,8842,139676,2914,294632,20540,318086,4659,280013,15825,300497,8425,245867,12847,267139,11576,189278,9975,210829,12915,111092,6625,130632,22995,59881,5755,88631,24656,17831,3988,46475,94944,1776447,111012,1982403,2386,246815,19404,268605,10234,443457,24946,478637,3754,226205,12414,242373,3014,257226,19921,280161,6169,576330,45527,628026,9272,545140,34551,588963,15518,482617,28070,526205,22094,370224,21287,413605,24206,216046,13772,254024,36627,111272,10377,158276,34190,29579,5998,69767,167464,3504911,236267,3908642
SOSR102,336,20542,1299,22177,1842,40176,2055,44073,707,21769,1110,23586,447,20280,1185,21912,782,36713,2082,39577,1096,40959,2183,44238,1774,42109,2269,46152,2719,36617,1844,41180,2892,25561,1415,29868,3404,14645,1204,19253,2583,3580,582,6745,18582,302951,17228,338761,177,19548,1233,20958,816,39412,1905,42133,366,20881,890,22137,318,20348,921,21587,629,38511,1768,40908,1088,44122,1856,47066,1939,45189,1961,49089,2542,39639,1634,43815,2771,29010,1461,33242,5282,18390,1570,25242,6484,4946,1082,12512,22412,319996,16281,358689,513,40090,2532,43135,2658,79588,3960,86206,1073,42650,2000,45723,765,40628,2106,43499,1411,75224,3850,80485,2184,85081,4039,91304,3713,87298,4230,95241,5261,76256,3478,84995,5663,54571,2876,63110,8686,33035,2774,44495,9067,8526,1664,19257,40994,622947,33509,697450
SOSR103,99,7423,450,7972,575,14899,642,16116,223,8037,357,8617,187,8414,454,9055,304,14137,832,15273,399,14970,703,16072,635,15337,695,16667,957,12220,606,13783,992,8337,427,9756,1304,4512,367,6183,796,891,124,1811,6471,109177,5657,121305,51,7163,455,7669,240,14353,604,15197,136,7792,296,8224,136,8036,388,8560,266,14258,582,15106,439,15807,565,16811,711,15715,579,17005,928,12856,516,14300,1167,9152,458,10777,2103,5169,472,7744,1900,1159,185,3244,8077,111460,5100,124637,150,14586,905,15641,815,29252,1246,31313,359,15829,653,16841,323,16450,842,17615,570,28395,1414,30379,838,30777,1268,32883,1346,31052,1274,33672,1885,25076,1122,28083,2159,17489,885,20533,3407,9681,839,13927,2696,2050,309,5055,14548,220637,10757,245942
SOSR111,56,3778,262,4096,358,7239,369,7966,138,3657,204,3999,89,3413,194,3696,162,6702,361,7225,179,6837,389,7405,240,6625,345,7210,419,5640,280,6339,372,3410,203,3985,396,1707,144,2247,283,324,61,668,2692,49332,2812,54836,30,3658,235,3923,173,7027,337,7537,73,3772,174,4019,64,3612,178,3854,133,6971,277,7381,209,7381,341,7931,281,7083,289,7653,376,6062,252,6690,340,3864,204,4408,667,2186,202,3055,787,585,100,1472,3133,52201,2589,57923,86,7436,497,8019,531,14266,706,15503,211,7429,378,8018,153,7025,372,7550,295,13673,638,14606,388,14218,730,15336,521,13708,634,14863,795,11702,532,13029,712,7274,407,8393,1063,3893,346,5302,1070,909,161,2140,5825,101533,5401,112759
SOSR112,215,12986,996,14197,1201,24141,1479,26821,398,12752,768,13918,285,11432,1034,12751,539,20130,1820,22489,740,21472,1701,23913,1116,22409,1537,25062,1589,20282,1252,23123,1511,13732,871,16114,1683,7650,616,9949,1344,1594,251,3189,10621,168580,12325,191526,138,12442,947,13527,566,23539,1374,25479,245,12508,695,13448,248,12137,620,13005,480,22135,1073,23688,730,23761,1152,25643,1171,25019,1139,27329,1374,22073,972,24419,1475,15958,871,18304,2802,9786,831,13419,3529,2620,596,6745,12758,181978,10270,205006,353,25428,1943,27724,1767,47680,2853,52300,643,25260,1463,27366,533,23569,1654,25756,1019,42265,2893,46177,1470,45233,2853,49556,2287,47428,2676,52391,2963,42355,2224,47542,2986,29690,1742,34418,4485,17436,1447,23368,4873,4214,847,9934,23379,350558,22595,396532
SOSR113,165,8607,754,9526,843,17237,1116,19196,340,9046,549,9935,211,7766,642,8619,414,13224,1185,14823,585,14695,1124,16404,918,16696,1080,18694,1441,16006,994,18441,1460,12647,784,14891,1659,7369,637,9665,1241,1586,302,3129,9277,124879,9167,143323,84,8267,704,9055,379,16767,1018,18164,197,9143,493,9833,146,8011,480,8637,324,14075,794,15193,540,16213,844,17597,864,18225,852,19941,1313,17536,821,19670,1266,14420,757,16443,2421,8994,817,12232,3074,2420,582,6076,10608,134071,8162,152841,249,16874,1458,18581,1222,34004,2134,37360,537,18189,1042,19768,357,15777,1122,17256,738,27299,1979,30016,1125,30908,1968,34001,1782,34921,1932,38635,2754,33542,1815,38111,2726,27067,1541,31334,4080,16363,1454,21897,4315,4006,884,9205,19885,258950,17329,296164
SOSR114,130,7046,571,7747,623,13312,830,14765,201,6530,380,7111,135,5008,373,5516,256,9731,723,10710,409,11403,754,12566,632,12459,742,13833,1008,11815,681,13504,1083,9895,573,11551,1232,5485,462,7179,895,1123,218,2236,6604,93807,6307,106718,63,6741,576,7380,304,13205,776,14285,114,6289,349,6752,95,5122,271,5488,209,10702,582,11493,332,12785,648,13765,599,13254,579,14432,852,12820,579,14251,1022,10952,580,12554,1684,6638,595,8917,2155,1723,450,4328,7429,100231,5985,113645,193,13787,1147,15127,927,26517,1606,29050,315,12819,729,13863,230,10130,644,11004,465,20433,1305,22203,741,24188,1402,26331,1231,25713,1321,28265,1860,24635,1260,27755,2105,20847,1153,24105,2916,12123,1057,16096,3050,2846,668,6564,14033,194038,12292,220363
SOSR115,176,10551,817,11544,948,21688,1263,23899,327,10860,601,11788,201,7852,675,8728,360,14633,1135,16128,607,18468,1312,20387,1078,21035,1292,23405,1807,21233,1195,24235,1801,15956,935,18692,2004,8519,674,11197,1351,1751,328,3430,10660,152546,10227,173433,108,10137,777,11022,418,20866,1204,22488,185,9996,508,10689,145,7807,408,8360,276,16187,759,17222,531,20679,954,22164,1009,23094,1009,25112,1547,21941,969,24457,1506,17003,881,19390,2663,9765,914,13342,3275,2557,577,6409,11663,160032,8960,180655,284,20688,1594,22566,1366,42554,2467,46387,512,20856,1109,22477,346,15659,1083,17088,636,30820,1894,33350,1138,39147,2266,42551,2087,44129,2301,48517,3354,43174,2164,48692,3307,32959,1816,38082,4667,18284,1588,24539,4626,4308,905,9839,22323,312578,19187,354088
SOSR121,62,2874,207,3143,240,6507,304,7051,100,3225,148,3473,62,2014,128,2204,99,3689,175,3963,130,5402,281,5813,267,6546,333,7146,477,6282,289,7048,451,4314,218,4983,430,1975,164,2569,268,308,49,625,2586,43136,2296,48018,25,2864,162,3051,114,6347,304,6765,59,2976,129,3164,40,1890,112,2042,78,4150,163,4391,146,6056,235,6437,233,6847,285,7365,351,6268,233,6852,401,4217,192,4810,544,1927,168,2639,518,397,87,1002,2509,43939,2070,48518,87,5738,369,6194,354,12854,608,13816,159,6201,277,6637,102,3904,240,4246,177,7839,338,8354,276,11458,516,12250,500,13393,618,14511,828,12550,522,13900,852,8531,410,9793,974,3902,332,5208,786,705,136,1627,5095,87075,4366,96536
SOSR122,19,1603,112,1734,154,3555,188,3897,63,1631,75,1769,29,1040,84,1153,49,2071,149,2269,122,3043,206,3371,192,3855,242,4289,395,3725,207,4327,329,2743,146,3218,238,1170,114,1522,141,182,29,352,1731,24618,1552,27901,14,1547,129,1690,66,3468,218,3752,36,1650,82,1768,25,994,62,1081,38,2218,138,2394,108,3357,170,3635,182,3886,182,4250,261,3757,190,4208,230,2558,116,2904,260,1111,82,1453,265,213,42,520,1485,24759,1411,27655,33,3150,241,3424,220,7023,406,7649,99,3281,157,3537,54,2034,146,2234,87,4289,287,4663,230,6400,376,7006,374,7741,424,8539,656,7482,397,8535,559,5301,262,6122,498,2281,196,2975,406,395,71,872,3216,49377,2963,55556
