region_id,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR101,0,4485,103938,171298,163866,133549,83875,44639,10218,715868,0,7732,40270,27352,17905,10036,3284,754,154,107487,0,403,1373,4506,8050,5784,2510,1732,994,25352,363519,0,0,0,0,0,0,0,0,363519,0,106084,0,0,0,0,0,0,0,106084,0,74202,54165,17790,9337,3355,378,5,5,159237,0,13807,12401,4596,4265,3828,2714,2191,1070,44872,0,7218,9411,3315,2712,1620,609,228,46,25159,0,18578,31782,10054,6947,5420,2833,1132,283,77029,0,5958,23026,24353,24859,22562,15813,10960,5066,132597,3767,5243,6539,4162,3008,1964,1259,625,203,26770,367286,243710,282905,267426,240949,188118,113275,62266,18039,1783974,0,12746,137942,183749,162704,123780,68887,29659,4630,724097,0,12484,41660,24093,15742,7756,1888,351,73,104047,0,4124,16925,34083,37748,19763,8519,7757,4144,133063,343959,0,0,0,0,0,0,0,0,343959,0,108670,0,0,0,0,0,0,0,108670,0,53562,35681,9327,5370,2765,514,25,5,107249,0,11998,9002,3334,4514,8284,8047,8154,4219,57552,0,7481,6665,1810,1416,929,379,235,102,19017
SOSR102,0,638,12558,23790,25725,24863,19108,11932,2904,121518,0,2529,7825,5601,4000,2448,1047,290,49,23789,0,88,411,1428,2053,1076,410,383,199,6048,62775,0,0,0,0,0,0,0,0,62775,0,15348,0,0,0,0,0,0,0,15348,0,14758,5874,2758,2000,854,102,3,0,26349,0,1812,1027,544,643,676,473,345,183,5703,0,1207,920,491,461,256,115,47,18,3515,0,3244,3371,1283,1362,1167,745,365,69,11606,0,1251,3606,4570,5895,6070,4788,3727,1793,31700,1064,1658,1336,928,755,644,509,213,71,7178,63839,42533,36928,41393,42894,38054,27297,17305,5286,315529,0,1371,16648,26225,27093,24467,17403,8891,1471,123569,0,4102,7963,5363,4053,2175,748,189,26,24619,0,1453,4576,8238,7833,3050,1558,1566,960,29234,59853,0,0,0,0,0,0,0,0,59853,0,15849,0,0,0,0,0,0,0,15849,0,9830,3155,1022,861,636,133,4,0,15641,0,1510,631,284,686,1127,1109,1170,705,7222,0,1238,479,219,245,149,63,32,21,2446
SOSR103,0,200,5156,9097,9809,8910,6638,4048,831,44689,0,805,2483,1672,1272,649,239,77,17,7214,0,30,127,526,735,388,175,147,77,2205,22940,0,0,0,0,0,0,0,0,22940,0,5906,0,0,0,0,0,0,0,5906,0,5441,2612,1258,816,262,38,4,0,10431,0,732,421,219,213,215,167,115,70,2152,0,432,259,158,128,69,26,19,3,1094,0,1884,1318,356,363,283,194,81,13,4492,0,520,1402,1581,2145,1918,1426,1079,422,10493,373,518,501,332,242,173,138,69,14,2360,23313,16468,14279,15199,15723,12867,9041,5639,1447,113976,0,592,6643,10032,10036,8735,6066,2853,377,45334,0,1300,2503,1610,1269,528,200,48,7,7465,0,474,1581,2802,2506,998,557,573,274,9765,21806,0,0,0,0,0,0,0,0,21806,0,6266,0,0,0,0,0,0,0,6266,0,3613,1462,429,331,185,29,0,0,6049,0,578,224,77,221,376,370,448,236,2530,0,417,166,63,59,28,16,7,9,765
SOSR111,0,135,2614,4152,4261,4060,2638,1436,299,19595,0,649,1417,871,609,323,121,28,5,4023,0,16,88,246,317,135,61,46,20,929,11442,0,0,0,0,0,0,0,0,11442,0,2361,0,0,0,0,0,0,0,2361,0,2362,862,403,262,95,9,0,0,3993,0,294,180,82,74,79,70,31,15,825,0,190,137,65,56,32,10,4,3,497,0,601,456,161,147,138,81,20,7,1611,0,341,808,789,866,890,551,409,155,4809,184,265,224,138,109,107,67,32,0,1126,11626,7214,6786,6907,6701,5859,3608,2006,504,51211,0,303,3305,4547,4412,3973,2302,1035,159,20036,0,994,1352,845,610,272,86,22,0,4181,0,289,871,1397,1085,382,205,186,109,4524,10894,0,0,0,0,0,0,0,0,10894,0,2540,0,0,0,0,0,0,0,2540,0,1532,425,137,119,63,17,4,0,2297,0,221,99,63,109,130,119,119,84,944,0,186,62,22,21,16,8,3,4,322
SOSR112,0,506,7109,11966,13290,13349,10032,6143,1322,63717,0,2240,4506,3088,2232,1486,538,154,22,14266,0,73,337,915,1090,537,201,160,86,3399,38166,0,0,0,0,0,0,0,0,38166,0,7329,0,0,0,0,0,0,0,7329,0,7219,2450,1225,862,370,38,0,0,12164,0,1077,506,284,319,352,241,156,70,3005,0,744,468,273,217,115,46,21,14,1898,0,2257,1614,691,705,643,393,153,30,6486,0,1070,2327,2662,3540,3684,2589,1769,784,18425,740,1114,861,575,508,431,324,152,27,4732,38906,23629,20178,21679,22763,20967,14402,8708,2355,173587,0,1050,9258,13166,14259,13050,9137,4406,638,64964,0,3408,4501,3007,2261,1242,363,96,14,14892,0,1384,3490,5089,4150,1454,710,759,421,17457,36529,0,0,0,0,0,0,0,0,36529,0,7793,0,0,0,0,0,0,0,7793,0,4533,1322,430,466,301,48,4,0,7104,0,873,295,161,401,594,517,515,317,3673,0,719,224,109,90,59,22,25,39,1287
SOSR113,0,322,4533,8024,9762,10716,9393,5977,1344,50071,0,1453,2937,2114,1674,1123,494,160,20,9975,0,58,220,665,818,437,167,169,80,2614,26837,0,0,0,0,0,0,0,0,26837,0,5366,0,0,0,0,0,0,0,5366,0,5613,1937,1083,813,348,41,0,0,9835,0,774,323,240,291,242,208,130,59,2267,0,529,283,193,171,93,44,26,3,1342,0,1067,862,413,475,457,331,146,27,3778,0,693,1639,1837,2712,2849,2320,1837,764,14651,505,714,627,428,419,404,356,140,36,3629,27342,16589,13361,14997,17135,16669,13354,8585,2333,130365,0,734,5901,9040,10558,10861,8695,4347,688,50824,0,2251,2878,2084,1687,974,343,89,15,10321,0,1058,2464,3649,3029,1077,593,687,369,12926,25285,0,0,0,0,0,0,0,0,25285,0,5553,0,0,0,0,0,0,0,5553,0,3487,939,380,354,244,57,6,0,5467,0,647,172,102,265,421,410,416,249,2682,0,436,148,67,82,51,14,6,3,807
SOSR114,0,247,3505,6415,7254,7816,7192,4328,947,37704,0,1120,2390,1695,1375,811,416,127,22,7956,0,42,149,487,576,292,113,100,58,1817,21002,0,0,0,0,0,0,0,0,21002,0,3756,0,0,0,0,0,0,0,3756,0,3771,1279,722,546,263,30,3,0,6614,0,599,212,138,181,185,150,94,53,1612,0,322,168,142,107,67,32,14,3,855,0,681,575,287,348,330,221,117,14,2573,0,531,1127,1350,2083,2207,1912,1421,560,11191,388,580,404,337,311,296,309,132,37,2794,21390,11649,9809,11573,12781,12267,10375,6336,1694,97874,0,524,4597,7214,7771,7992,6632,3140,441,38311,0,1740,2345,1672,1299,751,292,74,9,8182,0,723,1802,2712,2031,637,411,479,265,9060,20142,0,0,0,0,0,0,0,0,20142,0,3930,0,0,0,0,0,0,0,3930,0,2159,624,281,242,161,32,0,0,3499,0,407,123,79,182,305,310,296,185,1887,0,282,90,42,36,28,15,7,0,500
SOSR115,0,309,5182,10094,12035,13916,11363,6583,1411,60893,0,1374,3345,3066,2444,1689,683,167,20,12788,0,58,249,740,973,508,220,183,93,3024,33301,0,0,0,0,0,0,0,0,33301,0,6403,0,0,0,0,0,0,0,6403,0,6421,2183,1243,922,404,58,3,0,11234,0,839,386,247,321,363,282,212,95,2745,0,473,306,254,205,142,65,21,4,1470,0,868,809,508,678,646,421,181,31,4142,0,685,1532,1919,3283,3833,3235,2288,892,17667,656,927,644,569,577,616,499,228,50,4766,33957,18357,14636,18640,21438,22117,16826,9866,2596,158433,0,673,6984,11514,13272,13848,10316,4697,658,61962,0,2233,3456,3070,2491,1405,471,106,19,13251,0,977,2607,4118,3590,1187,632,758,399,14268,31424,0,0,0,0,0,0,0,0,31424,0,6674,0,0,0,0,0,0,0,6674,0,3673,1087,398,398,282,50,3,3,5894,0,650,162,127,317,520,530,474,304,3084,0,463,183,112,104,57,24,12,8,963
SOSR121,0,83,1407,3244,4157,4318,3179,1535,274,18197,0,294,743,800,740,492,190,45,3,3307,0,14,58,180,276,136,53,49,22,788,9635,0,0,0,0,0,0,0,0,9635,0,2059,0,0,0,0,0,0,0,2059,0,2000,722,319,260,76,4,4,0,3385,0,218,85,73,79,114,93,59,28,749,0,118,77,59,51,41,23,3,0,372,0,122,129,100,152,139,90,49,10,791,0,139,289,501,803,971,775,523,156,4157,167,247,179,158,133,193,123,55,10,1265,9802,5294,3689,5434,6651,6480,4530,2322,503,44705,0,166,1961,3837,4375,4262,2743,1027,111,18482,0,471,832,821,760,405,139,32,3,3463,0,209,611,983,819,278,169,166,77,3312,9249,0,0,0,0,0,0,0,0,9249,0,2123,0,0,0,0,0,0,0,2123,0,1189,311,118,100,59,14,0,0,1791,0,137,39,18,82,125,157,119,88,765,0,108,48,26,38,15,4,3,4,246
SOSR122,0,36,724,1680,2175,2410,1848,840,147,9860,0,139,445,506,451,323,131,33,7,2035,0,13,36,108,168,96,41,21,20,503,5245,0,0,0,0,0,0,0,0,5245,0,1030,0,0,0,0,0,0,0,1030,0,934,358,209,149,58,7,0,0,1715,0,133,49,43,56,71,51,30,16,449,0,70,44,45,37,26,10,8,0,240,0,69,80,68,123,99,70,39,3,551,0,75,202,328,647,709,644,361,96,3062,115,164,120,95,129,146,105,33,12,919,5360,2663,2058,3082,3935,3938,2907,1365,301,25609,0,94,995,1987,2350,2411,1597,532,80,10046,0,250,485,516,465,280,91,11,3,2101,0,146,319,567,469,181,110,96,50,1938,5044,0,0,0,0,0,0,0,0,5044,0,1151,0,0,0,0,0,0,0,1151,0,537,155,79,51,37,9,0,0,868,0,82,18,20,43,69,59,68,39,398,0,78,28,12,16,9,7,3,0,153
