region_id,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOSR101,1999,6294,7100,6566,5062,2901,1070,301,31293,4772,26371,16731,8273,2869,463,63,11,59553,11109,38984,46806,50223,38274,23123,11706,3577,223802,6138,16561,17760,14241,10520,6393,3244,927,75784,1093,3435,3341,2814,1610,807,418,117,13635,2254,8383,8493,7328,5434,3220,1842,591,37545,899,4391,5165,6119,6506,3132,1388,343,27943,15686,54638,47016,35310,24050,10410,3981,1238,192329,5900,18379,18694,14943,11975,5501,2207,637,78236,4697,11719,7523,4726,2735,1166,486,143,33195,4228,9480,6695,4487,2690,1502,590,184,29856,448,201,190,198,156,118,49,25,1385,832,2516,2839,2432,1654,765,398,186,11622,26628,29872,23990,21869,17624,13771,10949,5053,149756,86683,231224,212343,179529,131159,73272,38391,13333,965934,2536,8589,7760,6046,3403,1399,495,169,30397,1049,8289,6294,3641,1306,268,38,6,20891,1086,5398,5190,5012,2771,1935,1466,645,23503,1009,3371,2634,1699,786,268,111,30,9908,649,1816,1460,997,547,215,76,27,5787,6872,24781,23951,22479,15814,7729,3882,1386,106894,3945,18647,19914,19577,18369,8542,3635,1155,93784,23881,76255
SOSR102,206,559,645,593,590,395,165,52,3205,652,1553,1150,743,350,62,10,5,4525,2801,7328,9117,10820,9709,6823,3836,1198,51632,1589,3755,4199,4074,3215,2169,1278,356,20635,301,840,959,752,450,270,123,31,3726,343,1288,1646,1607,1205,556,300,90,7035,146,838,1111,1397,1924,965,470,106,6957,1201,3405,3965,3809,3121,1737,735,219,18192,708,1699,2096,1847,1627,838,387,98,9300,521,889,656,486,401,225,94,26,3298,686,1435,1351,1037,746,504,234,58,6051,48,17,20,27,22,7,18,4,163,109,239,333,351,285,158,108,53,1636,3843,2817,3310,3689,3288,3358,3604,1690,25599,13154,26662,30558,31232,26933,18067,11362,3986,161954,230,685,797,618,436,166,63,13,3008,97,303,447,353,247,65,18,0,1530,145,486,562,577,363,355,330,127,2945,102,294,242,195,73,41,15,3,965,176,391,324,244,120,50,15,6,1326,1430,4485,5157,5913,4069,2089,1083,295,24521,608,3081,3479,3799,3810,1790,844,220,17631,3539,7507
SOSR103,120,311,269,265,274,153,49,13,1454,322,734,374,250,107,26,6,0,1819,1220,3154,4003,4751,3867,2312,1182,344,20833,586,1335,1457,1160,828,610,357,89,6422,111,286,281,209,118,54,27,7,1093,121,440,463,434,325,153,61,23,2020,70,342,399,509,592,239,104,21,2276,589,1288,1392,1163,909,370,136,48,5895,339,718,749,591,474,217,93,18,3199,215,317,224,178,101,45,23,6,1109,228,478,389,275,215,151,65,13,1814,54,13,7,6,9,5,5,0,99,42,108,127,132,94,40,28,11,582,1470,1070,1096,1263,1120,1091,1149,352,8611,5487,10594,11230,11186,9033,5466,3285,945,57226,120,304,261,217,137,57,9,0,1105,61,185,196,149,69,21,4,0,685,87,259,270,216,179,130,99,48,1288,19,81,62,79,28,10,0,0,279,37,115,113,76,42,10,6,0,399,514,1403,1557,1702,1084,464,214,59,6997,237,1175,1245,1387,1322,505,194,67,6132,1481,2961
SOSR111,18,78,70,79,94,35,7,8,389,94,218,117,77,40,18,3,0,567,757,1781,1780,1902,1489,822,356,89,8976,304,550,505,492,375,248,126,28,2628,45,168,188,151,109,69,28,3,761,33,166,206,217,139,64,29,9,863,27,111,198,192,278,104,50,4,964,193,567,700,559,426,213,72,10,2740,87,209,278,164,204,78,39,8,1067,44,101,69,46,40,21,9,0,330,114,279,222,145,105,64,27,6,962,5,0,0,0,6,0,0,0,11,12,42,51,49,42,21,15,5,237,685,502,565,576,515,467,433,186,3929,2418,4772,4949,4649,3862,2224,1194,356,24424,32,107,124,79,45,9,3,0,399,12,47,63,69,48,12,3,0,254,18,96,93,83,40,28,20,15,393,12,29,35,19,13,4,0,0,112,50,84,73,32,23,10,3,0,275,272,801,787,872,675,281,137,43,3868,98,496,575,629,537,227,93,31,2686,681,1391
SOSR112,62,208,310,332,327,202,73,32,1546,335,641,398,294,189,57,3,0,1917,1776,3878,4199,4726,4145,2876,1481,418,23499,1004,1799,1728,1938,1673,1060,571,155,9928,292,664,826,687,513,326,180,54,3542,221,652,873,872,742,317,185,49,3911,92,483,746,874,1142,552,246,53,4188,684,1693,1878,1838,1611,833,399,97,9033,312,858,1204,1094,999,477,230,48,5222,215,404,361,336,300,125,50,14,1805,525,977,847,603,464,274,114,34,3838,28,11,10,16,10,5,6,4,90,71,144,210,221,181,100,61,15,1003,2861,2300,2310,2388,2063,1861,1785,742,16310,8478,14712,15900,16219,14359,9065,5384,1715,85832,92,291,300,259,187,86,31,12,1258,58,132,168,213,143,48,16,0,778,81,208,254,281,167,144,151,67,1353,30,95,99,64,53,25,8,3,377,168,302,298,210,86,37,15,3,1119,929,2582,2698,3425,2633,1365,767,254,14653,361,1840,2171,2208,2224,1127,537,138,10606,1981,3950
SOSR113,48,167,226,195,246,186,96,36,1200,201,344,217,171,117,33,7,3,1093,1342,2988,3361,4031,3681,2898,1647,452,20400,546,1064,1243,1516,1290,948,518,143,7268,192,463,473,417,323,216,111,28,2223,72,342,441,566,495,272,202,60,2450,76,277,374,546,824,456,225,42,2820,385,837,1021,1122,1140,827,378,118,5828,211,520,677,684,678,415,202,54,3441,129,197,185,162,160,89,49,8,979,329,617,559,425,341,275,110,18,2674,17,11,5,13,15,7,6,5,79,39,101,146,153,99,71,52,18,679,2012,1560,1645,1793,1700,1704,1754,751,12919,5599,9488,10573,11794,11109,8397,5357,1736,64053,60,153,170,185,138,67,39,12,824,43,95,142,146,90,44,7,0,567,59,151,178,202,133,120,163,62,1068,11,49,57,58,39,21,5,3,243,112,196,168,128,68,31,10,3,716,520,1259,1602,2273,1941,1076,651,209,9531,196,1081,1307,1584,1592,958,456,90,7264,1453,2369
SOSR114,11,70,126,117,147,110,47,10,638,130,182,147,136,81,18,10,0,704,995,2184,2466,2933,2575,2128,1081,288,14650,443,927,1001,1134,964,714,416,88,5687,173,418,497,444,351,215,105,26,2229,56,190,292,327,251,155,106,24,1401,45,230,329,385,534,302,132,27,1984,237,551,745,705,735,470,238,67,3748,105,330,479,371,383,237,98,30,2033,46,110,140,116,119,69,31,10,641,219,485,470,390,247,195,91,21,2118,10,8,7,8,5,0,5,0,43,14,70,94,104,89,58,38,21,488,1348,1007,1168,1205,1235,1361,1347,601,9272,3832,6762,7961,8375,7716,6032,3745,1213,45636,27,115,148,102,96,43,10,7,548,21,56,96,98,77,37,8,3,396,27,103,135,127,85,102,80,42,701,12,47,49,38,21,16,0,3,186,76,163,186,118,48,16,15,0,622,305,894,1247,1523,1348,839,427,137,6720,220,880,1077,1048,1045,640,268,73,5251,834,1869
SOSR115,57,131,236,243,291,202,82,16,1258,159,233,235,172,137,46,12,0,994,1503,3154,4034,4775,4690,3494,1680,469,23799,742,1437,1761,2093,1757,1109,554,137,9590,290,692,820,736,531,358,199,50,3676,101,278,550,604,530,243,130,45,2481,71,344,512,734,1158,481,195,45,3540,304,828,1117,1191,1280,784,302,107,5913,203,568,831,752,849,441,171,50,3865,160,231,251,260,252,140,39,15,1348,331,691,726,540,419,318,121,34,3180,15,13,13,5,13,6,6,4,75,46,110,176,186,177,88,52,13,848,2215,1522,1967,2057,2055,2186,2114,763,14879,6197,10232,13229,14348,14139,9896,5657,1748,75446,47,177,277,225,212,75,43,4,1060,39,98,142,169,111,40,7,0,606,66,150,227,220,163,155,151,66,1198,24,90,110,75,48,24,7,0,378,162,342,331,242,117,48,18,3,1263,465,1475,2048,2833,2312,1332,617,260,11342,309,1392,1728,2025,2087,1005,416,118,9080,1263,2531
SOSR121,7,37,64,70,94,50,19,4,345,47,71,57,52,36,18,3,0,284,404,814,1319,1613,1489,959,388,86,7072,192,409,627,698,589,327,154,20,3016,72,169,209,215,178,87,40,4,974,18,79,151,170,132,68,35,9,662,23,85,151,262,343,150,51,9,1074,103,205,341,373,370,231,64,18,1705,43,140,220,231,250,107,43,12,1046,30,53,56,75,71,38,16,3,342,63,128,178,175,121,81,38,3,787,7,0,0,5,5,5,0,0,22,15,27,39,53,58,33,13,5,243,531,285,441,567,519,556,449,130,3478,1555,2502,3853,4559,4255,2710,1313,303,21050,10,37,83,73,46,29,10,3,291,7,29,32,46,29,13,0,0,156,15,33,64,70,63,36,29,8,318,6,16,28,33,16,3,3,3,108,37,75,91,78,35,13,3,3,335,114,393,651,878,671,342,121,35,3205,85,317,529,627,633,248,82,14,2535,344,707
SOSR122,8,22,44,41,40,32,17,3,207,28,31,35,26,31,6,0,0,157,211,420,678,867,834,578,260,42,3890,83,209,313,393,379,213,88,15,1693,44,110,150,146,110,70,20,8,658,10,34,74,111,89,44,11,3,376,9,45,73,133,174,81,22,6,543,34,117,180,218,209,136,36,8,938,26,74,148,131,150,84,31,3,647,17,31,44,50,41,33,12,0,228,44,95,93,93,84,44,13,3,469,0,3,0,0,3,3,0,0,9,5,15,17,38,29,18,8,0,130,299,209,301,387,382,363,261,82,2284,818,1415,2150,2634,2555,1705,779,173,12229,8,20,50,34,39,22,3,0,176,3,5,22,25,21,10,0,0,86,7,16,34,49,33,20,10,3,172,3,10,9,17,17,4,0,0,60,28,58,66,61,34,6,5,0,258,78,213,347,484,385,224,65,18,1814,33,166,281,324,339,146,45,11,1345,171,333
