region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC10001,484,0,0,0,0,484,571,4,0,0,0,575,49,5,6,0,0,60,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,68,5,6,0,0,79,3,0,0,0,0,3,34,0,0,0,0,34,1160,9,6,0,0,1175
SSC10002,322,96,302,0,0,720,216,105,220,0,0,541,55,110,328,4,0,497,40,35,96,0,0,171,17,17,51,0,0,85,4,0,14,0,0,18,3,5,3,0,0,11,5,0,7,0,0,12,124,167,499,4,0,794,7,3,3,0,0,13,14,11,19,0,0,44,683,382,1043,4,0,2112
SSC10003,102,0,0,0,0,102,159,3,0,0,0,162,31,3,0,0,0,34,0,3,0,0,0,3,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,0,0,0,52,0,0,0,0,0,0,3,0,0,0,0,3,310,9,0,0,0,319
SSC10004,258,16,0,3,0,277,299,0,0,0,0,299,161,51,8,0,3,223,0,10,0,0,0,10,44,6,0,0,0,50,0,0,0,0,0,0,5,4,0,0,0,9,3,0,0,0,0,3,213,71,8,0,3,295,3,0,0,0,0,3,20,6,0,0,0,26,793,93,8,3,3,900
SSC10005,249,0,3,34,0,286,294,3,0,0,0,297,50,19,6,0,0,75,14,0,0,0,0,14,52,0,5,0,0,57,9,0,0,0,0,9,10,3,0,6,0,19,13,0,0,0,0,13,148,22,11,6,0,187,4,0,0,0,0,4,15,0,0,0,0,15,710,25,14,40,0,789
SSC10006,35,0,0,0,0,35,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,11,6,0,0,0,0,6,28,0,0,0,0,28,10,0,0,0,0,10,3,0,0,0,0,3,85,0,0,0,0,85
SSC10007,192,4,0,0,0,196,434,8,0,0,0,442,160,23,3,0,0,186,3,9,0,0,0,12,20,6,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,189,38,3,0,0,230,0,0,0,0,0,0,7,0,0,0,0,7,822,50,3,0,0,875
SSC10008,300,6,3,0,0,309,356,3,3,0,0,362,79,6,6,0,0,91,0,0,0,0,0,0,39,3,3,0,0,45,3,0,0,0,0,3,7,0,0,0,0,7,3,0,0,0,0,3,131,9,9,0,0,149,3,0,0,0,0,3,25,0,3,0,0,28,815,18,18,0,0,851
SSC10009,18,0,0,0,0,18,36,3,0,0,0,39,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0,0,69
SSC10010,173,5,0,0,0,178,606,119,0,0,0,725,87,31,0,0,0,118,0,0,0,0,0,0,28,3,0,0,0,31,3,0,0,0,0,3,3,3,0,0,0,6,3,0,0,0,0,3,124,37,0,0,0,161,3,0,0,0,0,3,10,0,0,0,0,10,916,161,0,0,0,1077
