region_id,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SSC10001,5,7,0,3,8,0,0,0,23,8,7,11,3,0,0,0,0,29,24,29,64,100,66,15,4,3,305,17,21,23,41,29,4,0,0,135,3,4,0,0,0,0,0,0,7,3,3,6,9,3,3,0,0,27,3,3,4,7,8,0,0,0,25,18,28,33,44,29,3,0,0,155,8,9,11,11,3,3,0,0,45,6,7,4,3,4,0,0,0,24,6,3,4,9,3,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,25,13,12,28,13,13,10,0,114,126,134,175,261,169,44,17,3,929,0,3,8,7,4,0,0,0,22,0,0,6,4,0,0,0,0,10,0,0,3,15,0,0,0,0,18,5,4,3,0,0,0,0,0,12,0,0,3,3,0,0,0,0,6,4,16,13,15,20,3,0,0,71,16,29,20,31,14,5,4,0,119,41,51
SSC10002,0,3,18,12,10,7,0,0,50,0,24,27,17,6,0,0,0,74,5,36,47,63,57,38,20,8,274,7,19,29,20,17,11,3,0,106,0,4,3,3,8,0,0,0,18,0,18,15,14,12,8,7,3,77,0,4,5,7,12,9,3,0,40,15,83,83,68,46,16,8,4,323,5,31,24,27,23,9,5,3,127,8,19,6,9,7,0,0,0,49,4,9,6,5,3,5,0,3,35,0,3,0,0,0,0,0,0,3,3,0,0,4,3,3,5,0,18,20,37,26,28,22,22,16,8,179,67,290,289,277,226,128,67,29,1373,3,16,8,9,5,0,0,0,41,0,7,8,8,4,3,0,0,30,0,9,8,7,3,3,4,0,34,0,5,3,3,3,0,0,0,14,0,4,3,3,0,0,0,0,10,3,30,44,40,25,13,11,3,169,3,35,31,29,51,20,7,0,176,18,113
SSC10003,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,19,21,14,5,3,3,72,0,10,3,3,3,3,0,0,22,0,0,4,7,0,0,0,0,11,0,0,4,5,0,0,0,0,9,0,3,6,4,0,0,0,0,13,0,5,13,7,3,3,0,0,31,0,4,5,0,5,0,0,0,14,0,3,0,0,0,3,0,0,6,3,5,3,0,0,0,0,0,11,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,6,3,6,0,7,3,0,0,25,12,37,63,50,35,20,6,3,226,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,7,10,12,5,0,0,37,0,8,10,15,5,0,0,0,38,0,11
SSC10004,0,3,4,0,0,0,0,0,7,0,4,3,0,0,0,0,0,7,29,41,34,35,33,17,3,3,195,4,9,9,6,9,0,0,0,37,3,3,4,3,3,0,0,0,16,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,3,0,4,0,0,20,0,11,7,5,0,0,0,0,23,0,0,0,0,0,3,0,0,3,3,11,7,0,3,0,3,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,28,14,18,15,22,15,7,3,122,67,108,98,67,70,39,13,6,468,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,6,3,19,7,14,17,3,3,0,66,5,3,7,3,7,3,0,0,28,17,27
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,40,37,20,7,0,0,184,3,8,4,11,5,0,4,0,35,0,6,10,0,4,0,0,0,20,3,0,0,3,3,0,0,0,9,0,4,0,3,0,3,0,0,10,0,3,6,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,5,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,17,5,19,7,8,0,77,54,77,77,69,62,17,15,0,371,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,7,0,0,3,3,0,0,0,0,6,4,0,0,0,0,0,0,0,4,4,12,8,8,10,0,3,0,45,3,10,7,3,4,3,0,0,30,16,18
SSC10006,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,4,3,3,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,3,3,13,6,9,6,6,0,46,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,8,0,3,3,0,3,3,0,0,12,3,3
SSC10007,0,3,0,3,3,3,0,0,12,3,3,3,3,3,0,0,0,15,26,74,76,79,33,13,0,0,301,3,13,5,3,10,4,0,0,38,0,8,4,3,0,3,0,0,18,0,4,7,4,0,4,0,0,19,0,0,3,8,0,0,0,0,11,3,12,23,7,8,3,4,0,60,0,7,4,0,0,0,0,0,11,0,3,3,3,3,0,0,0,12,8,10,10,5,3,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,10,10,16,9,3,3,3,64,53,147,148,137,72,37,7,3,604,0,4,5,3,0,0,0,0,12,0,3,3,3,3,0,0,0,12,0,3,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,3,0,4,0,0,0,0,0,7,6,20,21,24,10,3,0,0,84,3,11,23,20,7,3,0,0,67,21,44
SSC10008,0,0,4,0,0,0,0,0,4,3,0,3,6,0,0,0,0,12,12,46,50,47,42,17,7,0,221,5,7,8,7,5,3,3,0,38,0,3,3,4,3,0,3,0,16,0,0,0,4,3,3,0,0,10,0,0,3,4,3,3,0,0,13,4,9,6,0,3,3,0,0,25,3,3,3,0,3,3,0,0,15,0,3,0,0,0,0,0,0,3,0,6,3,4,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,7,15,17,8,13,3,3,76,37,87,98,93,73,48,16,3,455,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,0,0,6,0,0,4,5,0,0,0,0,9,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,3,3,16,15,16,16,3,0,0,69,3,9,3,7,0,0,0,0,22,3,33
SSC10009,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,5,3,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,4,4,7,5,10,4,0,3,37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
SSC10010,3,6,7,6,0,3,0,0,25,6,39,22,9,0,0,0,0,76,21,52,72,68,41,10,0,0,264,7,17,16,10,7,4,0,0,61,0,4,4,4,0,0,0,0,12,3,14,6,7,3,0,0,0,33,3,7,4,5,3,3,0,0,25,9,62,68,44,18,3,3,0,207,8,14,11,3,6,3,3,0,48,3,8,3,3,0,0,3,0,20,4,6,10,7,4,0,0,0,31,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,11,12,10,8,3,0,0,55,81,240,235,176,90,29,9,0,860,0,9,8,5,3,0,0,0,25,0,17,12,3,3,0,0,0,35,0,6,4,5,0,0,0,0,15,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,13,38,22,32,9,0,0,0,114,4,30,37,22,9,3,0,0,105,27,85
