region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
1000,9436,4059,20053,144179,201758,113962,108400,159072,74643,802014
1001,860,264,1604,14861,17619,8084,6521,13402,4900,65387
1002,205,85,456,4119,4904,2266,1637,3655,1612,18193
1003,458,218,955,3934,5197,2787,2041,3907,1704,19570
1004,285,78,527,2178,3228,1893,1646,2657,1391,12993
1005,316,86,586,5590,6865,3267,2683,4827,2474,25706
1006,437,213,1000,5463,7522,4150,3624,5104,2155,28018
1007,223,150,491,2235,3418,1860,1773,3938,1953,15177
1008,198,154,556,2123,3319,2071,1969,2514,1122,13118
1009,3916,2162,8889,50459,63045,32441,27621,50366,21616,245548
1010,318,66,490,2797,3616,1839,1963,3952,2007,16174
1011,742,424,1688,10202,13967,7290,6010,10209,4332,52010
1012,344,100,673,5516,7212,3544,2709,5388,1933,26302
1013,381,342,1033,2594,4002,2433,2013,3748,1977,16767
1014,244,121,534,3325,4391,2224,1802,3771,1901,17414
1015,336,90,588,2472,3557,1983,1868,3358,1499,14737
1016,191,103,414,2686,3088,1630,1416,3437,1730,13987
1017,137,49,258,2277,2997,1513,1725,3089,1075,12676
1018,407,96,742,4783,6392,3162,2566,4424,1547,22874
1019,144,63,302,1717,2289,1272,1238,2295,1237,10048
1020,353,150,756,3484,4589,2521,2126,3869,1332,17921
1021,45,29,118,1831,2149,1070,1086,1832,1127,9095
1022,336,229,840,3749,5341,3023,2460,4088,2206,20867
1023,4527,1686,9248,70938,85936,42065,34720,66708,23704,324071
1024,400,169,759,4883,6526,3500,3252,5482,3015,26658
1025,385,131,760,5927,7427,3575,2923,6083,2439,28374
1026,154,50,294,1545,2031,1085,1027,1833,898,8419
1027,795,284,1584,6591,9295,4887,3946,6962,2778,34459
1028,135,23,229,2680,3277,1530,1543,2578,886,12494
1029,198,84,363,1635,2440,1405,1421,2290,1012,10203
1030,33772,13727,71482,770435,794489,346117,281888,784690,279405,3257024
1031,428,195,894,6099,7760,3923,3517,6280,2967,30546
1032,511,149,918,3383,4806,2935,2657,4855,1844,20480
1033,194,141,494,1921,2950,1842,1560,2432,1103,11808
1034,517,211,1082,9241,11429,5243,4209,8088,2893,41103
1035,2685,964,5552,46209,55415,28110,23570,47987,16208,217499
