region_id,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
1000,266,1320,3,1589,27498,4505,33592,1632,997,42,2671,18265,2308,23244,15148,1542,470,17160,22254,4024,43438,30238,1607,1067,32912,22780,4912,60604,17271,3373,580,21224,48316,5335,74875,3117,6266,139,9522,61212,5363,76097,446,4051,21,4518,44650,5102,54270,74,750,5,829,22513,4103,27445,11,50,0,61,5915,1358,7334,68203,19956,2327,90486,273403,37010,400899,672,2673,41,3386,23637,3815,30838,4043,1861,253,6157,13463,1313,20933,23740,2361,1637,27738,15079,2485,45302,38080,2670,2667,43417,17549,3310,64276,14666,8175,863,23704,47635,3606,74945,1112,13707,103,14922,53310,3952,72184,265,6358,31,6654,39381,4641,50676,76,1073,8,1157,23258,4827,29242,21,104,0,125,10260,2334,12719,82675,38982,5603,127260,243572,30283,401115,938,3993,44,4975,51135,8320,64430,5675,2858,295,8828,31728,3621,44177,38888,3903,2107,44898,37333,6509,88740,68318,4277,3734,76329,40329,8222,124880,31937,11548,1443,44928,95951,8941,149820,4229,19973,242,24444,114522,9315,148281,711,10409,52,11172,84031,9743,104946,150,1823,13,1986,45771,8930,56687,32,154,0,186
1001,24,128,4,156,2677,346,3179,164,153,8,325,2533,196,3054,1636,214,55,1905,2925,313,5143,2618,132,94,2844,2054,317,5215,1303,225,34,1562,3349,277,5188,170,500,6,676,3728,285,4689,25,301,0,326,2256,252,2834,6,56,0,62,1331,263,1656,0,7,0,7,424,76,507,5946,1716,201,7863,21277,2325,31465,55,270,4,329,2413,253,2995,395,300,33,728,2122,150,3000,2414,349,172,2935,2188,232,5355,3238,250,258,3746,1595,225,5566,1139,594,52,1785,3637,195,5617,62,1091,0,1153,3487,241,4881,22,504,0,526,2359,326,3211,5,104,0,109,1715,376,2200,0,5,0,5,916,175,1096,7330,3467,519,11316,20432,2173,33921,79,398,8,485,5090,599,6174,559,453,41,1053,4655,346,6054,4050,563,227,4840,5113,545,10498,5856,382,352,6590,3649,542,10781,2442,819,86,3347,6986,472,10805,232,1591,6,1829,7215,526,9570,47,805,0,852,4615,578,6045,11,160,0,171,3046,639,3856,0,12,0,12
1002,8,53,3,64,870,93,1027,37,63,0,100,940,70,1110,325,35,13,373,756,125,1254,538,36,28,602,437,105,1144,376,52,14,442,853,95,1390,59,99,0,158,976,75,1209,17,73,0,90,615,77,782,0,14,0,14,353,59,426,0,0,0,0,131,23,154,1360,425,58,1843,5931,722,8496,13,112,5,130,938,107,1175,110,92,4,206,999,101,1306,508,76,48,632,542,89,1263,706,49,52,807,426,101,1334,355,133,20,508,935,71,1514,26,220,4,250,949,54,1253,0,126,0,126,700,97,923,0,26,0,26,481,122,629,0,3,0,3,240,59,302,1718,837,133,2688,6210,801,9699,21,165,8,194,1808,200,2202,147,155,4,306,1939,171,2416,833,111,61,1005,1298,214,2517,1244,85,80,1409,863,206,2478,731,185,34,950,1788,166,2904,85,319,4,408,1925,129,2462,17,199,0,216,1315,174,1705,0,40,0,40,834,181,1055,0,3,0,3
1003,7,20,3,30,611,89,730,27,23,0,50,462,30,542,264,46,8,318,608,73,999,659,38,20,717,534,76,1327,433,73,24,530,955,103,1588,71,163,3,237,1339,86,1662,11,97,0,108,931,90,1129,0,21,0,21,694,112,827,3,0,0,3,290,71,364,1475,481,58,2014,6424,730,9168,17,48,0,65,544,59,668,64,49,4,117,396,22,535,446,62,28,536,444,51,1031,925,46,84,1055,445,58,1558,387,195,24,606,1108,66,1780,17,347,3,367,1287,99,1753,12,160,0,172,1055,111,1338,0,25,0,25,943,178,1146,0,0,0,0,465,127,592,1868,932,143,2943,6687,771,10401,24,68,3,95,1155,148,1398,91,72,4,167,858,52,1077,710,108,36,854,1052,124,2030,1584,84,104,1772,979,134,2885,820,268,48,1136,2063,169,3368,88,510,6,604,2626,185,3415,23,257,0,280,1986,201,2467,0,46,0,46,1637,290,1973,3,0,0,3
1004,7,20,0,27,367,78,472,9,17,0,26,212,32,270,194,26,10,230,299,53,582,388,22,9,419,313,79,811,184,40,4,228,578,79,885,44,92,3,139,1003,98,1240,4,73,0,77,950,126,1153,0,13,0,13,526,98,637,0,0,0,0,154,32,186,830,303,26,1159,4402,675,6236,9,32,0,41,322,57,420,61,26,0,87,168,13,268,354,33,19,406,190,60,656,494,37,31,562,230,56,848,174,94,12,280,703,63,1046,13,182,3,198,1042,98,1338,0,116,0,116,940,131,1187,3,14,0,17,521,117,655,0,3,0,3,294,43,340,1108,537,65,1710,4410,638,6758,16,52,0,68,689,135,892,70,43,0,113,380,45,538,548,59,29,636,489,113,1238,882,59,40,981,543,135,1659,358,134,16,508,1281,142,1931,57,274,6,337,2045,196,2578,4,189,0,193,1890,257,2340,3,27,0,30,1047,215,1292,0,3,0,3
1005,6,61,0,67,1141,153,1361,86,59,0,145,1169,196,1510,635,113,23,771,1006,318,2095,1004,61,37,1102,695,239,2036,459,106,15,580,1259,141,1980,67,198,3,268,1355,128,1751,10,138,0,148,869,109,1126,3,23,0,26,528,103,657,0,3,0,3,138,25,166,2270,762,78,3110,8160,1412,12682,16,104,4,124,985,112,1221,197,123,10,330,1034,81,1445,966,134,85,1185,653,94,1932,1208,96,97,1401,585,98,2084,411,271,21,703,1273,90,2066,25,416,5,446,1190,108,1744,6,203,0,209,875,111,1195,3,34,0,37,722,156,915,0,3,0,3,365,51,419,2832,1384,222,4438,7682,901,13021,22,165,4,191,2126,265,2582,283,182,10,475,2203,277,2955,1601,247,108,1956,1659,412,4027,2212,157,134,2503,1280,337,4120,870,377,36,1283,2532,231,4046,92,614,8,714,2545,236,3495,16,341,0,357,1744,220,2321,6,57,0,63,1250,259,1572,0,6,0,6
1006,5,57,0,62,972,144,1178,41,42,4,87,651,52,790,485,50,21,556,701,59,1316,1054,45,33,1132,702,113,1947,694,92,23,809,1409,129,2347,122,197,0,319,1727,146,2192,22,201,0,223,1558,154,1935,4,42,0,46,949,137,1132,0,3,0,3,258,64,325,2427,729,81,3237,8927,998,13162,21,99,0,120,927,122,1169,131,69,5,205,539,44,788,721,76,45,842,493,86,1421,1415,93,91,1599,551,91,2241,695,225,25,945,1520,95,2560,43,483,8,534,1901,110,2545,13,363,0,376,1649,140,2165,3,54,4,61,1074,157,1292,0,3,0,3,535,138,676,3042,1465,178,4685,9189,983,14857,26,156,0,182,1899,266,2347,172,111,9,292,1190,96,1578,1206,126,66,1398,1194,145,2737,2469,138,124,2731,1253,204,4188,1389,317,48,1754,2929,224,4907,165,680,8,853,3628,256,4737,35,564,0,599,3207,294,4100,7,96,4,107,2023,294,2424,0,6,0,6
1007,7,20,0,27,497,70,594,46,18,3,67,376,70,513,308,35,3,346,465,114,925,461,25,19,505,424,94,1023,219,65,5,289,946,107,1342,47,149,0,196,1008,123,1327,4,59,0,63,668,104,835,0,19,0,19,439,124,582,0,0,0,0,110,44,154,1092,390,30,1512,4933,850,7295,18,45,0,63,418,71,552,117,41,7,165,317,39,521,501,52,17,570,319,71,960,582,53,32,667,353,78,1098,205,173,17,395,891,103,1389,6,257,3,266,897,106,1269,0,98,0,98,692,165,955,4,17,0,21,604,175,800,0,3,0,3,246,88,337,1433,739,76,2248,4737,896,7881,25,65,0,90,915,141,1146,163,59,10,232,693,109,1034,809,87,20,916,784,185,1885,1043,78,51,1172,777,172,2121,424,238,22,684,1837,210,2731,53,406,3,462,1905,229,2596,4,157,0,161,1360,269,1790,4,36,0,40,1043,299,1382,0,3,0,3
1008,5,24,0,29,383,46,458,14,13,3,30,197,17,244,166,17,5,188,233,28,449,440,25,14,479,293,40,812,226,46,8,280,673,50,1003,42,104,3,149,1009,58,1216,6,76,0,82,1007,80,1169,5,10,0,15,627,121,763,0,3,0,3,174,55,232,904,318,33,1255,4596,495,6346,8,25,0,33,328,37,398,49,12,3,64,142,9,215,265,22,29,316,144,18,478,589,45,30,664,219,39,922,227,110,13,350,749,33,1132,9,198,3,210,992,43,1245,3,116,3,122,1029,96,1247,3,6,0,9,658,142,809,0,3,0,3,232,89,324,1153,537,81,1771,4493,506,6770,13,49,0,62,711,83,856,63,25,6,94,339,26,459,431,39,34,504,377,46,927,1029,70,44,1143,512,79,1734,453,156,21,630,1422,83,2135,51,302,6,359,2001,101,2461,9,192,3,204,2036,176,2416,8,16,0,24,1285,263,1572,0,6,0,6
1009,80,457,3,540,8841,1282,10663,471,413,17,901,7101,545,8547,5252,587,169,6008,8384,932,15324,9783,532,387,10702,6863,1124,18689,5003,943,193,6139,12594,1239,19972,737,2011,29,2777,13953,1136,17866,108,1632,7,1747,10667,1273,13687,24,275,0,299,7104,1371,8774,4,15,3,22,2436,670,3128,21462,6865,808,29135,77943,9572,116650,175,831,4,1010,7952,965,9927,1124,689,52,1865,5965,439,8269,8110,911,592,9613,6057,759,16429,12422,842,958,14222,5354,957,20533,4584,2336,265,7185,13427,1058,21670,313,4762,22,5097,13351,982,19430,87,2414,13,2514,11413,1483,15410,38,359,0,397,9039,2033,11469,9,34,0,43,4354,1365,5762,26862,13178,1906,41946,76912,10041,128899,255,1288,7,1550,16793,2247,20590,1595,1102,69,2766,13066,984,16816,13362,1498,761,15621,14441,1691,31753,22205,1374,1345,24924,12217,2081,39222,9587,3279,458,13324,26021,2297,41642,1050,6773,51,7874,27304,2118,37296,195,4046,20,4261,22080,2756,29097,62,634,0,696,16143,3404,20243,13,49,3,65
