region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,403128,402561,805689,22712,24441,47153,29570,30737,60307,2063,1971,4034,3954,3947,7901,366,361,727,635,553,1188,228,217,445,400,369,769,1344,1403,2747,14,9,23,38574,39567,78141,2271,2380,4651,1008,817,1825,64565,67205,131770,28765,22369,51134,496458,492135,988593
1001,30975,32800,63775,1620,1847,3467,2188,2352,4540,1795,2009,3804,360,323,683,79,78,157,73,63,136,30,35,65,77,70,147,52,67,119,0,0,0,4654,4997,9651,264,322,586,87,62,149,6625,7228,13853,1778,1533,3311,39378,41561,80939
1002,7846,8551,16397,1001,1162,2163,688,880,1568,24,29,53,127,119,246,12,12,24,17,14,31,4,10,14,5,13,18,4,12,16,0,0,0,881,1089,1970,193,205,398,18,20,38,2093,2476,4569,586,659,1245,10525,11686,22211
1003,8807,9793,18600,693,735,1428,737,801,1538,43,62,105,152,168,320,6,8,14,8,11,19,10,9,19,3,16,19,8,9,17,0,0,0,967,1084,2051,68,90,158,27,53,80,1755,1962,3717,505,482,987,11067,12237,23304
1004,5729,6236,11965,422,451,873,597,653,1250,36,43,79,27,31,58,8,6,14,11,11,22,3,3,6,0,0,0,95,108,203,0,0,0,777,855,1632,38,29,67,24,16,40,1261,1351,2612,522,464,986,7512,8051,15563
1005,12033,12393,24426,1036,1155,2191,1386,1520,2906,23,18,41,69,65,134,4,6,10,15,16,31,6,3,9,17,13,30,24,18,42,0,0,0,1544,1659,3203,78,81,159,33,17,50,2691,2912,5603,1265,754,2019,15989,16059,32048
1006,13513,14841,28354,669,774,1443,1293,1494,2787,21,23,44,63,54,117,6,7,13,11,10,21,8,7,15,4,6,10,9,19,28,0,0,0,1415,1620,3035,83,103,186,34,47,81,2201,2544,4745,683,691,1374,16397,18076,34473
1007,7263,7738,15001,567,612,1179,191,189,380,40,42,82,43,27,70,96,98,194,9,12,21,11,9,20,15,13,28,3,3,6,0,0,0,408,393,801,29,19,48,16,17,33,1020,1041,2061,645,625,1270,8928,9404,18332
1008,6211,6509,12720,482,492,974,461,484,945,14,18,32,51,55,106,3,5,8,10,7,17,4,7,11,8,11,19,13,15,28,0,0,0,564,602,1166,26,22,48,17,18,35,1089,1134,2223,308,353,661,7608,7996,15604
1009,119044,128217,247261,4672,5344,10016,12550,13607,26157,174,191,365,461,531,992,47,49,96,107,133,240,36,44,80,26,49,75,61,44,105,0,0,0,13462,14648,28110,747,781,1528,359,360,719,19240,21133,40373,6777,6693,13470,145061,156043,301104
