region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,1109943,1137795,2247738,3291,3436,6727,4833,5842,10675,3755,4191,7946,64899,81957,146856,6939,7162,14101,8724,8065,16789,13723,15874,29597,5623,5702,11325,8172,9035,17207,13560,14630,28190,17351,19454,36805,47310,39458,86768,11285,13422,24707,14443,14151,28594,8951,7496,16447,19937,19218,39155,3527,7030,10557,18327,21366,39693,27862,26354,54216,11019,12956,23975,5719,5828,11547,4319,3968,8287,39041,38257,77298,25318,35804,61122,4955,6502,11457,4573,5343,9916,15592,16087,31679,3048,3162,6210,10913,10939,21852,5144,9489,14633,5981,5715,11696,81720,73345,155065,9072,9348,18420,31650,37753,69403,137340,135887,273227,118379,110382,228761,1926238,1982403,3908641
UCL102001,13479,13642,27121,22,22,44,6,6,12,36,44,80,79,102,181,100,92,192,26,11,37,65,71,136,289,263,552,100,105,205,71,90,161,10,21,31,261,204,465,27,56,83,3,8,11,34,24,58,184,174,358,5,12,17,14,21,35,3,11,14,34,56,90,40,27,67,40,42,82,323,285,608,112,190,302,44,55,99,17,18,35,45,50,95,31,23,54,37,37,74,18,44,62,10,5,15,603,545,1148,83,91,174,34,37,71,643,571,1214,1039,857,1896,17967,17912,35879
UCL102002,115452,124291,239743,34,25,59,18,29,47,230,249,479,331,559,890,123,122,245,179,164,343,137,190,327,20,17,37,506,627,1133,145,128,273,113,123,236,390,363,753,127,177,304,27,24,51,461,447,908,474,292,766,54,141,195,130,175,305,93,59,152,145,191,336,299,277,576,528,540,1068,2520,2662,5182,337,911,1248,130,146,276,59,82,141,666,657,1323,77,86,163,86,79,165,84,253,337,46,29,75,8570,8885,17455,445,446,891,78,89,167,2473,2651,5124,7785,8154,15939,143372,154340,297712
UCL102003,20484,22563,43047,4,4,8,0,0,0,44,55,99,85,113,198,17,14,31,15,10,25,30,29,59,0,0,0,108,149,257,10,6,16,15,14,29,75,60,135,16,27,43,3,6,9,83,66,149,82,47,129,27,67,94,8,16,24,10,5,15,23,46,69,31,34,65,105,107,212,908,965,1873,46,194,240,22,20,42,10,16,26,88,102,190,13,14,27,9,6,15,17,69,86,8,7,15,1921,2096,4017,115,97,212,11,14,25,430,438,868,1544,1657,3201,26417,29133,55550
UCL102004,127349,133052,260401,95,96,191,33,39,72,232,247,479,505,657,1162,173,151,324,80,60,140,96,125,221,491,486,977,614,763,1377,266,292,558,110,153,263,575,477,1052,131,157,288,35,31,66,277,217,494,585,524,1109,45,99,144,276,280,556,26,23,49,346,405,751,55,70,125,357,343,700,1524,1484,3008,249,799,1048,214,306,520,71,92,163,435,438,873,163,143,306,148,136,284,74,225,299,34,30,64,4741,4617,9358,406,425,831,108,144,252,2695,2641,5336,7390,7074,14464,151004,157301,308305
UCL103001,90053,92376,182429,205,202,407,20,35,55,170,223,393,1479,1145,2624,623,578,1201,102,76,178,91,133,224,1975,2002,3977,833,968,1801,471,517,988,109,122,231,525,366,891,150,190,340,64,59,123,272,244,516,1646,1632,3278,50,111,161,107,133,240,310,310,620,160,191,351,340,316,656,517,558,1075,1222,1199,2421,274,807,1081,219,302,521,49,73,122,311,299,610,353,303,656,124,133,257,188,379,567,388,346,734,6807,7504,14311,301,353,654,355,378,733,4498,4469,8967,5944,5604,11548,121305,124636,245941
UCL111001,18449,20085,38534,4,10,14,0,3,3,30,19,49,34,34,68,24,20,44,16,7,23,22,16,38,0,0,0,127,154,281,30,27,57,17,8,25,201,150,351,4,15,19,0,0,0,42,26,68,43,45,88,4,8,12,16,20,36,14,12,26,9,21,30,9,4,13,90,98,188,236,216,452,67,152,219,20,26,46,4,6,10,57,67,124,12,20,32,21,13,34,9,35,44,4,0,4,621,619,1240,39,42,81,13,6,19,474,490,964,1226,1167,2393,21988,23641,45629
UCL111002,28748,30156,58904,7,3,10,0,4,4,22,32,54,76,90,166,16,12,28,14,15,29,11,15,26,6,0,6,145,139,284,10,11,21,31,13,44,115,96,211,8,19,27,0,4,4,35,32,67,45,20,65,7,5,12,17,18,35,3,6,9,22,33,55,14,11,25,70,67,137,362,321,683,51,193,244,35,66,101,7,9,16,125,101,226,15,14,29,9,9,18,11,38,49,3,3,6,867,803,1670,54,55,109,9,10,19,297,342,639,1584,1517,3101,32851,34282,67133
UCL112001,13271,13618,26889,3,3,6,5,7,12,26,17,43,61,47,108,7,9,16,14,0,14,23,18,41,0,0,0,44,46,90,8,6,14,12,7,19,33,21,54,6,6,12,5,5,10,15,20,35,22,14,36,5,6,11,11,7,18,21,12,33,16,18,34,6,3,9,46,39,85,203,178,381,29,58,87,4,5,9,3,13,16,38,38,76,9,8,17,22,19,41,10,11,21,3,3,6,404,369,773,26,31,57,28,14,42,226,156,382,905,892,1797,15570,15724,31294
UCL112002,10063,11145,21208,4,4,8,10,11,21,26,40,66,38,59,97,14,22,36,12,13,25,16,17,33,0,0,0,116,145,261,16,10,26,22,22,44,56,33,89,21,19,40,6,0,6,58,54,112,50,24,74,6,46,52,16,29,45,10,6,16,18,27,45,15,11,26,52,77,129,241,298,539,31,69,100,35,38,73,16,13,29,34,55,89,10,25,35,16,6,22,13,33,46,3,3,6,1099,1077,2176,83,102,185,15,26,41,342,389,731,1146,1091,2237,13729,15039,28768
