region_id,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_199_15_19_yrs,M_1_199_20_24_yrs,M_1_199_25_34_yrs,M_1_199_35_44_yrs,M_1_199_45_54_yrs,M_1_199_55_64_yrs,M_1_199_65_74_yrs,M_1_199_75_84_yrs,M_1_199_85ov,M_1_199_Tot,M_200_299_15_19_yrs,M_200_299_20_24_yrs,M_200_299_25_34_yrs,M_200_299_35_44_yrs,M_200_299_45_54_yrs,M_200_299_55_64_yrs,M_200_299_65_74_yrs,M_200_299_75_84_yrs,M_200_299_85ov,M_200_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_599_15_19_yrs,M_400_599_20_24_yrs,M_400_599_25_34_yrs,M_400_599_35_44_yrs,M_400_599_45_54_yrs,M_400_599_55_64_yrs,M_400_599_65_74_yrs,M_400_599_75_84_yrs,M_400_599_85ov,M_400_599_Tot,M_600_799_15_19_yrs,M_600_799_20_24_yrs,M_600_799_25_34_yrs,M_600_799_35_44_yrs,M_600_799_45_54_yrs,M_600_799_55_64_yrs,M_600_799_65_74_yrs,M_600_799_75_84_yrs,M_600_799_85ov,M_600_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1999_15_19_yrs,M_1500_1999_20_24_yrs,M_1500_1999_25_34_yrs,M_1500_1999_35_44_yrs,M_1500_1999_45_54_yrs,M_1500_1999_55_64_yrs,M_1500_1999_65_74_yrs,M_1500_1999_75_84_yrs,M_1500_1999_85ov,M_1500_1999_Tot,M_2000_more_15_19_yrs,M_2000_more_20_24_yrs,M_2000_more_25_34_yrs,M_2000_more_35_44_yrs,M_2000_more_45_54_yrs,M_2000_more_55_64_yrs,M_2000_more_65_74_yrs,M_2000_more_75_84_yrs,M_2000_more_85ov,M_2000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_199_15_19_yrs,F_1_199_20_24_yrs,F_1_199_25_34_yrs,F_1_199_35_44_yrs,F_1_199_45_54_yrs,F_1_199_55_64_yrs,F_1_199_65_74_yrs,F_1_199_75_84_yrs,F_1_199_85ov,F_1_199_Tot,F_200_299_15_19_yrs,F_200_299_20_24_yrs,F_200_299_25_34_yrs,F_200_299_35_44_yrs,F_200_299_45_54_yrs,F_200_299_55_64_yrs,F_200_299_65_74_yrs,F_200_299_75_84_yrs,F_200_299_85ov,F_200_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_599_15_19_yrs,F_400_599_20_24_yrs,F_400_599_25_34_yrs,F_400_599_35_44_yrs,F_400_599_45_54_yrs,F_400_599_55_64_yrs,F_400_599_65_74_yrs,F_400_599_75_84_yrs,F_400_599_85ov,F_400_599_Tot,F_600_799_15_19_yrs,F_600_799_20_24_yrs,F_600_799_25_34_yrs,F_600_799_35_44_yrs,F_600_799_45_54_yrs,F_600_799_55_64_yrs,F_600_799_65_74_yrs,F_600_799_75_84_yrs,F_600_799_85ov,F_600_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot
UCL101001,56799,20485,15023,8839,8403,10035,5569,2578,702,128433,31535,14680,6627,5138,5280,6891,6787,3647,930,81515,7337,12803,12016,10424,12413,16230,25481,19332,4462,120498,5668,11246,11916,9265,11151,12934,17784,13671,5055,98690,5536,17969,21676,16158,17664,17296,16704,10114,3415,126532,2608,19326,35075,25165,24293,20426,10817,4409,1486,143605,853,13567,37483,27162,25299,19704,7651,2400,906,135025,341,9950,40574,31211,26641,20307,7026,1794,722,138566,103,4129,32278,26729,21424,14375,4223,1110,428,104799,87,2122,36887,40262,32240,19781,4276,1156,438,137249,138,867,32382,66387,55583,30341,7173,1833,650,195354,13591,13340,28004,21726,18676,14457,9900,7601,4099,131394,124596,140484,309941,288466,259067,202777,123391,69645,23293,1541660,50765,20899,32084,28881,22921,22867,7879,3652,1557,191505,36698,17570,18713,22849,15527,14063,8712,4539,1629,140300,8099,15054,18412,20750,21102,27728,30005,19149,5679,165978,4336,12638,17353,19227,19429,21165,28570,26629,14660,164007,4238,18290,32029,33466,31747,25244,19671,13015,7125,184825,1944,19386,35569,31899,32056,21824,9430,4396,2178,158682,513,12782,33428,25055,24928,16294,5154,2133,1128,121415
UCL102001,391,61,47,58,49,62,32,6,4,710,329,60,31,31,24,47,33,21,3,579,57,68,63,51,65,95,186,137,16,738,79,80,53,56,96,104,156,110,30,764,94,164,150,123,136,130,126,82,20,1025,71,246,275,232,216,219,89,37,13,1398,23,184,366,283,290,257,69,13,3,1488,6,178,509,381,324,194,59,14,4,1669,0,69,358,380,283,165,24,4,0,1283,0,35,424,576,445,226,29,4,6,1745,5,10,236,611,614,254,30,0,0,1760,126,100,218,184,180,126,78,55,25,1092,1181,1255,2730,2966,2722,1879,911,483,124,14251,321,61,159,147,108,133,29,17,0,975,378,63,144,144,83,94,55,22,12,995,104,96,101,107,102,162,223,136,39,1070,58,100,125,143,146,174,255,229,137,1367,74,192,268,282,243,237,173,98,44,1611,57,255,336,323,300,195,85,31,11,1593,23,167,296,283,269,168,44,11,4,1265
UCL102002,3922,515,418,455,405,630,307,134,66,6852,3019,830,361,338,424,633,590,263,76,6534,720,928,905,867,1031,1652,3248,2506,503,12360,635,740,680,758,1123,1560,2599,2051,665,10811,615,1382,1150,1131,1407,1885,2384,1514,577,12045,242,1576,2171,2012,2152,1972,1141,519,246,12031,83,885,2250,2225,2300,1953,687,244,124,10751,29,585,2251,2513,2462,1773,529,147,89,10378,12,211,1582,1912,1900,1180,242,78,46,7163,3,136,1453,2611,2523,1576,223,62,28,8615,10,50,801,2136,2370,1341,275,79,33,7095,1112,557,1025,1282,1335,1212,1035,977,624,9159,10402,8395,15047,18240,19432,17367,13260,8574,3077,113794,3065,445,886,1170,1314,1677,407,221,138,9323,3674,959,1313,1831,1369,1376,771,403,149,11845,760,1091,1380,1681,1680,2970,3871,2458,683,16574,554,1002,1432,1884,2092,2744,4292,3659,1827,19486,556,1645,2793,3536,3528,2971,2702,2095,1057,20883,173,1456,2501,2911,3215,2099,862,478,201,13896,33,608,1677,1809,2122,1305,345,211,96,8206
UCL102003,578,85,89,77,82,140,62,35,16,1164,577,115,67,73,79,138,135,79,21,1284,152,181,169,187,242,455,813,723,174,3096,104,110,124,176,261,416,670,618,192,2671,90,207,227,260,299,465,608,455,155,2766,30,214,357,372,468,444,293,143,83,2404,7,101,347,407,422,357,143,70,29,1883,4,74,324,372,443,317,101,52,22,1709,0,25,192,267,273,176,45,20,14,1012,0,22,162,356,365,219,34,15,10,1183,0,3,113,281,259,142,38,24,9,869,196,105,161,229,252,210,206,267,153,1779,1738,1242,2332,3057,3445,3479,3148,2501,878,21820,434,93,137,168,202,302,96,62,34,1528,662,117,188,259,202,234,169,102,45,1978,155,183,243,278,307,682,1036,745,209,3838,83,152,289,353,469,579,1002,950,375,4252,91,283,478,650,719,680,630,566,273,4370,24,228,428,547,675,431,208,108,59,2708,6,68,231,312,395,264,80,50,34,1440
UCL102004,3396,785,526,375,390,592,196,119,75,6454,3200,1007,419,369,425,625,513,222,65,6845,832,1347,990,946,1124,1784,3070,2324,553,12970,722,1009,832,855,1218,1672,2480,1939,764,11491,703,1564,1325,1135,1353,1795,2234,1337,435,11881,317,1667,2343,1766,1812,1853,1076,428,152,11414,78,1183,2503,2021,1979,1844,709,174,57,10548,32,869,2748,2462,2405,1927,548,135,39,11165,19,440,2262,2196,2023,1312,274,77,24,8627,7,300,2550,3338,3222,1874,247,56,23,11617,15,150,1841,3337,3371,2106,356,83,24,11283,945,702,1131,1172,1234,1067,839,806,458,8354,10266,11023,19470,19972,20556,18451,12542,7700,2669,122649,2555,697,1090,1084,1270,1757,348,207,186,9194,3998,1235,1285,1541,1189,1338,671,338,117,11712,967,1616,1341,1586,1604,3025,3685,2256,636,16716,659,1406,1608,1867,1999,2690,3829,3747,1907,19712,597,2094,2917,3413,3332,2772,2417,1679,795,20016,174,1859,2952,2942,3026,2052,845,432,171,14453,27,850,2249,2039,2133,1382,381,165,71,9297
UCL103001,3299,1161,702,357,356,506,210,88,40,6719,2421,1050,409,319,374,527,490,228,55,5873,643,1238,949,832,1035,1648,2863,2159,477,11844,564,786,699,724,944,1224,1942,1509,497,8889,527,1173,1187,1028,1136,1290,1647,987,258,9233,204,1204,1809,1473,1369,1243,694,256,100,8352,81,754,1845,1646,1629,1245,436,103,44,7783,23,568,1996,1927,1868,1316,331,69,20,8118,7,251,1747,1621,1736,1033,163,35,6,6599,6,175,1843,2827,2785,1499,160,36,12,9343,8,96,1121,2393,2462,1427,196,40,16,7759,834,599,965,927,973,823,624,674,288,6707,8617,9055,15272,16074,16667,13781,9756,6184,1813,97219,2866,975,1110,1100,1354,1594,340,123,39,9501,3008,1107,1235,1602,1183,1076,539,280,78,10108,701,1231,1166,1457,1632,2730,3352,2027,549,14845,439,1018,1312,1686,1804,1957,3027,2800,1248,15291,387,1528,2487,2842,2584,1867,1709,1118,464,14986,99,1209,2201,2258,2310,1333,533,247,94,10284,17,564,1595,1530,1512,875,237,80,45,6455
UCL111001,575,72,72,54,46,84,30,17,7,957,462,102,57,56,62,68,80,36,12,935,104,154,178,153,130,187,361,291,56,1614,121,117,117,138,158,234,286,237,70,1478,135,259,209,190,209,284,325,180,60,1851,60,358,519,340,317,328,135,59,12,2128,11,205,486,411,416,345,84,32,10,2000,6,121,473,420,383,317,84,17,3,1824,0,45,250,314,295,155,41,8,4,1112,0,22,228,348,382,262,28,10,4,1284,5,7,105,221,284,205,48,11,5,891,170,116,195,209,190,166,151,133,72,1402,1649,1578,2889,2854,2872,2635,1653,1031,315,17476,457,95,163,115,126,213,61,28,9,1267,602,166,192,206,145,154,106,46,15,1632,165,280,243,223,229,384,482,266,62,2334,136,239,260,308,271,377,500,451,209,2751,137,361,503,540,534,483,349,255,179,3341,36,327,494,473,488,342,115,62,30,2367,7,127,347,312,357,201,49,33,17,1450
UCL111002,728,81,85,55,71,97,40,29,8,1194,713,144,76,62,84,115,110,32,11,1347,182,160,185,180,175,395,685,413,83,2458,179,152,161,155,232,321,434,303,90,2027,180,301,199,213,234,340,389,194,64,2114,91,398,488,420,358,371,207,51,18,2402,25,262,566,485,451,395,98,27,11,2320,9,206,617,553,573,412,85,8,7,2470,3,105,478,507,437,281,34,12,0,1857,0,118,623,817,674,395,41,7,0,2675,0,65,613,810,777,370,51,13,0,2699,239,123,247,293,275,210,159,126,59,1731,2349,2115,4338,4550,4341,3702,2333,1215,351,25294,703,122,293,275,355,465,70,31,7,2321,870,211,414,435,347,306,131,40,24,2778,201,255,390,445,352,719,779,396,104,3641,153,247,419,463,429,569,744,633,322,3979,158,445,731,840,711,539,401,255,116,4196,55,380,667,750,642,400,114,68,23,3099,5,170,464,449,445,249,57,24,8,1871
UCL112001,460,66,35,31,31,51,22,5,4,705,356,119,44,43,30,56,48,21,3,720,108,242,105,60,101,115,233,167,36,1167,83,109,88,67,82,120,216,164,45,974,88,223,142,125,128,158,180,107,24,1175,37,216,237,204,195,197,83,39,13,1221,13,120,258,200,216,189,67,17,3,1083,6,99,280,260,220,179,47,15,8,1114,0,35,207,211,197,139,26,4,0,819,4,32,203,319,309,185,23,3,0,1078,3,19,129,210,209,140,13,10,6,739,150,196,336,251,152,118,91,69,19,1382,1308,1476,2064,1981,1870,1647,1049,621,161,12177,339,85,78,92,104,113,35,17,0,863,420,188,162,144,86,118,51,28,8,1205,154,286,187,122,127,216,269,166,46,1573,71,159,148,212,165,201,340,310,188,1794,67,257,328,335,307,213,199,161,74,1941,15,187,309,271,294,195,60,40,6,1377,4,89,182,205,208,132,40,22,13,895
UCL112002,356,60,28,49,48,85,29,11,0,666,198,68,44,60,59,81,62,27,4,603,59,89,109,105,124,189,236,141,31,1083,53,63,68,100,107,197,224,171,60,1043,49,95,106,145,178,250,222,120,32,1197,24,87,152,180,183,210,128,46,15,1025,5,56,141,207,220,207,92,24,9,961,3,39,143,228,218,220,69,16,4,940,3,14,121,193,186,135,29,8,4,693,0,4,100,263,317,256,41,6,7,994,3,3,56,199,257,175,49,11,0,753,101,75,101,151,200,187,115,91,33,1054,854,653,1169,1880,2097,2192,1296,672,199,11012,325,53,69,108,132,184,35,16,11,933,253,85,125,189,153,170,79,32,10,1096,67,74,108,154,170,267,284,146,46,1316,39,88,152,185,221,286,436,305,164,1876,45,127,248,309,350,344,304,160,74,1961,9,83,204,284,290,268,107,43,17,1305,3,29,107,166,218,173,61,18,12,787
