region_id,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1999_15_19_yrs,F_1500_1999_20_24_yrs,F_1500_1999_25_34_yrs,F_1500_1999_35_44_yrs,F_1500_1999_45_54_yrs,F_1500_1999_55_64_yrs,F_1500_1999_65_74_yrs,F_1500_1999_75_84_yrs,F_1500_1999_85ov,F_1500_1999_Tot,F_2000_more_15_19_yrs,F_2000_more_20_24_yrs,F_2000_more_25_34_yrs,F_2000_more_35_44_yrs,F_2000_more_45_54_yrs,F_2000_more_55_64_yrs,F_2000_more_65_74_yrs,F_2000_more_75_84_yrs,F_2000_more_85ov,F_2000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_199_15_19_yrs,P_1_199_20_24_yrs,P_1_199_25_34_yrs,P_1_199_35_44_yrs,P_1_199_45_54_yrs,P_1_199_55_64_yrs,P_1_199_65_74_yrs,P_1_199_75_84_yrs,P_1_199_85ov,P_1_199_Tot,P_200_299_15_19_yrs,P_200_299_20_24_yrs,P_200_299_25_34_yrs,P_200_299_35_44_yrs,P_200_299_45_54_yrs,P_200_299_55_64_yrs,P_200_299_65_74_yrs,P_200_299_75_84_yrs,P_200_299_85ov,P_200_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_599_15_19_yrs,P_400_599_20_24_yrs,P_400_599_25_34_yrs,P_400_599_35_44_yrs,P_400_599_45_54_yrs,P_400_599_55_64_yrs,P_400_599_65_74_yrs,P_400_599_75_84_yrs,P_400_599_85ov,P_400_599_Tot,P_600_799_15_19_yrs,P_600_799_20_24_yrs,P_600_799_25_34_yrs,P_600_799_35_44_yrs,P_600_799_45_54_yrs,P_600_799_55_64_yrs,P_600_799_65_74_yrs,P_600_799_75_84_yrs,P_600_799_85ov,P_600_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1999_15_19_yrs,P_1500_1999_20_24_yrs,P_1500_1999_25_34_yrs,P_1500_1999_35_44_yrs,P_1500_1999_45_54_yrs,P_1500_1999_55_64_yrs,P_1500_1999_65_74_yrs,P_1500_1999_75_84_yrs,P_1500_1999_85ov,P_1500_1999_Tot,P_2000_more_15_19_yrs,P_2000_more_20_24_yrs,P_2000_more_25_34_yrs,P_2000_more_35_44_yrs,P_2000_more_45_54_yrs,P_2000_more_55_64_yrs,P_2000_more_65_74_yrs,P_2000_more_75_84_yrs,P_2000_more_85ov,P_2000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL101001,155,8535,36330,25469,23621,15406,3978,1484,781,115759,51,2600,28002,20314,17025,10110,2177,908,460,81647,52,1010,27340,26907,22704,13034,2291,958,515,94811,92,348,16006,26826,20020,9616,2530,1167,632,77237,10834,10566,22820,18852,16059,13476,10237,10602,10129,123575,117777,139678,318086,300495,267139,210827,130634,88632,46473,1619741,107564,41384,47107,37720,31324,32902,13448,6230,2259,319938,68233,32250,25340,27987,20807,20954,15499,8186,2559,221815,15436,27857,30428,31174,33515,43958,55486,38481,10141,286476,10004,23884,29269,28492,30580,34099,46354,40300,19715,262697,9774,36259,53705,49624,49411,42540,36375,23129,10540,311357,4552,38712,70644,57064,56349,42250,20247,8805,3664,302287,1366,26349,70911,52217,50227,35998,12805,4533,2034,256440,496,18485,76904,56680,50262,35713,11004,3278,1503,254325,154,6729,60280,47043,38449,24485,6400,2018,888,186446,139,3132,64227,67169,54944,32815,6567,2114,953,232060,230,1215,48388,93213,75603,39957,9703,3000,1282,272591,24425,23906,50824,40578,34735,27933,20137,18203,14228,254969,242373,280162,628027,588961,526206,413604,254025,158277,69766,3161401
UCL102001,5,152,405,345,331,161,23,4,0,1426,0,62,371,325,270,132,16,5,0,1181,0,13,336,433,337,125,15,3,0,1262,0,0,110,268,237,83,10,3,0,711,89,73,159,119,125,115,84,77,63,904,1109,1234,2810,2919,2551,1779,1012,636,310,14360,712,122,206,205,157,195,61,23,4,1685,707,123,175,175,107,141,88,43,15,1574,161,164,164,158,167,257,409,273,55,1808,137,180,178,199,242,278,411,339,167,2131,168,356,418,405,379,367,299,180,64,2636,128,501,611,555,516,414,174,68,24,2991,46,351,662,566,559,425,113,24,7,2753,11,330,914,726,655,355,82,18,4,3095,0,131,729,705,553,297,40,9,0,2464,0,48,760,1009,782,351,44,7,6,3007,5,10,346,879,851,337,40,3,0,2471,215,173,377,303,305,241,162,132,88,1996,2290,2489,5540,5885,5273,3658,1923,1119,434,28611
UCL102002,6,313,1467,1435,1681,1010,216,110,43,6281,3,91,897,1021,1132,556,128,65,19,3912,4,30,693,1100,1285,787,121,36,16,4072,3,12,220,552,541,326,93,83,22,1852,878,464,871,1133,1187,1110,1175,1461,1450,9729,9709,8116,16130,20063,21146,18931,14983,11280,5701,126059,6987,960,1304,1625,1719,2307,714,355,204,16175,6693,1789,1674,2169,1793,2009,1361,666,225,18379,1480,2019,2285,2548,2711,4622,7119,4964,1186,28934,1189,1742,2112,2642,3215,4304,6891,5710,2492,30297,1171,3027,3943,4667,4935,4856,5086,3609,1634,32928,415,3032,4672,4923,5367,4071,2003,997,447,25927,116,1493,3927,4034,4422,3258,1032,455,220,18957,35,898,3718,3948,4143,2783,745,257,132,16659,15,302,2479,2933,3032,1736,370,143,65,11075,7,166,2146,3711,3808,2363,344,98,44,12687,13,62,1021,2688,2911,1667,368,162,55,8947,1990,1021,1896,2415,2522,2322,2210,2438,2074,18888,20111,16511,31177,38303,40578,36298,28243,19854,8778,239853
UCL102003,3,26,206,237,275,175,38,37,16,1013,0,5,105,163,192,109,19,16,12,621,0,3,84,169,228,125,22,12,5,648,3,3,26,69,67,59,16,24,5,272,137,77,181,205,201,215,258,388,280,1942,1598,1238,2596,3410,3932,3855,3574,3060,1347,24610,1012,178,226,245,284,442,158,97,50,2692,1239,232,255,332,281,372,304,181,66,3262,307,364,412,465,549,1137,1849,1468,383,6934,187,262,413,529,730,995,1672,1568,567,6923,181,490,705,910,1018,1145,1238,1021,428,7136,54,442,785,919,1143,875,501,251,142,5112,13,169,578,719,817,621,223,120,63,3323,7,100,530,609,718,492,139,89,38,2722,0,30,297,430,465,285,64,36,26,1633,0,25,246,525,593,344,56,27,15,1831,3,6,139,350,326,201,54,48,14,1141,333,182,342,434,453,425,464,655,433,3721,3336,2480,4928,6467,7377,7334,6722,5561,2225,46430
UCL102004,12,517,2099,1745,1951,1160,245,76,35,7840,0,111,1381,1242,1324,671,113,34,20,4896,4,47,1154,1503,1731,959,102,43,20,5563,10,22,406,756,815,478,109,65,10,2671,720,543,893,954,1080,972,927,1225,1183,8497,9723,10997,19375,20672,21454,19256,13672,10267,5151,130567,5951,1482,1616,1459,1660,2349,544,326,261,15648,7198,2242,1704,1910,1614,1963,1184,560,182,18557,1799,2963,2331,2532,2728,4809,6755,4580,1189,29686,1381,2415,2440,2722,3217,4362,6309,5686,2671,31203,1300,3658,4242,4548,4685,4567,4651,3016,1230,31897,491,3526,5295,4708,4838,3905,1921,860,323,25867,105,2033,4752,4060,4112,3226,1090,339,128,19845,44,1386,4847,4207,4356,3087,793,211,74,19005,19,551,3643,3438,3347,1983,387,111,44,13523,11,347,3704,4841,4953,2833,349,99,43,17180,25,172,2247,4093,4186,2584,465,148,34,13954,1665,1245,2024,2126,2314,2039,1766,2031,1641,16851,19989,22020,38845,40644,42010,37707,26214,17967,7820,253216
UCL103001,8,343,1471,1249,1332,740,126,54,20,5343,3,80,863,821,817,455,62,25,11,3137,0,17,716,1042,1172,637,60,26,16,3686,4,14,230,462,497,275,58,34,7,1581,692,473,721,761,809,762,733,928,671,6550,8224,8559,15107,16810,17006,14301,10776,7742,3242,101767,6165,2136,1812,1457,1710,2100,550,211,79,16220,5429,2157,1644,1921,1557,1603,1029,508,133,15981,1344,2469,2115,2289,2667,4378,6215,4186,1026,26689,1003,1804,2011,2410,2748,3181,4969,4309,1745,24180,914,2701,3674,3870,3720,3157,3356,2105,722,24219,303,2413,4010,3731,3679,2576,1227,503,194,18636,98,1318,3440,3176,3141,2120,673,183,89,14238,31,911,3467,3176,3200,2056,457,123,40,13461,10,331,2610,2442,2553,1488,225,60,17,9736,6,192,2559,3869,3957,2136,220,62,28,13029,12,110,1351,2855,2959,1702,254,74,23,9340,1526,1072,1686,1688,1782,1585,1357,1602,959,13257,16841,17614,30379,32884,33673,28082,20532,13926,5055,198986
UCL111001,0,69,296,279,283,182,25,10,5,1149,0,5,162,156,196,90,19,9,3,640,4,6,107,166,248,113,12,12,4,672,0,0,41,73,93,53,14,7,5,286,133,107,157,155,159,174,151,202,200,1438,1677,1782,2965,3006,3129,2766,1883,1381,738,19327,1032,167,235,169,172,297,91,45,16,2224,1064,268,249,262,207,222,186,82,27,2567,269,434,421,376,359,571,843,557,118,3948,257,356,377,446,429,611,786,688,279,4229,272,620,712,730,743,767,674,435,239,5192,96,685,1013,813,805,670,250,121,42,4495,18,332,833,723,773,546,133,65,27,3450,6,190,769,699,666,499,109,27,8,2973,0,50,412,470,491,245,60,17,7,1752,4,28,335,514,630,375,40,22,8,1956,5,7,146,294,377,258,62,18,10,1177,303,223,352,364,349,340,302,335,272,2840,3326,3360,5854,5860,6001,5401,3536,2412,1053,36803
UCL111002,4,100,381,381,369,199,30,14,3,1481,3,20,232,235,226,96,17,7,3,839,0,12,154,281,329,134,13,5,5,933,0,0,74,116,93,59,14,7,3,366,192,106,198,255,226,194,156,192,115,1634,2344,2068,4417,4925,4524,3929,2526,1672,733,27138,1431,203,378,330,426,562,110,60,15,3515,1583,355,490,497,431,421,241,72,35,4125,383,415,575,625,527,1114,1464,809,187,6099,332,399,580,618,661,890,1178,936,412,6006,338,746,930,1053,945,879,790,449,180,6310,146,778,1155,1170,1000,771,321,119,41,5501,30,432,1030,934,896,644,155,51,19,4191,13,306,998,934,942,611,115,22,10,3951,6,125,710,742,663,377,51,19,3,2696,0,130,777,1098,1003,529,54,12,5,3608,0,65,687,926,870,429,65,20,3,3065,431,229,445,548,501,404,315,318,174,3365,4693,4183,8755,9475,8865,7631,4859,2887,1084,52432
UCL112001,0,58,175,186,209,122,22,10,4,786,0,15,124,121,131,77,5,4,3,480,0,3,68,150,186,100,11,3,0,521,0,0,25,61,61,44,12,6,5,214,104,97,109,120,97,106,93,115,61,902,1174,1424,1895,2019,1975,1637,1137,882,408,12551,799,151,113,123,135,164,57,22,4,1568,776,307,206,187,116,174,99,49,11,1925,262,528,292,182,228,331,502,333,82,2740,154,268,236,279,247,321,556,474,233,2768,155,480,470,460,435,371,379,268,98,3116,52,403,546,475,489,392,143,79,19,2598,17,209,440,405,424,321,107,39,16,1978,6,157,455,446,429,301,69,25,12,1900,0,50,331,332,328,216,31,8,3,1299,4,35,271,469,495,285,34,6,0,1599,3,19,154,271,270,184,25,16,11,953,254,293,445,371,249,224,184,184,80,2284,2482,2900,3959,4000,3845,3284,2186,1503,569,24728
UCL112002,0,22,84,155,182,145,26,17,9,640,0,3,70,127,148,119,24,3,4,498,0,0,47,148,230,177,18,3,3,626,0,0,22,58,99,86,13,3,9,290,96,55,100,139,199,154,124,113,94,1074,837,619,1336,2022,2392,2373,1511,859,453,12402,681,113,97,157,180,269,64,27,11,1599,451,153,169,249,212,251,141,59,14,1699,126,163,217,259,294,456,520,287,77,2399,92,151,220,285,328,483,660,476,224,2919,94,222,354,454,528,594,526,280,106,3158,33,170,356,464,473,478,235,89,32,2330,8,85,248,373,438,380,153,42,21,1748,3,61,227,383,400,365,95,33,13,1580,3,17,191,320,334,254,53,11,8,1191,0,4,147,411,547,433,59,9,10,1620,3,3,78,257,356,261,62,14,9,1043,197,130,201,290,399,341,239,204,127,2128,1691,1272,2505,3902,4489,4565,2807,1531,652,23414
