region_id,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL101001,0,4485,103938,171296,163866,133548,83875,44640,10218,715866,0,7732,40269,27352,17906,10035,3283,754,155,107486,0,402,1374,4505,8050,5785,2510,1732,996,25354,363519,0,0,0,0,0,0,0,0,363519,0,106084,0,0,0,0,0,0,0,106084,0,74201,54165,17789,9338,3355,379,6,4,159237,0,13808,12401,4596,4265,3827,2714,2190,1071,44872,0,7218,9412,3317,2711,1620,608,226,46,25158,0,18578,31781,10054,6948,5420,2834,1132,284,77031,0,5959,23025,24353,24860,22562,15812,10962,5065,132598,3767,5243,6540,4163,3006,1965,1260,625,200,26769,367286,243710,282905,267425,240950,188117,113275,62267,18039,1783974,0,12745,137942,183751,162705,123779,68887,29659,4630,724098,0,12484,41661,24092,15742,7757,1888,351,73,104048,0,4125,16925,34085,37747,19762,8519,7756,4143,133062,343960,0,0,0,0,0,0,0,0,343960,0,108670,0,0,0,0,0,0,0,108670,0,53563,35680,9328,5369,2765,512,26,6,107249,0,11997,9003,3334,4515,8285,8046,8154,4218,57552,0,7482,6664,1808,1417,929,380,237,102,19019
UCL102001,0,38,900,1615,1509,1064,559,298,37,6020,0,183,524,353,245,120,22,0,0,1447,0,3,31,86,127,67,16,6,5,341,3522,0,0,0,0,0,0,0,0,3522,0,785,0,0,0,0,0,0,0,785,0,783,318,112,76,20,5,0,0,1314,0,121,79,34,32,30,17,10,6,329,0,54,48,24,18,14,3,3,0,164,0,136,179,71,65,40,22,8,0,521,0,109,348,421,401,330,161,98,41,1909,56,59,80,52,46,36,18,7,3,357,3578,2271,2507,2768,2519,1721,823,430,92,16709,0,100,1220,1757,1425,960,495,181,14,6152,0,301,495,320,227,82,14,5,0,1444,0,79,228,331,335,120,56,50,31,1230,3394,0,0,0,0,0,0,0,0,3394,0,815,0,0,0,0,0,0,0,815,0,529,162,45,28,23,3,0,0,790,0,76,64,28,31,59,35,39,33,365,0,57,31,7,7,6,0,0,0,108
UCL102002,0,270,5093,10000,10964,10518,8350,5262,1317,51774,0,988,2950,2390,1764,1037,505,135,23,9792,0,35,177,601,915,457,161,176,83,2605,28011,0,0,0,0,0,0,0,0,28011,0,6824,0,0,0,0,0,0,0,6824,0,6774,2579,1164,788,353,45,3,0,11706,0,662,371,226,286,298,211,159,78,2291,0,491,370,218,224,124,69,26,12,1534,0,574,857,440,561,508,368,183,36,3527,0,394,1151,1689,2298,2460,2128,1661,827,12608,427,726,528,375,313,296,251,99,34,3049,28438,17738,14076,17103,18113,16051,12088,7704,2410,133721,0,569,6754,11071,11552,10363,7586,3906,705,52506,0,1603,3076,2280,1777,975,319,90,17,10137,0,631,2143,3862,3620,1394,658,644,433,13385,26818,0,0,0,0,0,0,0,0,26818,0,7053,0,0,0,0,0,0,0,7053,0,4445,1373,425,357,304,58,5,0,6967,0,542,208,94,325,516,532,563,310,3090,0,500,184,104,119,74,34,17,12,1044
UCL102003,0,35,689,1516,1791,1921,1948,1587,372,9859,0,138,498,401,326,269,154,53,10,1849,0,8,28,111,149,89,33,26,30,474,4332,0,0,0,0,0,0,0,0,4332,0,1069,0,0,0,0,0,0,0,1069,0,968,348,227,141,91,10,0,0,1785,0,131,73,46,54,59,36,19,21,439,0,100,56,44,43,19,7,3,0,272,0,180,189,116,175,138,102,59,7,966,0,68,208,300,442,572,554,482,241,2867,93,108,91,75,67,80,64,33,5,616,4425,2805,2180,2836,3188,3238,2908,2262,686,24528,0,85,1006,1738,1947,1942,1968,1202,188,10076,0,244,528,381,376,273,114,37,6,1959,0,121,333,704,638,237,129,134,72,2368,4288,0,0,0,0,0,0,0,0,4288,0,1078,0,0,0,0,0,0,0,1078,0,583,173,70,88,51,10,0,0,975,0,114,35,20,65,107,97,105,58,601,0,96,45,21,27,19,11,6,3,228
UCL102004,0,294,5873,10658,11466,11358,8243,4793,1175,53860,0,1212,3856,2452,1665,1022,373,101,18,10699,0,45,172,635,858,463,201,172,86,2632,26907,0,0,0,0,0,0,0,0,26907,0,6672,0,0,0,0,0,0,0,6672,0,6240,2627,1259,990,390,44,0,0,11550,0,899,504,235,274,288,210,152,84,2646,0,564,442,208,174,93,38,11,6,1536,0,2353,2151,653,556,480,253,120,28,6594,0,681,1904,2162,2758,2708,1942,1488,678,14321,492,762,633,426,332,235,172,73,26,3151,27399,19722,18162,18688,19073,17037,11476,6910,2101,140568,0,619,7672,11659,12161,11202,7359,3598,566,54836,0,1957,3859,2386,1674,847,295,59,3,11080,0,623,1875,3341,3240,1294,714,737,423,12247,25354,0,0,0,0,0,0,0,0,25354,0,6901,0,0,0,0,0,0,0,6901,0,4271,1449,481,389,253,60,0,0,6903,0,772,323,141,262,442,445,469,306,3160,0,586,220,87,91,56,14,11,7,1072
UCL103001,0,198,5155,9096,9810,8910,6639,4048,832,44688,0,804,2483,1672,1273,649,239,77,17,7214,0,31,127,526,734,388,176,147,77,2206,22940,0,0,0,0,0,0,0,0,22940,0,5906,0,0,0,0,0,0,0,5906,0,5442,2612,1258,815,262,37,5,0,10431,0,733,419,219,212,214,167,115,72,2151,0,433,259,158,127,70,26,17,4,1094,0,1883,1319,356,364,282,194,80,13,4491,0,520,1403,1582,2146,1919,1425,1079,421,10495,373,518,501,332,242,174,138,70,11,2359,23313,16468,14278,15199,15723,12868,9041,5638,1447,113975,0,593,6643,10032,10035,8735,6066,2853,377,45334,0,1301,2503,1610,1268,528,200,47,8,7465,0,474,1582,2801,2506,998,556,572,275,9764,21806,0,0,0,0,0,0,0,0,21806,0,6266,0,0,0,0,0,0,0,6266,0,3613,1462,429,331,186,28,0,0,6049,0,577,226,77,222,377,370,448,234,2531,0,417,166,63,60,26,17,7,9,765
UCL111001,0,45,939,1508,1622,1535,999,622,128,7398,0,282,547,318,234,155,56,11,3,1606,0,5,28,104,114,65,22,15,10,363,4240,0,0,0,0,0,0,0,0,4240,0,888,0,0,0,0,0,0,0,888,0,801,260,131,84,34,4,0,0,1314,0,102,62,26,35,21,25,7,4,282,0,73,49,24,24,13,3,0,0,186,0,417,276,67,60,58,31,9,3,921,0,218,412,402,423,455,271,206,59,2446,85,127,95,53,50,55,36,26,3,530,4325,2958,2668,2633,2646,2391,1447,896,210,20174,0,123,1201,1637,1681,1498,901,444,68,7553,0,410,504,326,256,129,39,6,0,1670,0,109,366,551,466,139,68,70,47,1816,4053,0,0,0,0,0,0,0,0,4053,0,950,0,0,0,0,0,0,0,950,0,512,127,33,61,18,7,0,0,758,0,110,45,24,32,52,37,33,28,361,0,75,29,12,7,9,3,0,0,135
UCL111002,0,89,1670,2647,2638,2526,1641,816,171,12198,0,363,873,551,373,169,67,20,3,2419,0,13,61,142,203,70,38,28,12,567,7204,0,0,0,0,0,0,0,0,7204,0,1472,0,0,0,0,0,0,0,1472,0,1560,606,272,173,63,3,0,0,2677,0,196,117,59,43,58,42,20,10,545,0,113,83,41,32,19,7,4,3,302,0,184,179,92,92,81,52,11,3,694,0,126,399,387,443,436,281,199,92,2363,101,140,128,83,55,50,27,8,0,592,7305,4256,4116,4274,4052,3472,2158,1106,294,31033,0,181,2110,2906,2729,2473,1403,586,93,12481,0,586,848,522,356,142,46,12,0,2512,0,179,504,848,618,241,135,119,64,2708,6839,0,0,0,0,0,0,0,0,6839,0,1591,0,0,0,0,0,0,0,1591,0,1017,298,106,59,47,11,4,0,1542,0,110,52,38,75,76,83,91,57,582,0,113,34,12,16,6,6,0,3,190
UCL112001,0,37,605,990,1037,1026,660,376,64,4795,0,230,407,232,166,97,25,3,0,1160,0,3,21,46,69,33,19,12,3,206,3131,0,0,0,0,0,0,0,0,3131,0,598,0,0,0,0,0,0,0,598,0,567,193,89,66,12,0,0,0,927,0,89,34,21,22,22,17,3,5,213,0,70,43,18,15,12,0,0,0,158,0,318,155,59,33,32,20,7,3,627,0,93,207,217,250,240,174,127,38,1346,50,107,63,42,27,27,26,14,3,359,3181,2112,1728,1714,1685,1501,941,542,116,13520,0,68,774,1105,1133,913,559,291,32,4875,0,338,381,225,149,75,15,4,0,1187,0,110,266,357,278,101,48,40,19,1219,2979,0,0,0,0,0,0,0,0,2979,0,617,0,0,0,0,0,0,0,617,0,312,88,34,23,14,3,0,0,474,0,71,24,13,27,38,40,44,33,290,0,53,12,6,6,0,5,0,0,82
UCL112002,0,25,356,887,1044,1123,713,351,74,4573,0,44,208,297,242,206,67,29,4,1097,0,3,6,51,66,51,18,9,8,212,2471,0,0,0,0,0,0,0,0,2471,0,566,0,0,0,0,0,0,0,566,0,433,199,77,50,24,4,0,0,787,0,40,22,15,15,24,12,8,0,136,0,40,18,27,20,7,7,3,7,129,0,52,90,72,72,85,58,16,0,445,0,25,92,213,301,381,243,132,49,1436,34,67,52,57,61,52,20,10,3,356,2505,1295,1043,1696,1871,1953,1142,558,145,12208,0,49,498,985,1129,1093,609,224,37,4624,0,82,256,325,270,199,42,5,3,1182,0,51,154,317,327,130,62,41,34,1116,2433,0,0,0,0,0,0,0,0,2433,0,571,0,0,0,0,0,0,0,571,0,290,89,36,26,24,5,0,0,470,0,27,9,9,24,50,38,39,29,225,0,35,9,6,7,12,3,15,31,118
