region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL101001,299986,42624,57182,934,261,400987,320196,58621,86698,540,372,466427,75889,38704,157967,1760,577,274897,22622,15711,26120,37,310,64800,30836,11024,30124,923,226,73133,2102,2218,4536,19,41,8916,4620,1920,2828,427,104,9899,3101,932,2359,65,24,6481,139170,70509,223934,3231,1282,438126,3837,2032,3792,40,86,9787,16892,4669,10652,184,81,32478,780081,178455,382258,4929,2082,1347805
UCL102001,2744,362,237,14,6,3363,4006,746,511,0,5,5268,647,606,1116,7,0,2376,482,89,111,0,0,682,374,219,244,8,0,845,26,37,22,0,0,85,360,21,35,14,0,430,28,19,15,5,0,67,1917,991,1543,34,0,4485,45,17,16,3,0,81,171,41,72,14,0,298,8883,2157,2379,65,11,13495
UCL102002,31624,4401,1940,581,16,38562,35243,2153,868,54,28,38346,12061,3457,3057,115,49,18739,1477,1257,999,3,4,3740,4575,742,542,77,16,5952,195,211,248,0,0,654,509,91,71,323,4,998,365,103,80,20,4,572,19182,5861,4997,538,77,30655,426,694,329,15,5,1469,2005,618,425,66,0,3114,88480,13727,8559,1254,126,112146
UCL102003,5801,1792,978,646,9,9226,4526,897,474,28,3,5928,1322,1062,1191,9,4,3588,182,346,226,0,0,754,713,531,420,20,7,1691,49,42,49,0,0,140,88,60,60,150,4,362,56,34,35,18,0,143,2410,2075,1981,197,15,6678,64,123,54,7,0,248,327,197,157,47,5,733,13128,5084,3644,925,32,22813
UCL102004,36153,2980,1617,269,19,41038,36646,1738,1248,52,19,39703,10202,3005,4051,121,31,17410,2705,1789,2338,0,3,6835,5032,1017,1158,59,24,7290,215,290,250,4,0,759,519,172,91,112,0,894,357,68,89,6,6,526,19030,6341,7977,302,64,33714,390,258,202,11,0,861,2054,413,526,48,8,3049,94273,11730,11570,682,110,118365
UCL103001,27007,2432,1828,633,11,31911,25216,2156,1685,38,8,29103,5456,2624,4885,123,18,13106,3548,1895,1996,0,3,7442,2853,715,1175,71,7,4821,149,134,146,0,3,432,296,69,149,113,0,627,243,51,119,8,0,421,12545,5488,8470,315,31,26849,319,148,228,19,0,714,1545,344,450,70,0,2409,66632,10568,12661,1075,50,90986
UCL111001,4554,228,335,42,0,5159,5576,161,339,3,0,6079,1697,430,1626,11,6,3770,583,12,229,0,0,824,662,98,269,7,3,1039,43,41,58,0,0,142,97,14,27,23,4,165,62,0,19,0,0,81,3144,595,2228,41,13,6021,107,21,3,0,0,131,347,45,140,5,0,537,13728,1050,3045,91,13,17927
UCL111002,7060,296,132,21,0,7509,9135,220,96,18,0,9469,2487,560,555,34,0,3636,1039,203,214,0,0,1456,846,104,79,14,0,1043,34,29,40,0,0,103,225,16,13,39,3,296,71,7,7,4,0,89,4702,919,908,91,3,6623,75,24,36,0,0,135,375,55,64,10,0,504,21347,1514,1236,140,3,24240
UCL112001,3015,178,118,17,3,3331,3551,133,83,3,0,3770,1370,429,469,3,6,2277,376,71,93,5,0,545,492,94,69,3,8,666,37,31,5,0,0,73,49,7,7,0,0,63,37,7,3,4,0,51,2361,639,646,15,14,3675,35,7,3,0,0,45,223,43,38,3,0,307,9185,1000,888,38,17,11128
UCL112002,3722,203,63,4,3,3995,4021,104,25,3,0,4153,1310,157,151,6,3,1627,84,93,47,0,0,224,480,41,45,5,3,574,51,31,34,0,0,116,30,3,5,0,3,41,50,10,8,0,0,68,2005,335,290,11,9,2650,46,16,25,0,0,87,205,14,14,4,0,237,9999,672,417,22,12,11122
