region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL101001,52082,38062,23823,9246,2695,613,190687,994,11651,13849,11789,9098,2936,864,191,51372,47214,183273,139722,96129,60707,24741,10143,3077,565006,26427,66246,69805,55940,38328,19027,8743,2887,287403,3889,7590,10891,11725,9880,5289,2346,939,52549,38989,77293,77306,70983,50033,29054,15087,4783,363528,5882,7490,6957,6078,3893,1534,549,185,32568,48760,92373,95154,88786,63806,35877,17982,5907,448645,4428,10060,11378,13173,11792,7666,4704,1991,65192,46989,51606,42771,39414,34911,29349,26908,17365,289313,178719,475468,424761,343293,242465,128842,72039,32031,1897618
UCL102001,450,338,179,41,9,0,1330,8,146,199,156,98,24,0,0,631,205,1154,967,635,363,151,42,14,3531,175,552,712,582,297,102,39,11,2470,43,66,121,108,83,26,12,7,466,553,1079,1056,954,598,244,105,31,4620,85,94,79,49,23,11,6,3,350,681,1239,1256,1111,704,281,123,41,5436,30,42,66,91,60,32,14,6,341,398,421,377,423,334,282,215,120,2570,1503,3861,4027,3336,2035,913,442,192,16309
UCL102002,965,1041,883,439,161,27,4090,28,345,580,709,684,250,93,14,2703,1069,4668,4918,3980,3258,1617,771,229,20510,1001,2853,4481,4043,3185,1872,981,237,18653,441,604,894,1063,1052,676,267,80,5077,4458,8431,9181,9584,6838,4489,2522,798,46301,844,747,693,606,468,166,82,23,3629,5743,9782,10768,11253,8358,5331,2871,901,55007,212,345,525,737,722,505,324,157,3527,3134,2050,2769,3340,3436,3972,4419,2719,25839,11211,20593,25006,25103,20526,13986,9620,4284,130329
UCL102003,133,149,141,56,34,4,608,10,57,111,126,113,35,20,4,476,162,768,885,689,571,328,140,49,3592,164,452,724,748,616,388,226,52,3370,57,113,120,163,163,105,63,16,800,607,1240,1572,1714,1385,1024,696,225,8463,147,126,82,102,93,38,15,3,606,811,1479,1774,1979,1641,1167,774,244,9869,33,68,91,165,153,119,99,29,757,466,365,461,573,713,916,1267,666,5427,1651,3275,4179,4429,3948,3009,2560,1048,24099
UCL102004,1822,1693,1351,589,191,42,7216,34,541,841,922,881,288,76,12,3595,2248,9147,7247,5269,4162,1828,673,180,30754,1316,3443,4415,4333,3471,1717,815,214,19724,360,513,792,955,1047,595,294,72,4628,5010,8987,8929,9453,7154,4318,2403,702,46956,826,765,612,572,392,167,50,16,3400,6196,10265,10333,10980,8593,5080,2747,790,54984,205,331,401,663,691,463,246,101,3101,2905,2259,2529,3052,3032,3295,3522,2016,22610,12977,27441,27588,26912,22181,13260,8270,3355,141984
UCL103001,1528,1440,1111,406,94,23,6343,74,561,571,663,584,149,41,6,2649,1956,5662,4834,3516,2463,1048,382,117,19978,1330,2772,3751,3260,2394,1057,454,132,15150,327,501,779,869,706,388,158,51,3779,3859,7347,7519,7643,5276,3066,1691,463,36864,635,654,516,482,296,138,48,9,2778,4821,8502,8814,8994,6278,3592,1897,523,43421,194,279,419,583,529,377,179,61,2621,2668,1869,2056,2447,2542,2555,2796,1114,18047,11201,21228,21973,20903,15901,9184,5843,1976,108209
UCL111001,165,175,114,40,10,5,712,11,101,162,174,144,44,8,0,644,262,1118,918,681,529,200,76,20,3804,188,508,528,568,463,223,97,17,2592,57,88,111,122,109,48,22,10,567,972,1486,1360,1309,945,486,282,45,6885,203,162,106,99,88,14,7,3,682,1232,1736,1577,1530,1142,548,311,58,8134,36,50,68,102,98,73,26,13,466,497,367,441,476,483,517,558,376,3715,2234,4075,3859,3706,2973,1645,1086,489,20067
UCL111002,191,209,140,51,14,6,746,4,71,157,167,117,35,13,0,564,246,1201,1113,720,583,236,77,19,4195,203,742,1017,785,614,249,90,22,3722,77,133,181,222,197,92,39,17,958,1292,2592,2430,2161,1425,761,304,70,11035,214,225,181,142,91,29,8,3,893,1583,2950,2792,2525,1713,882,351,90,12886,22,71,98,148,116,75,36,20,586,709,508,586,656,677,638,586,261,4621,2767,5678,5954,5210,3960,2166,1167,418,27320
UCL112001,128,155,121,58,22,3,552,3,52,80,95,85,25,7,0,347,191,685,596,446,348,156,67,20,2509,106,232,334,379,279,173,87,27,1617,55,59,86,105,107,43,24,12,491,623,1098,963,803,558,281,151,42,4519,129,97,84,73,48,10,0,3,444,807,1254,1133,981,713,334,175,57,5454,26,28,63,86,71,52,32,14,372,564,450,402,313,309,303,332,157,2830,1703,2760,2736,2455,1926,1101,722,278,13681
UCL112002,243,274,361,158,53,11,1188,0,30,127,189,196,62,15,4,623,94,489,850,835,784,369,140,36,3597,91,230,496,551,554,305,138,38,2403,33,40,77,106,131,84,42,7,520,336,603,718,801,639,361,153,43,3654,47,57,59,56,53,23,3,3,301,416,700,854,963,823,468,198,53,4475,25,44,57,105,150,123,64,31,599,323,193,290,420,391,307,289,157,2370,952,1771,2917,3337,3259,1792,897,330,15255
UCL112003,13,23,11,6,0,0,67,0,14,17,21,21,3,0,0,76,43,191,138,110,112,49,26,9,678,52,142,167,144,130,74,29,6,744,21,44,55,35,45,26,12,6,244,380,702,662,632,446,227,111,23,3183,58,72,49,46,19,9,3,0,256,459,818,766,713,510,262,126,29,3683,17,24,23,40,33,26,15,4,182,347,360,369,309,334,273,269,131,2392,918,1563,1493,1360,1151,693,465,179,7822
UCL112004,131,126,136,63,29,8,571,4,55,94,100,106,37,10,3,409,178,787,840,686,640,296,131,31,3589,118,377,596,650,587,310,131,25,2794,76,84,117,149,181,73,41,20,741,644,1178,1257,1484,1171,688,339,110,6871,168,131,109,132,81,29,9,0,659,888,1393,1483,1765,1433,790,389,130,8271,24,40,70,117,135,105,50,23,564,475,317,401,481,535,578,683,554,4024,1687,3047,3615,3925,3572,2179,1423,774,20222
