region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL101001,242465,128843,72038,32032,1897619
UCL102001,2034,912,443,193,16309
UCL102002,20528,13985,9620,4281,130325
UCL102003,3948,3009,2560,1047,24098
UCL102004,22183,13260,8268,3355,141985
UCL103001,15902,9183,5842,1975,108209
UCL111001,2976,1646,1085,489,20069
UCL111002,3960,2166,1167,418,27320
UCL112001,1928,1100,721,278,13682
UCL112002,3257,1791,897,330,15255
UCL112003,1152,693,465,176,7820
UCL112004,3574,2178,1424,773,20222
UCL112005,1769,1011,557,210,12927
UCL112006,1436,881,580,230,8988
UCL112007,1883,974,594,218,11445
UCL112008,120,65,31,9,834
UCL112009,1799,1229,812,304,11775
UCL112010,2081,1181,732,262,14617
UCL112011,3111,2551,1864,757,19192
UCL112012,2183,1436,940,381,14853
UCL112013,2874,1497,955,407,19947
UCL113001,1387,830,485,227,9115
UCL113002,1349,919,769,400,7253
UCL113003,938,850,514,214,4821
UCL113004,1915,1611,991,358,9854
UCL113005,1178,697,616,281,7123
UCL113006,248,251,157,43,1640
UCL113007,1554,1480,1155,513,8446
UCL113008,993,658,487,196,6355
UCL113009,867,475,290,136,6632
UCL113010,587,397,261,104,3841
UCL113011,1360,823,508,157,6712
UCL113012,752,387,264,79,4546
UCL113013,715,498,307,113,4310
UCL113014,1278,1108,828,370,7957
UCL113015,535,262,141,44,4200
UCL113016,1009,906,405,113,5371
UCL113017,508,330,248,83,3713
UCL113018,717,392,242,127,4765
UCL113019,636,297,183,48,5579
UCL113020,1087,864,686,349,6818
UCL113021,964,905,616,173,5308
UCL114001,591,641,541,249,3218
UCL114002,483,357,307,168,3195
UCL114003,453,300,212,98,2847
UCL114004,388,296,203,71,2158
UCL114005,343,274,218,104,2133
UCL114006,552,384,288,90,3025
UCL114007,429,280,189,82,2505
UCL114008,386,309,189,48,2485
UCL114009,334,227,172,46,1893
UCL114010,427,305,233,117,2924
UCL114011,328,147,60,25,2662
UCL114012,474,409,273,157,3429
UCL114013,348,230,138,46,2429
UCL114014,558,221,105,35,2926
UCL114015,490,304,70,7,3590
UCL114016,677,600,339,164,3331
UCL114017,374,268,141,40,3038
UCL114018,568,411,225,33,3123
UCL114019,524,396,267,124,4085
UCL114020,562,336,249,163,3389
UCL114021,477,469,317,146,2579
UCL114022,304,200,116,50,2144
UCL114023,350,247,150,50,2461
UCL114024,443,445,289,109,2484
UCL114025,278,182,134,69,2084
UCL114026,648,567,370,106,3673
UCL114027,364,309,140,26,2124
UCL114028,343,246,150,63,2340
UCL114029,363,257,225,124,2413
UCL114030,559,476,303,87,2647
UCL114031,170,158,61,20,806
UCL114032,339,230,180,110,2397
UCL114033,357,270,183,85,2477
UCL115001,89,26,27,4,605
UCL115002,410,284,238,132,2283
UCL115003,183,115,41,6,1238
UCL115004,79,34,9,0,596
UCL115005,158,117,58,18,715
UCL115006,54,32,26,13,385
UCL115007,129,51,25,22,735
UCL115008,169,113,57,14,1261
UCL115009,87,52,65,31,433
UCL115010,105,75,47,7,585
UCL115011,83,64,57,13,394
UCL115012,109,81,27,10,560
UCL115013,66,46,40,6,346
UCL115014,239,168,122,67,1500
UCL115015,245,145,69,51,1368
UCL115016,177,137,61,23,679
