region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,93937,86897,180834,48643,57435,106078,3871,2538,6409,593,542,1135,3702,2063,5765,562661,410289,972950,32948,50112,83060,17234,293,17527,10275,1439,11714,12129,2978,15107,5867,2558,8425,39416,40599,80015,831276,657743,1489019,20874,21469,42343,657,524,1181,331,243,574,13105,10300,23405,3273,5755,9028,1712,734,2446,39952,39025,78977,728,757,1485,69,92,161,2074,2173,4247,967,2172,3139,804,688,1492,4642,5882,10524,5849,3030,8879,50443,47937,98380,5223,4959,10182,467,437,904,448,165,613,6138,5561,11699,29990,39268,69258,58303,96105,154408,14814,12215,27029,990964,858829,1849793
UCL102001,8,4,12,119,165,284,4,0,4,0,0,0,25,26,51,7736,6511,14247,595,833,1428,201,4,205,175,20,195,137,13,150,67,29,96,231,248,479,9298,7853,17151,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,9,18,27,16,20,36,3,5,8,28,43,71,80,53,133,114,96,210,0,0,0,3,3,6,9,6,15,12,9,21,134,260,394,723,1123,1846,128,113,241,10409,9454,19863
UCL102002,2859,1970,4829,592,822,1414,24,6,30,13,3,16,52,60,112,41900,36062,77962,3413,3344,6757,1596,34,1630,508,40,548,298,69,367,347,159,506,1069,1152,2221,52671,43721,96392,711,476,1187,9,9,18,12,5,17,1344,812,2156,227,270,497,151,25,176,2454,1597,4051,5,0,5,0,0,0,19,12,31,57,106,163,15,11,26,96,129,225,561,214,775,3111,1940,5051,419,275,694,23,19,42,30,10,40,472,304,776,2125,3161,5286,5673,9304,14977,1099,963,2062,65151,59393,124544
UCL102003,22,8,30,120,137,257,7,3,10,4,3,7,7,9,16,7308,6775,14083,540,656,1196,245,8,253,111,5,116,141,50,191,95,39,134,296,309,605,8896,8002,16898,3,6,9,0,0,0,0,0,0,25,12,37,4,0,4,4,0,4,36,18,54,0,0,0,0,0,0,3,6,9,4,17,21,7,0,7,14,23,37,85,40,125,135,81,216,8,7,15,3,5,8,8,0,8,19,12,31,371,588,959,966,1512,2478,209,181,390,10596,10376,20972
UCL102004,464,331,795,1051,1377,2428,55,42,97,5,3,8,120,109,229,52653,43884,96537,3768,4029,7797,1292,33,1325,978,110,1088,1312,308,1620,353,142,495,1876,1906,3782,63927,52274,116201,87,54,141,9,3,12,0,0,0,123,98,221,45,44,89,49,18,67,313,217,530,11,28,39,0,0,0,39,115,154,80,116,196,27,32,59,157,291,448,522,279,801,992,787,1779,52,51,103,24,37,61,29,16,45,105,104,209,1668,2528,4196,6597,10726,17323,1035,930,1965,74324,67349,141673
UCL103001,1468,915,2383,709,914,1623,9,5,14,8,3,11,88,66,154,38960,30900,69860,2807,3213,6020,981,15,996,547,59,606,593,131,724,293,111,404,1406,1530,2936,47869,37862,85731,110,119,229,0,0,0,8,6,14,509,292,801,95,87,182,60,13,73,782,517,1299,0,0,0,0,0,0,50,53,103,40,72,112,20,14,34,110,139,249,391,190,581,1283,846,2129,94,68,162,11,16,27,25,10,35,130,94,224,1065,1664,2729,5073,7500,12573,880,765,1645,56300,48731,105031
UCL111001,3,6,9,50,69,119,3,0,3,3,4,7,26,30,56,8020,7011,15031,585,671,1256,149,4,153,129,12,141,210,65,275,62,21,83,376,400,776,9616,8293,17909,3,3,6,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,9,3,12,0,0,0,3,0,3,0,0,0,7,10,17,0,0,0,10,10,20,62,34,96,81,47,128,3,0,3,3,4,7,3,3,6,9,7,16,217,376,593,864,1443,2307,162,166,328,10949,10332,21281
UCL111002,222,234,456,50,85,135,3,0,3,0,0,0,15,19,34,12081,9417,21498,1005,828,1833,339,10,349,157,12,169,89,9,98,62,26,88,262,275,537,14285,10915,25200,20,17,37,0,0,0,0,0,0,47,46,93,24,15,39,19,3,22,110,81,191,0,0,0,0,0,0,3,0,3,4,6,10,3,0,3,10,6,16,175,61,236,295,148,443,23,12,35,0,3,3,0,0,0,23,15,38,268,527,795,1508,2207,3715,240,153,393,16619,13965,30584
UCL112001,3,7,10,29,36,65,3,3,6,0,0,0,32,19,51,5098,4418,9516,471,494,965,150,3,153,67,3,70,83,14,97,37,22,59,420,307,727,6393,5326,11719,4,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,7,0,7,0,3,3,0,0,0,7,3,10,56,28,84,67,34,101,0,0,0,3,0,3,4,0,4,7,0,7,136,230,366,641,991,1632,112,100,212,7356,6681,14037
UCL112002,527,384,911,20,33,53,0,0,0,3,3,6,21,24,45,3535,3173,6708,228,343,571,148,3,151,59,6,65,27,14,41,40,28,68,257,234,491,4865,4245,9110,41,37,78,0,0,0,0,0,0,88,49,137,31,39,70,24,12,36,184,137,321,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,3,6,9,30,26,56,217,169,386,24,34,58,0,0,0,0,0,0,24,34,58,478,497,975,661,1019,1680,57,82,139,6302,6046,12348
