LGA_CODE_2016,C11_85o_No_need_assist_M,C11_85o_No_need_assist_F,C11_85o_Need_assist_ns_M,C11_85o_Need_assist_ns_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_Total_Need_assist_M,C11_Total_Need_assist_F,C11_Total_No_need_assist_M,C11_Total_No_need_assist_F,C11_Total_Need_assist_ns_M,C11_Total_Need_assist_ns_F,C11_Total_T_M,C11_Total_T_F,C11_Total_T_P,C16_0_4_Need_assist_M,C16_0_4_Need_assist_F,C16_0_4_No_need_assist_M,C16_0_4_No_need_assist_F,C16_0_4_Need_assist_ns_M,C16_0_4_Need_assist_ns_F,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_14_Need_assist_M,C16_5_14_Need_assist_F,C16_5_14_No_need_assist_M,C16_5_14_No_need_assist_F,C16_5_14_Need_assist_ns_M,C16_5_14_Need_assist_ns_F,C16_5_14_T_M,C16_5_14_T_F,C16_5_14_T_P,C16_15_19_Need_assist_M,C16_15_19_Need_assist_F,C16_15_19_No_need_assist_M,C16_15_19_No_need_assist_F,C16_15_19_Need_assist_ns_M,C16_15_19_Need_assist_ns_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Need_assist_M,C16_20_24_Need_assist_F,C16_20_24_No_need_assist_M,C16_20_24_No_need_assist_F,C16_20_24_Need_assist_ns_M,C16_20_24_Need_assist_ns_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_34_Need_assist_M,C16_25_34_Need_assist_F,C16_25_34_No_need_assist_M,C16_25_34_No_need_assist_F,C16_25_34_Need_assist_ns_M,C16_25_34_Need_assist_ns_F,C16_25_34_T_M,C16_25_34_T_F,C16_25_34_T_P,C16_35_44_Need_assist_M,C16_35_44_Need_assist_F,C16_35_44_No_need_assist_M,C16_35_44_No_need_assist_F,C16_35_44_Need_assist_ns_M,C16_35_44_Need_assist_ns_F,C16_35_44_T_M,C16_35_44_T_F,C16_35_44_T_P,C16_45_54_Need_assist_M,C16_45_54_Need_assist_F,C16_45_54_No_need_assist_M,C16_45_54_No_need_assist_F,C16_45_54_Need_assist_ns_M,C16_45_54_Need_assist_ns_F,C16_45_54_T_M,C16_45_54_T_F,C16_45_54_T_P,C16_55_64_Need_assist_M,C16_55_64_Need_assist_F,C16_55_64_No_need_assist_M,C16_55_64_No_need_assist_F,C16_55_64_Need_assist_ns_M,C16_55_64_Need_assist_ns_F,C16_55_64_T_M,C16_55_64_T_F,C16_55_64_T_P,C16_65_74_Need_assist_M,C16_65_74_Need_assist_F,C16_65_74_No_need_assist_M,C16_65_74_No_need_assist_F,C16_65_74_Need_assist_ns_M,C16_65_74_Need_assist_ns_F,C16_65_74_T_M,C16_65_74_T_F,C16_65_74_T_P,C16_75_84_Need_assist_M,C16_75_84_Need_assist_F,C16_75_84_No_need_assist_M,C16_75_84_No_need_assist_F,C16_75_84_Need_assist_ns_M,C16_75_84_Need_assist_ns_F,C16_75_84_T_M,C16_75_84_T_F,C16_75_84_T_P,C16_85o_Need_assist_M,C16_85o_Need_assist_F,C16_85o_No_need_assist_M,C16_85o_No_need_assist_F,C16_85o_Need_assist_ns_M,C16_85o_Need_assist_ns_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_Total_Need_assist_M,C16_Total_Need_assist_F,C16_Total_No_need_assist_M,C16_Total_No_need_assist_F,C16_Total_Need_assist_ns_M,C16_Total_Need_assist_ns_F,C16_Total_T_M,C16_Total_T_F,C16_Total_T_P
LGA10050,160,295,23,46,323,743,1065,1062,1322,20744,22264,1264,1156,23073,24740,47808,22,21,1576,1442,96,128,1689,1594,3286,160,97,2837,2838,211,185,3208,3117,6328,49,40,1446,1504,117,93,1611,1635,3248,62,37,1478,1627,159,140,1695,1810,3508,91,72,2836,2961,268,263,3194,3299,6498,99,102,2647,2907,222,221,2972,3228,6205,135,153,2770,2964,265,218,3169,3329,6497,168,167,2644,2915,237,242,3045,3327,6372,205,200,1934,2188,190,186,2328,2573,4907,217,302,918,1162,115,193,1251,1659,2913,179,423,251,329,57,85,490,841,1329,1394,1618,21341,22833,1925,1957,24662,26411,51076
LGA10130,91,147,10,21,194,365,561,602,709,12318,13185,804,890,13719,14777,28503,18,5,770,751,56,69,844,825,1669,80,37,1639,1677,119,114,1833,1833,3667,37,18,1121,1173,100,110,1254,1302,2560,24,23,1212,1261,128,141,1369,1422,2793,35,32,1515,1588,143,140,1700,1761,3464,42,44,1306,1465,114,126,1465,1635,3100,75,62,1550,1660,143,165,1772,1889,3657,80,97,1480,1596,153,141,1713,1840,3552,111,103,1132,1188,108,105,1344,1400,2747,118,179,525,634,63,82,705,893,1595,78,216,121,174,16,37,220,426,649,702,821,12381,13169,1151,1233,14227,15220,29449
LGA10250,278,399,47,86,519,876,1401,1059,1216,16921,18382,863,834,18843,20433,39272,14,16,996,912,53,74,1074,997,2072,135,50,2280,2091,142,151,2565,2294,4856,50,25,1121,1044,78,64,1245,1133,2384,40,27,682,706,57,55,780,788,1571,54,43,1546,1686,134,120,1732,1853,3581,54,54,1985,2223,169,176,2207,2456,4669,82,115,2405,2734,216,213,2701,3060,5759,127,158,2652,2977,257,263,3036,3398,6434,194,148,2299,2441,206,212,2699,2805,5503,197,244,1101,1338,136,185,1437,1773,3203,214,481,340,428,101,196,655,1104,1755,1157,1357,17416,18589,1557,1713,20127,21658,41790
LGA10300,4,14,0,3,10,28,34,60,53,1005,977,120,80,1175,1109,2282,0,0,73,60,3,5,80,71,143,3,3,154,141,10,22,172,162,336,4,0,63,50,7,8,74,56,135,0,0,70,47,6,9,81,56,132,0,3,87,116,14,15,99,136,233,7,5,121,112,17,13,147,130,276,4,4,131,125,19,8,156,132,290,9,5,167,155,21,25,194,186,377,7,3,91,73,15,4,119,86,202,7,17,34,49,8,8,59,76,131,6,6,10,10,0,4,12,22,35,45,49,997,945,126,120,1177,1115,2287
LGA10470,108,187,11,34,186,457,647,793,899,16849,17304,1683,994,19328,19193,38517,22,9,1220,1136,93,72,1339,1209,2546,138,59,2611,2487,132,147,2883,2691,5571,74,38,1312,1287,131,134,1515,1460,2980,31,38,1261,1348,312,155,1604,1544,3148,64,42,2210,2207,499,156,2765,2399,5171,76,68,2002,2210,368,157,2450,2430,4878,97,102,2185,2377,294,195,2572,2665,5238,150,116,2105,2204,221,201,2477,2517,4991,142,136,1583,1644,191,167,1917,1951,3862,112,205,680,785,88,141,882,1137,2019,90,244,163,238,43,115,293,600,892,1002,1054,17329,17907,2373,1640,20695,20605,41300
LGA10550,173,197,24,63,309,498,803,889,924,14007,14577,782,766,15684,16266,31950,19,4,684,649,52,57,757,718,1468,63,38,1741,1668,145,135,1944,1844,3789,35,20,816,803,60,57,915,879,1792,27,11,532,514,54,47,622,569,1189,41,34,1044,1143,105,113,1194,1287,2482,46,52,1289,1471,118,134,1459,1660,3120,96,104,1900,2135,205,211,2201,2450,4648,184,157,2569,2760,240,246,2988,3174,6154,178,139,2196,2175,192,189,2561,2504,5060,164,201,963,978,117,118,1243,1298,2546,116,280,230,262,33,78,373,621,999,959,1039,13968,14565,1326,1392,16252,17001,33253
LGA10600,66,74,8,19,127,189,318,326,340,5504,5892,245,214,6076,6446,12515,0,0,287,281,19,20,303,304,605,32,15,691,722,65,67,791,801,1594,6,3,349,310,28,20,387,335,719,10,3,175,176,13,15,201,188,396,11,9,404,436,47,37,465,488,953,12,16,561,628,51,55,627,696,1324,29,46,721,881,74,77,825,1002,1824,62,62,945,1027,74,71,1081,1161,2240,68,58,745,734,54,69,864,857,1718,61,75,346,360,37,44,443,477,924,52,125,78,91,3,15,135,233,368,343,404,5311,5645,468,493,6123,6548,12668
LGA10650,54,67,9,7,97,161,255,243,260,3561,3608,199,195,4000,4062,8067,8,0,213,196,26,24,249,219,471,25,11,417,426,51,43,495,482,972,10,3,189,172,25,25,223,198,421,4,3,156,128,19,15,185,155,331,6,8,322,329,44,41,373,377,747,13,12,347,386,40,50,399,447,843,17,22,390,419,41,54,447,490,936,46,25,529,575,63,61,645,664,1304,59,46,587,551,65,67,713,662,1370,53,51,286,286,36,28,381,360,739,46,85,75,75,12,23,133,182,313,292,265,3505,3544,429,426,4224,4236,8462
LGA10750,359,536,64,137,849,1926,2771,6245,7580,135131,137005,8171,6968,149549,151555,301097,237,137,12590,12323,852,787,13683,13245,26928,1183,502,23229,22209,1310,1299,25722,24010,49739,400,227,11015,10430,653,572,12066,11229,23289,290,182,10722,10313,761,558,11776,11060,22830,428,373,23106,25132,1747,1453,25280,26964,52249,487,557,23672,23689,1656,1352,25814,25591,51402,794,1019,18706,19071,1355,1128,20854,21208,42063,1110,1422,14312,14864,993,1009,16412,17289,33702,1385,1619,8338,8765,663,767,10388,11152,21536,1076,1736,2957,3198,298,411,4330,5348,9674,632,1494,493,635,126,175,1248,2303,3553,8021,9263,149144,150625,10415,9506,167574,169390,336962
LGA10800,29,46,6,7,47,102,153,123,164,2687,2702,101,75,2921,2948,5862,0,3,154,164,17,17,167,184,351,10,3,382,393,43,44,435,441,876,3,4,146,150,19,20,167,169,333,4,3,132,103,11,22,143,121,267,4,3,248,251,45,40,297,292,588,10,6,286,293,38,39,341,340,680,15,17,307,287,36,45,358,355,709,31,21,366,341,60,49,452,405,866,27,18,263,243,43,44,331,300,626,27,24,143,178,33,42,204,242,442,12,33,42,59,21,43,76,135,211,142,137,2471,2462,352,388,2971,2988,5955
