LGA_CODE_2016,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85o,C11_M_Healt_To,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85o,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85o,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85o,C11_M_Society_cultur_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creat_art_85andOve,C11_M_Creative_arts_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85o,C11_M_Foo_hos_pers_S_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85_ov,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85o,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85o,C11_M_FldStu_NS_T,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85o,C11_M_T_T,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85_ov,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85_ov,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85_ov,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85o,C16_M_Arch_building_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85o,C16_M_AgEnv_RS_Tot,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85o,C16_M_Healt_To,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85o,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85o,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85o,C16_M_Society_cultur_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Create_art_85andOv,C16_M_Creative_arts_Tot
LGA10050,0,23,102,96,114,76,40,16,3,469,0,14,58,81,102,135,52,20,4,477,14,97,320,319,280,221,113,41,3,1398,10,49,92,138,76,99,34,8,7,516,3,15,51,28,28,25,8,3,0,161,4,43,108,99,66,37,19,10,3,400,0,0,0,0,0,0,0,0,0,9,0,3,21,18,19,24,6,7,0,102,177,124,220,247,251,222,223,221,101,1783,272,838,2001,2005,2010,1698,976,583,169,10558,0,9,39,57,37,46,25,11,0,226,0,32,76,92,47,23,15,0,0,289,28,183,646,525,601,576,415,200,54,3228,25,147,329,241,227,247,137,90,31,1475,0,30,74,97,88,85,73,41,7,501,3,8,122,115,110,100,57,19,10,547,0,13,82,89,109,142,87,34,8,560,12,85,307,335,310,277,177,61,20,1586,7,54,154,147,133,107,70,22,7,697,7,28,63,39,37,31,23,6,0,239
LGA10130,0,3,33,36,65,43,28,13,6,231,0,9,48,52,61,104,45,11,8,334,9,54,121,127,135,116,73,18,3,668,8,38,107,127,149,163,70,28,16,696,5,22,33,28,30,28,9,7,0,165,10,29,47,36,36,25,7,10,0,204,0,3,3,0,3,3,0,0,0,10,3,9,10,20,22,10,4,3,3,87,122,95,155,158,141,140,112,80,40,1035,200,458,1019,1042,1254,1114,634,300,115,6135,3,20,77,64,61,77,67,27,11,407,9,15,64,40,29,12,5,0,3,180,10,70,191,158,201,219,158,74,27,1115,16,36,102,100,120,107,79,38,4,595,20,54,123,123,148,90,70,37,8,673,4,14,90,54,57,60,22,15,10,319,0,6,49,47,72,98,57,17,11,345,11,53,135,120,148,131,83,46,5,733,18,55,132,131,152,149,116,30,8,796,0,15,32,28,34,26,9,3,5,155
LGA10250,0,8,56,121,135,117,52,34,14,527,0,18,55,88,139,220,107,48,11,677,6,25,139,198,205,237,129,67,23,1032,9,16,67,110,116,140,69,36,6,567,3,17,32,50,46,39,15,3,3,213,3,28,89,98,82,44,44,12,3,409,0,0,3,0,0,0,0,3,0,11,0,5,8,13,21,17,13,7,4,92,102,73,115,148,194,175,159,207,90,1257,158,357,1089,1563,1877,1907,1172,711,286,9125,0,3,24,39,54,52,48,16,3,246,0,11,34,34,28,30,14,0,0,155,13,85,275,358,430,541,493,245,96,2533,5,60,203,237,289,261,198,101,34,1379,3,24,80,118,110,85,71,24,6,521,3,6,75,122,135,154,78,39,18,628,0,6,54,87,123,198,176,64,25,734,3,23,146,221,214,251,240,94,30,1223,3,25,71,123,157,164,113,48,10,712,4,17,37,44,39,43,32,3,4,232
LGA10300,0,0,0,0,0,5,0,0,0,6,0,0,0,0,4,3,0,0,0,12,0,0,7,3,4,3,0,0,0,16,0,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,7,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,9,16,27,25,21,8,4,117,13,30,56,64,76,60,40,14,6,360,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,10,15,8,17,17,13,3,0,84,0,0,8,10,3,3,0,3,0,30,3,3,7,11,9,15,5,0,4,58,0,0,3,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,17,0,0,0,4,3,3,0,0,0,11,0,0,0,3,4,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0
LGA10470,3,31,46,53,73,51,15,8,4,288,0,16,50,87,90,92,54,23,0,418,13,65,151,168,165,163,88,29,8,859,4,22,87,124,104,87,48,22,3,502,4,33,32,35,23,34,15,3,0,185,12,49,91,87,48,35,29,13,0,359,3,0,0,0,0,0,0,0,0,8,4,3,7,17,27,11,9,10,0,90,186,241,402,349,260,205,183,143,41,2007,271,799,1649,1759,1721,1448,860,428,109,9036,0,3,26,29,33,36,38,9,0,173,0,20,82,60,37,34,12,0,0,246,18,147,502,485,530,558,373,149,42,2799,12,86,246,190,210,194,121,53,14,1123,3,21,62,92,82,69,63,44,9,451,3,37,84,64,73,74,36,9,3,381,0,12,74,76,82,127,68,24,7,465,6,72,203,220,220,160,118,44,11,1062,12,47,120,104,146,87,92,28,8,649,9,21,46,39,28,25,20,3,4,194
LGA10550,0,9,34,34,64,79,32,21,6,284,0,0,13,40,91,149,74,22,6,401,3,17,36,78,101,149,105,37,8,540,0,13,25,65,92,130,64,25,13,429,3,3,16,17,30,47,37,3,4,160,5,29,85,80,87,53,30,11,4,382,0,0,0,0,0,0,0,0,0,4,0,4,11,22,18,31,19,5,3,104,109,51,90,126,146,224,183,166,65,1166,162,268,687,1066,1482,1802,1162,565,193,7386,0,3,10,24,35,47,74,14,7,212,0,5,23,11,15,39,15,3,3,118,9,79,215,232,423,562,449,257,68,2291,8,61,161,138,220,279,191,81,23,1171,4,19,43,97,99,115,74,23,7,480,0,3,32,58,64,92,40,34,10,320,0,0,21,49,51,152,119,43,6,436,3,15,44,90,120,155,156,35,16,636,0,13,36,68,92,128,115,27,10,497,0,5,17,16,24,53,43,12,0,173
LGA10600,0,0,3,28,32,29,12,7,4,112,0,0,10,25,28,67,40,16,3,187,6,0,17,36,44,62,34,21,3,222,0,4,5,27,54,51,31,3,0,183,0,3,13,18,18,26,9,5,0,90,6,6,31,27,23,19,7,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,11,0,0,0,33,30,26,22,41,55,57,50,46,18,346,70,91,242,441,651,650,383,200,60,2785,0,3,3,15,23,25,22,11,0,93,0,7,5,11,10,9,5,0,0,46,0,25,73,104,144,197,183,77,18,817,8,10,37,61,81,104,64,31,12,403,0,10,27,25,36,45,20,13,3,180,0,3,15,27,31,34,18,4,3,135,0,3,13,26,29,66,44,21,3,196,3,7,14,38,52,52,47,25,3,241,0,0,19,30,47,62,45,12,3,222,0,4,17,23,16,41,21,7,3,129
LGA10650,0,3,5,10,11,5,5,0,0,40,0,3,12,15,11,15,7,3,3,61,6,3,18,19,18,26,10,10,0,118,6,0,14,9,11,16,3,4,0,56,0,0,0,5,3,3,3,0,0,13,0,3,18,19,9,13,7,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,18,46,17,18,31,49,51,66,76,26,386,74,65,202,243,286,304,227,157,47,1605,0,0,3,3,4,5,3,0,0,17,0,3,3,0,0,3,0,0,0,15,5,44,72,91,83,106,87,50,14,552,0,4,26,19,26,45,41,21,4,190,0,9,51,30,21,48,24,8,4,195,0,0,9,7,12,13,9,3,0,56,0,0,9,12,5,10,8,9,0,57,0,4,11,17,20,24,33,12,0,123,0,4,6,15,4,13,6,5,0,54,0,0,3,0,3,3,0,0,0,10
LGA10750,24,176,464,461,385,234,75,21,5,1848,0,58,314,364,367,341,147,53,10,1649,92,826,2927,2723,1951,1225,400,106,12,10265,61,337,857,809,629,419,198,52,15,3375,30,232,442,248,123,115,51,16,4,1259,54,306,656,438,324,203,97,33,4,2109,14,12,19,12,13,6,9,3,0,103,4,60,188,237,211,117,61,16,0,902,1208,948,1858,1795,1618,1319,987,648,189,10567,1760,4765,14770,14849,12078,8360,3985,1705,371,62643,0,133,326,457,408,345,157,45,5,1870,71,481,2080,2699,758,273,65,9,0,6439,99,840,3367,4577,4598,3758,2054,803,170,20267,112,537,1280,1283,1092,742,486,232,64,5825,16,82,237,276,266,206,75,25,5,1185,23,224,773,588,469,347,135,36,20,2614,0,79,389,400,313,361,194,59,19,1816,104,960,4115,4023,2357,1589,802,191,45,14195,52,375,1135,1044,827,639,332,102,22,4523,44,266,621,357,169,121,77,25,4,1687
LGA10800,0,0,3,3,10,3,3,0,0,33,0,3,8,4,9,13,0,0,0,41,0,3,13,12,8,11,3,0,0,55,0,0,3,10,8,6,3,0,0,34,0,0,0,3,5,0,0,0,0,9,0,5,6,8,11,5,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,3,0,18,18,11,27,24,30,30,22,29,8,197,34,63,188,193,199,178,103,65,10,1021,0,0,7,3,4,3,0,0,0,15,0,0,3,0,0,0,0,0,0,7,11,42,76,73,54,58,39,24,3,379,0,0,20,17,12,16,12,5,0,86,3,9,21,29,42,38,26,15,6,187,0,0,10,0,6,6,9,0,0,35,0,0,5,3,7,7,5,0,0,40,0,3,9,24,5,5,3,3,0,53,0,3,6,8,6,6,8,0,0,33,0,0,3,3,0,0,0,3,0,14
