LGA_CODE_2016,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85o,C16_M_Foo_hos_pers_S_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85_ov,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85o,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85o,C16_M_FldStu_NS_T,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85o,C16_M_T_T,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85O,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85O,C06_F_InfTec_T,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_AgEnv_RS_85o,C06_F_AgEnv_RS_T,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_T,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_T,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_T,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Soc_cult_T,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_art_850,C06_F_Creative_arts_T,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_FoodHos_PS_T,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85o,C06_F_MixFld_pr_T,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_T,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T
LGA10050,16,50,137,122,88,57,35,14,9,517,7,6,3,6,3,4,7,3,3,37,0,7,26,31,27,23,9,12,0,139,147,184,291,263,276,283,233,196,95,1970,248,825,2341,2161,2102,2009,1366,702,248,12001,0,8,33,49,38,13,0,0,0,145,3,11,22,33,29,15,0,0,0,116,9,18,36,46,38,25,8,13,0,192,0,6,9,15,10,6,0,0,0,44,7,30,46,31,23,3,5,0,0,146,0,98,279,313,431,227,98,67,22,1538,0,46,171,209,349,175,65,37,12,1059,40,224,486,445,353,173,81,41,18,1862,19,133,242,225,227,121,20,11,4,1006,6,34,67,51,40,23,15,8,3,247,39,131,184,167,93,53,32,13,0,715,0,3,0,0,0,0,0,0,0,3,0,10,23,19,16,14,12,3,3,100,196,99,193,207,235,200,274,343,144,1894,326,840,1801,1813,1877,1048,615,527,214,9059
LGA10130,13,30,59,41,39,35,12,3,0,237,0,9,0,0,0,0,6,3,0,20,0,7,12,14,20,11,8,11,0,81,142,155,160,129,178,171,142,86,46,1217,236,536,1216,1065,1264,1189,842,398,130,6879,0,17,52,54,43,25,5,15,0,213,6,11,13,12,11,5,0,0,0,61,3,5,11,19,12,12,7,6,0,74,0,0,3,4,8,0,0,0,0,19,7,36,48,38,33,12,5,3,0,179,3,36,98,165,214,145,90,47,15,819,0,28,128,193,271,182,77,33,12,929,21,123,196,260,242,133,52,25,5,1064,12,72,159,181,216,143,50,18,5,856,4,25,27,36,31,31,10,8,0,187,23,58,58,50,30,20,9,4,0,250,0,0,0,0,0,0,0,0,0,0,3,6,11,15,15,11,5,4,0,72,85,70,93,118,131,112,140,168,100,1026,179,481,908,1153,1259,834,454,338,142,5749
LGA10250,9,23,87,99,97,44,50,21,5,429,0,3,3,3,0,0,0,4,0,13,3,3,14,15,32,24,23,14,6,127,129,63,154,196,260,302,241,214,150,1707,181,351,1248,1690,1962,2149,1786,898,380,10646,0,3,27,38,26,13,9,3,0,119,3,4,9,21,22,5,6,0,0,62,0,4,12,15,27,22,34,17,11,149,0,0,3,11,10,10,3,3,0,36,3,8,31,33,33,15,3,0,0,131,0,32,145,315,461,250,130,80,33,1449,0,20,128,228,410,235,120,49,20,1213,20,132,259,377,415,252,113,69,10,1647,4,56,172,223,231,120,46,17,6,874,0,16,59,56,46,28,11,9,3,233,19,62,130,126,91,48,15,18,0,515,0,3,0,0,0,0,0,3,0,11,0,3,14,19,18,11,4,3,0,63,122,47,99,162,175,190,230,355,177,1561,177,393,1110,1627,1967,1187,716,627,255,8061
LGA10300,0,3,3,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,8,14,19,22,32,24,10,4,148,22,30,59,62,65,83,47,20,6,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,12,0,3,14,9,9,13,3,4,0,53,0,0,13,10,17,8,0,0,0,48,0,8,14,3,5,0,0,0,0,36,0,0,8,6,11,5,0,0,0,36,0,0,0,0,0,0,0,0,0,3,3,0,9,3,3,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,12,18,22,7,17,19,7,108,13,25,74,63,76,33,25,21,7,331
LGA10470,8,37,99,83,65,53,39,13,0,410,0,6,3,0,0,3,4,0,3,22,0,5,9,14,31,17,11,7,3,101,175,331,529,381,334,261,248,127,60,2448,254,842,2079,1833,1874,1697,1249,514,170,10520,0,0,28,28,18,14,3,3,0,92,0,4,11,32,23,11,3,0,0,79,0,6,22,29,29,12,11,10,3,118,0,0,7,12,7,0,0,0,0,37,0,11,39,45,21,10,7,0,0,133,9,80,183,236,328,170,94,48,17,1160,5,34,169,206,287,194,65,44,15,1016,32,184,354,352,312,186,69,37,7,1541,17,103,172,187,146,107,43,13,5,799,4,33,58,50,26,34,6,10,0,227,32,70,110,86,49,30,13,8,0,393,0,3,0,0,0,0,0,0,0,4,3,4,13,11,9,7,9,5,3,54,126,79,111,150,150,152,188,155,63,1175,233,622,1274,1428,1413,923,509,327,114,6842
LGA10550,6,29,78,75,80,72,45,14,3,412,0,0,0,0,0,3,0,3,3,11,0,3,3,22,21,31,32,10,3,124,130,70,117,142,239,306,265,210,83,1558,162,314,806,1026,1490,2032,1609,764,241,8443,0,3,14,26,25,14,7,0,0,91,0,4,6,12,12,3,0,0,0,46,0,3,9,27,27,16,17,13,3,123,0,0,11,7,3,4,0,0,0,25,3,10,25,38,40,11,7,0,0,132,0,20,94,196,323,219,105,52,15,1027,3,10,48,107,278,204,90,31,11,790,18,70,184,253,281,199,84,53,20,1161,6,35,83,148,172,111,38,10,0,613,0,4,38,52,60,33,18,7,0,216,18,53,97,127,79,55,28,11,3,468,0,0,0,3,0,0,0,0,0,8,0,0,4,12,8,7,0,0,3,44,112,27,73,110,191,166,211,237,82,1213,164,232,688,1122,1521,1054,618,419,140,5962
LGA10600,4,4,34,30,25,20,16,6,0,142,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,11,4,7,0,52,63,25,40,55,85,78,84,61,21,513,78,92,306,443,586,751,566,275,70,3167,0,0,5,10,11,10,0,0,0,42,0,3,3,5,12,3,0,0,0,24,0,0,4,4,3,4,11,4,0,42,0,0,0,3,9,0,3,0,0,16,0,3,11,26,17,7,0,3,0,60,3,6,43,106,143,85,40,27,10,460,0,4,29,84,141,78,32,8,4,381,9,28,59,90,106,73,36,13,0,413,3,10,48,95,104,49,6,8,0,330,0,3,15,40,24,23,10,0,0,127,3,20,29,45,31,14,7,8,0,149,0,0,0,0,0,0,0,0,0,5,4,0,3,13,8,8,3,0,0,38,44,11,25,47,57,56,83,97,61,488,68,89,266,575,666,419,246,165,73,2560
LGA10650,3,10,19,13,13,5,11,4,4,79,0,0,0,0,0,0,3,0,0,9,0,0,3,11,0,6,0,3,0,24,43,29,50,58,50,72,96,62,23,483,56,107,268,275,244,357,322,179,54,1865,0,0,9,0,3,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,8,3,3,9,5,0,30,0,0,0,3,0,0,0,0,0,3,0,3,14,6,10,4,0,0,0,41,0,8,19,38,77,63,35,25,0,258,0,4,26,36,39,39,23,5,9,184,3,24,58,50,40,30,11,7,0,215,5,8,25,25,26,27,7,0,0,118,0,0,5,6,4,0,3,3,0,25,8,17,33,25,19,16,9,4,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,24,6,19,33,33,41,72,69,37,336,41,74,219,243,255,225,154,115,51,1380
LGA10750,64,190,883,588,380,247,126,59,4,2552,18,19,38,33,27,22,29,11,3,202,14,71,255,299,259,187,85,33,11,1203,876,916,2048,1921,1627,1240,956,560,217,10363,1487,5175,17555,18550,13546,10073,5574,2187,594,74747,8,115,437,436,246,83,14,3,0,1340,16,175,525,269,127,33,7,3,0,1163,12,69,288,445,318,164,125,58,13,1490,3,30,82,69,41,9,0,0,0,238,13,37,109,92,46,15,9,4,0,315,28,375,1372,1399,1370,565,185,69,27,5389,10,224,1212,1087,944,594,196,108,37,4411,223,1426,3978,3092,2208,947,210,92,23,12195,91,660,1499,1141,823,363,100,23,4,4703,33,254,439,287,133,52,31,12,7,1240,157,462,889,538,332,175,42,29,9,2631,6,9,17,24,23,11,3,8,0,106,9,42,206,175,101,56,12,8,8,617,1242,795,1718,1931,1681,1438,1242,931,307,11280,1849,4679,12770,10980,8400,4504,2172,1352,429,47125
LGA10800,0,3,0,7,9,9,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,13,22,16,42,46,46,73,43,42,24,364,42,75,205,215,199,232,155,89,37,1258,0,0,3,3,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,6,7,3,0,18,0,0,3,0,0,0,0,0,0,3,0,8,10,5,0,3,0,0,0,29,0,0,17,33,41,26,20,10,3,151,0,3,33,29,39,20,13,6,0,143,4,19,62,52,39,15,10,0,0,210,0,7,25,15,19,10,3,0,0,81,0,0,5,7,0,7,3,0,0,20,3,6,16,15,12,12,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,22,11,15,14,24,28,37,46,3,199,33,58,183,175,179,121,88,69,12,932
