SA2_MAINCODE_2016,C11_F_65_69_Tot_LF,C11_F_65_69_Notin_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Notin_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75ov_Em_FT,C11_F_75ov_Em_PT,C11_F_75ov_Emp_A_fr_wo,C11_F_75ov_Em_Hou_wor_ns,C11_F_75over_Em_Tot,C11_F_75ov_Unem_Lo_ft_wor,C11_F_75ov_Unem_Lo_pt_wor,C11_F_75over_Unem_Tot,C11_F_75ov_Tot_LF,C11_F_75over_N_lab_forc,C11_F_75ov_LF_NS,C11_F_75andOver_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_T_T_labo_for,C11_F_Tot_Notin_LF,C11_F_Tot_LF_NS,C11_F_T_T,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Notin_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Notin_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Notin_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Notin_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Notin_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Notin_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Notin_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Notin_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Notin_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Notin_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot,C16_F_65_69_Tot_LF,C16_F_65_69_Notin_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Notin_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75ov_Em_FT,C16_F_75ov_Em_PT,C16_F_75ov_Emp_Aw_fr_w,C16_F_75ov_Emp_Hou_w_ns,C16_F_75over_Em_Tot,C16_F_75ov_Unem_Lo_ft_wor,C16_F_75ov_Unem_Lo_pt_wor,C16_F_75ov_Unemp_Tot,C16_F_75ov_Tot_lab_for,C16_F_75ov_N_lab_forc,C16_F_75ov_LF_NS,C16_F_75ov_yr_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS
101021007,34,86,4,126,5,5,0,0,15,0,0,0,12,66,3,76,3,4,0,0,8,0,0,0,8,101,8,118,319,356,32,14,724,18,11,29,755,508,88,1350,3,22,0,0,29,0,3,3,30,49,13,90,13,15,0,0,31,3,0,3,34,11,0,49,17,10,3,0,32,3,0,3,32,8,3,50,25,31,4,0,63,0,3,3,65,23,13,100,28,20,11,0,58,0,0,3,57,24,17,97,46,40,6,0,89,3,0,3,92,35,11,135,54,42,0,5,107,0,0,0,105,26,17,147,47,45,3,0,97,0,0,0,99,35,16,152,59,60,5,3,122,0,4,3,125,42,19,184,35,30,0,0,64,0,3,4,67,74,18,155,17,17,0,0,38,0,0,0,39,107,25,171,8,12,0,0,23,0,0,0,25,85,16,125,0,5,0,3,13,0,0,0,13,116,29,163,355,358,36,9
101021008,29,126,10,161,0,3,0,0,11,0,0,0,11,111,9,132,0,3,0,0,0,0,0,0,0,156,16,175,1292,754,111,53,2203,38,31,71,2270,1034,171,3473,29,113,0,0,138,8,21,27,165,94,14,280,121,73,7,9,199,5,5,9,211,48,13,270,133,52,5,6,193,3,8,11,205,55,17,278,107,71,16,0,208,4,8,9,219,47,15,276,110,72,13,4,207,6,8,14,224,42,16,279,146,69,8,3,225,3,4,4,233,30,14,279,167,82,11,3,260,3,5,13,273,41,21,332,143,65,8,5,219,3,3,6,226,61,11,293,108,79,7,3,198,4,3,10,203,75,15,292,62,50,13,0,122,0,0,0,124,106,12,242,13,15,3,0,31,0,0,0,31,146,11,193,3,10,0,0,12,0,0,0,12,131,8,152,0,3,0,0,3,0,0,0,3,192,28,227,1153,744,86,42
101021009,24,159,20,200,8,3,0,0,13,0,0,0,13,145,13,172,0,3,0,0,6,0,0,0,4,444,84,531,1567,736,135,45,2488,46,31,82,2565,1413,286,4265,25,78,0,0,109,5,7,14,121,82,9,208,186,103,10,3,300,16,7,16,317,59,35,411,263,114,25,12,411,13,19,28,441,94,58,595,210,131,34,9,378,11,11,18,399,82,68,543,171,108,18,0,300,9,8,16,312,53,25,393,170,71,8,8,252,3,7,9,263,42,21,317,186,76,7,0,269,3,4,6,274,33,14,330,182,71,7,9,266,9,0,9,280,48,15,343,104,60,6,5,170,0,0,0,174,91,16,281,79,43,12,4,134,0,4,3,137,118,20,276,21,25,3,0,46,0,0,0,46,165,18,236,0,3,3,0,6,0,0,0,6,159,19,184,3,3,0,0,5,0,0,0,8,467,31,503,1592,886,132,49
101021010,24,46,9,77,0,3,0,0,8,0,0,0,8,41,3,51,0,0,0,0,0,0,0,0,0,102,20,127,749,383,87,14,1236,20,26,37,1278,509,111,1897,10,50,3,0,61,0,8,13,69,35,3,115,82,46,3,0,135,10,6,19,148,24,8,177,112,46,20,3,183,6,7,7,186,39,20,250,99,56,8,0,166,5,5,12,171,44,19,236,81,24,9,3,121,6,0,3,123,16,8,150,73,27,4,0,106,0,3,6,112,16,3,134,94,44,5,5,144,0,0,0,147,22,4,174,85,32,0,3,121,0,0,0,121,24,12,159,74,33,0,0,109,0,3,3,116,42,9,161,34,26,0,0,67,3,3,7,71,40,5,122,8,7,0,0,18,0,0,0,18,62,9,88,4,4,0,0,10,0,0,0,10,54,3,67,3,4,0,0,4,0,0,0,4,108,20,131,763,400,58,17
101021011,64,182,10,260,4,18,0,0,21,0,0,0,21,125,10,160,4,6,0,0,8,0,0,0,8,136,14,162,2034,1397,228,52,3711,32,44,74,3784,1411,259,5449,43,192,11,8,260,9,24,25,287,224,39,555,173,110,17,7,306,7,10,15,321,39,40,400,206,87,30,3,322,3,3,7,335,63,43,439,174,122,53,4,347,7,0,3,355,46,38,441,247,169,33,3,455,5,3,8,458,64,47,567,342,182,21,14,559,9,6,18,575,54,54,689,404,225,17,9,652,5,3,9,657,65,52,778,375,138,24,3,540,8,8,12,552,87,61,692,244,132,34,4,412,4,9,12,428,135,56,616,123,120,13,3,261,6,3,8,266,224,55,546,43,58,8,0,112,0,3,5,112,265,40,418,11,17,0,0,25,0,0,0,26,176,22,233,4,3,0,0,10,0,0,0,10,195,25,224,2390,1556,260,61
101021012,23,92,4,125,0,6,0,0,5,0,0,0,5,95,6,108,0,0,0,0,0,0,0,0,0,115,3,125,2063,1250,217,40,3571,37,44,79,3652,1031,115,4795,34,218,13,7,272,5,36,44,316,149,15,485,148,129,15,3,291,8,9,9,306,37,16,360,191,57,11,3,259,4,4,11,267,62,19,350,179,115,33,0,327,11,4,14,344,46,18,412,198,141,21,4,364,3,3,11,378,56,22,452,301,170,19,0,490,3,5,10,497,53,15,572,398,150,15,10,571,3,3,3,570,58,27,657,303,119,15,9,446,11,0,14,461,52,21,530,174,79,19,8,276,0,4,4,284,92,15,386,79,44,4,0,133,3,5,10,135,121,7,259,23,24,0,0,44,0,0,0,46,123,11,175,3,8,0,0,8,0,0,0,9,98,3,106,0,3,0,0,3,0,0,0,3,163,12,182,2026,1261,158,44
101031013,17,48,0,70,0,3,0,0,3,0,0,0,3,35,3,41,3,3,0,0,3,0,0,0,3,115,18,137,202,239,18,11,472,12,7,16,490,436,42,963,6,23,0,0,29,0,3,3,33,20,3,56,19,8,0,0,29,0,0,3,25,12,3,43,15,17,3,0,33,4,0,4,33,10,0,45,17,27,3,0,44,0,3,4,45,14,3,62,16,27,0,0,49,0,3,5,49,9,3,66,25,14,0,3,37,0,0,3,38,13,0,54,30,18,0,0,53,0,0,0,53,21,5,73,28,34,0,0,61,0,0,0,60,15,14,90,31,25,6,0,64,3,4,3,64,25,7,97,21,21,0,0,40,0,0,0,42,35,4,85,16,12,4,0,32,0,0,0,32,68,7,107,8,7,0,0,17,0,0,0,17,41,4,57,0,0,0,0,0,0,0,0,0,118,19,137,212,232,22,5
101031014,38,133,8,179,3,5,3,0,18,0,0,0,18,138,12,165,4,4,0,0,7,0,0,0,7,356,26,394,672,635,75,27,1409,40,28,64,1474,1175,116,2767,15,74,0,4,99,3,3,11,109,78,8,191,56,55,3,0,113,9,7,13,126,24,9,161,68,50,9,3,127,0,3,7,133,40,11,183,60,58,7,0,131,0,0,0,132,37,19,189,44,53,3,4,101,3,3,10,111,43,8,158,74,67,3,3,148,6,0,4,151,31,13,194,92,75,0,5,167,3,3,4,170,35,11,217,108,74,9,3,197,3,3,4,198,36,21,258,88,59,8,0,155,3,4,8,165,72,13,245,41,59,3,3,103,0,0,4,109,80,24,210,16,33,7,0,51,0,0,0,55,147,17,217,9,17,0,0,23,0,0,0,23,140,23,179,0,8,0,4,13,0,0,0,13,338,95,450,664,679,54,26
101031015,36,75,3,116,9,6,3,0,21,0,0,0,19,45,4,68,0,3,0,0,12,0,0,0,12,79,6,93,361,318,34,15,732,12,15,32,758,458,46,1261,15,32,0,0,44,0,0,3,52,41,10,103,20,17,0,0,40,4,0,5,47,11,5,58,14,10,7,0,34,0,0,0,35,3,8,41,21,23,4,0,47,0,0,0,49,14,3,69,25,30,3,0,52,0,0,0,54,10,7,66,57,30,0,3,85,0,0,0,82,17,9,108,59,42,4,0,103,0,0,3,105,14,20,144,61,43,0,0,104,0,3,4,107,15,10,127,48,31,7,3,84,3,4,3,89,35,5,136,25,41,5,0,73,0,0,0,76,57,11,135,14,17,3,0,33,0,0,0,40,70,12,111,6,8,0,3,27,0,0,0,27,77,11,105,5,7,0,0,9,0,0,0,9,89,13,113,369,323,34,17
101031016,31,71,11,115,3,10,0,0,18,0,0,0,18,49,5,76,4,3,0,0,12,0,0,0,12,112,14,133,873,599,53,36,1560,11,18,25,1586,587,297,2470,19,57,3,0,82,0,3,4,89,66,10,166,108,49,0,9,165,0,3,3,167,6,22,201,124,62,5,3,188,0,6,5,195,11,27,233,97,48,8,3,155,6,0,3,158,27,16,199,85,87,10,5,180,0,0,3,184,25,14,223,116,88,6,4,215,0,0,6,220,16,20,259,131,80,5,10,232,0,0,0,231,23,19,271,144,70,9,5,219,3,0,3,223,22,18,267,95,71,7,5,175,0,0,0,179,44,11,234,44,42,6,0,93,0,3,4,98,64,17,172,19,38,0,0,58,0,0,0,58,94,10,160,11,13,0,0,21,0,0,0,21,79,10,107,4,10,0,0,14,0,0,0,14,111,10,139,1009,698,58,41
