SA2_MAINCODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
101021007,122,28,22,172,121,56,7,5,189,7,5,6,192,45,26,271,132,62,4,5,206,3,0,4,210,44,31,286,124,70,4,4,202,0,3,8,204,55,30,295,148,81,11,3,252,6,3,12,259,86,39,382,88,48,7,3,143,3,4,6,156,126,31,316,47,43,3,0,99,0,0,0,104,194,51,340,17,32,3,0,53,0,0,0,54,165,35,256,17,22,3,3,48,0,0,0,48,224,51,322,972,559,64,49,1646,42,33,73,1721,1133,376,3222
101021008,442,58,37,532,361,92,11,11,475,7,3,11,483,55,35,580,380,97,13,8,495,13,12,20,520,67,31,617,338,83,16,8,451,3,3,4,457,91,26,578,278,105,18,6,411,4,3,11,421,126,19,567,163,72,9,8,261,3,5,12,265,186,31,482,60,35,4,3,100,0,0,0,100,268,22,389,15,17,3,0,31,0,0,4,36,215,20,271,0,9,0,4,10,0,0,0,10,346,45,401,2855,1092,145,95,4184,112,100,208,4392,1841,387,6623
101021009,673,86,60,824,442,110,17,9,585,21,5,25,610,73,45,726,451,102,18,4,576,14,5,18,594,65,47,706,380,100,20,14,514,18,4,24,541,103,41,687,288,86,17,5,393,9,5,19,411,153,36,605,179,70,15,6,272,7,3,14,284,207,34,525,63,48,6,0,123,3,0,5,123,320,40,482,5,7,3,0,20,0,0,0,17,284,30,340,8,8,0,3,17,0,0,0,23,760,61,843,3889,1387,219,119,5612,203,102,306,5918,2558,694,9169
101021010,284,21,26,332,183,49,8,3,237,10,6,13,256,35,17,307,210,52,11,9,284,7,3,7,289,41,22,354,203,48,6,3,264,7,0,11,272,43,26,341,183,40,6,0,235,3,3,8,238,71,18,330,83,40,3,0,134,8,3,12,144,83,14,239,33,22,0,0,57,0,0,0,57,111,8,176,12,8,4,0,20,0,0,0,20,112,7,142,4,8,0,0,9,0,0,0,16,179,29,218,1880,633,88,43,2647,78,64,140,2788,951,246,3981
101021011,901,80,92,1067,809,228,48,17,1105,22,4,31,1137,73,117,1331,947,277,32,20,1277,9,0,12,1289,92,127,1505,881,190,55,9,1142,12,10,20,1161,128,137,1430,630,205,54,10,902,11,15,23,925,257,133,1305,366,195,29,9,596,14,9,22,619,389,116,1116,134,112,20,4,268,8,4,9,285,529,95,914,36,56,4,0,102,3,3,6,108,361,59,526,20,12,0,3,36,0,0,0,36,409,51,497,5968,2272,437,135,8814,142,123,265,9078,3032,1264,13377
101021012,742,64,32,831,718,189,23,5,938,12,5,16,956,74,44,1072,885,178,31,14,1107,13,5,13,1121,83,59,1260,776,148,32,10,973,22,7,26,996,89,46,1126,438,124,26,11,594,10,3,9,608,134,28,777,214,83,12,0,304,7,8,15,323,192,21,534,61,48,3,0,115,0,3,5,116,243,19,379,4,16,0,0,23,0,3,4,26,181,5,212,3,8,3,0,11,0,0,0,11,292,22,326,4966,1811,264,84,7125,134,126,254,7386,1939,406,9725
101031013,93,13,9,111,71,17,0,3,91,3,0,0,90,22,8,119,74,28,0,3,108,3,0,3,113,32,13,152,77,45,3,3,128,3,0,3,127,37,14,180,77,44,7,0,130,6,3,10,137,47,6,196,68,30,10,3,111,0,0,0,112,70,18,199,37,21,5,0,64,0,0,0,64,127,13,210,19,13,3,4,38,0,0,0,38,87,8,132,7,9,0,0,19,0,0,0,19,191,28,242,670,328,41,27,1067,28,14,50,1117,724,147,1991
101031014,226,102,18,353,189,84,10,4,289,7,6,14,305,78,28,400,214,97,3,8,320,10,3,8,326,90,29,446,237,104,12,7,354,5,3,12,371,87,36,497,211,94,11,3,321,7,3,11,338,127,25,491,127,91,8,3,226,5,3,9,242,137,37,412,53,45,13,0,107,0,3,4,115,276,51,441,20,30,8,0,58,0,0,0,58,258,30,341,3,14,0,4,25,0,0,0,25,585,153,763,1709,1018,108,62,2901,98,53,143,3042,2128,499,5678
101031015,109,14,10,135,127,38,3,3,179,3,0,0,180,26,14,222,135,54,9,4,208,0,0,6,211,30,33,272,151,56,12,0,212,6,5,12,222,28,20,266,139,45,10,4,201,4,3,9,206,63,18,285,71,67,7,0,143,3,6,11,156,105,18,274,53,36,3,0,90,0,3,3,94,137,18,251,31,18,0,3,56,0,0,0,60,145,21,221,36,17,3,0,49,0,0,0,49,174,35,260,990,487,60,27,1570,29,26,60,1627,854,244,2724
101031016,366,33,38,439,330,119,13,8,466,0,0,6,471,28,51,549,314,118,11,14,451,0,0,0,457,43,44,546,325,97,15,6,445,4,0,8,450,42,45,538,251,120,12,7,390,3,0,6,393,82,28,509,129,87,18,4,237,3,4,9,248,125,34,409,55,63,0,3,129,0,0,0,128,209,29,366,31,27,0,3,62,0,0,0,62,152,13,226,17,15,4,4,33,0,0,0,29,247,27,304,2555,1130,128,95,3899,47,30,73,3974,1209,523,5709
