SA4_CODE_2016,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,Age_grp_85ov_C16_M,Age_grp_85ov_C16_F,Age_grp_85ov_C16_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P
101,98696,99243,197942,103616,104206,207823,109123,109716,218843,6092,5723,11817,6594,6159,12754,6218,5643,11866,14320,13879,28202,13831,13226,27060,13888,13013,26897,6645,6271,12921,6951,6323,13273,6492,6167,12659,4794,4448,9248,4981,4645,9620,5345,5022,10364,9956,10255,20211,9772,10365,20134,11043,11293,22338,13759,14462,28225,13433,14091,27520,12503,12921,25417,15086,14900,29985,15597,15523,31117,15491,16013,31504,13385,12893,26276,15113,14839,29952,16249,16485,32731,8695,8438,17131,10492,10170,20665,13507,13050,26553,4825,5836,10661,5357,6058,11417,6426,6822,13249,1135,2141,3271,1491,2804,4296,1966,3295,5265,544,546,1088,563,569,1136,774,765,1541,2439,2338,4773,3008,2999,6008,3794,3785,7583,87,91,180,70,85,153,93,67,162,40,42,88,50,45,97,80,60,140,2570,2469,5035,3126,3127,6255,3962,3910,7875,80485,81428,161912,84761,85449,170206,86461,86653,173116,11601,11707,23305,12654,13060,25713,13491,13905,27399,88093,89887,177983,92077,93764,185838,94095,95256,189352,4844,4878,9720,5561,5732,11294,6296,6694,12991,88932,90543,179472,93228,94870,188099,96185,97538,193725
102,143943,154013,297957,150704,161484,312182,158768,168972,327736,9540,8962,18500,10167,9608,19776,9887,9299,19181,21607,20775,42379,20823,20105,40927,21280,19967,41245,10454,9851,20303,10911,10163,21071,10117,9808,19930,7948,7787,15730,8731,8444,17180,9267,8908,18174,15378,16421,31800,15633,16710,32339,17244,18037,35278,19410,21247,40654,19233,21126,40353,19032,20343,39376,19712,20913,40629,20596,22261,42856,21054,22575,43630,16170,17467,33636,18450,19943,38396,20057,22308,42364,12124,13873,25996,14072,15734,29809,17251,19339,36591,9093,12093,21189,8928,11592,20516,9718,11976,21691,2506,4627,7132,3158,5808,8966,3866,6407,10278,384,579,961,359,465,820,503,680,1177,3010,3049,6066,4220,4375,8592,5957,6030,11987,132,143,274,136,126,261,147,152,300,64,54,115,78,92,168,88,109,200,3208,3249,6453,4436,4585,9018,6188,6300,12485,114424,122841,237263,121434,130205,251642,125665,132713,258376,19350,20293,39642,21043,22745,43785,22946,25110,48054,130500,139602,270097,136979,146642,283619,140949,148827,289774,5453,6141,11589,6698,7894,14596,8810,10407,19219,127582,136893,264468,134850,145313,280164,141554,150449,292003
103,94590,95075,189671,98326,98419,196740,102700,103464,206155,6407,5990,12394,7086,6623,13709,6828,6466,13290,14488,13697,28183,14179,13263,27443,14268,13353,27616,7139,6615,13755,6903,6580,13482,6692,6398,13093,5422,5162,10581,5958,5479,11440,5972,5590,11564,10303,10302,20605,10296,10440,20737,11580,11515,23097,12508,13017,25527,12089,12579,24665,11614,12040,23652,13303,12882,26186,13454,13305,26759,13358,13652,27016,11801,11405,23213,12822,12339,25161,13438,13329,26773,7807,7907,15711,9166,9065,18224,11313,11170,22483,4395,5753,10149,5087,5982,11067,5812,6696,12507,1022,2352,3366,1277,2765,4045,1824,3247,5075,214,239,454,303,331,637,233,296,531,3989,3834,7820,5117,5010,10126,6491,6359,12849,119,90,210,135,113,247,115,107,225,69,80,151,70,73,142,120,97,218,4172,4005,8181,5318,5195,10517,6732,6566,13292,82943,83494,166437,85138,85802,170938,85471,85782,171249,6274,6313,12587,7144,7086,14235,7635,7908,15540,87450,89434,176881,89544,91153,180705,89329,91275,180602,2206,2255,4460,2764,2982,5746,3537,3781,7316,86133,88085,174215,88588,90383,178965,89879,91843,181725
104,61499,63972,125469,63795,66811,130602,66583,69704,136288,3512,3332,6843,3911,3751,7658,3662,3466,7129,9420,8949,18365,8779,8340,17124,8570,8159,16734,4556,4327,8888,4482,4249,8732,4155,3863,8016,2790,2571,5367,3022,3001,6028,3173,2963,6135,5277,5832,11107,5441,5919,11366,6218,6535,12753,7719,8687,16404,7307,8228,15529,6994,7695,14690,9495,9976,19465,9166,10108,19273,8529,9637,18165,8381,8282,16663,9804,9695,19497,10403,10882,21286,5844,6008,11850,6790,6993,13777,8799,8834,17629,3595,4311,7908,3928,4422,8342,4559,5139,9702,920,1703,2616,1170,2107,3280,1528,2526,4052,278,339,614,310,379,690,405,505,911,2347,2367,4715,2785,2975,5759,3435,3576,7012,70,59,126,88,82,172,68,79,151,53,47,103,59,58,118,63,80,141,2473,2468,4940,2933,3109,6039,3571,3732,7302,52180,54297,106477,53922,56326,110250,53896,55865,109764,5846,6315,12165,6657,7347,14001,7249,8212,15466,56991,59659,116656,58591,61612,120206,58373,61086,119455,1768,2024,3795,2422,2794,5215,3221,3727,6947,56144,58889,115027,57899,61132,119037,58670,61713,120382
105,57064,57422,114485,56510,57086,113589,56474,57300,113779,4292,3974,8261,4257,4086,8348,3862,3765,7635,9030,8627,17651,8189,7735,15921,7686,7310,14998,3854,3584,7442,3885,3581,7464,3333,3171,6502,2995,3126,6118,3103,3192,6299,3277,3184,6453,6126,6538,12664,5933,6387,12317,6823,7181,14006,7604,7832,15433,6850,7160,14015,6213,6444,12659,8215,8000,16208,7996,7969,15963,7369,7539,14907,7006,6440,13443,7452,6960,14410,7720,7581,15305,4707,4768,9469,5223,5129,10350,6055,5769,11821,2699,3278,5974,2898,3442,6339,3100,3652,6744,552,1263,1817,727,1443,2169,1033,1708,2741,141,165,309,208,181,386,173,239,414,7461,7732,15193,8519,8931,17456,9215,9399,18617,99,106,206,78,101,180,81,95,175,140,107,254,99,107,208,110,137,249,7698,7955,15652,8700,9136,17839,9411,9637,19041,49892,50480,100370,49683,50559,100243,47214,47902,95120,2771,2721,5491,2949,2989,5939,3305,3494,6794,52479,53307,105782,51301,52742,104043,48570,49888,98454,1181,1125,2299,1411,1444,2855,1930,2075,4002,51789,52532,104318,50791,52227,103015,48947,50358,99301
106,112058,113697,225753,120897,122349,243247,130635,132782,263416,7951,7513,15465,8804,8385,17186,8819,8448,17264,17392,16798,34185,17327,16512,33835,18541,17460,36001,8157,7647,15805,8477,8155,16634,8419,7993,16410,6580,6069,12651,7364,6867,14227,7650,7437,15088,13174,13354,26527,14186,14117,28311,15527,16078,31603,15579,16202,31778,15932,16636,32568,16132,16340,32481,15698,15772,31471,16559,16717,33278,17085,17691,34777,13350,13244,26592,15113,15297,30409,16557,17015,33575,8303,8614,16912,10440,10362,20795,13615,13703,27320,4794,6191,10980,5262,6480,11741,6416,7261,13680,1080,2294,3378,1445,2823,4267,1877,3341,5219,323,333,655,313,373,681,366,507,876,3082,3185,6268,4462,4566,9030,7283,7087,14372,131,121,252,138,126,267,203,178,384,79,82,164,93,113,200,166,161,325,3286,3397,6681,4700,4808,9499,7655,7429,15084,96942,98316,195253,104364,105904,210268,110223,111641,221858,8526,8821,17346,9958,10204,20163,10775,11265,22041,104375,106556,210928,111753,114072,225821,117025,119871,236895,2312,2580,4892,2972,3323,6301,3902,4350,8255,102197,104652,206851,109791,112211,222009,116862,119583,236447
107,130024,133512,263537,136179,139803,275983,144488,149005,293494,8434,8042,16473,8884,8484,17372,8989,8486,17470,18736,17696,36435,18195,17179,35375,18604,17689,36295,9327,8888,18214,9816,9206,19023,9720,9264,18979,9373,8747,18114,9873,9310,19187,10863,9989,20855,16220,16314,32533,16579,16446,33023,17870,18027,35895,18181,19040,37219,17946,18807,36755,18022,18770,36792,17802,18491,36296,18904,19486,38384,18897,19629,38525,14146,14295,28446,15843,16368,32212,17511,18721,36239,10000,10942,20943,11124,12118,23243,13576,14464,28043,6387,8251,14640,6953,8653,15607,7707,9355,17066,1414,2808,4223,2064,3736,5802,2721,4612,7332,621,728,1344,739,765,1507,874,1086,1967,2197,2288,4481,3033,3110,6148,3907,4123,8024,100,78,174,99,106,203,108,77,188,42,43,82,42,53,97,73,81,153,2337,2411,4740,3177,3265,6446,4085,4277,8364,96013,98188,194196,102449,104853,207308,107680,110218,217899,25853,27252,53101,27213,28795,56005,28238,30034,58274,105938,109141,215081,111469,114681,226151,116613,119797,236409,17990,18802,36792,19390,20329,39723,20468,21851,42321,115179,118660,233841,120681,124817,245494,126338,130970,257312
108,94128,98600,192729,97970,103140,201110,103296,108901,212201,5255,4990,10236,5700,5418,11121,5266,4993,10261,13246,12824,26068,12693,12105,24793,12466,11975,24442,6416,5932,12350,6306,5943,12246,5993,5706,11701,3847,3486,7337,3989,3848,7834,4327,4197,8522,7568,8142,15712,7339,7975,15318,8293,8973,17264,11146,12504,23645,10455,11712,22167,9892,10824,20710,13510,14276,27783,13527,14838,28362,13038,14187,27232,13477,13947,27427,15041,15502,30545,15954,17167,33119,10837,11032,21867,12870,13157,26019,16324,16619,32942,7152,8340,15495,7662,8633,16296,8711,9547,18262,1680,3128,4812,2396,4012,6403,3030,4718,7749,287,380,670,255,301,564,348,439,793,3871,4043,7917,5143,5253,10398,6337,6558,12892,127,96,217,101,90,188,102,86,189,114,86,205,110,97,208,132,126,258,4111,4224,8334,5358,5436,10798,6563,6771,13340,80103,83771,163874,83323,87725,171041,84831,89180,174009,8377,8854,17231,9150,9839,18995,9824,10710,20535,88165,92811,180971,91125,96489,187618,92920,98220,191140,1661,1857,3521,2039,2401,4442,2576,3112,5686,85953,90601,176551,89268,94782,184055,92528,97932,190464
109,54451,55169,109621,54552,55765,110317,57060,58743,115803,3521,3362,6882,3456,3392,6841,3588,3316,6905,8144,7618,15764,7347,7027,14375,7341,7199,14539,3932,3656,7585,3957,3640,7592,3514,3393,6902,2905,3029,5936,2929,3020,5954,3184,3128,6312,5871,5913,11783,5526,5752,11273,6053,6358,12415,7076,7420,14495,6534,6897,13429,6199,6635,12838,7947,7980,15923,7531,7862,15392,7264,7578,14843,6806,6495,13304,7621,7386,15008,8087,8236,16327,4678,4749,9425,5533,5520,11057,6909,6811,13722,2971,3546,6513,3202,3619,6823,3652,4140,7784,615,1397,2014,914,1650,2567,1264,1939,3208,164,173,343,170,160,328,271,264,537,1340,1367,2708,1512,1605,3112,1835,1966,3796,52,33,80,59,44,101,42,37,78,27,24,50,29,39,62,34,35,73,1410,1430,2841,1597,1686,3282,1911,2035,3949,47303,48222,95529,47053,48363,95416,47011,48296,95312,3852,3891,7744,4325,4500,8824,4742,5061,9808,50597,51499,102094,49961,51438,101403,49918,51413,101332,1439,1608,3042,1965,2044,4013,2530,2721,5249,50086,51114,101199,49606,51180,100778,50378,51999,102380
110,85115,87277,172396,86906,89288,176193,89260,92299,181555,5817,5631,11443,6144,5940,12084,5884,5670,11556,13176,12472,25643,12585,11766,24351,12217,11862,24076,6311,6076,12391,6207,6024,12227,5990,5599,11589,4891,4817,9707,5096,5125,10220,5234,5270,10511,8893,9462,18355,8921,9420,18341,9850,10370,20212,11088,11711,22799,10356,11102,21460,9806,10454,20263,12059,12047,24110,11953,12400,24357,11444,11957,23405,10783,10424,21210,11630,11253,22885,12152,12279,24436,7237,7378,14610,8406,8528,16930,9980,9993,19976,3902,5125,9030,4403,5315,9717,5229,6054,11283,961,2130,3097,1206,2416,3621,1470,2780,4248,256,304,553,384,349,730,467,487,959,6437,6689,13125,7424,7813,15235,8723,9022,17746,118,149,275,149,164,314,164,150,313,108,92,196,134,116,248,181,178,355,6665,6932,13596,7702,8096,15796,9063,9352,18415,75475,77419,152888,76357,78577,154939,74300,76603,150908,4586,4827,9411,5299,5463,10764,6205,6532,12739,79684,82012,161691,80212,83032,163247,78038,81184,159220,1570,1676,3239,2210,2187,4399,3343,3344,6688,78313,80810,159122,78993,81837,160830,78347,81317,159665
