SA4_CODE_2016,Aust_C06_M,Aust_C06_F,Aust_C06_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Aust_C16_M,Aust_C16_F,Aust_C16_P,Canada_C06_M,Canada_C06_F,Canada_C06_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Canada_C16_M,Canada_C16_F,Canada_C16_P,China_C06_M,China_C06_F,China_C06_P,China_C11_M,China_C11_F,China_C11_P,China_C16_M,China_C16_F,China_C16_P,Croatia_C06_M,Croatia_C06_F,Croatia_C06_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Croatia_C16_M,Croatia_C16_F,Croatia_C16_P,Egypt_C06_M,Egypt_C06_F,Egypt_C06_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Egypt_C16_M,Egypt_C16_F,Egypt_C16_P,Fiji_C06_M,Fiji_C06_F,Fiji_C06_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,Fiji_C16_M,Fiji_C16_F,Fiji_C16_P,Germany_C06_M,Germany_C06_F,Germany_C06_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Germany_C16_M,Germany_C16_F,Germany_C16_P,Greece_C06_M,Greece_C06_F,Greece_C06_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Greece_C16_M,Greece_C16_F,Greece_C16_P,Hong_Kong_C06_M,Hong_Kong_C06_F,Hong_Kong_C06_P,Hong_Kong_C11_M,Hong_Kong_C11_F,Hong_Kong_C11_P,Hong_Kong_C16_M,Hong_Kong_C16_F,Hong_Kong_C16_P,India_C06_M,India_C06_F,India_C06_P,India_C11_M,India_C11_F,India_C11_P,India_C16_M,India_C16_F,India_C16_P,Indonesia_C06_M,Indonesia_C06_F,Indonesia_C06_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Indonesia_C16_M,Indonesia_C16_F,Indonesia_C16_P,Iran_06_Cens_M,Iran_06_Cens_F,Iran_06_Cens_P,Iran_11_Cens_M,Iran_11_Cens_F,Iran_11_Cens_P,Iran_16_Cens_M,Iran_16_Cens_F,Iran_16_Cens_P,Iraq_C06_M,Iraq_C06_F,Iraq_C06_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Iraq_C16_M,Iraq_C16_F,Iraq_C16_P,Ireland_C06_M,Ireland_C06_F,Ireland_C06_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Ireland_C16_M,Ireland_C16_F,Ireland_C16_P,Italy_C06_M,Italy_C06_F,Italy_C06_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Italy_C16_M,Italy_C16_F,Italy_C16_P,Japan_C06_M,Japan_C06_F,Japan_C06_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Japan_C16_M,Japan_C16_F,Japan_C16_P,Korea_C06_M,Korea_C06_F,Korea_C06_P,Korea_C11_M,Korea_C11_F,Korea_C11_P,Korea_C16_M,Korea_C16_F,Korea_C16_P,Lebanon_C06_M,Lebanon_C06_F,Lebanon_C06_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Lebanon_C16_M,Lebanon_C16_F,Lebanon_C16_P,Malaysia_C06_M,Malaysia_C06_F,Malaysia_C06_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malaysia_C16_M,Malaysia_C16_F,Malaysia_C16_P,Malta_C06_M,Malta_C06_F,Malta_C06_P,Malta_C11_M,Malta_C11_F,Malta_C11_P,Malta_C16_M,Malta_C16_F,Malta_C16_P,Netherlands_C06_M,Netherlands_C06_F,Netherlands_C06_P,Netherlands_C11_M,Netherlands_C11_F,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,New_Zealand_C06_M,New_Zealand_C06_F,New_Zealand_C06_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,Pakistan_C06_M,Pakistan_C06_F
101,80485,81428,161912,84761,85449,170206,86461,86653,173116,123,152,277,135,186,320,160,211,373,122,126,249,184,217,399,204,267,474,239,205,444,246,203,451,193,181,378,46,31,81,58,36,93,67,44,107,56,70,128,100,136,234,90,126,220,672,746,1413,651,719,1367,610,660,1267,186,169,356,175,148,327,142,125,263,40,50,93,30,58,87,54,70,128,152,111,262,384,296,682,660,550,1207,68,106,171,59,113,170,71,133,197,16,11,24,21,18,42,45,32,76,17,4,21,15,12,29,23,13,37,156,125,277,168,159,331,211,182,392,486,353,844,474,343,820,438,317,751,21,54,72,23,60,82,26,70,95,26,28,55,42,48,88,82,91,169,65,42,113,73,53,125,99,73,177,82,122,202,91,142,230,100,140,239,138,103,244,140,93,227,128,94,222,457,459,916,423,449,873,393,405,801,1136,1050,2185,1237,1249,2484,1336,1271,2608,11,13
102,114424,122841,237263,121434,130205,251642,125665,132713,258376,231,221,443,249,267,516,277,284,562,254,353,607,344,567,912,573,920,1498,138,109,246,132,125,258,148,114,266,164,151,316,187,166,351,189,159,348,120,178,304,139,189,333,161,218,379,507,609,1113,537,650,1184,520,655,1171,189,157,347,169,151,319,178,149,332,108,109,215,112,132,242,124,139,266,281,259,541,408,365,771,740,649,1393,114,153,266,130,188,314,156,229,384,37,45,83,53,50,107,60,60,123,19,10,30,25,26,53,29,26,58,431,427,856,479,466,944,540,511,1052,490,324,810,512,317,832,532,350,888,42,105,145,51,152,203,75,202,273,86,132,218,134,179,313,259,316,577,95,60,153,105,58,157,113,77,192,129,160,294,149,201,349,196,223,414,323,281,609,339,297,636,347,292,640,568,568,1133,550,565,1120,487,514,1000,2419,2543,4964,2638,2775,5411,2670,2837,5506,43,36
103,82943,83494,166437,85138,85802,170938,85471,85782,171249,50,78,131,69,97,170,74,121,192,153,122,274,190,186,382,228,253,477,70,50,123,77,54,124,69,48,117,17,9,32,38,30,67,42,24,65,52,49,95,83,74,153,90,76,164,296,335,627,280,311,593,249,289,544,77,48,126,63,40,108,72,41,112,54,36,96,44,44,88,55,45,101,78,69,149,182,152,335,415,384,797,24,41,65,30,45,77,42,60,102,19,5,26,23,20,44,41,33,76,10,10,19,41,18,57,43,26,72,109,81,194,138,100,244,143,102,249,201,152,354,186,134,327,168,131,305,35,33,68,16,34,53,19,51,66,39,29,70,41,38,76,74,56,133,79,33,108,52,29,85,60,26,87,42,59,97,53,70,127,70,88,156,64,47,113,57,43,101,50,44,96,247,251,501,252,243,504,219,244,458,838,758,1591,963,885,1851,936,890,1826,6,11
104,52180,54297,106477,53922,56326,110250,53896,55865,109764,76,92,173,80,110,193,91,121,214,48,67,111,86,131,219,69,125,193,24,14,37,18,13,34,21,14,28,24,24,48,35,22,58,38,32,69,52,61,115,56,59,118,55,61,114,295,324,611,304,363,670,291,334,619,30,22,51,21,5,27,23,18,34,37,34,67,43,34,70,52,53,102,212,232,440,366,387,750,584,574,1157,17,38,51,20,52,74,18,60,74,4,3,7,3,3,6,24,22,46,0,6,12,7,11,11,4,8,11,84,90,175,112,99,213,117,109,224,117,82,202,106,85,197,103,75,183,21,56,76,14,47,64,25,67,99,8,7,20,27,17,45,34,39,71,18,5,25,6,3,15,8,5,19,29,49,80,47,69,112,65,102,169,34,38,68,41,40,81,31,39,74,298,223,523,274,229,511,241,230,468,739,863,1601,819,928,1745,848,913,1766,7,14
105,49892,50480,100370,49683,50559,100243,47214,47902,95120,19,40,58,15,28,46,23,36,57,51,67,117,86,79,163,104,120,223,48,18,69,32,17,52,31,17,44,16,13,33,18,16,32,24,12,41,32,29,63,43,37,78,46,45,85,140,135,269,132,134,261,112,139,254,43,39,78,35,30,62,28,22,52,25,21,43,15,21,37,18,20,37,59,63,121,111,113,224,277,268,543,15,20,37,22,28,53,20,30,48,9,0,9,12,4,12,18,12,31,8,5,8,8,0,5,9,4,11,54,42,92,63,50,111,51,49,104,110,62,174,89,55,138,62,39,104,10,10,14,4,11,20,10,14,23,11,9,19,14,15,24,38,28,66,20,25,45,26,20,39,21,19,41,20,30,52,18,35,57,30,32,67,32,27,65,23,22,44,22,18,39,86,96,186,81,95,175,67,83,155,390,388,783,407,438,845,384,410,796,20,12
106,96942,98316,195253,104364,105904,210268,110223,111641,221858,69,87,155,106,125,228,126,160,286,121,120,239,154,193,353,189,253,440,75,54,133,62,52,119,57,66,122,42,27,67,41,37,77,49,34,85,52,68,117,64,65,135,100,103,200,450,477,926,459,468,929,432,464,895,66,47,112,57,39,88,58,46,98,58,50,110,58,54,110,74,65,136,113,107,215,244,205,442,391,370,763,28,47,78,42,62,104,35,87,122,13,10,19,8,9,22,18,7,22,27,23,46,16,12,31,15,12,29,176,125,300,222,163,384,243,180,423,145,87,235,169,92,256,175,82,256,25,30,60,23,45,72,27,50,74,39,45,86,54,49,103,68,67,134,29,25,53,31,25,61,27,25,55,113,134,243,114,152,269,135,178,313,83,83,163,78,72,149,79,84,164,329,288,615,328,296,625,280,267,550,1192,1190,2381,1549,1423,2973,1552,1524,3077,25,26
107,96013,98188,194196,102449,104853,207308,107680,110218,217899,133,200,336,204,252,458,213,285,493,856,760,1615,1493,1178,2669,1776,1419,3201,680,602,1285,639,589,1226,515,497,1013,98,81,181,108,88,195,146,117,264,82,120,200,102,143,237,116,136,257,935,1111,2045,900,1043,1943,809,959,1766,491,529,1023,486,542,1029,401,450,852,161,133,301,112,125,244,140,113,251,292,236,524,550,389,937,958,686,1643,118,133,254,157,201,351,143,217,358,116,89,204,189,165,353,234,198,435,31,26,54,66,58,123,225,234,460,277,269,548,318,289,607,356,323,678,1919,1821,3739,1730,1680,3411,1535,1585,3120,77,133,208,49,128,179,56,154,205,90,123,213,112,142,259,175,193,371,323,298,626,315,310,626,343,327,670,113,133,251,162,206,366,236,247,478,386,365,752,366,339,706,354,323,678,625,641,1265,567,604,1177,514,555,1074,1146,1217,2361,1375,1401,2774,1510,1569,3077,70,42
108,80103,83771,163874,83323,87725,171041,84831,89180,174009,94,109,204,103,130,230,127,149,273,94,86,179,97,124,221,141,187,330,55,22,80,72,31,100,58,31,89,49,35,80,64,45,108,74,52,130,63,68,125,66,67,139,74,74,148,382,408,794,407,438,850,396,471,866,52,34,88,36,31,63,37,29,72,40,36,83,41,43,82,44,40,87,90,81,173,151,130,283,266,224,492,45,41,90,45,53,98,42,65,102,4,3,9,14,7,22,19,12,35,8,4,14,12,10,15,16,8,27,152,136,287,173,159,333,195,169,359,188,84,273,193,83,274,192,91,282,11,32,43,13,50,62,19,62,81,11,11,18,15,24,40,44,56,101,26,12,38,24,15,35,31,21,46,54,55,116,57,68,125,57,87,144,97,84,174,106,90,199,107,92,195,398,366,763,401,380,776,385,366,748,982,1046,2029,1137,1197,2333,1183,1254,2438,11,6
109,47303,48222,95529,47053,48363,95416,47011,48296,95312,37,28,67,43,38,72,50,34,84,42,40,84,62,62,122,74,98,171,33,38,70,34,36,71,29,36,71,14,11,26,24,10,34,19,13,33,28,35,64,38,38,73,56,52,103,233,248,483,224,265,495,210,245,450,65,42,106,47,39,89,48,32,85,14,16,28,21,15,34,25,30,50,92,70,163,264,202,470,360,348,713,5,8,18,6,19,29,3,20,28,3,7,7,5,10,13,15,11,27,11,16,24,10,8,14,8,3,10,53,41,93,73,48,125,73,65,139,224,162,383,182,156,331,142,118,257,10,14,24,8,14,19,9,25,36,7,16,26,22,32,55,32,34,67,20,6,23,15,14,33,12,4,20,9,36,50,11,32,44,46,61,110,27,15,42,24,10,36,26,18,43,229,197,421,208,200,411,202,195,396,509,478,984,528,511,1037,588,532,1123,3,3
110,75475,77419,152888,76357,78577,154939,74300,76603,150908,54,89,150,59,97,153,69,96,162,148,148,291,212,221,434,259,256,517,27,20,48,17,11,28,20,15,30,17,9,25,14,15,31,13,14,23,34,50,82,57,63,120,76,86,167,203,223,433,216,226,440,180,223,408,28,18,54,23,18,39,20,20,41,41,42,80,42,40,80,33,46,79,84,95,173,137,125,261,311,266,580,32,35,66,36,48,88,30,51,82,20,8,24,22,12,40,35,30,62,7,4,16,14,11,23,54,47,100,76,53,124,99,74,173,87,78,166,106,68,172,81,57,139,77,58,135,15,38,53,21,47,70,25,47,73,21,33,49,58,31,89,146,85,232,24,12,40,23,14,37,20,13,26,43,66,112,43,62,102,58,68,126,34,17,53,30,14,46,27,14,37,201,164,359,184,150,333,163,140,303,591,579,1166,645,684,1325,711,719,1427,4,0
