SA4_CODE_2016,C06_CFNC_0_299,C06_CFNC_300_449,C06_CFNC_450_599,C06_CFNC_600_799,C06_CFNC_800_999,C06_CFNC_1000_1399,C06_CFNC_1400_1799,C06_CFNC_1800_2399,C06_CFNC_2400_2999,C06_CFNC_3000_3999,C06_CFNC_4000ov,C06_CFNC_NS,C06_CFNC_Tot,C06_CF_Cu15DS_0_299,C06_CF_Cu15DS_300_449,C06_CF_Cu15DS_450_599,C06_CF_Cu15DS_600_799,C06_CF_Cu15DS_800_999,C06_CF_Cu15DS_1000_1399,C06_CF_Cu15DS_1400_1799,C06_CF_Cu15DS_1800_2399,C06_CF_Cu15DS_2400_2999,C06_CF_Cu15DS_3000_3999,C06_CF_Cu15DS_4000ov,C06_CF_Cu15DS_NS,C06_CF_Cu15DS_Tot,C06_CF_Cu15NDS_0_299,C06_CF_Cu15NDS_300_449,C06_CF_Cu15NDS_450_599,C06_CF_Cu15NDS_600_799,C06_CF_Cu15NDS_800_999,C06_CF_Cu15NDS_1000_1399,C06_CF_Cu15NDS_1400_1799,C06_CF_Cu15NDS_1800_2399,C06_CF_Cu15NDS_2400_2999,C06_CF_Cu15NDS_3000_3999,C06_CF_Cu15NDS_4000ov,C06_CF_Cu15NDS_NS,C06_CF_Cu15NDS_Tot,C06_CF_NCu15DS_0_299,C06_CF_NCu15DS_300_449,C06_CF_NCu15DS_450_599,C06_CF_NCu15DS_600_799,C06_CF_NCu15DS_800_999,C06_CF_NCu15DS_1000_1399,C06_CF_NCu15DS_1400_1799,C06_CF_NCu15DS_1800_2399,C06_CF_NCu15DS_2400_2999,C06_CF_NCu15DS_3000_3999,C06_CF_NCu15DS_4000ov,C06_CF_NCu15DS_NS,C06_CF_NCu15DS_Tot,C06_CF_NDCO_0_299,C06_CF_NDCO_300_449,C06_CF_NDCO_450_599,C06_CF_NDCO_600_799,C06_CF_NDCO_800_999,C06_CF_NDCO_1000_1399,C06_CF_NDCO_1400_1799,C06_CF_NDCO_1800_2399,C06_CF_NDCO_2400_2999,C06_CF_NDCO_3000_3999,C06_CF_NDCO_4000ov,C06_CF_NDCO_NS,C06_CF_NDCO_Tot,C06_CF_T_0_299,C06_CF_T_300_449,C06_CF_T_450_599,C06_CF_T_600_799,C06_CF_T_800_999,C06_CF_T_1000_1399,C06_CF_T_1400_1799,C06_CF_T_1800_2399,C06_CF_T_2400_2999,C06_CF_T_3000_3999,C06_CF_T_4000ov,C06_CF_T_NS,C06_CF_T_T,C06_1PF_Cu15DS_0_299,C06_1PF_Cu15DS_300_449,C06_1PF_Cu15DS_450_599,C06_1PF_Cu15DS_600_799,C06_1PF_Cu15DS_800_999,C06_1PF_Cu15DS_1000_1399,C06_1PF_Cu15DS_1400_1799,C06_1PF_Cu15DS_1800_2399,C06_1PF_Cu15DS_2400_2999,C06_1PF_Cu15DS_3000_3999,C06_1PF_Cu15DS_4000ov,C06_1PF_Cu15DS_NS,C06_1PF_Cu15DS_Tot,C06_1PF_CU15_NDS_0_299,C06_1PF_CU15_NDS_300_449,C06_1PF_CU15_NDS_450_599,C06_1PF_CU15_NDS_600_799,C06_1PF_CU15_NDS_800_999,C06_1PF_CU15_NDS_1000_1399,C06_1PF_CU15_NDS_1400_1799,C06_1PF_CU15_NDS_1800_2399,C06_1PF_CU15_NDS_2400_2999,C06_1PF_CU15_NDS_3000_3999,C06_1PF_CU15_NDS_4000ov,C06_1PF_CU15_NDS_NS,C06_1PF_CU15_NDS_Tot,C06_1PF_NCu15DS_0_299,C06_1PF_NCu15DS_300_449,C06_1PF_NCu15DS_450_599,C06_1PF_NCu15DS_600_799,C06_1PF_NCu15DS_800_999,C06_1PF_NCu15DS_1000_1399,C06_1PF_NCu15DS_1400_1799,C06_1PF_NCu15DS_1800_2399,C06_1PF_NCu15DS_2400_2999,C06_1PF_NCu15DS_3000_3999,C06_1PF_NCu15DS_4000ov,C06_1PF_NCu15DS_NS,C06_1PF_NCu15DS_Tot,C06_1PF_NDCO_0_299,C06_1PF_NDCO_300_449,C06_1PF_NDCO_450_599,C06_1PF_NDCO_600_799,C06_1PF_NDCO_800_999,C06_1PF_NDCO_1000_1399,C06_1PF_NDCO_1400_1799,C06_1PF_NDCO_1800_2399,C06_1PF_NDCO_2400_2999,C06_1PF_NDCO_3000_3999,C06_1PF_NDCO_4000ov,C06_1PF_NDCO_NS,C06_1PF_NDCO_Tot,C06_1PF_T0_299,C06_1PF_T300_449,C06_1PF_T450_599,C06_1PF_T600_799,C06_1PF_T800_999,C06_1PF_T1000_1399,C06_1PF_T1400_1799,C06_1PF_T1800_2399,C06_1PF_T2400_2999,C06_1PF_T3000_3999,C06_1PF_T4000ov,C06_1PF_TNS,C06_1PF_TT,C06_T_0_299,C06_T_300_449,C06_T_450_599,C06_T_600_799,C06_T_800_999,C06_T_1000_1399,C06_T_1400_1799,C06_T_1800_2399,C06_T_2400_2999,C06_T_3000_3999,C06_T_4000ov,C06_T_NS,C06_T_T,C11_CFNC_0_299,C11_CFNC_300_449,C11_CFNC_450_599,C11_CFNC_600_799,C11_CFNC_800_999,C11_CFNC_1000_1399,C11_CFNC_1400_1799,C11_CFNC_1800_2399,C11_CFNC_2400_2999,C11_CFNC_3000_3999,C11_CFNC_4000ov,C11_CFNC_NS,C11_CFNC_T,C11_CF_Cu15DS_0_299,C11_CF_Cu15DS_300_449,C11_CF_Cu15DS_450_599,C11_CF_Cu15DS_600_799,C11_CF_Cu15DS_800_999,C11_CF_Cu15DS_1000_1399,C11_CF_Cu15DS_1400_1799,C11_CF_Cu15DS_1800_2399,C11_CF_Cu15DS_2400_2999,C11_CF_Cu15DS_3000_3999,C11_CF_Cu15DS_4000ov,C11_CF_Cu15DS_NS,C11_CF_Cu15DS_T,C11_CF_Cu15NDS_0_299,C11_CF_Cu15NDS_300_449,C11_CF_Cu15NDS_450_599,C11_CF_Cu15NDS_600_799,C11_CF_Cu15NDS_800_999,C11_CF_Cu15NDS_1000_1399,C11_CF_Cu15NDS_1400_1799,C11_CF_Cu15NDS_1800_2399,C11_CF_Cu15NDS_2400_2999,C11_CF_Cu15NDS_3000_3999,C11_CF_Cu15NDS_4000ov,C11_CF_Cu15NDS_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_0_299,C11_CF_NCu15DS_300_449,C11_CF_NCu15DS_450_599,C11_CF_NCu15DS_600_799,C11_CF_NCu15DS_800_999
101,240,316,288,507,633,1102,806,723,318,232,119,552,5831,44,79,88,134,207,382,285,221,85,54,36,101,1719,111,248,265,578,775,1691,1353,1179,451,278,137,416,7478,30,56,76,120,144,271,173,170,67,57,25,96,1274,38,76,94,161,163,279,184,154,68,43,33,138,1430,224,457,518,996,1287,2624,1992,1722,674,438,227,754,11898,13,22,34,35,32,51,27,10,4,5,0,11,248,31,81,80,138,154,220,132,60,31,21,12,91,1049,7,28,26,53,40,42,27,14,7,3,0,17,267,38,53,42,68,66,80,42,27,6,7,9,58,490,89,183,182,287,289,392,229,117,49,31,23,170,2047,557,949,987,1792,2208,4118,3023,2556,1036,701,364,1472,19777,438,218,196,390,461,1047,915,1159,704,614,389,351,6891,46,43,45,70,122,263,284,342,206,203,101,82,1799,161,120,93,246,348,1119,1366,1680,971,821,442,314,7670,49,41,38,70,114
102,236,290,245,434,535,1245,1351,1713,700,351,221,716,8039,41,76,91,170,214,564,522,521,196,134,76,184,2807,133,186,193,468,748,2365,2853,3078,1081,599,283,674,12655,48,86,80,165,209,485,426,388,143,108,50,177,2370,77,108,107,235,232,602,428,437,155,86,74,239,2770,304,457,475,1033,1406,4019,4234,4418,1575,923,486,1275,20605,8,26,22,50,57,119,64,44,22,17,4,36,474,34,64,59,162,201,407,332,217,77,46,31,133,1781,16,29,32,72,80,116,80,46,14,16,14,47,554,44,69,71,104,138,211,154,112,27,24,17,100,1075,108,190,182,390,483,864,633,428,139,100,67,324,3886,645,935,902,1856,2419,6124,6213,6560,2416,1372,773,2317,32527,502,235,219,364,448,1112,1374,2220,1059,719,416,503,9165,55,46,28,75,114,356,482,756,377,276,138,124,2832,146,78,84,193,295,1166,2089,4138,2090,1217,575,511,12589,105,63,75,113,164
103,190,288,268,495,587,989,753,516,148,100,76,582,4984,32,60,90,167,211,392,266,176,45,22,28,140,1636,103,232,302,653,948,1927,1334,954,251,166,104,452,7430,38,55,57,133,158,263,178,121,30,28,17,112,1196,42,73,68,163,166,277,154,85,22,16,17,134,1226,225,427,518,1121,1484,2857,1930,1342,350,237,163,841,11487,13,18,18,31,28,30,16,15,3,0,3,13,185,32,79,68,173,166,213,97,44,9,7,6,66,953,13,21,25,42,55,66,19,19,7,0,3,15,282,26,46,39,52,51,74,34,23,0,9,5,52,411,79,165,152,294,298,380,164,98,24,16,20,148,1828,488,876,936,1911,2364,4229,2842,1955,520,349,254,1568,18298,406,225,203,331,466,984,923,946,389,251,184,360,5669,46,28,41,79,132,310,305,291,126,104,51,85,1602,178,73,143,259,436,1314,1452,1715,746,472,247,292,7322,65,35,38,80,124
104,186,230,211,367,382,632,397,337,102,71,51,312,3284,26,58,40,136,143,291,148,99,30,24,23,70,1090,67,121,178,374,513,1087,729,499,150,67,48,215,4040,24,64,53,122,119,145,109,62,17,9,10,58,796,40,55,53,94,88,156,73,46,11,9,4,81,733,153,301,326,728,862,1681,1062,709,215,112,84,424,6653,11,22,10,36,25,48,17,10,0,3,0,14,198,26,47,60,128,146,199,81,47,10,5,4,70,830,13,19,19,43,44,54,15,16,4,3,3,27,257,22,34,23,53,39,65,25,20,3,0,3,27,314,74,121,114,259,257,366,135,87,18,14,14,137,1604,415,650,650,1357,1507,2680,1597,1129,334,198,151,882,11545,287,212,150,241,334,635,575,643,237,169,127,194,3801,15,12,22,50,75,200,180,202,84,55,26,39,962,72,56,55,145,211,698,901,1022,396,213,119,148,4030,38,23,36,74,84
105,117,238,227,333,328,478,259,173,51,51,31,386,2673,18,58,64,107,126,179,90,58,14,11,11,96,830,93,234,260,493,493,901,507,313,90,58,49,300,3804,7,37,34,72,69,109,54,38,6,13,3,62,504,30,55,49,62,74,125,44,37,4,10,10,93,595,157,386,411,735,761,1316,691,450,118,83,68,548,5731,8,23,17,24,16,11,3,3,3,0,0,10,121,60,103,90,113,84,99,41,25,3,5,9,70,690,15,22,15,24,20,13,12,3,3,0,0,11,126,18,46,32,38,24,33,12,4,0,0,3,37,247,100,189,152,198,139,168,65,30,9,7,8,124,1186,367,814,786,1266,1229,1956,1020,654,181,136,113,1066,9591,278,118,151,253,292,552,402,369,140,77,79,216,2928,45,28,24,53,70,162,124,115,46,33,26,25,752,134,87,96,216,327,818,711,622,235,137,106,183,3688,39,25,23,46,55
106,246,318,265,439,570,1309,1117,921,316,188,125,593,6403,33,70,86,180,257,508,349,258,88,48,39,132,2042,106,207,256,608,912,2553,2196,1744,506,271,134,534,10021,59,62,97,131,172,412,266,222,76,51,28,108,1695,74,125,138,201,251,477,292,206,63,50,27,171,2072,273,457,570,1114,1594,3946,3106,2428,733,420,233,952,15829,12,12,13,41,35,64,40,18,4,3,0,12,250,26,71,102,181,184,316,189,117,34,12,19,86,1317,21,28,28,65,43,78,39,24,5,3,0,27,363,31,52,43,89,84,114,57,38,10,9,3,67,589,85,159,192,369,346,563,331,195,50,23,26,198,2524,603,936,1024,1918,2503,5816,4548,3539,1099,637,380,1737,24760,426,217,199,342,437,1098,1297,1663,748,578,284,429,7715,59,42,28,76,115,333,390,500,208,167,87,101,2101,134,84,83,220,381,1349,2021,2914,1349,949,402,417,10305,68,44,35,100,119
107,159,182,147,315,401,930,950,1368,601,343,179,415,5994,44,63,75,148,206,496,391,366,151,118,62,148,2269,170,189,196,436,748,2117,2239,2685,1021,613,274,659,11334,68,74,82,163,220,419,348,298,122,87,46,168,2085,79,73,96,158,217,472,337,297,130,90,58,203,2202,357,395,450,906,1387,3499,3315,3647,1419,900,442,1172,17889,4,16,20,27,39,73,53,27,6,8,4,22,297,18,61,67,93,162,290,240,142,50,31,22,88,1260,19,31,28,51,46,100,70,44,15,10,5,24,437,47,52,44,59,78,155,94,79,20,10,18,81,742,89,154,153,225,329,624,455,292,90,53,55,219,2736,608,734,752,1446,2116,5055,4718,5305,2117,1294,675,1807,26619,315,151,131,277,323,759,945,1615,937,743,379,340,6913,54,44,35,58,117,322,384,584,327,271,140,106,2446,163,121,77,204,325,1087,1605,3207,2132,1547,629,421,11511,100,61,62,118,151
108,279,345,308,503,562,982,670,581,166,110,72,479,5061,31,67,75,177,199,336,204,160,56,29,25,95,1456,101,174,228,483,716,1616,1160,846,251,150,88,280,6085,28,72,75,139,143,261,142,99,29,22,17,83,1106,50,86,102,147,156,248,127,87,32,22,18,118,1195,205,400,479,947,1215,2456,1631,1196,373,224,144,566,9841,6,22,27,62,49,59,35,13,9,3,0,28,316,38,74,86,182,175,242,135,68,22,11,4,88,1120,7,27,37,44,48,78,24,19,0,0,0,36,315,33,50,30,66,75,81,36,27,8,4,3,53,469,89,178,184,353,342,459,232,124,33,19,8,205,2222,566,924,972,1805,2117,3897,2534,1900,575,353,230,1255,17125,456,279,252,409,472,1018,882,948,437,279,190,325,5934,34,29,26,72,101,258,255,292,128,83,51,62,1379,87,79,78,196,339,993,1201,1395,578,343,175,228,5693,49,44,53,78,118
109,142,194,224,355,407,699,408,232,81,44,54,445,3267,18,46,60,118,149,220,123,101,27,23,12,109,1005,79,156,239,437,612,1183,716,397,111,59,65,385,4445,26,39,44,84,86,163,76,61,11,8,12,72,679,31,53,52,97,104,169,69,38,17,8,8,100,743,153,296,389,737,956,1731,981,594,166,98,102,671,6873,9,12,12,33,19,42,9,7,0,0,0,8,155,17,46,64,111,95,122,47,17,3,4,3,58,582,8,17,19,26,45,41,15,3,0,0,0,23,193,27,21,26,48,50,40,16,7,0,0,0,34,267,57,105,121,212,213,241,81,35,3,3,5,112,1194,348,595,734,1303,1577,2672,1472,862,249,144,154,1227,11332,307,147,150,283,307,722,593,461,137,101,86,226,3518,45,15,25,48,79,203,157,195,58,45,34,58,960,128,55,94,180,291,879,857,823,229,171,116,179,3997,53,26,23,50,49
110,195,313,325,527,593,845,426,276,108,73,64,581,4331,28,73,82,177,201,290,171,87,16,20,17,120,1286,99,271,358,711,921,1490,835,486,130,96,67,464,5932,30,56,72,142,127,228,119,80,32,15,12,93,1005,45,83,96,148,147,201,94,64,14,10,18,135,1051,203,483,605,1183,1394,2212,1215,709,190,144,116,810,9267,12,26,24,46,41,41,16,7,3,0,0,16,220,51,119,107,174,134,171,48,19,5,3,6,62,911,6,29,22,52,36,50,14,12,4,0,0,19,251,36,36,42,58,66,59,11,14,4,0,3,37,355,101,214,198,328,275,317,90,49,16,12,13,131,1740,499,1008,1126,2041,2266,3378,1733,1033,312,225,193,1524,15336,429,239,190,363,464,952,758,627,239,174,135,329,4891,54,34,37,80,117,240,240,215,85,50,40,71,1273,182,83,111,271,445,1231,1221,1093,441,242,179,247,5757,60,26,41,72,98
