SA4_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
101,6,9,235,38,26,35,61,87,192,201,159,56,57,20,50,979,15,17,9,17,36,90,70,80,24,16,7,20,407,60,34,34,49,81,154,130,95,33,33,21,50,780,123,81,87,148,231,490,449,368,131,110,54,128,2400,960,522,496,919,1364,3508,3768,4431,2229,2117,1137,993,22437
102,11,10,462,50,27,32,57,112,335,378,416,115,83,45,83,1724,39,8,21,39,57,154,190,166,56,40,22,30,824,108,73,57,107,126,355,349,257,85,74,19,94,1702,212,117,115,214,322,941,1041,937,290,212,96,221,4716,1374,669,539,1080,1517,4784,6800,9442,4261,3031,1532,1386,36401
103,7,7,240,30,32,31,83,103,251,185,127,31,24,17,52,953,16,13,9,30,50,98,63,49,12,4,7,16,363,36,45,31,49,84,139,97,64,22,15,10,40,627,83,92,79,183,265,548,402,261,72,56,35,116,2189,845,476,481,994,1462,3756,3689,3829,1625,1082,631,876,19742
104,4,3,151,18,13,26,51,66,183,172,107,36,26,5,23,727,12,11,11,32,36,85,54,39,11,7,5,10,307,37,25,36,39,47,139,85,61,13,18,7,26,531,65,49,69,127,166,454,344,233,66,55,16,66,1710,551,335,335,577,895,2339,2547,2470,883,578,282,457,12264
105,0,9,139,27,30,30,82,93,168,79,45,23,8,14,34,632,9,10,8,24,21,40,34,14,8,6,4,10,179,30,31,22,50,45,80,41,25,9,3,5,21,354,62,79,70,166,177,331,169,107,42,13,18,68,1306,591,342,352,714,926,2087,1693,1399,467,334,229,498,9631
106,6,14,313,43,15,19,70,107,287,306,269,77,45,28,66,1328,20,10,19,36,35,115,112,77,27,23,14,23,494,67,52,41,66,85,222,181,108,40,26,13,57,954,139,81,91,188,251,707,656,500,163,106,53,158,3090,1003,535,506,943,1430,4537,5666,6856,2910,2083,942,1161,28559
107,9,16,350,40,27,17,63,63,216,262,356,112,86,27,55,1329,12,24,10,33,57,120,136,147,52,39,21,24,669,72,50,40,62,82,202,190,199,77,60,28,58,1124,142,116,77,167,205,605,671,770,272,208,89,149,3469,1168,597,423,885,1180,3535,4720,7700,4102,3435,1627,1093,30450
108,4,10,248,39,26,29,47,106,259,213,147,40,35,12,47,1007,20,19,12,19,49,111,79,55,13,7,4,13,400,63,34,36,66,76,162,136,77,20,15,11,43,751,133,90,82,150,245,614,490,315,86,59,28,113,2407,859,540,471,895,1355,3449,3558,3591,1274,836,447,777,18048
109,0,3,110,12,25,20,62,59,136,81,45,14,8,0,25,482,11,6,5,30,32,46,31,15,7,3,4,8,197,22,20,22,48,38,79,47,28,6,3,9,19,333,49,50,50,145,147,309,176,95,25,13,9,56,1124,631,344,296,741,1037,2403,2140,1809,530,370,245,558,11103
110,0,4,189,23,27,28,83,106,234,153,85,21,18,14,49,843,13,11,12,24,34,86,60,32,11,0,5,19,312,40,29,31,58,59,148,73,39,17,9,3,34,535,90,70,88,186,220,504,329,183,50,31,18,108,1875,875,419,458,950,1312,3354,2994,2603,914,658,415,769,15727
111,4,15,462,73,41,32,50,106,342,466,437,116,73,35,82,1839,32,21,27,51,72,189,175,159,43,40,13,25,853,112,60,43,124,139,329,292,228,69,44,21,84,1545,229,134,108,249,345,970,1035,930,263,175,72,208,4704,1599,772,675,1205,1776,5315,7067,10145,4649,3213,1723,1409,39547
112,8,6,334,51,46,27,57,90,283,266,245,67,41,28,78,1279,33,17,31,28,48,111,91,91,26,15,11,29,530,66,49,35,75,79,218,150,120,42,33,20,52,941,155,110,98,178,250,686,583,527,151,102,67,165,3076,1038,588,451,912,1264,3508,3852,4643,2176,1483,833,991,21741
